TermékNév	Ár	TFT	TFT 3D	CPU	RAM	RAM Slot	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Gyártó	Kategória	Sorozat	Érintőképernyő	Audio	Mikrofon	Kamera	WLAN	BT	HSDPA	Portok	CR	LAN	USB	Méret	Alapszín	Chipset	USB 3	SSD kapacitás	Extra	Képarány	Number of SSDs installed	SSD meghajtó kapacitás	Intel Wireless Display (WiDi)	Tárolókapacitás	Hangrendszer	Processor clock speed	Processszorcsalád	Turbo frequency (max)	Processzor magok száma	Processor number of threads	System bus	L3-gyorsítótár	Alaplapi lapkakészlet	Internal memory	Belső memória-típus	Teljes tárolókapacitás	Storage media	Kártyaolvasó beépítve	Kompatibilis memóriakártyák	Átlós képernyő	Képernyő-felbontás	LED backlight	Teljes HD (Full HD)	On-board graphics adapter mode	Discrete graphics adapter mode	Optikai meghajtó-típus	Fényírás	Beépített mikrofon	Beépített kamera	WLAN-kapcsolat	Vezetéknélküli LAN típus	Ethernet/LAN csatlakozás	Bluetooth verzió	3G network access module	USB 3.0 portok száma	DVI-port	Mikrofon, bemeneti jackdugó	S/PDIF kimeneti port	DC-bemeneti jackdugó	ExpressCard-csatlakozó	CardBus PCMCIA csatlakozó típu	SmartCard csatlakozó	Mutatóeszköz	Numerikus billentyűzet	Biztosított operációs rendszer	Eszköztípus	Termék színe	Külső megjelenés	Market positioning	Akkumulátor-technológia	Akkumulátorcellák száma	Intel My WiFi Technology	Intel Anti-Theft Technology	Intel vPro Technology	Intel visual technologies	Intel Hyper-Threading Technolo	Intel Turbo Boost Technology	Memória bővítőhelyek	Maximális belső memória	Merevlemez kapacitása	Merevlemez forgási sebesség	Merevlemez csatolófelület	Méretarány	Ethernet LAN adatátviteli sebe	Kábelezési technológia	USB 2.0 portok száma	VGA (D-Sub) portok száma	Hangszóró/fejhallgató/kimeneti	Ethernet LAN (RJ-45) portok me	HDMI portok mennyisége	Szélesség	Mélység	Operating system architecture	Telepített merevlemezek száma	Discrete graphics memory	AC adapter mellékelve	Beépített hangszórók száma	Discrete graphics memory type	Magasság (elülső)	magasság (hátulsó)	Dokkoló csatlakozó	Hangszóró teljesítmény	Combo headphone/microphone por	Battery capacity	Magasság	AC adapter eloszlás	Kábelek mellékelve	Akkumulátor élettartam	Energy Star által tanúsított	EPEAT compliance	Full-size keyboard	Spill resistant keyboard	DisplayPorts quantity	Intel Small Business Advantage	SSD meghajtó csatlakozók	Touch technology	Touch screen type	Micro HDMI ports quantity	L2-gyorsítótár	Windows-gombok	Felhasználói kézikönyv	Ráadás szoftver	WiFi által tanúsított	Memory layout	Garanciakártya	Kábelzár csatlakozó	Jelszavas védelem	Billentyűzet billentyűk száma	Memory form factor	Front camera	Intel Identity Protection Tech	Front camera resolution	Intel Smart Connect Technology	Intel Matrix Storage Technolog	Intel HD Audio Technology	Vezetéknélküli LAN adatátvitel	Island-style keyboard	Glossy display	Maximális felbontás	Akkumulátor töltési idő	Keyboard backlit	Near Field Communication (NFC)	4G	Fejhallgató csatlakozhatóság	Mikrofon csatlakoztathatóság	4G WiMAX	Data network	Maximális grafikus adapter mem	Memória órajel	Storage media type	Tápegység	Soros portok száma	Memóriatípus	Hangszórógyártó	Processzor-foglalat	Ujjlenyomat-olvasó	Fényerő	Maximum internal memory (64-bi	Recovery operating system incl	USB Sleep-and-Charge	USB Sleep-and-Charge ports	Meghajtóprogramok mellékelve	Akkumulátor teljesítménye	AC adapter frekvencia	AC adapter bemeneti feszültség	AC adapter kimeneti feszültség	3D kompatibilitás	Merevlemez méret	AC adapter kimeneti áram	Thunderbolt ports quantity	Gyors áttekintő útmutató	Megbízott platform modul (TPM)	Üzemi hőmérséklettartomány (T-	Tárolási hőmérséklettartomány	Beépített TV-tuner	RoHS compliance	Power auto-sensing	Támogatott lemezfajták	Kijelzőszínek	Relatív üzemi páratartalom-tar	Tárolási relatív páratartalmi	Üzemi magasság	Nem üzemeltetési magasság	On-board graphics adapter memo	Wireless Wide Area Network (WW	Telepfeszültség	Üzemi ütődés	Üzemen kívüli ütődés	Üzemi rezgés	Nem üzemi rezgés
HP EliteBook 8570w LY551EA	0 Ft	15,6 " (1920x1080 pixel)	Nem	Intel Core i5 3360M (2,8 GHz, 3 MB cache)	4 GB DDR III	Nem	500 GB 7200 rpm	AMD FirePro M4000	3 kg	Garancialeveles 3 év	8 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	HP	Üzleti	HP EliteBook	Nem	HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	USB 3.0, USB, E-SATA, 3,5 Jack, Display Port, D-Sub		10/100/1000 Mb/s	2 db	34,5 x 382 x 257,5 mm	Ezüst		2 db																																																																																																																																																																														
Dell Latitude E6430s HD Ci5-3320M 4GB 750GB W7P64	0 Ft	14 " (1366x768 pixel)	Nem	Intel Core i5 3320M (2,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	750 GB 7200 rpm	Intel HD Graphics 4000	1,7 kg	Garancialeveles 3 év	3 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Dell	Üzleti	Dell Latitude	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	Mini HDMI, USB 3.0, USB, ExpressCard 34mm, 3,5 Jack, D-Sub		10/100/1000 Mb/s	1 db	335 x 223 x 26,8 - 30,9 mm	Szürke	Intel QM77 Express	2 db																																																																																																																																																																														
Acer Aspire V3-571G-736b8G1TMaii szürke Windows 8	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 3630QM (2,4 GHz, 6 MB cache)	8 GB DDR III 1333 MHz	Nem	1000 GB 5400 rpm	NVIDIA GeForce GT 640M		Garancialeveles 2 év	6 cellás	DVD+-RW DL	Windows 8	Acer	Multimédia	Acer Aspire V	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, MS, MS Pro, SDHC, XD, SD	10/100/1000 Mb/s	2 db	382 x 253 x 33 mm	Szürke		1 db		Windows 8																																																																																																																																																																												
Asus X53BE-SX016D 15,6"	0 Ft	15,6 " (1366x768 pixel)	Nem	AMD E Series E2-1800 (1,7 GHz, 1 MB cache)	6 GB DDR III 1333 MHz	Nem	750 GB 5400 rpm	AMD Radeon HD 7470M	2,3 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Free DOS	Asus	Általános	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub		10/100/1000 Mb/s	2 db	378 x 253 x 28,3-34,9 mm	Fekete	AMD A68M	1 db																																																																																																																																																																														
Asus U32VJ-RO015P 13,3"	0 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i5 3210M (3,1 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	750 GB 5400 rpm	NVIDIA GeForce GT 635M		Garancialeveles 2 év	6 cellás	Nincs	Windows 8 Pro	Asus	Multimédia		Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	USB, 3,5 Jack, Display Port		10/100/1000 Mb/s			Ezüst																																																																																																																																																																																
Toshiba Satellite U840-113	0 Ft	14 " (1366x768 pixel)	Nem	Intel Core i3 2377M (1,5 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 5400 rpm	Intel HD Graphics 3000	1,58 kg	24 hónap saját	6 cellás	Nincs	Windows 7 Home Premium 64 bit	Toshiba	Ultrabook	Toshiba Satellite	Nem	Conexant CX20671-21Z	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, MS Pro, SDHC, SDXC, SD	10/100 Mb/s	2 db	342,0 x 232,0 x 19,9 mm	Szürke		1 db		32GB SSD																																																																																																																																																																												
Toshiba Satellite U840W-108	0 Ft	14,4 " (1792x768 pixel)	Nem	Intel Core i5 3317U (1,7 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	320 GB 5400 rpm	Intel HD Graphics 4000	1,68 kg	24 hónap saját	4 cellás	Nincs	Windows 7 Home Premium 64 bit	Toshiba	Ultrabook	Toshiba Satellite	Nem	Realtek ALC280Q-GR	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0	MMC, MS Pro, SDHC, SDXC, SD	10/100 Mb/s		368,7 x 200,0 x 20,33 mm	Barna		3 db			21:9																																																																																																																																																																											
Dell Vostro 3560 HD Ci3-3110 4GB 500GB W8 Ezüst	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3110 (2,4 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 7200 rpm	Intel HD Graphics 4000	2,57 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 8	Dell	Üzleti	Dell Vostro	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, ExpressCard 34mm, 3,5 Jack, D-Sub	MMC, MS, MS Pro, SDHC, XD, SDXC, SD	10/100/1000 Mb/s		375 x 259 x 28,8-32,5 mm	Barna	Intel HM77 Express	4 db																																																																																																																																																																														
Toshiba Satellite U940-10F 14"	0 Ft	14 " (1366x768 pixel)	Nem	Intel Core i5 3317U (1,7 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 5400 rpm	Intel HD Graphics 4000	1,72 kg	24 hónap saját		Nincs	Windows 8	Toshiba	Ultrabook	Toshiba Satellite	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MS, MS Pro, SDHC, SDXC, SD	10/100 Mb/s	1 db	339,6 x 238,3 x 20,7 mm	Kék		2 db	32 GB																																																																																																																																																																													
Lenovo Thinkpad Edge E535 NZRELHV	0 Ft	15,6 " (1366x768 pixel)	Nem	AMD A Series A8-4500M (2,5 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 7200 rpm	AMD Radeon HD 7670M	2,45 kg	Garancialeveles 1 év	6 cellás	DVD+-RW DL	Free DOS	Lenovo	Üzleti		Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub		10/100/1000 Mb/s	1 db	339x245x31,1 mm	Fekete		3 db																																																																																																																																																																														
