TermékNév	Ár	TFT	TFT 3D	CPU	RAM	RAM Slot	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Gyártó	Kategória	Sorozat	Érintőképernyő	Audio	Mikrofon	Kamera	WLAN	BT	HSDPA	Portok	CR	LAN	USB	Méret	Alapszín	Chipset	USB 3	SSD kapacitás	Extra	Képarány	Number of SSDs installed	SSD meghajtó kapacitás	Intel Wireless Display (WiDi)	Tárolókapacitás	Hangrendszer	Processor clock speed	Processszorcsalád	Turbo frequency (max)	Processzor magok száma	Processor number of threads	System bus	L3-gyorsítótár	Alaplapi lapkakészlet	Internal memory	Belső memória-típus	Teljes tárolókapacitás	Storage media	Kártyaolvasó beépítve	Kompatibilis memóriakártyák	Átlós képernyő	Képernyő-felbontás	LED backlight	Teljes HD (Full HD)	On-board graphics adapter mode	Discrete graphics adapter mode	Optikai meghajtó-típus	Fényírás	Beépített mikrofon	Beépített kamera	WLAN-kapcsolat	Vezetéknélküli LAN típus	Ethernet/LAN csatlakozás	Bluetooth verzió	3G network access module	USB 3.0 portok száma	DVI-port	Mikrofon, bemeneti jackdugó	S/PDIF kimeneti port	DC-bemeneti jackdugó	ExpressCard-csatlakozó	CardBus PCMCIA csatlakozó típu	SmartCard csatlakozó	Mutatóeszköz	Numerikus billentyűzet	Biztosított operációs rendszer	Eszköztípus	Termék színe	Külső megjelenés	Market positioning	Akkumulátor-technológia	Akkumulátorcellák száma	Intel My WiFi Technology	Intel Anti-Theft Technology	Intel vPro Technology	Intel visual technologies	Intel Hyper-Threading Technolo	Intel Turbo Boost Technology	Memória bővítőhelyek	Maximális belső memória	Merevlemez kapacitása	Merevlemez forgási sebesség	Merevlemez csatolófelület	Méretarány	Ethernet LAN adatátviteli sebe	Kábelezési technológia	USB 2.0 portok száma	VGA (D-Sub) portok száma	Hangszóró/fejhallgató/kimeneti	Ethernet LAN (RJ-45) portok me	HDMI portok mennyisége	Szélesség	Mélység	Operating system architecture	Telepített merevlemezek száma	Discrete graphics memory	AC adapter mellékelve	Beépített hangszórók száma	Discrete graphics memory type	Magasság (elülső)	magasság (hátulsó)	Dokkoló csatlakozó	Hangszóró teljesítmény	Combo headphone/microphone por	Battery capacity	Magasság	AC adapter eloszlás	Kábelek mellékelve	Akkumulátor élettartam	Energy Star által tanúsított	EPEAT compliance	Full-size keyboard	Spill resistant keyboard	DisplayPorts quantity	Intel Small Business Advantage	SSD meghajtó csatlakozók	Touch technology	Touch screen type	Micro HDMI ports quantity	L2-gyorsítótár	Windows-gombok	Felhasználói kézikönyv	Ráadás szoftver	WiFi által tanúsított	Memory layout	Garanciakártya	Kábelzár csatlakozó	Jelszavas védelem	Billentyűzet billentyűk száma	Memory form factor	Front camera	Intel Identity Protection Tech	Front camera resolution	Intel Smart Connect Technology	Intel Matrix Storage Technolog	Intel HD Audio Technology	Vezetéknélküli LAN adatátvitel	Island-style keyboard	Glossy display	Maximális felbontás	Akkumulátor töltési idő	Keyboard backlit	Near Field Communication (NFC)	4G	Fejhallgató csatlakozhatóság	Mikrofon csatlakoztathatóság	4G WiMAX	Data network	Maximális grafikus adapter mem	Memória órajel	Storage media type	Tápegység	Soros portok száma	Memóriatípus	Hangszórógyártó	Processzor-foglalat	Ujjlenyomat-olvasó	Fényerő	Maximum internal memory (64-bi	Recovery operating system incl	USB Sleep-and-Charge	USB Sleep-and-Charge ports	Meghajtóprogramok mellékelve	Akkumulátor teljesítménye	AC adapter frekvencia	AC adapter bemeneti feszültség	AC adapter kimeneti feszültség	3D kompatibilitás	Merevlemez méret	AC adapter kimeneti áram	Thunderbolt ports quantity	Gyors áttekintő útmutató	Megbízott platform modul (TPM)	Üzemi hőmérséklettartomány (T-	Tárolási hőmérséklettartomány	Beépített TV-tuner	RoHS compliance	Power auto-sensing	Támogatott lemezfajták	Kijelzőszínek	Relatív üzemi páratartalom-tar	Tárolási relatív páratartalmi	Üzemi magasság	Nem üzemeltetési magasság	On-board graphics adapter memo	Wireless Wide Area Network (WW	Telepfeszültség	Üzemi ütődés	Üzemen kívüli ütődés	Üzemi rezgés	Nem üzemi rezgés
Dell Latitude E6530 FHD Ci7-3540M 8GB 750GB W7P64	0 Ft	15,6 " (1920x1080 pixel)	Nem	Intel Core i7 3540M (3 GHz, 4 MB cache)	8 GB DDR III 1600 MHz	Nem	750 GB 7200 rpm	Intel HD Graphics	2,449 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Dell	Üzleti	Dell Latitude	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 g	Igen	Nem	ExpressCard 54mm, HDMI, USB 3.0, USB, E-SATA, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	384x528x28–34,2 mm	Ezüst	Intel QM77 Express	2 db																																																																																																																																																																														
Apple MacBook Air 11" i5 1,3GHz 4GB 128GB SSD HUN	0 Ft	11,6 " (1366 x 768 pixel)	Nem	Intel Core i5 (1,3 GHz, 3 MB cache)	4 GB DDR III 1600 MHz			Intel HD Graphics 5000	1,08 kg	Garancialeveles 1 év		Nincs	Mac OS X 10.7 Lion	Apple	Ultrabook	Apple MacBook Air	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	USB 3.0, Thunderbolt port, 3,5 Jack		Nincs		300x192x17 mm	Ezüst		2 db	128 GB																																																																																																																																																																													
Acer Aspire V5-122P-42154G50NBB 11,6"	0 Ft	11,6 " (1360 x 768 pixel)	Nem	AMD A Series A4-1250 (1 GHz, 1 MB cache)	4 GB DDR III		500 GB 5400 rpm		1,38 kg	Garancialeveles 2 év	3 cellás	Nincs	Windows 8	Acer	Netbook	Acer Aspire V	Igen	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	SD	Nincs	2 db		Ezüst		1 db		11.6" Multi-touch kijelző																																																																																																																																																																												
Dell Vostro 3360 Ci3-3227U 4GB 320GB HD4000 Bronz	0 Ft	13,3 " (1366 x 768 pixel)	Nem	Intel Core i3 3227U (1,9 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	320 GB 7200 rpm	Intel HD Graphics 4000	1,67 kg	Garancialeveles 3 év	4 cellás	Nincs	Linux	Dell	Üzleti	Dell Vostro	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, 3,5 Jack, D-Sub		10/100/1000 Mb/s		332x232,5x18,6-19,2 mm	Barna	Intel HM77 Express	3 db																																																																																																																																																																														
Dell Vostro 3360 Ci3-3227U 4GB 320GB HD4000 Ezüst	0 Ft	13,3 " (1366 x 768 pixel)	Nem	Intel Core i3 3227U (1,9 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	320 GB 7200 rpm	Intel HD Graphics 4000	1,67 kg	Garancialeveles 3 év	4 cellás	Nincs	Linux	Dell	Üzleti	Dell Vostro	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, 3,5 Jack, D-Sub		10/100/1000 Mb/s		332x232,5x18,6-19,2 mm	Ezüst	Intel HM77 Express	3 db																																																																																																																																																																														
NBK Lenovo ThinkPad L430 14" (N2L5AHV_TS)	0 Ft													Lenovo		Lenovo ThinkPad L																																																																																																																																																																																													
NBK Lenovo ThinkPad X230i 12,5" (NZADHHV_TS)	0 Ft									Garancialeveles 3 év				Lenovo		Lenovo ThinkPad X																																																																																																																																																																																													
Lenovo ThinkPad Edge E531 15,6" Fekete N4I29HV	0 Ft	15,6 " (1920 x 1080 pixel)	Nem	Intel Core i5 3230M (2,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	NVIDIA GeForce GT 730M	2,44 kg	Garancialeveles 1 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Lenovo	Üzleti	Lenovo ThinkPad Edge	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, D-Sub		10/100/1000 Mb/s	1 db	377x250x25 mm	Fekete		2 db								Dolby® Advanced Audio																																																																																																																																																																						
NBK MSI GE60 0ND-489BE 15,6" Angol billentyűs	0 Ft			i5-3230M					2400 g	Garancialeveles 3 év				MSI			N					Y															Y		THX TruStudio Pro	2.6 GHz	Intel Core i5	3.2 GHz	2	4	5 GT/s	3 Mb	Intel HM76 Express	6 GB	DDR3-SDRAM	750 GB	HDD	Y	Memory Stick (MS), MMC, MS PRO, SD, SDHC, SDXC, xD	15.6 "	1920 x 1080 pixelek	Y	Y	Intel HD Graphics 4000	NVIDIA GeForce GTX 660M	DVD Super Multi	N	Y	Y	Y	802.11b, 802.11g, 802.11n	Y	4.0	N	2	N	Y	N	Y	N	N	N	TouchPad	Y	Windows 8	Notebook	Fekete	Clamshell	gaming	Lithium-Ion (Li-Ion)	6	Y	Y	N	Intel Clear Video HD, Intel Insider, Intel InTru 3D, Intel Quick Sync Video	Y	2.0	2x SO-DIMM	16 GB	750 GB	7200 RPM	Serial ATA	16:9	10, 100, 1000 Mbit/s	10/100/1000Base-T(X)	2	1	1	1	1	383 mm	249.5 mm	64-bit	1	2048 Mb	Y	4	GDDR5	32.3 mm	37.6 mm	N	2 W																																																																																									
NBK ACER TravelMate TMP633-M-53234G50tkk 13,3" (NX	0 Ft									Garancialeveles 3 év				Acer		Acer TravelMate																																																																																																																																																																																													
Acer Aspire E1-531-20204G50Mnks 15,6" Fekete	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2020M (2,4 GHz, 2 MB cache)	4 GB DDR III 1333 MHz		500 GB 5400 rpm	Intel HD Graphics	2,5 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Linux	Acer	Általános	Acer Aspire E	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	HDMI, USB, 3,5 Jack, D-Sub	MMC, MS, MS Pro, XD, SD	10/100/1000 Mb/s	2 db	381 x 253 x 33,2 mm	Fekete	Intel HM77 Express																																																																																																																																																																															
Acer Aspire V5-132P-3322Y4G50nbb 11,6" Kék	0 Ft	11,6 " (1366 x 768 pixel)	Nem	Intel Core i3 3229Y (1,4 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	Intel HD Graphics	1,38 kg	Garancialeveles 2 év	3 cellás	Nincs	Windows 8	Acer	Netbook	Acer Aspire V	Igen	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	USB 3.0, USB, 3,5 Jack	MMC, SD	Nincs	1 db		Kék		1 db								Dolby® Home Theater® v4																																																																																																																																																																						
Acer Aspire V5-132P-3322Y4G50nss 11,6" Ezüst	0 Ft	11,6 " (1366 x 768 pixel)	Nem	Intel Core i3 3229Y (1,4 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	Intel HD Graphics	1,38 kg	Garancialeveles 2 év	3 cellás	Nincs	Windows 8	Acer	Netbook	Acer Aspire V	Igen	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	USB 3.0, USB, 3,5 Jack	MMC, SD	Nincs	1 db		Ezüst		1 db								Dolby® Home Theater® v4																																																																																																																																																																						
NBK LENOVO ThinkPad Edge E330 13,3" (NZSDZHV_TS)	0 Ft									Garancialeveles 1 év				Lenovo		Lenovo ThinkPad Edge																																																																																																																																																																																													
NBK Fujitsu Lifebook E743 14" HD+ Core i3-3120M 4G	0 Ft									Garancialeveles 3 év				FUJITSU		Fujitsu Lifebook																																																																																																																																																																																													
Apple MacBook Air 13" i5 1,3GHz 4GB 256GB SSD HUN	0 Ft	13,3 " (1440x900 pixel)	Nem	Intel Core i5 (1,3 GHz, 3 MB cache)	4 GB DDR III 1600 MHz			Intel HD Graphics 5000	1,35 kg	Garancialeveles 1 év		Nincs	Mac OS X 10.7 Lion	Apple	Ultrabook	Apple MacBook Air	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	USB 3.0, Thunderbolt port, 3,5 Jack	SDXC	Nincs		325x227x17 mm	Ezüst		2 db	256 GB																																																																																																																																																																													
Apple MacBook Air 11" i5 1,3GHz 4GB 256GB SSD HUN	0 Ft	11,6 " (1366 x 768 pixel)	Nem	Intel Core i5 (1,3 GHz, 3 MB cache)	4 GB DDR III 1600 MHz			Intel HD Graphics 5000	1,08 kg	Garancialeveles 1 év		Nincs	Mac OS X 10.7 Lion	Apple	Ultrabook	Apple MacBook Air	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	USB 3.0, Thunderbolt port, 3,5 Jack		Nincs		300x192x17 mm	Ezüst		2 db	256 GB																																																																																																																																																																													
Apple MacBook Air 13" i5 1,3GHz 4GB 128GB SSD HUN	0 Ft	13,3 " (1440x900 pixel)	Nem	Intel Core i5 (1,3 GHz, 3 MB cache)	4 GB DDR III 1600 MHz			Intel HD Graphics 5000	1,35 kg	Garancialeveles 1 év		Nincs	Mac OS X 10.7 Lion	Apple	Ultrabook	Apple MacBook Air	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	USB 3.0, Thunderbolt port, 3,5 Jack	SDXC	Nincs		325x227x17 mm	Ezüst		2 db	128 GB																																																																																																																																																																													
NBK HP EliteBook Revolve 810 G1 11,6" i5-3437U 4GB	0 Ft			i5-3437U					1400 g	Garancialeveles 3 év				HP		HP EliteBook	Y					Y													1	128 GB			DTS Studio Sound	1.9 GHz	Intel Core i5	2.9 GHz	2	4	5 GT/s	3 Mb	Intel QM77 Express	4 GB	DDR3-SDRAM	128 GB	SSD	Y	microSD (TransFlash)	11.6 "	1366 x 768 pixelek	Y		Intel HD Graphics 4000	N	N	N	Y		Y	802.11a, 802.11b, 802.11g, 802.11n	Y		N	2	N	N	N	Y	N	N	N	TouchPad	N	Windows 8 Pro	Notebook	Ezüst	Convertible (Swivel)		Polymer	6	Y	Y	Y	Intel Clear Video HD, Intel Insider, Intel InTru 3D, Intel Quick Sync Video	Y	2.0		12 GB				16:9	10, 100, 1000 Mbit/s					1		285 mm	212 mm	64-bit			Y	2				Y		Y	44 Wh	22.2 mm	45 W	AC	8 ó	Y	Gold	Y	Y	1	N																																																																													
Asus S200E-CT161H 11,6" Szürke	0 Ft	11,6 " (1366 x 768 pixel)	Nem	Intel Pentium Dual Core ULV987 (1,5 GHz, 2 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	Intel HD Graphics	1,4 kg	24 hónap saját	2 cellás	Nincs	Windows 8	Asus	Ultrabook	Asus VivoBook	Igen	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SDHC, SDXC, SD	10/100 Mb/s	2 db	303x200x20 mm	Szürke	Intel HM76 Express	1 db								Waves MaxxAudio 3																																																																																																																																																																						
NBK DELL Vostro 3360 13.3" Ci5-3337U 4GB 500GB HD4	0 Ft	13,3 " (1366 x 768 pixel)	Nem	Intel Core i5 3337 (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 7200 rpm	Intel HD Graphics 4000	1,67 kg	Garancialeveles 3 év	4 cellás	Nincs	Windows 8	Dell	Üzleti	Dell Vostro	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, 3,5 Jack, D-Sub		10/100/1000 Mb/s		332x232,5x18,6-19,2 mm	Bronz	Intel HM77 Express	3 db																																																																																																																																																																														
Acer Aspire S7-391-53334G12AWS W8 13,3" Fehér	0 Ft	13,3 " (1920x1080 pixel)	Nem	Intel Core i5 3337U (1,8 GHz, 3 MB cache)	4 GB DDR III	Nem		Intel HD Graphics 4000	1 kg	Garancialeveles 2 év	4 cellás	Nincs	Windows 8	Acer	Ultrabook	Acer Aspire S	Igen	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, 3,5 Jack	MMC, SD	10/100/1000 Mb/s			Fehér	Intel HM77 Express	2 db	128 GB																																																																																																																																																																													
Acer Aspire E1-531-20208G1TMNKS 15,6" Fekete	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2020M (2,4 GHz, 2 MB cache)	8 GB DDR III 1333 MHz	Nem	1000 GB 5400 rpm	Intel HD Graphics	2,5 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Linux	Acer	Általános	Acer Aspire E	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Nem	Nem	HDMI, USB, 3,5 Jack, D-Sub		10/100/1000 Mb/s	2 db	381 x 253 x 33,2 mm	Fekete																																																																																																																																																																																
Acer Aspire E1-571-33118G1TMNKS 15,6" Fekete	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3110M (2,4 GHz, 3 MB cache)	8 GB DDR III 1333 MHz		1000 GB 5400 rpm	Intel HD Graphics	2,5 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Linux	Acer	Általános	Acer Aspire E	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB, 3,5 Jack, D-Sub	MMC, MS, MS Pro, XD, SD	10/100/1000 Mb/s	2 db	381 x 253 x 33,2 mm	Fekete																																																																																																																																																																																
Acer Aspire E1-571-73634G75MNKS 15,6" Fekete	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 3632QM (2,2 GHz, 6 MB cache)	4 GB DDR III 1333 MHz	Igen	750 GB 5400 rpm	Intel HD Graphics	2,5 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Windows 8	Acer	Általános	Acer Aspire E	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB, 3,5 Jack, D-Sub	MMC, MS, MS Pro, XD, SD	10/100/1000 Mb/s	3 db	381 x 253 x 33,2 mm	Fekete	Intel HM77 Express																																																																																																																																																																															
Asus X502CA-XX125D 15,6" Fekete	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2117U (1,8 GHz, 2 MB cache)	4 GB DDR III 1600 MHz		320 GB 5400 rpm	Intel HD Graphics	1,86 kg	24 hónap saját	2 cellás	Nincs	Free DOS	Asus	Általános	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	383x253x21,7 mm	Fekete	Intel HM76 Express	1 db																																																																																																																																																																														
Asus X550CC-XO244D 15,6" Fehér	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3217U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Igen	1000 GB 5400 rpm	NVIDIA GeForce GT 720M	2,3 kg	24 hónap saját	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380x251x24,8 ~31,7 mm	Fehér	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Asus X502CA-XX123D 15,6" Fekete	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2117U (1,8 GHz, 2 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	Intel HD Graphics	2,0 kg	24 hónap saját	2 cellás	Nincs	Free DOS	Asus	Általános	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	383x253x21,7 mm	Fekete	Intel HM76 Express	1 db																																																																																																																																																																														
Asus X550CC-XO247D 15,6" Fehér	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 3537U (2 GHz, 4 MB cache)	8 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 720M	2,3 kg	24 hónap saját	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380x251x24,8 ~31,7 mm	Fehér	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Asus X550CC-XO243D 15,6" Fehér	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2117U (1,8 GHz, 2 MB cache)	4 GB DDR III 1600 MHz		750 GB 5400 rpm	NVIDIA GeForce GT 720M	2,3 kg	24 hónap saját	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380x251x24,8 ~31,7 mm	Fehér	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Asus X550CC-XO248D 15,6" Fehér	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 3537U (2 GHz, 4 MB cache)	8 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 720M	2,3 kg	24 hónap saját	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380x251x24,8 ~31,7 mm	Fehér	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Asus X502CA-XX124D 15,6" Fekete	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2117U (1,8 GHz, 2 MB cache)	4 GB DDR III 1600 MHz	Igen	500 GB 5400 rpm	Intel HD Graphics	2,0 kg	24 hónap saját	2 cellás	Nincs	Free DOS	Asus	Általános	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	383x253x21,7 mm	Fekete	Intel HM76 Express	1 db																																																																																																																																																																														
Asus X502CA-XX118D 15,6" Fehér	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2117U (1,8 GHz, 2 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	Intel HD Graphics	1,86 kg	24 hónap saját	2 cellás	Nincs	Free DOS	Asus	Általános	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	383x253x21,7 mm	Fehér	Intel HM76 Express	1 db																																																																																																																																																																														
Asus X502CA-XX109D 15,6" Fehér	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Celeron Dual-Core 1007U (1,5 GHz, 2 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	Intel HD Graphics	1,86 kg	24 hónap saját	2 cellás	Nincs	Free DOS	Asus	Általános	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	383x253x21,7 mm	Fehér	Intel HM76 Express	1 db																																																																																																																																																																														
Asus X502CA-XX086D 15,6" Fehér	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2117U (1,8 GHz, 2 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	Intel HD Graphics	1,86 kg	24 hónap saját	2 cellás	Nincs	Free DOS	Asus	Általános	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	383x253x21,7 mm	Fehér	Intel HM76 Express	1 db																																																																																																																																																																														
Dell Latitude E5430 HD Ci5-3230M 4GB 500GB Linux	0 Ft	14 " (1366x768 pixel)	Nem	Intel Core i5 3230M (2,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 7200 rpm	Intel HD Graphics 4000	2,14 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Linux	Dell	Üzleti	Dell Latitude	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	ExpressCard 54mm, FireWire, HDMI, USB 3.0, USB, E-SATA, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	1 db	350x240x29,90–32,5 mm	Ezüst		2 db																																																																																																																																																																														
NBK Dell Latitude E6530 15,6" FullHD Ci7-3740QM 8G	0 Ft									Garancialeveles 4 év				Dell																																																																																																																																																																																															
Acer Aspire V5-123-12104G50nss 11,6" Ezüst	0 Ft	11,6 " (1366 x 768 pixel)	Nem	AMD E Series E1-2100 (1 GHz, 1 MB cache)	4 GB DDR III 1066 MHz		500 GB 5400 rpm		1,38 kg	Garancialeveles 2 év	4 cellás	Nincs	Linux	Acer	Netbook	Acer Aspire V	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, SD	10/100 Mb/s	2 db		Ezüst	Intel NM70 Express	1 db																																																																																																																																																																														
Acer Aspire E1-571-33114G50Maks 15,6" Fekete	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3110M (2,4 GHz, 3 MB cache)	4 GB DDR III 1333 MHz	Igen	500 GB 5400 rpm	Intel HD Graphics	2,5 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Linux	Acer	Általános	Acer Aspire E	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB, 3,5 Jack, D-Sub	MMC, MS, MS Pro, XD, SD	10/100/1000 Mb/s	3 db	381 x 253 x 33,2 mm	Fekete																																																																																																																																																																																
Acer Aspire V3-772G-747a8G1TMakk 17,3" Fekete	0 Ft	17,3 " (1920x1080 pixel)	Nem	Intel Core i7 4702MQ (2,2 GHz, 6 MB cache)	8 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 750M	3,2 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Linux	Acer		Acer Aspire V	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen		HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	34,7x414,8x275 mm	Fekete		2 db								Dolby Home Theater v4																																																																																																																																																																						
NBK Samsung NP530U3C-K01HU 13,3"	0 Ft									Garancialeveles 2 év				Samsung																																																																																																																																																																																															
NBK Samsung NP535U3C-K01HU 13,3"	0 Ft									Garancialeveles 2 év				Samsung																																																																																																																																																																																															
