TermékNév	Ár	TFT Felb.	TFT Méret	TFT Típus	TFT Arány	CPU Gyártó	CPU Család	CPU Típus	RAM Méret	RAM	RAM Slot	HDD	HDD Méret	HDD Seb.	GPU	Súly	Akku cella	OS	ODD	Chipset	RAM Modul	WLAN	Kamera Felb.	USB	VGA ki	HDMI	Audio	LAN	CR	Kensington	Technológia	Tárolt energia	Elektromos töltés	AC	Anyag	Szín	Széles	Magas	Mély	Család	Hangszóró	Mikrofon	Bill. num	Képátló	BT	USB 3	Micro HDMI ki	Egyéb	Billentyűzet világítás	Panel típus	Érintőkijelző	HDD 2	HDD 2 Méret	TPM	Egér	MSATA Foglalat	Egyéb szín	3D Technológia	Pixelhiba	DisplayPort ki	eSATA ki	ExpressCard	Ujjlenyomat olvasó	HDD leejtés védelem	Dokkolható	Tanúsítvány(ok)	Vezeték nélküli kapcsolat	Soros	TB	Mini DisplayPort ki	WiDi
Acer E1-772-34004G1TMNSK 17,3"/Intel i3-4000M 2,4GHz/4GB/1000GB/DVD író/Fekete notebook	0 Ft	1600x900	17,3 "		Fényes	Intel	Core i3	Intel Core i3-4000M (2,4GHz, 3MB)	4,0 GB	DDR3L-1600MHz	2 db	HDD	1000 GB	5400 rpm	Intel HD Graphics 4600	3,20 kg	6	Linux	DVD író	Intel	1 x 4	802.11 b/g/n	0,90 MP	1 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	48 wattóra	4400 mAh	65 watt		Fekete	414,80 mm	34,60 mm	275,0 mm	Aspire E1	Sztereó	Igen	Igen		Van	2 db				TN																						
Acer E1-772G-34004G1TMNSK 17,3"/Intel i3-4000M 2,4GHz/4GB/1000GB/DVD író/Fekete notebook	0 Ft	1600x900	17,3 "		Fényes	Intel	Core i3	Intel Core i3-4000M (2,4GHz, 3MB)	4,0 GB	DDR3L-1600MHz	2 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GT 820M 2GB	3,20 kg	6	Linux	DVD író	NVIDIA	1 x 4	802.11 b/g/n	0,90 MP	1 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	48 wattóra	4400 mAh	90 watt		Fekete	414,80 mm	34,60 mm	275,0 mm	Aspire E1	Sztereó	Igen	Igen		Van	2 db				TN																						
Acer E1-772G-54204G1TMNSK 17,3"/Intel i5-4200M 2,5GHz/4GB/1000GB/DVD író/Fekete notebook	0 Ft	1600x900	17,3 "		Fényes	Intel	Core i5	Intel Core i5-4200U (1,6 GHz, 3 MB)	4,0 GB	DDR3L-1600MHz	2 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GT 820M 2GB	3,20 kg	6	Linux	DVD író	NVIDIA	1 x 4	802.11 b/g/n	0,90 MP	1 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	48 wattóra	4400 mAh	90 watt		Fekete	414,80 mm	34,60 mm	275,0 mm	Aspire E1	Sztereó	Igen	Igen		Van	2 db				TN																						
Acer P3-171-5333Y4G12AS 11,6" Multi-touch IPS/Intel Core i5-3229Y 1,5GHz/4GB/120GB/Win8 notebook	0 Ft	1366x768	11,6 "		Fényes	Intel	Core i5	Intel Core i5-3339Y (1,5 GHz, 3MB)	4,0 GB	DDR3-1600MHz	0 db	SSD	120 GB		Intel HD 4000	0,79 kg	4	Windows 8 64 bit		Intel	1 x 4	802.11 a/b/g/n	5,00 MP				Igen				Li-ion	40 wattóra	5280 mAh	65 watt	Műanyag	Ezüst	190,77 mm	10,10 mm	295,0 mm	Aspire P3	Sztereó	Igen			4.0	1 db	1 db	Bluetooth billentyűzet		IPS	Igen																					
Acer R7-572G-54208G1.02TASS 15,6" Full HD Multi-touch IPS/Intel Core i5-4200U 1,6GHz/8GB/1000GB+24GBSSD/Win8 notebook	0 Ft	1920x1080	15,6 "		Fényes	Intel	Core i5	Intel Core i5-4200U (1,6 GHz, 3 MB)	8,0 GB	DDR3-1600MHz	2 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GT 750M 2GB DDR5	2,50 kg	4	Windows 8 64 bit		NVIDIA	2 x 4	802.11 a/b/g/n	0,90 MP	1 db		1 db	Igen		Igen	Igen	Li-polymer	53 wattóra	3560 mAh	90 watt		Ezüst	376,80 mm	28,50 mm	254,5 mm	Aspire R7	Sztereó	Igen			4.0	2 db		Acer Converter 3in1 (VGA Ethernet USB 2.0)	Igen	IPS	Igen	SSD	24 GB	Igen	Stylus																	
Acer R7-572G-74508G1.02TASS 15,6" Full HD Multi-touch IPS/Intel Core i7-4500U 1,8GHz/8GB/1000GB+24GBSSD/Win8 notebook	0 Ft	1920x1080	15,6 "		Fényes	Intel	Core i7	Intel Core i7-4500U (1,8 GHz, 4 MB)	8,0 GB	DDR3-1600MHz	2 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GT 750M 2GB DDR5	2,50 kg	4	Windows 8 64 bit		NVIDIA	2 x 4	802.11 a/b/g/n	0,90 MP	1 db		1 db	Igen		Igen	Igen	Li-polymer	53 wattóra	3560 mAh	90 watt		Ezüst	376,80 mm	28,50 mm	254,5 mm	Aspire R7	Sztereó	Igen			4.0	2 db		Acer Converter 3in1 (VGA Ethernet USB 2.0)	Igen	IPS	Igen	SSD	24 GB	Igen	Stylus																	
Acer S3-371-33214G50add 13,3"/Intel Core i3 3217U 1,8GHz/4GB/500GB notebook	0 Ft	1366x768	13,3 "		Fényes	Intel	Core i3	Intel Core i3-3217U (1,8 GHz, 3 MB)	4,0 GB	DDR3-1600MHz	0 db	HDD	500 GB	5400 rpm	Intel HD 4000	1,36 kg	3	Linux		Intel	1 x 4	802.11 a/b/g/n	0,90 MP			1 db	Igen		Igen		Li-polymer	36 wattóra	3280 mAh	65 watt	alumínium	Champagne gold	323,00 mm	17,50 mm	218,5 mm	Aspire S3	Sztereó	Igen			4.0	2 db				TN																						
ACER S7-391-53334G12AWS 13,3" FHD Touch /Intel Core i5-3337U 1,8GHz/4GB/128GB SSD/Win8/Fehér notebook	0 Ft	1920x1080	13,3 "			Intel	Core i5	Intel Core i5-3337U (1,8 GHz, 3MB)	4,0 GB	DDR3-1600MHz	0 db	SSD	128 GB		Intel HD 4000	1,30 kg	4	Windows 8 64 bit		Intel	1 x 4	802.11 a/g/n	0,90 MP				Igen		Igen		Li-ion	35 wattóra	4680 mAh	65 watt		Fehér	323,30 mm	11,90 mm	223,5 mm	Aspire S7	Sztereó	Igen			4.0	2 db	1 db		Igen	IPS	Igen																					
ACER S7-391-53334G25AWS 13,3" FHD Touch /Intel Core i5-3337U 1,8GHz/4GB/256GB SSD/Win8/Fehér notebook	0 Ft	1920x1080	13,3 "			Intel	Core i5	Intel Core i5-3337U (1,8 GHz, 3MB)	4,0 GB	DDR3-1600MHz	0 db	SSD	256 GB		Intel HD 4000	1,30 kg	4	Windows 8 64 bit		Intel	1 x 4	802.11 a/g/n	0,90 MP				Igen		Igen		Li-ion	35 wattóra	4680 mAh	65 watt		Fehér	323,30 mm	11,90 mm	223,5 mm	Aspire S7	Sztereó	Igen			4.0	2 db	1 db		Igen	IPS	Igen																					
ACER S7-392-54208G25TWS 13,3" WQHD Touch /Intel Core i5-4200U 1,6GHz/8GB/256GB SSD/Win8/Fehér notebook	0 Ft	2560 x 1440	13,3 "			Intel	Core i5	Intel Core i5-4200U (1,6 GHz, 3 MB)	8,0 GB	DDR3L-1600MHz	0 db	SSD	256 GB		Intel HD 4400	1,30 kg	4	Windows 8 64 bit		Intel	1 x 8	802.11 a/g/n	0,90 MP			1 db	Igen		Igen		Li-polymer	35 wattóra	4680 mAh	45 watt		Fehér	323,30 mm	11,90 mm	223,5 mm	Aspire S7	Sztereó	Igen			4.0	2 db			Igen	IPS	Igen																					
ACER S7-392-74508G25TWS 13,3" WQHD Touch /Intel Core i7-4500U 1,8GHz/8GB/256GB SSD/Win8/Fehér notebook	0 Ft	2560 x 1440	13,3 "			Intel	Core i7	Intel Core i7-4500U (1,8 GHz, 4 MB)	8,0 GB	DDR3L-1600MHz	0 db	SSD	256 GB		Intel HD 4400	1,30 kg	4	Windows 8 64 bit		Intel	1 x 8	802.11 a/g/n	0,90 MP			1 db	Igen		Igen		Li-polymer	35 wattóra	4680 mAh	45 watt		Fehér	323,30 mm	11,90 mm	223,5 mm	Aspire S7	Sztereó	Igen			4.0	2 db			Igen	IPS	Igen																					
ACER V3-531-B9702G32MAII 15,6"/Intel Pentium Dual-Core B970 2,3Hz/2GB/320GB/DVD író/Grafitszürke notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Pentium	Intel Pentium Dual-Core B970 (2,3 GHz, 2 MB)	2,0 GB	DDR3-1066MHz	2 db	HDD	320 GB	5400 rpm		2,60 kg	6	Linux	DVD Super Multi	Intel	1 x 2	802.11 b/g/n	1,30 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Lítium-ion			65 watt	Műanyag	Grafitszürke	381,60 mm	33,20 mm	253,0 mm	Aspire V3	Sztereó	Igen	Igen	39,62 cm	4.0	1 db																										
ACER V3-571G-33118G1TMAKK 15,6"/Intel Core i3-3110M 2,4GHz/8GB/1000GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Core i3	Intel Core i3-3110M (2,4 GHz, 3 MB)	8,0 GB	DDR3-1333MHz	2 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GT 630M 2GB	2,60 kg	6	Linux	DVD Super Multi	NVIDIA	2 x 4	802.11 b/g/n	1,30 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Lítium-ion			90 watt	Műanyag	Fekete	381,60 mm	33,20 mm	253,0 mm	Aspire V3	Sztereó	Igen	Igen	39,62 cm	4.0 + HS	1 db																										
Acer V3-772G-54208G1.12TMakk 17,3" FHD/Intel Core i5-4200M 2,5GHz/8GB/1000GB+120GB SSD/DVD író/fekete notebook	0 Ft	1920x1080	17,3 "		Matt	Intel	Core i5	Intel Core i5-4200M (2,5 GHz, 3MB)	8,0 GB	DDR3-1600MHz	2 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GTX 760M 2GB	3,20 kg	6	Linux	DVD író	NVIDIA	1 x 8	802.11 a/b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	48 wattóra	4400 mAh	120 watt	Műanyag	Fekete	414,80 mm	34,60 mm	275,0 mm	Aspire V3	Sztereó	Igen	Igen		4.0	2 db				TN		SSD	120 GB																			
Acer V3-772G-54208G1.12TMamm 17,3" FHD/Intel Core i5-4200M 2,5GHz/8GB/1000GB+120GB SSD/DVD író/pezsgőszín notebook	0 Ft	1920x1080	17,3 "		Matt	Intel	Core i5	Intel Core i5-4200M (2,5 GHz, 3MB)	8,0 GB	DDR3-1600MHz	2 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GT 750M 4GB	3,20 kg	6	Linux	DVD író	NVIDIA	1 x 8	802.11 a/b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	48 wattóra	4400 mAh	120 watt	Műanyag	Champagne gold	414,80 mm	34,60 mm	275,0 mm	Aspire V3	Sztereó	Igen	Igen		4.0	2 db				TN		SSD	120 GB																			
Acer V3-772G-54208G1TMakk 17,3" FHD/Intel Core i5-4200M 2,5GHz/8GB/1000GB/DVD író/fekete notebook	0 Ft	1920x1080	17,3 "		Matt	Intel	Core i5	Intel Core i5-4200M (2,5 GHz, 3MB)	8,0 GB	DDR3-1600MHz	2 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GT 750M 4GB	3,20 kg	6	Linux	DVD író	NVIDIA	1 x 8	802.11 a/b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	48 wattóra	4400 mAh	120 watt	Műanyag	Fekete	414,80 mm	34,60 mm	275,0 mm	Aspire V3	Sztereó	Igen	Igen		4.0	2 db				TN																						
Acer V3-772G-54208G1TMAKK 17,3" Full HD/Intel Core i5-4200M 2,5GHz/8GB/1000GB/DVD író/fekete notebook	0 Ft	1920x1080	17,3 "		Matt	Intel	Core i5	Intel Core i5-4200M (2,0 GHz, 3 MB)	8,0 GB	DDR3-1600MHz	2 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GTX 760M 2GB	3,20 kg	6	Linux	DVD író	NVIDIA	1 x 8	802.11 a/b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	48 wattóra	4400 mAh	120 watt	Műanyag	Fekete	414,80 mm	34,60 mm	275,0 mm	Aspire V3	Sztereó	Igen	Igen		4.0	2 db				TN																						
Acer V3-772G-747A161TMAKK 17,3" Full HD/Intel Core i7-4702MQ 2,2GHz/16GB/1000GB/DVD író/fekete notebook	0 Ft	1920x1080	17,3 "		Matt	Intel	Core i7	Intel Core i7-4702MQ (2,2 GHz, 6 MB)	16,0 GB	DDR3-1600MHz	2 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GTX 760M 2GB	3,20 kg	6	Linux	DVD író	NVIDIA	2 x 8	802.11 a/b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	48 wattóra	4400 mAh	120 watt	Műanyag	Fekete	414,80 mm	34,60 mm	275,0 mm	Aspire V3	Sztereó	Igen	Igen		4.0	2 db				TN																						
Acer V3-772G-747a161TMamm 17,3" FHD/Intel Core i7-4702MQ 2,2GHz/16GB/1000GB/DVD író/pezsgőszín notebook	0 Ft	1920x1080	17,3 "		Matt	Intel	Core i7	Intel Core i7-4702MQ (2,2 GHz, 6 MB)	16,0 GB	DDR3-1600MHz	2 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GTX 760M 2GB	3,20 kg	6	Linux	DVD író	NVIDIA	2 x 8	802.11 a/b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	48 wattóra	4400 mAh	120 watt	Műanyag	Champagne gold	414,80 mm	34,60 mm	275,0 mm	Aspire V3	Sztereó	Igen	Igen		4.0	2 db				TN																						
Acer V3-772G-747A8G1.12TMAKK 17,3" Full HD/Intel Core i7-4702MQ 2,2GHz/8GB/1000GB+120GB SSD/DVD író/fekete notebook	0 Ft	1920x1080	17,3 "		Matt	Intel	Core i7	Intel Core i7-4702MQ (2,2 GHz, 6 MB)	8,0 GB	DDR3-1600MHz	2 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GTX 760M 2GB	3,20 kg	6	Linux	DVD író	NVIDIA	1 x 8	802.11 a/b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	48 wattóra	4400 mAh	120 watt	Műanyag	Fekete	414,80 mm	34,60 mm	275,0 mm	Aspire V3	Sztereó	Igen	Igen		4.0	2 db				TN		SSD	120 GB																			
Acer V3-772G-747a8G1.12TMamm 17,3" FHD/Intel Core i7-4702MQ 2,2GHz/8GB/1000GB+120GB SSD/DVD író/pezsgőszín notebook	0 Ft	1920x1080	17,3 "		Matt	Intel	Core i7	Intel Core i7-4702MQ (2,2 GHz, 6 MB)	8,0 GB	DDR3-1600MHz	2 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GTX 760M 2GB	3,20 kg	6	Linux	DVD író	NVIDIA	1 x 8	802.11 a/b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	48 wattóra	4400 mAh	120 watt	Műanyag	Champagne gold	414,80 mm	34,60 mm	275,0 mm	Aspire V3	Sztereó	Igen	Igen		4.0	2 db				TN		SSD	120 GB																			
Acer V3-772G-747a8G1.26TMakk 17,3" FHD/Intel Core i7-4702MQ 2,2GHz/8GB/1000GB+256GB SSD/DVD író/fekete notebook	0 Ft	1920x1080	17,3 "		Matt	Intel	Core i7	Intel Core i7-4702MQ (2,2 GHz, 6 MB)	8,0 GB	DDR3-1600MHz	2 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GTX 760M 2GB	3,20 kg	6	Linux	DVD író	NVIDIA	1 x 8	802.11 a/b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	48 wattóra	4400 mAh	120 watt	Műanyag	Fekete	414,80 mm	34,60 mm	275,0 mm	Aspire V3	Sztereó	Igen	Igen		4.0	2 db				TN		SSD	256 GB																			
Acer V3-772G-747a8G1.26TMamm 17,3" FHD/Intel Core i7-4702MQ 2,2GHz/8GB/1000GB+256GB SSD/DVD író/pezsgőszín notebook	0 Ft	1920x1080	17,3 "		Matt	Intel	Core i7	Intel Core i7-4702MQ (2,2 GHz, 6 MB)	8,0 GB	DDR3-1600MHz	2 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GTX 760M 2GB	3,20 kg	6	Linux	DVD író	NVIDIA	1 x 8	802.11 a/b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	48 wattóra	4400 mAh	120 watt	Műanyag	Champagne gold	414,80 mm	34,60 mm	275,0 mm	Aspire V3	Sztereó	Igen	Igen		4.0	2 db				TN		SSD	256 GB																			
Acer V3-772G-747a8G1TMakk 17,3" FHD/Intel Core i7-4702MQ 2,2GHz/8GB/1000GB/DVD író/fekete notebook	0 Ft	1920x1080	17,3 "		Matt	Intel	Core i7	Intel Core i7-4702MQ (2,2 GHz, 6 MB)	8,0 GB	DDR3-1600MHz	2 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GT 750M 4GB	3,20 kg	6	Linux	DVD író	NVIDIA	1 x 8	802.11 a/b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	48 wattóra	4400 mAh	120 watt	Műanyag	Fekete	414,80 mm	34,60 mm	275,0 mm	Aspire V3	Sztereó	Igen	Igen		4.0	2 db				TN																						
Acer V3-772G-747A8G1TMAKK 17,3" Full HD/Intel Core i7-4702MQ 2,2GHz/8GB/1000GB/DVD író/fekete notebook	0 Ft	1920x1080	17,3 "		Matt	Intel	Core i7	Intel Core i7-4702MQ (2,2 GHz, 6 MB)	8,0 GB	DDR3-1600MHz	2 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GTX 760M 2GB	3,20 kg	6	Linux	DVD író	NVIDIA	1 x 8	802.11 a/b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	48 wattóra	4400 mAh	120 watt	Műanyag	Fekete	414,80 mm	34,60 mm	275,0 mm	Aspire V3	Sztereó	Igen	Igen		4.0	2 db				TN																						
Acer V5-132P-3322Y4G50NSS 11,6" Multi-touch/Intel Core i3-3229Y 1,4GHz/4GB/500GB/Win8/ezüst notebook	0 Ft	1366x768	11,6 "		fényes	Intel	Core i3	Intel Core i3-3229Y (1,4 GHz, 3MB)	4,0 GB	DDR3-1600MHz	1 db	HDD	500 GB	5400 rpm	Intel HD Graphics	1,38 kg	3	Windows 8 64 bit		Intel	2 x 2	802.11 b/g/n	1,30 MP	1 db			Igen		Igen	Igen	Lítium-ion	30 wattóra	2640 mAh	40 watt	Műanyag	Ezüst	289,00 mm	21,00 mm	206,0 mm	Aspire V5	sztereó	Igen			4.0 + HS	1 db			Igen																							
Acer V5-171-33214G50ASS 11,6"/Intel Core i3 3217U 1,8GHz/4GB/500GB/ezüst notebook	0 Ft	1366x768	11,6 "		Matt	Intel	Core i3	Intel Core i3-3217U (1,8 GHz, 3 MB)	4,0 GB	DDR3-1600MHz	2 db	HDD	500 GB	5400 rpm	Intel HD Graphics	1,38 kg	4	Linux		Intel	1 x 4	802.11 a/b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	37 wattóra	2500 mAh	40 watt	Műanyag	Ezüst	285,00 mm	20,90 mm	202,0 mm	Aspire V5	Sztereó	Igen			4.0	1 db				TN																						
Acer V5-171-53334G50ASS 11,6"/Intel Core i5 3337U 1,8GHz/4GB/500GB/ezüst notebook	0 Ft	1366x768	11,6 "		Matt	Intel	Core i5	Intel Core i5-3337U (1,8 GHz, 3MB)	4,0 GB	DDR3-1600MHz	2 db	HDD	500 GB	5400 rpm	Intel HD Graphics	1,38 kg	4	Linux		Intel	1 x 4	802.11 a/b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	37 wattóra	2500 mAh	40 watt	Műanyag	Ezüst	285,00 mm	20,90 mm	202,0 mm	Aspire V5	Sztereó	Igen			4.0	1 db				TN																						
ACER V5-431-10074G50MAUU 14"/Intel Celeron Dual-Core 1007U 1,5GHz/4GB/500GB/DVD író/Lila notebook	0 Ft	1366x768	14,0 "		fényes	Intel	Celeron Dual-Core	Intel Celeron Dual-Core 1007U (1,5 GHz, 2 MB)	4,0 GB	DDR3-1066MHz	2 db	HDD	500 GB	5400 rpm	Intel HD Graphics	2,10 kg	4	Linux	DVD író	Intel	2 x 2	802.11 b/g/n	1,30 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Lítium-ion	37 wattóra	2500 mAh	65 watt	Műanyag	Lila	342,00 mm	23,00 mm	245,0 mm	Aspire V5	sztereó	Igen			4.0 + HS	1 db																										
ACER V5-431-987B4G50MABB 14"/Intel Pentium Dual-Core 987 1,5GHz/4GB/500GB/DVD író/Kék notebook	0 Ft	1366x768	14,0 "		fényes	Intel	Pentium	Intel Pentium Dual-Core 987 ULV (1,5 GHz, 2 MB)	4,0 GB	DDR3-1066MHz	2 db	HDD	500 GB	5400 rpm	Intel HD Graphics	2,10 kg	4	Linux	DVD író	Intel	2 x 2	802.11 b/g/n	1,30 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Lítium-ion	37 wattóra	2500 mAh	65 watt	Műanyag	Kék	342,00 mm	23,00 mm	245,0 mm	Aspire V5	sztereó	Igen			4.0 + HS	1 db			Igen																							
ACER V5-573-34014G50AMM 15,6"/Intel Core i3 4010U 1,7GHz/4GB/500GB/pezsgőszín notebook	0 Ft	1366x768	15,6 "		Matt	Intel	Core i3	Intel Core i3-4010U (1,7 GHz, 3 MB)	4,0 GB	DDR3-1600MHz	1 db	HDD	500 GB	5400 rpm	Intel HD 4400	2,00 kg	4	Linux		Intel	1 x 4	802.11 a/b/g/n	0,90 MP	2 db		1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-polymer	53 wattóra	3560 mAh	65 watt	Magnézium	Champagne gold	381,60 mm	20,70 mm	226,0 mm	Aspire V5	Sztereó	Igen	Igen		4.0	1 db		Acer Converter (VGA)		TN																						
Acer V5-573-54204G1TAMM 15,6"/Intel Core i5-4200U 1,6GHz/4GB/1000GB/pezsgőszín notebook	0 Ft	1366x768	15,6 "		Matt	Intel	Core i5	Intel Core i5-4200U (1,6 GHz, 3 MB)	4,0 GB	DDR3-1600MHz	1 db	HDD	1000 GB	5400 rpm	Intel HD 4400	2,00 kg	4	Linux		Intel	1 x 4	802.11 a/b/g/n	0,90 MP	2 db		1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-polymer	53 wattóra	3560 mAh	65 watt	Műanyag	Champagne gold	381,60 mm	20,70 mm	226,0 mm	Aspire V5	Sztereó	Igen	Igen		4.0	1 db		Acer Converter (VGA)		TN																						
Acer V5-573G-34014G1TAKK 15,6"/Intel Core i3-4010U 1,7GHz/4GB/1000GB/fekete notebook	0 Ft	1366x768	15,6 "		Matt	Intel	Core i3	Intel Core i3-4010U (1,7 GHz, 3 MB)	4,0 GB	DDR3-1600MHz	1 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GT 720M 2GB	2,00 kg	4	Linux		NVIDIA	1 x 4	802.11 a/b/g/n	0,90 MP	2 db		1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-polymer	53 wattóra	3560 mAh	90 watt	Műanyag	Fekete	381,60 mm	20,70 mm	226,0 mm	Aspire V5	Sztereó	Igen	Igen		4.0	1 db		Acer Converter (VGA)		TN																						
Acer V5-573G-54204G1Taii 15,6" FHD IPS/Intel Core i5-4200U 1,6GHz/4GB/1000GB/Acélszürke notebook	0 Ft	1920x1080	15,6 "		Matt	Intel	Core i5	Intel Core i5-4200U (1,6 GHz, 3 MB)	4,0 GB	DDR3-1600MHz	1 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GT 750M 4GB	2,00 kg	4	Linux		NVIDIA	1 x 4	802.11 a/b/g/n	0,90 MP	2 db		1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-polymer	53 wattóra	3560 mAh	90 watt	Műanyag	Acélszürke	381,60 mm	20,70 mm	226,0 mm	Aspire V5	Sztereó	Igen	Igen		4.0	1 db		Acer Converter (VGA)	Igen	IPS																						
Acer V5-573G-54204G1TAKK 15,6"/Intel Core i5-4200U 1,6GHz/4GB/1000GB/fekete notebook	0 Ft	1366x768	15,6 "		Matt	Intel	Core i5	Intel Core i5-4200U (1,6 GHz, 3 MB)	4,0 GB	DDR3-1600MHz	1 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GT 720M 2GB	2,00 kg	4	Linux		NVIDIA	1 x 4	802.11 a/b/g/n	0,90 MP	2 db		1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-polymer	53 wattóra	3560 mAh	90 watt	Műanyag	Fekete	381,60 mm	20,70 mm	226,0 mm	Aspire V5	Sztereó	Igen	Igen		4.0	1 db		Acer Converter (VGA)		TN																						
Acer V5-573G-74508G1Taii 15,6" FHD IPS/Intel Core i7-4500U 1,8GHz/8GB/1000GB/acélszürke notebook	0 Ft	1920x1080	15,6 "		Matt	Intel	Core i7	Intel Core i7-4500U (3.0 GHz, 4 MB)	8,0 GB	DDR3-1600MHz	1 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GT 750M 4GB	2,00 kg	4	Linux		NVIDIA	2 x 4	802.11 a/b/g/n	0,90 MP	2 db		1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-polymer	53 wattóra	3560 mAh	90 watt	Műanyag	Acélszürke	381,60 mm	20,70 mm	226,0 mm	Aspire V5	Sztereó	Igen	Igen		4.0	1 db		Acer Converter (VGA)	Igen	IPS																						
Acer V7-581G-53334G1.02TAKK 15,6"/Intel Core i5-3337U 1,8GHz/4GB/1000GB+CacheSSD/Win8 notebook	0 Ft	1366x768	15,6 "		Matt	Intel	Core i5	Intel Core i5-3337U (1,8 GHz, 3MB)	4,0 GB	DDR3-1600MHz	1 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GT 720M 2GB	2,00 kg	4	Windows 8 64 bit		NVIDIA	1 x 4	802.11 a/b/g/n	0,90 MP	2 db		1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-polymer	53 wattóra	3560 mAh	90 watt		Fekete	381,60 mm	20,80 mm	256,0 mm	Aspire V7	Sztereó	Igen	Igen		4.0	1 db		Acer Converter (VGA)		TN																						
Acer V7-581G-53334G12AKK 15,6" Full HD IPS/Intel Core i5-3337U 1,8GHz/4GB/120GB SSD/Win8 notebook	0 Ft	1920x1080	15,6 "		Matt	Intel	Core i5	Intel Core i5-3337U (1,8 GHz, 3MB)	4,0 GB	DDR3-1600MHz	1 db	SSD	120 GB		NVIDIA GeForce GT 720M 2GB	2,00 kg	4	Windows 8 64 bit		NVIDIA	1 x 4	802.11 a/b/g/n	0,90 MP	2 db		1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-polymer	53 wattóra	3560 mAh	90 watt		Fekete	381,60 mm	20,80 mm	256,0 mm	Aspire V7	Sztereó	Igen	Igen		4.0	1 db		Acer Converter (VGA)		IPS																						
