TermékNév	Ár	TFT Felb.	TFT Méret	TFT Típus	TFT Arány	CPU Gyártó	CPU Család	CPU Típus	RAM Méret	RAM	RAM Slot	HDD	HDD Méret	HDD Seb.	GPU	Súly	Akku cella	OS	ODD	Chipset	RAM Modul	WLAN	Kamera Felb.	USB	VGA ki	HDMI	Audio	LAN	CR	Kensington	Technológia	Tárolt energia	Elektromos töltés	AC	Anyag	Szín	Széles	Magas	Mély	Család	Hangszóró	Mikrofon	Bill. num	Képátló	BT	USB 3	Micro HDMI ki	Egyéb	Billentyűzet világítás	Panel típus	Érintőkijelző	HDD 2	HDD 2 Méret	TPM	Egér	MSATA Foglalat	Egyéb szín	3D Technológia	Pixelhiba	DisplayPort ki	eSATA ki	ExpressCard	Ujjlenyomat olvasó	HDD leejtés védelem	Dokkolható	Tanúsítvány(ok)	Vezeték nélküli kapcsolat	Soros	TB	Mini DisplayPort ki	WiDi
Acer E1-530-21174G75MNKK 15,6"/Intel Pentium 2117U 1,8GHz/4GB/750GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Pentium	Intel Pentium Dual-Core 2117U (1,8 GHz, 2 MB)	4,0 GB	DDR3-1600MHz	1 db	HDD	750 GB	5400 rpm	Intel HD Graphics	2,35 kg	4	Linux	DVD író	Intel	1 x 4	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	37 wattóra	2500 mAh	65 watt	Műanyag	Fekete	381,60 mm	25,30 mm	256,0 mm	Aspire E1	Sztereó	Igen	Igen		Van	1 db				TN																						
Acer E1-530-21174G75MNKK 15,6"/Intel Pentium 2117U 1,8GHz/4GB/750GB/DVD író/Win8/Fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Pentium	Intel Pentium Dual-Core 2117U (1,8 GHz, 2 MB)	4,0 GB	DDR3-1600MHz	1 db	HDD	750 GB	5400 rpm	Intel HD Graphics	2,35 kg	4	Windows 8 64 bit	DVD író	Intel	1 x 4	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	37 wattóra	2500 mAh	65 watt	Műanyag	Fekete	381,60 mm	25,30 mm	256,0 mm	Aspire E1	Sztereó	Igen	Igen		Van	1 db				TN																						
Acer E1-530-21178G1TMNKK 15,6"/Intel Pentium 2117U 1,8GHz/8GB/1000GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Pentium	Intel Pentium Dual-Core 2117U (1,8 GHz, 2 MB)	8,0 GB	DDR3-1600MHz	1 db	HDD	1000 GB	5400 rpm	Intel HD Graphics	2,35 kg	4	Linux	DVD író	Intel	1 x 8	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	37 wattóra	2500 mAh	65 watt	Műanyag	Fekete	381,60 mm	25,30 mm	256,0 mm	Aspire E1	Sztereó	Igen	Igen		Van	1 db				TN																						
Acer E1-530G-21174G1TMNKK 15,6"/Intel Pentium 2117U 1,8GHz/4GB/1000GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Pentium	Intel Pentium Dual-Core 2117U (1,8 GHz, 2 MB)	4,0 GB	DDR3-1600MHz	1 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GT 720M 1GB	2,35 kg	4	Linux	DVD író	NVIDIA	1 x 4	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	37 wattóra	2500 mAh	65 watt	Műanyag	Fekete	381,60 mm	25,30 mm	256,0 mm	Aspire E1	Sztereó	Igen	Igen		Van	1 db				TN																						
Acer E1-530G-21174G50Mnkk 15,6"/Intel Pentium 2117U 1,8GHz/4GB/500GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6 "		fényes	Intel	Pentium	Intel Pentium Dual-Core 2117U (1,8 GHz, 2 MB)	4,0 GB	DDR3-1333MHz	2 db	HDD	500 GB	5400 rpm	NVIDIA GeForce GT 720M 1GB	2,50 kg	4	Linux	DVD író	NVIDIA	1 x 4	802.11 b/g/n	1,30 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Lítium-ion			65 watt	Műanyag	Fekete	381,60 mm	33,20 mm	253,0 mm	Aspire E1	sztereó	Igen	Igen																													
Acer E1-530G-21174G75MNKK 15,6"/Intel Pentium 2117U 1,8GHz/4GB/750GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Pentium	Intel Pentium Dual-Core 2117U (1,8 GHz, 2 MB)	4,0 GB	DDR3-1600MHz	1 db	HDD	750 GB	5400 rpm	NVIDIA GeForce GT 720M 1GB	2,35 kg	4	Linux	DVD író	NVIDIA	1 x 4	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	37 wattóra	2500 mAh	65 watt	Műanyag	Fekete	381,60 mm	25,30 mm	256,0 mm	Aspire E1	Sztereó	Igen	Igen		Van	1 db				TN																						
Acer E1-530G-21174G75MNKK 15,6"/Intel Pentium 2117U 1,8GHz/4GB/750GB/DVD író/Win8/Fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Pentium	Intel Pentium Dual-Core 2117U (1,8 GHz, 2 MB)	4,0 GB	DDR3-1600MHz	1 db	HDD	750 GB	5400 rpm	NVIDIA GeForce GT 720M 1GB	2,35 kg	4	Windows 8 64 bit	DVD író	NVIDIA	1 x 4	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	37 wattóra	2500 mAh	65 watt	Műanyag	Fekete	381,60 mm	25,30 mm	256,0 mm	Aspire E1	Sztereó	Igen	Igen		Van	1 db				TN																						
Acer E1-530G-21178G1TMNKK 15,6"/Intel Pentium 2117U 1,8GHz/8GB/1000GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Pentium	Intel Pentium Dual-Core 2117U (1,8 GHz, 2 MB)	8,0 GB	DDR3-1600MHz	1 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GT 720M 1GB	2,35 kg	4	Linux	DVD író	NVIDIA	1 x 8	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	37 wattóra	2500 mAh	65 watt	Műanyag	Fekete	381,60 mm	25,30 mm	256,0 mm	Aspire E1	Sztereó	Igen	Igen		Van	1 db				TN																						
ACER E1-531-10004G50MNRR 15,6"/Intel Celeron Dual-Core 1000M 1,8GHz/4GB/500GB/DVD író/Piros notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Celeron Dual-Core	Intel Celeron Dual-Core 1000M (1,8 GHz, 2 MB)	4,0 GB		2 db	HDD	500 GB	5400 rpm	Intel HD Graphics	2,50 kg	6	Linux	DVD író	Intel	1 x 4	802.11 b/g/n	1,30 MP	3 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion			65 watt	Műanyag	Piros	381,60 mm	33,20 mm	253,0 mm	Aspire E1	Sztereó	Igen	Igen																													
Acer E1-531-20204G50MNKS 15,6"/Intel Pentium 2020M 2,4GHz/4GB/500GB/DVD író notebook	0 Ft	1366x768	15,6 "		fényes	Intel	Pentium	Intel Pentium Dual-Core 2020M (2,4 GHz, 2 MB)	4,0 GB	DDR3-1333MHz	2 db	HDD	500 GB	5400 rpm	Intel HD Graphics	2,50 kg	6	Linux	DVD író	Intel	1 x 4	802.11 b/g/n	1,30 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Lítium-ion	48 wattóra	4400 mAh	65 watt	Műanyag	Fekete	381,60 mm	33,20 mm	253,0 mm	Aspire E1	sztereó	Igen	Igen																													
Acer E1-531-20208G1TMNKS 15,6"/Intel Pentium 2020M 2,4GHz/8GB/1000GB/DVD író notebook	0 Ft	1366x768	15,6 "		fényes	Intel	Pentium	Intel Pentium Dual-Core 2020M (2,4 GHz, 2 MB)	8,0 GB	DDR3-1333MHz	2 db	HDD	1000 GB	5400 rpm	Intel HD Graphics	2,50 kg	6	Linux	DVD író	Intel	2 x 4	802.11 b/g/n	1,30 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Lítium-ion	48 wattóra	4400 mAh	65 watt	Műanyag	Fekete	381,60 mm	33,20 mm	253,0 mm	Aspire E1	sztereó	Igen	Igen																													
Acer E1-532-29554G50MNKK 15,6"/Intel Celeron Dual-Core 2955U 1,4GHz/4GB/500GB/DVD író/fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Celeron	Intel Celeron 2955U (1,4 GHz, 2 MB)	4,0 GB	DDR3-1600MHz	1 db	HDD	500 GB	5400 rpm	Intel HD Graphics	2,35 kg	4	Linux	DVD író	Intel	1 x 4	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	37 wattóra	2500 mAh	65 watt	Műanyag	Fekete	381,60 mm	25,30 mm	256,0 mm	Aspire E1	Sztereó	Igen	Igen		Van	1 db				TN																						
Acer E1-532-29554G50MNRR 15,6"/Intel Celeron Dual-Core 2955U 1,4GHz/4GB/500GB/DVD író/piros notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Celeron	Intel Celeron 2955U (1,4 GHz, 2 MB)	4,0 GB	DDR3-1600MHz	1 db	HDD	500 GB	5400 rpm	Intel HD Graphics	2,35 kg	4	Linux	DVD író	Intel	1 x 4	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	37 wattóra	2500 mAh	65 watt	Műanyag	Piros	381,60 mm	25,30 mm	256,0 mm	Aspire E1	Sztereó	Igen	Igen		Van	1 db				TN																						
Acer E1-570-33214G50Mnkk 15,6"/Intel Core i3-3217U 1,8GHz/4GB/500GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Core i3	Intel Core i3-3217U (1,8 GHz, 3 MB)	4,0 GB	DDR3-1600MHz	2 db	HDD	500 GB	5400 rpm	Intel HD 4000	2,35 kg	4	Linux	DVD író	Intel	1 x 4	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	37 wattóra	2500 mAh	65 watt	Műanyag	Fekete	381,60 mm	25,30 mm	256,0 mm	Aspire E1	Sztereó	Igen	Igen		Van	1 db				TN																						
Acer E1-570-33214G50Mnkk 15,6"/Intel Core i3-3217U 1,8GHz/4GB/500GB/DVD író/Win8/Fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Core i3	Intel Core i3-3217U (1,8 GHz, 3 MB)	4,0 GB	DDR3-1600MHz	2 db	HDD	500 GB	5400 rpm	Intel HD 4000	2,35 kg	4	Windows 8 64 bit	DVD író	Intel	1 x 4	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	37 wattóra	2500 mAh	65 watt	Műanyag	Fekete	381,60 mm	25,30 mm	256,0 mm	Aspire E1	Sztereó	Igen	Igen		Van	1 db				TN																						
Acer E1-570G-33214G1TMNKK 15,6"/Intel Core i3-3217U 1,8GHz/4GB/1000GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Core i3	Intel Core i3-3217U (1,8 GHz, 3 MB)	4,0 GB	DDR3-1600MHz	2 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GT 740M 2GB	2,35 kg	4	Linux	DVD író	NVIDIA	1 x 4	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	37 wattóra	2500 mAh	65 watt	Műanyag	Fekete	381,60 mm	25,30 mm	256,0 mm	Aspire E1	Sztereó	Igen	Igen		Van	1 db				TN																						
Acer E1-570G-33214G50MNKK 15,6"/Intel Core i3-3217U 1,8GHz/4GB/500GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Core i3	Intel Core i3-3217U (1,8 GHz, 3 MB)	4,0 GB	DDR3-1600MHz	2 db	HDD	500 GB	5400 rpm	NVIDIA GeForce GT 720M 1GB	2,35 kg	4	Linux	DVD író	NVIDIA	1 x 4	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	37 wattóra	2500 mAh	65 watt	Műanyag	Fekete	381,60 mm	25,30 mm	256,0 mm	Aspire E1	Sztereó	Igen	Igen		Van	1 db				TN																						
Acer E1-570G-53334G1TMNKK 15,6"/Intel Core i5-3337U 1,8GHz/4GB/1000GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Core i5	Intel Core i5-3337U (1,8 GHz, 3MB)	4,0 GB	DDR3-1600MHz	2 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce GT 740M 2GB	2,35 kg	4	Linux	DVD író	NVIDIA	1 x 4	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	37 wattóra	2500 mAh	65 watt	Műanyag	Fekete	381,60 mm	25,30 mm	256,0 mm	Aspire E1	Sztereó	Igen	Igen		Van	1 db				TN																						
Acer E1-570G-53336G75MNKK 15,6"/Intel Core i5-3337U 1,8GHz/6GB/750GB/DVD író/Win8/Fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Core i5	Intel Core i5-3337U (1,8 GHz, 3MB)	6,0 GB	DDR3-1600MHz	2 db	HDD	750 GB	5400 rpm	NVIDIA GeForce GT 740M 2GB	2,35 kg	4	Windows 8 64 bit	DVD író	NVIDIA	4 + 2	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	37 wattóra	2500 mAh	65 watt	Műanyag	Fekete	381,60 mm	25,30 mm	256,0 mm	Aspire E1	Sztereó	Igen	Igen		Van	1 db				TN																						
ACER E1-571-33114G50MAKS 15,6"/Intel Core i3-3110M 2,4GHz/4GB/500GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Core i3	Intel Core i3-3110M (2,4 GHz, 3 MB)	4,0 GB	DDR3-1600MHz	2 db	HDD	500 GB	5400 rpm	Intel HD Graphics	2,50 kg	6	Linux	DVD író	Intel	1 x 4	802.11 a/b/g/n	0,90 MP	3 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	48 wattóra	4400 mAh		Műanyag	Fekete	381,60 mm	33,20 mm	253,0 mm	Aspire E1	Sztereó	Igen	Igen		4.0					TN																						
Acer E1-571-33114G75MNKS 15,6"/Intel Core i3-3110M 2,4GHz/4GB/750GB/DVD író notebook	0 Ft	1366x768	15,6 "		fényes	Intel	Core i3	Intel Core i3-3110M (2,4 GHz, 3 MB)	4,0 GB	DDR3-1333MHz	2 db	HDD	750 GB	5400 rpm	Intel HD Graphics	2,50 kg	6	Linux	DVD író	Intel	1 x 4	802.11 b/g/n	1,30 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Lítium-ion	48 wattóra	4400 mAh	65 watt	Műanyag	Fekete	381,60 mm	33,20 mm	253,0 mm	Aspire E1	sztereó	Igen	Igen		4.0 + HS																											
Acer E1-571-33118G1TMNKS 15,6"/Intel Core i3-3110M 2,4GHz/8GB/1000GB/DVD író notebook	0 Ft	1366x768	15,6 "		fényes	Intel	Core i3	Intel Core i3-3110M (2,4 GHz, 3 MB)	8,0 GB	DDR3-1333MHz	2 db	HDD	1000 GB	5400 rpm	Intel HD Graphics	2,50 kg	6	Linux	DVD író	Intel	2 x 4	802.11 b/g/n	1,30 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Lítium-ion	48 wattóra	4400 mAh	65 watt	Műanyag	Fekete	381,60 mm	33,20 mm	253,0 mm	Aspire E1	sztereó	Igen	Igen																													
Acer E1-572G-74504G1TMNII 15,6"/Intel Core i7-4500U 1,8GHz/4GB/1000GB/DVD író notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Core i7	Intel Core i7-4500U (1,8 GHz, 4 MB)	4,0 GB	DDR3-1600MHz	2 db	HDD	1000 GB	5400 rpm	AMD Radeon HD 8750M 2GB GDDR3	2,35 kg	4	Linux	DVD író	AMD	1 x 4	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	37 wattóra	2500 mAh	65 watt	Műanyag	Acélszürke	381,60 mm	25,30 mm	256,0 mm	Aspire E1	Sztereó	Igen	Igen		Van	1 db				TN																						
Acer E1-572G-74508G1TMNKK 15,6"/Intel Core i7-4500U 1,8GHz/8GB/1000GB/DVD író/fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Core i7	Intel Core i7-4500U (1,8 GHz, 4 MB)	8,0 GB	DDR3-1600MHz	2 db	HDD	1000 GB	5400 rpm	AMD Radeon HD 8750M 2GB GDDR3	2,35 kg	4	Linux	DVD író	AMD	2 x 4	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	37 wattóra	2500 mAh	65 watt	Műanyag	Fekete	381,60 mm	25,30 mm	256,0 mm	Aspire E1	Sztereó	Igen	Igen		Van	1 db				TN																						
Acer E1-731-20204G1TMNII 17,3"/Intel Pentium 2020M 2,4GHz/4GB/1000GB/DVD író/Acélszürke notebook	0 Ft	1600x900	17,3 "		Fényes	Intel	Pentium	Intel Pentium Dual-Core 2020M (2,4 GHz, 2 MB)	4,0 GB	DDR3L-1600MHz	2 db	HDD	1000 GB	5400 rpm	Intel HD Graphics	3,20 kg	6	Linux	DVD író	Intel	1 x 4	802.11 b/g/n	0,90 MP	1 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	48 wattóra	4400 mAh	65 watt		Acélszürke	414,80 mm	34,60 mm	275,0 mm	Aspire E1	Sztereó	Igen	Igen		Van	2 db				TN																						
Acer E1-771G-33124G1TMNII 17,3"/Intel Core i3-3120M 2,5GHz/4GB/1000GB/DVD író notebook	0 Ft	1600x900	17,3 "		Fényes	Intel	Core i3	Intel Core i3-3120M (2,5 GHz, 3MB)	4,0 GB	DDR3-1600MHz	2 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce 710M 2GB	3,20 kg	6	Linux	DVD író	NVIDIA	1 x 4	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	48 wattóra	4400 mAh	90 watt	Műanyag	Acélszürke	414,80 mm	34,60 mm	275,0 mm	Aspire E1	Sztereó	Igen	Igen		Van	1 db				TN																						
Acer E1-771G-53234G1TMNII 17,3"/Intel Core i5-3230M 2,6GHz/4GB/1000GB/DVD író notebook	0 Ft	1600x900	17,3 "		Fényes	Intel	Core i5	Intel Core i5-3230M (2,6 GHz, 3MB)	4,0 GB	DDR3-1600MHz	2 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce 710M 2GB	3,20 kg	6	Linux	DVD író	NVIDIA	1 x 4	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Li-ion	48 wattóra	4400 mAh	90 watt	Műanyag	Acélszürke	414,80 mm	34,60 mm	275,0 mm	Aspire E1	Sztereó	Igen	Igen		Van	1 db				TN																						
