TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	ODD	Gar.	Akku	OS	Egyéb	Állapot	Szín	BT	USB	CR	Bill.	TV ki	Touchpad	WLAN	FW	LAN	Modem	PCMCIA	Portok	Család	Modell	Dokk	Kamera	Kategória	Bill. Num	HDMI	ExpressCard	Külső táskaméret	FP	3G kártyahely	eSata
Asus laptophoz +4 GB memória bővítés felára	7874 Ft										Egyéb	Új																										
Fujitsu LifeBook A531 CL NoOs	78661 Ft	15.6ʺ HD (1366x768)	Celeron B815 (1600)	2048 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.		Új	fekete	van	3 db	3 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook	Lifebook A		van	Első noteszgépem	van	van	van					
Acer AS E1-532-29552G50Mnkk Blk Win8.1	78661 Ft	15.6ʺ HD fényes	Celeron 2955U (1400)	2048 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4 cellás	Windows 8.1 32Bit		Új	fekete	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem	van	van						
Acer V5-431-987B4G50Mau Purple LX 2Y ACNVB	78661 Ft	14ʺ HD LED (1366x768)	Pentium 987 (1500)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4 cellás	nincs (L)		Új	lila	4.0	1x3.0.2x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Aspire			van	Első noteszgépem		van						
ThinkPad R61i	79900 Ft	15.4ʺ WXGA (matt)	Core2 Duo T5500 (1660)	2048 MB	60 GB	Intel 940GM integrált	DVDRW	3 nap		WinXP Prof. Eng.		Használt	fekete	van	3 db		angol		Track point	b/g 54mbps		10/100	van	van	VGA	ThinkPad	ThinkPad R											
Toshiba Satellite A200-1N2	79900 Ft	15.4ʺ WXGA	Core2 Duo T5250 (1500)	3072 MB	120 GB	128 MB Intel GMA X3100 osztott	DVDRW	3 nap		Win Vista Home Prem 64bit HUN		Használt	kék		4 db	3 in 1	magyar	S-Video	Touch pad	b/g 54mbps	van	10/100	van		VGA	Satellite	Satellite A		van				van					
ThinkPad X61s	79900 Ft	12ʺ TFT XGA	Core2 Duo L7500 (1600/FSB800)	2048 MB	120 GB	Intel GMA 950	nincs optikai meghajtó	3 nap		WinXP Prof. Eng.		Használt	fekete		3 db	SD card	angol		Track point + Touch pad	b/g 54mbps	van	10/100	van	van	VGA	ThinkPad	ThinkPad X	van	van						van			
Packard Bell TV11-HC-B964G75Mnks LX 8GB	80267 Ft	15.6ʺ HD LED (1366x768)	Pentium B960 (2200)	8192 (DDR3) MB	750 GB	Intel HD Graphics	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs (L)		Új	fekete		3 db	5 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem	van	van						
Dell Inspiron 3521-HA1 Black LX	81811 Ft	15.6ʺ HD LED (1366x768)	Pentium 2127U (1900)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW +/-	3 év	4 cellás	nincs (L)		Új	fekete	4.0	2x3.0.2x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100				Inspiron			van	Első noteszgépem	van	van						
HP Renew 630 A1E16EAR#ABZ	81890 Ft	15.6ʺ HD LED matt	Core i3 370M (2400)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW +/- DL	1 év	6 cellás	nincs (F)		Újracsomagolt	champagne	van	3 db	5 in 1	egyéb		Multi-touch	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem		van						
Fujitsu LifeBook A531 CL NoOs 4GB	82598 Ft	15.6ʺ HD (1366x768)	Celeron B815 (1600)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.		Új	fekete	van	3 db	3 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook	Lifebook A		van	Első noteszgépem	van	van	van					
Samsung NP270E5V-K02HU Black FD NVB	82598 Ft	15.6ʺ HD LED matt	Pentium 2117U (1800)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs (F)		Új	fekete	4.0	3 db	SD card	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	Samsung	Samsung N		van	Első noteszgépem	van	van						
Acer V5-431-987B4G50Mas SIL LX 2Y SW/XSR ACNVB	82598 Ft	14ʺ HD LED (1366x768)	Pentium 987 (1500)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4 cellás	nincs (L)		Új	ezüst	4.0	1x3.0.2x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem		van						
