TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	ODD	Gar.	Akku	OS	Egyéb	Állapot	Szín	BT	USB	CR	Bill.	TV ki	Touchpad	WLAN	FW	LAN	Modem	PCMCIA	Portok	Család	Modell	Dokk	Kamera	Kategória	Bill. Num	HDMI	ExpressCard	Külső táskaméret	FP	3G kártyahely	eSata
Asus laptophoz +4 GB memória bővítés felára	7874 Ft										Egyéb	Új																										
Asus X550CC-XX191D i3 Red FD	98346 Ft	15.6ʺ HD fényes	Core i3 3217U (1800)	4096 (DDR3) MB	500 GB	2048 MB NVIDIA GF GT720M	DVDRW SM	2 év	4 cellás	nincs (F)		Új	piros	4.0	1x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Multimédia	van	van						
Asus X550CC-XO072D i3 Grey FD	98346 Ft	15.6ʺ HD LED fényes	Core i3 3217U (1800)	4096 (DDR3) MB	500 GB	2048 MB NVIDIA GF GT720M	DVDRW SM	2 év	4 cellás	nincs (F)		Új	szürke	4.0	1x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Multimédia	van	van						
Fujitsu LifeBook A512 VUK SW NOS 3Y Clip19/R 8GB	98346 Ft	15.6ʺ HD LED matt	Pentium B960 (2200)	8192 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.		Új	fekete	3.0	3 db	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook	Lifebook A		van	Első noteszgépem	van	van	van					
Asus X550CC-XX276D i3 White FD	98346 Ft	15.6ʺ HD LED (1366x768)	Core i3 3217U (1800)	4096 (DDR3) MB	500 GB	2048 MB NVIDIA GF GT720M	DVDRW SM	2 év	4 cellás	nincs (F)		Új	fehér	4.0	1x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Multimédia	van	van						
Asus S200E-CT161H Grey W8	102283 Ft	11.6ʺ HD LED Multi Touch	Pentium 987 (1500)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	No ODD	2 év	2 cellás	Windows 8 64Bit		Új	szürke	van	1x3.0.2x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem		van						
Fujitsu LifeBook A532 i3 2Y NoOs	102283 Ft	15.6ʺ HD LED matt	Core i3 2370M (2400)	4096 (DDR3) MB	320 GB	Intel HD Graphics 3000	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs op. rsz.		Új	fekete	van	3x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook	Lifebook A		van	Első noteszgépem	van	van	van			Előkészítés modem nélkül		
Dell Inspiron 3721-8 Black LX	102283 Ft	17.3ʺ HD+ TL (1600x900)	Pentium 2127U (1900)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW +/-	3 év	4 cellás	nincs (L)		Új	fekete	4.0	2x3.0.2x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100				Inspiron			van	Első noteszgépem	van	van						
HP 250 H6Q59EA Win7	102283 Ft	15.6ʺ HD LED matt	Pentium 2020M (2400)	4096 (DDR3) MB	750 GB	Intel HD Graphics	DVDRW +/- DL	2 év	6 cellás	Windows7 HomePrem 64 HUN		Új	ezüstszürke	4.0	3 db	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem		van		Ajándék táska				
Asus S200E-CT206H Graphite W8 ASNVB	102283 Ft	11.6ʺ HD LED Multi Touch	Core i3 2365M (1400)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	No ODD	2 év	2 cellás	Windows 8 64Bit		Új	fekete	van	1x3.0.2x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem		van						
Fujitsu LifeBook A512 VUK SW NOS 3Y Clip12/P 8GB	102283 Ft	15.6ʺ HD LED matt	Pentium B960 (2200)	8192 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.		Új	fekete	3.0	3 db	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook	Lifebook A		van	Első noteszgépem	van	van	van					
Lenovo IdeaPad U510 Grey 59-393097 FD LNVB2	102283 Ft	15.6ʺ HD LED (1366x768)	Core i3 3217U (1800)	4096 (DDR3) MB	1000 GB	Intel HD Graphics 4000	DVDRW SM	2 év	3 cellás (extended)	nincs (F)		Új	szürke	4.0	1x3.0.2x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100				IdeaPad	IdeaPad U		van	Első noteszgépem	van	van						
Lenovo B590 Black 59-389652 FD	102283 Ft	15.6ʺ HD LED matt	Core i3 3110M (2400)	4096 (DDR3) MB	1000 GB	1024 MB NVIDIA GF GT 720M	DVDRW SM	2 év	6 cellás	nincs (F)		Új	fekete	4.0	2x3.0.2x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Multimédia	van	van			van			
Acer AS V5-122P-42154G50nbb Blue W8	102283 Ft	11.6ʺ HD LED Multi Touch	AMD A4-1250 (1000)	4096 (DDR3) MB	500 GB	AMD Radeon HD 8210	No ODD	2 év	3 cellás	Windows 8 64Bit HUN		Új	kék	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem								
Asus S200E-CT249H Pink W8 ASNVB	102283 Ft	11.6ʺ HD LED Multi Touch	Core i3 2365M (1400)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	No ODD	2 év	2 cellás	Windows 8 64Bit		Új	rózsaszín	van	1x3.0.2x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem		van						
Dell Inspiron 3721-HA2L Black LX	102283 Ft	17.3ʺ HD+ TL (1600x900)	Pentium 2127U (1900)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW +/-	3 év	4 cellás	nincs (L)		Új	fekete	4.0	2x3.0.2x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100							van	Első noteszgépem	van	van						
Dell Inspiron 3521-27 Black i3 LX +tok DNVB3	102283 Ft	15.6ʺ HD LED TL (1366x768)	Core i3 3217U (1800)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)		Új	fekete	4.0	2x3.0.2x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100				Inspiron			van	Multimédia	van	van						
Lenovo IdeaPad S300 Silver 59-350165 FD	102283 Ft	13.3ʺ HD LED (1366x768)	Pentium 997 (1600)	4096 (DDR3) MB	500 GB	Intel HD Graphics	nincs optikai meghajtó	2 év	2200 mAh (Li-ion)	nincs (F)		Új	ezüst	van	1x3.0.2x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100				IdeaPad	IdeaPad S		van	Első noteszgépem		van						
Toshiba Satellite C55-A-19E Black NoOs	102283 Ft	15.6ʺ HD LED (1366x768)	Core i3 3110M (2400)	4096 (DDR3) MB	750 GB	1024 MB NVIDIA GF GT 710M	DVDRW SM	2 év	4200 mAh (Li-ion)	nincs op. rsz.		Új	fekete	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	Satellite			van	Multimédia	van	van						
Acer AS V5-122P-42154G50nss Silver W8	102283 Ft	11.6ʺ HD LED Multi Touch	AMD A4-1250 (1000)	4096 (DDR3) MB	500 GB	AMD Radeon HD 8210	No ODD	2 év	3 cellás	Windows 8 64Bit HUN		Új	ezüst	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem								
HP Pavilion SleekBook 15-B000SH i3 FD 2Y C0W66EA	102354 Ft	15.6ʺ HD LED (1366x768)	Core i3 3217U (1800)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	nincs optikai meghajtó	2 év	4 cellás	nincs (F)		Új	fekete	van	2x3.0.1x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100							van	Első noteszgépem	van	van						
Toshiba Satellite M50D-A-10W Silver NoOs	103858 Ft	15.6ʺ HD LED fényes	AMD A4-5000 (1500)	4096 (DDR3) MB	500 GB	AMD Radeon HD 8330	No ODD	2 év	3 cellás	nincs op. rsz.		Új	ezüst	4.0	2x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100							van		van	van						
Asus X550CC-XX285D i3 Red FD	104646 Ft	15.6ʺ HD LED (1366x768)	Core i3 3217U (1800)	4096 (DDR3) MB	750 GB	2048 MB NVIDIA GF GT720M	DVDRW SM	2 év	4 cellás	nincs (F)		Új	piros	4.0	1x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Multimédia	van	van						
Asus X550CC-XX283D i3 Blue FD	104646 Ft	15.6ʺ HD LED (1366x768)	Core i3 3217U (1800)	4096 (DDR3) MB	750 GB	2048 MB NVIDIA GF GT720M	DVDRW SM	2 év	4 cellás	nincs (F)		Új	kék	4.0	1x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Multimédia	van	van						
Fujitsu LifeBook A532 M i3 2Y NoOs	106220 Ft	15.6ʺ HD LED matt	Core i3 3110M (2400)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs op. rsz.		Új	fekete	van	3x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook	Lifebook A		van	Első noteszgépem	van	van	van			Előkészítés modem nélkül		
Asus X550CC-XO072D i3 Grey FD 8GB	106220 Ft	15.6ʺ HD LED matt	Core i3 3217U (1800)	8192 (DDR3) MB	500 GB	2048 MB NVIDIA GF GT720M	DVDRW SM	2 év	4 cellás	nincs (F)		Új	szürke	4.0	1x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Multimédia	van	van						
Asus X550CC-XO106D i3 Grey FD	106220 Ft	15.6ʺ HD LED matt	Core i3 3217U (1800)	4096 (DDR3) MB	1000 GB	2048 MB NVIDIA GF GT720M	DVDRW SM	2 év	4 cellás	nincs (F)		Új	szürke	4.0	1x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Multimédia	van	van						
Asus X550CC-XX497D i3 Red FD	108583 Ft	15.6ʺ HD LED (1366x768)	Core i3 3217U (1800)	4096 (DDR3) MB	1000 GB	2048 MB NVIDIA GF GT720M	DVDRW SM	2 év	4 cellás	nincs (F)		Új	piros	4.0	1x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Multimédia	van	van						
Toshiba Portege R500-12P 3G+portreplikátor	109990 Ft	12ʺ WXGA Transflective	Core2Duo U7700 (1330)	2048 MB	128 GB SSD GB	128 Mb Intel GMA 950 integrált	DVDRW SM	3 nap		Win Vista Business HUN		Használt	ezüst	van	3 db	SD card	magyar		Touch pad	b/g/n 300mbps	van	10/100/1000		van	VGA	Portégé	Portégé R500	van							van			
Toshiba Satellite C55-A-19E Black NoOs 8GB TNVB	110157 Ft	15.6ʺ HD LED (1366x768)	Core i3 3110M (2400)	8192 (DDR3) MB	750 GB	1024 MB NVIDIA GF GT 710M	DVDRW SM	2 év	4200 mAh (Li-ion)	nincs op. rsz.		Új	fekete	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	Satellite			van	Multimédia	van	van						
Dell Inspiron 3521-27 Black i3 LX 8GB	110157 Ft	15.6ʺ HD LED TL (1366x768)	Core i3 3217U (1800)	8192 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)		Új	fekete	4.0	2x3.0.2x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100							van	Multimédia	van	van						
Sony Vaio SVF1421L1EW White W8	110157 Ft	14ʺ HD LED (1366x768)	Pentium 987 (1500)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	2670 mAh	Windows 8 64Bit HUN		Új	fehér	4.0	2x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000				VAIO			van	Első noteszgépem		van						
Asus X550CC-XO095D i3 Grey FD 8GB	110157 Ft	15.6ʺ HD LED matt	Core i3 3217U (1800)	8192 (DDR3) MB	750 GB	2048 MB NVIDIA GF GT720M	DVDRW SM	2 év	4 cellás	nincs (F)		Új	szürke	4.0	1x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Multimédia	van	van						
Fujitsu LifeBook A532 i3 NoOs XT 8GB	110157 Ft	15.6ʺ HD LED matt	Core i3 2370M (2400)	8192 (DDR3) MB	320 GB	Intel HD Graphics 3000	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs op. rsz.		Új	fekete	van	3x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook	Lifebook A		van	Első noteszgépem	van	van	van			Előkészítés modem nélkül		
Lenovo IdeaPad G700 Black 59-390382 FD	110157 Ft	17.3ʺ HD+ TL (1600x900)	Pentium 2020M (2400)	4096 (DDR3) MB	1000 + 8 SSD GB	2048 MB NVIDIA GF GT720M	DVDRW SM	1 év*	6 cellás	nincs (F)		Új	fekete	4.0	1x3.0.2x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	IdeaPad	IdeaPad G		van	Multimédia	van	van						
Lenovo B590 Black 59-352457 FD	110157 Ft	15.6ʺ HD LED matt	Core i5 3210M (2500)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW SM	2 év	6 cellás	nincs (F)		Új	fekete	4.0	2x3.0.2x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Multimédia	van	van			van			
Lenovo IdeaPad G500 Black 59-390064 FD	110157 Ft	15.6ʺ HD LED (1366x768)	Core i3 3110M (2400)	4096 (DDR3) MB	1000 + 8 SSHD GB	2048 MB AMD Radeon HD 8570M	DVDRW SM	2 év	6 cellás	nincs (F)		Új	fekete	4.0	2x3.0.1x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	IdeaPad	IdeaPad G		van	Multimédia	van	van						
HP ProBook 455 H0W65EA LX 3Y	110157 Ft	15.6ʺ HD LED matt	AMD A4-4300M (2500)	4096 (DDR3) MB	500 GB	2048 MB AMD Radeon HD 8750M	DVDRW +/-	3 év	6 cellás	nincs (L)		Új	szürke	4.0	2x3.0.2x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	ProBook	ProBook		van		van	van		Ajándék táska				
Fujitsu LifeBook LH532 M i3 Blue NoOs 3Y NVB	110157 Ft	14ʺ HD LED AntiGlare	Core i3 2348M (2300)	4096 (DDR3) MB	750 GB	2048 MB NVIDIA GF GT620M	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.		Új	fekete	van	3x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook			van	Multimédia		van				Előkészítés modem nélkül		
Samsung NP270E5V-X03HU Black FD	110157 Ft	15.6ʺ HD LED matt	Core i3 3120M (2500)	4096 (DDR3) MB	500 GB	1024 MB NVIDIA GF GT 710M	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs (F)		Új	fekete	4.0	3 db	SD card	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	Samsung	Samsung N		van	Multimédia	van	van						
Sony Vaio SVF1521B1EW White W8	110228 Ft	15.5ʺ HD (1366x768)	Pentium 987 (1500)	4096 (DDR3) MB	500 GB	1024 MB NVIDIA GF GT 740M	DVDRW SM	2 év	2670 mAh	Windows 8 64Bit HUN		Új	fehér	4.0	2x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000				VAIO			van	Első noteszgépem	van	van						
Fujitsu LifeBook LH532 M i3 Blue NoOs 3Y 8GB NVB	114094 Ft	14ʺ HD LED AntiGlare	Core i3 2348M (2300)	8192 (DDR3) MB	750 GB	2048 MB NVIDIA GF GT620M	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.		Új	kék	van	3x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook			van	Multimédia		van				Előkészítés modem nélkül		
Fujitsu LifeBook AH552 i3 Black NoOs 3Y	114094 Ft	15.6ʺ HD LED (1366x768)	Core i3 3110M (2400)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW SM	3 év	6 cellás	nincs op. rsz.		Új	fekete	van	3x2.0.1x3.0	3 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook	Lifebook AH		van	Első noteszgépem	van	van						
Fujitsu LifeBook SH531 i3 Black NoOs XT 3Y	114094 Ft	13.3ʺ HD LED (1366x768)	Core i3 2330M (2200)	4096 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.		Új	fekete	van	2 db	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook	Lifebook S		van	Első noteszgépem		van	van				e-SATA/USB	
Lenovo IdeaPad Z500 Brown 59-366644 FD	114094 Ft	15.6ʺ HD LED matt	Pentium 2020M (2400)	4096 MB	500 GB	2048 MB NVIDIA GF GT635M	DVDRW SM	3 év	4 cellás	nincs (F)		Új	barna	van	1x3.0.2x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	IdeaPad			van	Első noteszgépem	van	van						
Dell Inspiron 3521-14C DAS Black i3 Win7	114094 Ft	15.6ʺ HD LED TL (1366x768)	Core i3 3217U (1800)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW +/-	3 év	4 cellás	Windows7 HomePrem 64 HUN		Új	fekete	4.0	2x3.0.2x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100							van	Első noteszgépem	van	van						
Dell Inspiron 3537-2 Black i5 LX	118031 Ft	15.6ʺ HD LED TL (1366x768)	Core i5 4200U (1600)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 8670M	DVDRW +/-	3 év	6 cellás	nincs (L)		Új	fekete	van	2x3.0.2x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100				Inspiron			van	Multimédia	van	van						
Sony Vaio SVF1421L1EW White W8 8GB	118031 Ft	14ʺ HD LED (1366x768)	Pentium 987 (1500)	8192 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	2670 mAh	Windows 8 64Bit HUN		Új	fehér	4.0	2x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000							van	Első noteszgépem		van						
Toshiba Tecra M11-15Z Black W7 Pro	118031 Ft	14ʺ HD+ LED AG (1600x900)	Core i3 370M (2400)	4096 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	Windows7 Prof 64Bit HUN		Új	fekete	van	2 db	3 in 1	magyar		Track point + Touch pad	b/g/n 300mbps		10/100			VGA	Tecra	Tecra M11	van	van	Első noteszgépem			van		van		e-SATA/USB	
Dell Inspiron 3537-AG2 Black i5 LX 4GB DNVB2	118031 Ft	15.6ʺ HD LED TL (1366x768)	Core i5 4200U (1600)	4096 (DDR3) MB	750 GB	Intel HD 4400	DVDRW +/-	3 év	4 cellás	nincs (L)		Új	fekete	4.0	2x3.0.2x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100							van	Multimédia	van	van						
Lenovo Ideapad G500 Black 59-390064 FD 8GB	118031 Ft	15.6ʺ HD LED (1366x768)	Core i3 3110M (2400)	8192 (DDR3) MB	1000 + 8 SSHD GB	2048 MB AMD Radeon HD 8570M	DVDRW SM	2 év	6 cellás	nincs (F)		Új	fekete	4.0	2x3.0.1x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	IdeaPad	IdeaPad G		van	Multimédia	van	van						
Dell Inspiron 3737-1 Black i3 LX	118031 Ft	17.3ʺ HD+ TL (1600x900)	Core i3 4010U (1700)	4096 (DDR3) MB	500 GB	Intel HD 4400	DVDRW +/-	3 év	4 cellás	nincs (L)		Új	fekete	4.0	2x3.0.2x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100				Inspiron			van	Első noteszgépem	van	van						
Asus X75VB-TY047D Black FD	118031 Ft	17.3ʺ LED HD+ (1600x900)	Core i3 3120M (2500)	4096 (DDR3) MB	500 GB	2048 MB NVIDIA GF GT740M	DVDRW SM	2 év	6 cellás	nincs (F)		Új	fekete		1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Multimédia	van	van						
Sony Vaio SVF1521B1EW White W8 8GB	118031 Ft	15.5ʺ HD (1366x768)	Pentium 987 (1500)	8192 (DDR3) MB	500 GB	1024 MB NVIDIA GF GT 740M	DVDRW SM	2 év	2670 mAh	Windows 8 64Bit HUN		Új	fehér	4.0	2x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000							van	Első noteszgépem	van	van						
Lenovo IdeaPad S210 Black 59-390806 W8	118031 Ft	11.6ʺ HD LED Multi Touch	Core i3 3217U (1800)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	nincs optikai meghajtó	1 év*	3 cellás (extended)	Windows 8 64Bit HUN		Új	fekete	4.0	1x3.0.1x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100				IdeaPad	IdeaPad S		van	Első noteszgépem		van						
Fujitsu LifeBook AH552-B3 i3 Black NoOs 3Y	121969 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW SM	3 év	8 cellás	nincs op. rsz.		Új	fekete	van	3x2.0.1x3.0	3 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook	Lifebook AH		van	Első noteszgépem	van	van						
Fujitsu Lifebook SW LH532 i3 Black NoOS 3Y Clip19/Red	121969 Ft	14ʺ HD LED AntiGlare	Core i3 2370M (2400)	4096 (DDR3) MB	320 GB	2048 MB NVIDIA GF GT620M	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.		Új	fekete	van	3x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook			van			van				Előkészítés modem nélkül		
Lenovo ThinkPad Edge E530c Black NZY6ZHV FD	121969 Ft	15.6ʺ HD LED matt	Core i3 3110M (2400)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW +/-	2 év	6 cellás	nincs (F)		Új	fekete	4.0	3x3.0.1x2.0	4 in 1	magyar		Track point + Touch pad	b/g/n 300mbps		10/100/1000			VGA	ThinkPad	ThinkPad Edge		van	Első noteszgépem	van	van						
Samsung NP450R5V-X01HU White FD	121969 Ft	15.6ʺ HD LED matt	Core i3 3120M (2500)	4096 (DDR3) MB	500 GB	2048 MB NVIDIA GF GT 710M	nincs optikai meghajtó	2 év	3 cellás (extended)	nincs (F)		Új	fehér	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Samsung	Samsung N		van	Multimédia	van	van						
Lenovo IdeaPad G500 Black 59-390489 FD	121969 Ft	15.6ʺ HD LED (1366x768)	Core i5 3230M (2600)	4096 (DDR3) MB	500 GB	2048 MB AMD Radeon HD 8570M	DVDRW SM	2 év	6 cellás	nincs (F)		Új	fekete	4.0	2x3.0.1x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	IdeaPad	IdeaPad G		van	Szupergyors	van	van						
Fujitsu LifeBook SW LH532 i3 Black NoOs 3Y Clip12/P	125906 Ft	14ʺ HD LED AntiGlare	Core i3 2370M (2400)	4096 (DDR3) MB	320 GB	2048 MB NVIDIA GF GT620M	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.		Új	fekete	van	3x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook			van	Multimédia		van				Előkészítés modem nélkül		
Dell Inspiron 3521-AA1 Black i5 LX DNVB2	125906 Ft	15.6ʺ HD LED TL (1366x768)	Core i5 3317U (1700)	4096 (DDR3) MB	1000 GB	2048 MB AMD Radeon HD 8730M	DVDRW +/-	3 év	6 cellás	nincs (L)		Új	fekete	4.0	2x3.0.2x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100							van	Szupergyors	van	van						
Dell Inspiron 3521-8 Black i5 LX	125906 Ft	15.6ʺ HD LED TL (1366x768)	Core i5 3337U (1800)	4096 (DDR3) MB	750 GB	Intel HD Graphics 4000	DVDRW +/-	3 év	6 cellás	nincs (L)		Új	fekete	van	2x3.0.2x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100				Inspiron			van	Multimédia	van	van						
Toshiba Portege R700-177 Black W7	125906 Ft	13.3ʺ HD LED (1366x768)	Core i3 370M (2400)	4096 (DDR3) MB	320 SATA (7200 rpm) GB	Intel Media Accelerator HD	DVDRW SM	3 év	6 cellás	Windows7 Prof 64Bit HUN		Új	fekete	van	2 db	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA			van	van	Első noteszgépem		van			van		e-SATA/USB	
Asus S200E-CT244H Grey W8	125906 Ft	11.6ʺ HD LED Multi Touch	Core i3 3217U (1800)	2048 (DDR3) MB	500 GB	Intel HD Graphics 4000	nincs optikai meghajtó	2 év	2 cellás	Windows 8 64Bit		Új	szürke	van	1x3.0.2x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem		van						
Fujitsu LifeBook LH532 i3 Red W8 3Y	125906 Ft	14ʺ HD LED AntiGlare	Core i3 2348M (2300)	4096 (DDR3) MB	500 GB	2048 MB NVIDIA GF GT620M	DVDRW SM	3 év	4400 mAh (Li-ion)	Windows 8 64Bit HUN		Új	piros	van	3x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook			van	Multimédia		van				Előkészítés modem nélkül		
Samsung NP535U3C-K01HU Black W8	125906 Ft	13.3ʺ HD LED AntiGlare	AMD A4-4355M (1900)	4096 (DDR3) MB	500 GB	AMD Radeon HD 7400G	nincs optikai meghajtó	2 év	4 cellás	Windows 8 64Bit HUN		Új	fekete	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000				Samsung	Samsung N		van			van						
Lenovo IdeaPad G710 i3 Black 59-390397 FD	125906 Ft	17.3ʺ HD+ TL (1600x900)	Core i3 4000M (2400)	4096 (DDR3) MB	1000 + 8 SSHD GB	Intel HD 4600	DVDRW SM	2 év	6 cellás	nincs (F)		Új	fekete	4.0	1x3.0.2x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	IdeaPad	IdeaPad G		van	Első noteszgépem	van	van						
Dell Inspiron 3537-AG4L Black i5 LX	129843 Ft	15.6ʺ HD LED TL (1366x768)	Core i5 4200U (1600)	4096 (DDR3) MB	750 GB	2048 MB AMD Radeon HD 8670M	DVDRW +/-	3 év	6 cellás	nincs (L)		Új	fekete	van	2x3.0.2x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100							van	Multimédia	van	van						
