TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Audio	Bill.	Portok	Multimédia	Lopás védelem	Méret	Szállítás	Érintőkijelző: 	Biztonság	Mobil internet modul	GPS
Acer E1-532-29552G50Mnrr NX.MHGEU.002 Piros	64488 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® 2955U (Dual-Core, 1.4 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	381.6 x 256 x 25.3 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM86 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	4 cellás lítiumion (Li-Ion)	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.35 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Toshiba Satellite C50D-A-11M Notebook	65276 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® E1-1200 (Dual-Core, 1.4 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	380 x 242 x 30,8 / 33,35 mm	magyar teljes méretű, numerikus billentyűkkel		beépített HD webkamera, Univerzális kártyaolvasó	AMD® A68M Fusion™	AMD Radeon™ HD 7310	Beépített sztereó hangszórók	Lithium-ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2,3 kg						
Acer E1-531-10054G50Mnrr NX.M9REU.012 Piros	66850 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® 1005M (Dual-Core, 1.9 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	378 x 259 x 24.8 - 29.7 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)		2.4 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Toshiba Satellite C50-A-14J Notebook	66850 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® 1005M (Dual-Core, 1.9 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	380 x 242 x 30,8 / 33,35 mm	magyar teljes méretű, numerikus billentyűkkel		beépített HD webkamera, Univerzális kártyaolvasó	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	6 cellás lithium-ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2,3 kg						
Acer E1-532-29554G50Mnkk NX.MFVEU.001 Notebook	67638 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® 2955U (Dual-Core, 1.4 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	381.6 x 256 x 25.3 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM86 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	4 cellás lítiumion (Li-Ion)	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.35 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Lenovo IdeaPad G500 59-390509 Notebook	69213 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® 1005M (Dual-Core, 1.9 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	377 x 250 x 34 mm	magyar teljes méretű, numerikus billentyűkkel		2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Dolby® Advanced Audio™ v2	6 cellás lithium-ion	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2,6 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
ASUS X502CA-XX109D Fehér Notebook	70000 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® 1007U (Dual-Core, 1.5 GHz)	4GB DDR3 1600MHz	15,6" HD LED fényes TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	383 x 253 x 21,7 mm	magyar	500GB SATA 5400rpm	2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	2 cellás Lithium-polymer	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		1,86 kg						
Acer E1-522-45002G50Dnkk NX.M81EU.021 Notebook	70787 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® A4-5000 (Quad-Core, 1.5 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	381.6 x 256 x 25.3 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	AMD® A70M Fusion™	AMD Radeon™ HD 8330	Beépített sztereó hangszórók	4 cellás lítiumion (Li-Ion)	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.4 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
ASUS X550CA-XO145D Fehér Notebook	70787 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Celeron® 1007U (Dual-Core, 1.5 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	38.0 x 2.51 x 2.48 ~ 3.17 cm	magyar teljes méretű, numerikus billentyűkkel		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	SonicMaster beépített hangszóró és mikrofon	4 cellás (37WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.3 kg						
Acer E1-530-21172G50Mnrr NX.MHDEU.002 Piros	70787 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	381,6 x 256 x 12,07 - 25,3 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	4 cellás lítiumion (Li-Ion)	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2,3 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
