TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Audio	Bill.	Portok	Multimédia	Lopás védelem	Méret	Szállítás	Érintőkijelző: 	Biztonság	Mobil internet modul	GPS
HP 650 H5K73EA Notebook	90472 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Celeron® 1000M (Dual-Core, 1.8 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	37,6 x 24,7 x 3,58 cm	magyar		beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	6cellás (47WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS		2,45 kg						
Acer E1-571-33114G50Marr NX.M9QEU.001 Piros	90472 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-3110M (Dual-Core, 2.4 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	378 x 259 x 24.8 - 29.7 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)		2.4 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Lenovo IdeaPad S210 59-377636 Notebook	90472 Ft	11,6" HD WXGA fényes LED TFT 16:9 (1366 x 768)	Intel® Pentium® 987 (Dual-Core, 1.5 GHz)		11,6" HD WXGA fényes LED TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	299 x 207 x 6 - 20,9 mm	magyar		2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Dolby® Advanced Audio™ v2	3-cellás Lithium-Ion	10/100mbps LAN, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		1,3 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Acer E1-571-33114G50Maks NX.M09EU.019 Notebook	90472 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-3110M (Dual-Core, 2.4 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	378 x 259 x 24.8 - 29.7 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS		2.4 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Lenovo IdeaPad G500s 59-390152 Piros Notebook	0 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2020M (Dual-Core, 2.4 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	380 x 260 x 26.9 mm	magyar teljes méretű, numerikus billentyűkkel		2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	NVIDIA® GeForce® GT 720M 2GB DDR3	Dolby® Advanced Audio™ v2	4 cellás lítiumion (Li-Ion)	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2.7 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Lenovo IdeaPad G505 59-390258 Notebook	0 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® A4-5000 (Quad-Core, 1.5 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	377 x 250 x 34 mm	magyar teljes méretű, numerikus billentyűkkel		2 az 1-ben kártyaolvasó, beépített HD webkamera	AMD® A76M Fusion™	AMD Radeon™ HD 8570M 1GB DDR3	Dolby® Advanced Audio™ v2	6 cellás lithium-ion	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2.6 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Packard Bell ENLE69KB-45004G1TMnsk NX.C2DES.004	90472 Ft	17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	AMD® A4-5000 (Quad-Core, 1.5 GHz)		17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	414.8 x 275 x 31 x 34.6 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	AMD® A76M Fusion™	AMD Radeon™ HD 8330	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		3.20 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
ASUS X550CC-XX156D Fehér Notebook	91260 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	38.0 x 2.51 x 2.48 ~ 3.17 cm	magyar teljes méretű, numerikus billentyűkkel		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	NVIDIA® GeForce® GT 720M 2GB DDR3	SonicMaster beépített hangszóró és mikrofon	4 cellás (37WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.3 kg						
ASUS X550CC-XX284D Piros Notebook	91260 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	38.0 x 2.51 x 2.48 ~ 3.17 cm	magyar teljes méretű, numerikus billentyűkkel		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	NVIDIA® GeForce® GT 720M 2GB DDR3	SonicMaster beépített hangszóró és mikrofon	4 cellás (37WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.3 kg						
ASUS X502CA-XX030D Fehér Notebook	92835 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-3217U (Dual-Core, 1.8 GHz)	4GB DDR3 1600MHz	15,6" HD LED fényes TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	383 x 253 x 21,7 mm	magyar	500GB SATA 5400rpm	2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	2 cellás Lithium-polymer	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		1,86 kg						
Acer E1-531G-B966G75MNKS NX.M7BEU.013 Notebook	93622 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® B960 (Dual-Core, 2.2 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	378 x 259 x 24.8 - 29.7 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	NVIDIA® GeForce® 710M 2GB DDR3	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS		2.4 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
ASUS X502CA-XX038D Notebook	93622 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-3217U (Dual-Core, 1.8 GHz)	4GB DDR3 1600MHz	15,6" HD LED fényes TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	383 x 253 x 21,7 mm	magyar teljes méretű, numerikus billentyűkkel	320GB SATA 5400rpm	2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	2 cellás Lithium-polymer	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db)		1,86 kg						
Acer E1-571-33114G75MNKS NX.M09EU.025 Notebook	93622 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-3110M (Dual-Core, 2.4 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	378 x 259 x 24.8 - 29.7 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS		2.4 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
ASUS X550CC-XO028D Notebook	93622 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	38.0 x 2.51 x 2.48 ~ 3.17 cm	magyar teljes méretű, numerikus billentyűkkel		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	NVIDIA® GeForce® GT 720M 2GB DDR3	SonicMaster beépített hangszóró és mikrofon	4 cellás (37WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.3 kg						
Dell Inspiron 15 3521 157793 NotebookCikkszám: INSP3521-20	93622 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-3217U (Dual-Core, 1.8 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	376 x 259 x 24,9 / 25,3 mm	magyar teljes méretű, numerikus billentyűkkel		3 az 1-ben kártyaolvasó (SD,MMC, MS), beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	4 cellás (40WHr) lithium-ion	10/100mbps LAN, USB 2.0 (2db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2,22 kg	3 év					
Acer E1-531-20208G1TMNKS NX.M12EU.055 Notebook	93622 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2020M (Dual-Core, 2.4 GHz)	8GB DDR3 1333MHz	15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	378 x 259 x 24.8 - 29.7 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)		2.4 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Acer E1-571G-33114G50MNKS NX.M57EU.015 Notebook	93622 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-3110M (Dual-Core, 2.4 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	378 x 259 x 24.8 - 29.7 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	NVIDIA® GeForce® 710M 1GB DDR3	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)		2.4 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
ASUS X550CC-XX282D Kék Notebook	93622 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	38.0 x 2.51 x 2.48 ~ 3.17 cm	magyar teljes méretű, numerikus billentyűkkel		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	NVIDIA® GeForce® GT 720M 2GB DDR3	SonicMaster beépített hangszóró és mikrofon	4 cellás (37WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.3 kg						
ASUS X552CL-SX110D Notebook	93622 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	38.0 x 25.1 x 2.48 ~ 3.36 cm	magyar teljes méretű, numerikus billentyűkkel		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	NVIDIA® GeForce® 710M 1GB DDR3	SonicMaster beépített hangszóró és mikrofon	4 cellás (37WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2.45 kg						
Lenovo IdeaPad G500 59-390091 Notebook	94409 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2020M (Dual-Core, 2.4 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	377 x 250 x 34 mm	magyar teljes méretű, numerikus billentyűkkel		2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	AMD Radeon™ HD 8570M 2GB DDR3	Dolby® Advanced Audio™ v2	6 cellás lithium-ion	10/100mbps LAN, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2,6 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Acer E1-531G-20204G75Maks NX.M7BEU.004 Notebook	94409 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2020M (Dual-Core, 2.4 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	378 x 259 x 24.8 - 29.7 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	NVIDIA® GeForce® 710M 2GB DDR3	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS		2.4 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Lenovo IdeaPad G500 59-390525 Notebook	94409 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-3110M (Dual-Core, 2.4 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	377 x 250 x 34 mm	magyar teljes méretű, numerikus billentyűkkel		2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics 4000	Dolby® Advanced Audio™ v2	6 cellás lithium-ion	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2,6 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Toshiba Satellite C55-A-19D Notebook	94409 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-3110M (Dual-Core, 2.4 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	380 x 242 x 30,8 / 33,35 mm	magyar teljes méretű, numerikus billentyűkkel		beépített HD webkamera, Univerzális kártyaolvasó	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	6 cellás lithium-ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2,3 kg						
Acer E1-731-20204G1TMnii NX.MGAEU.005 Notebook	94409 Ft	17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	Intel® Pentium® 2020M (Dual-Core, 2.4 GHz)		17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	414.8 x 275.0 x 34.65 - 31 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		3.20 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
HP 650 H5V72EA Notebook	94480 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-2348M processzor		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	37,6 x 24,7 x 3,58 cm	magyar		beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics 3000	Beépített sztereó hangszórók	6cellás (47WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS		2,45 kg						
HP 250 G1 H6Q77EA Notebook	94480 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-3110M (Dual-Core, 2.4 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	37,6 x 24,7 x 3,58 cm	magyar		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM75 Express Chipset	Intel® HD Graphics 4000	Beépített Altec Lansing® sztereó hangszórók	6cellás (47WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS		2,45 kg						
HP 255 G1 H6R11EA Notebook	94480 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	AMD® E2-1800 (Dual-Core, 1.7 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	37,6 x 24,7 x 3,58 cm	magyar		SD/SDHC/SDXC kártyahely, beépített HD webkamera	AMD® A68M Fusion™	AMD Radeon™ HD 7340	Beépített Altec Lansing® sztereó hangszórók	6cellás (47WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS		2,45 kg						
ASUS X550CC-XO731D Fehér Notebook	95197 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	38.0 x 2.51 x 2.48 ~ 3.17 cm	magyar teljes méretű, numerikus billentyűkkel		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	NVIDIA® GeForce® GT 720M 2GB DDR3	SonicMaster beépített hangszóró és mikrofon	4 cellás (37WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.3 kg						
ASUS X550CC-XO243D Fehér Notebook	97559 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	38.0 x 2.51 x 2.48 ~ 3.17 cm	magyar teljes méretű, numerikus billentyűkkel		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	NVIDIA® GeForce® GT 720M 2GB DDR3	SonicMaster beépített hangszóró és mikrofon	4 cellás (37WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.3 kg						
HP Pavilion 15-n000sh F2T40EA Notebook	97559 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	38,56 x 25,8 x 2,26 cm	magyar teljes méretű, numerikus billentyűkkel		beépített HD webkamera, médiakártya-olvasó	Mobile Intel® HM76 Express Chipset	AMD Radeon™ HD 8670M 1GB DDR3	Beépített DTS® sztereó hangszórók	4 cellás (41WHr) lithium-ion	10/100mbps LAN, Bluetooth, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db)		2,28 kg						
Acer E1-731-20204G75MNII NX.MGAEU.002 Notebook	97559 Ft	17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	Intel® Pentium® 2020M (Dual-Core, 2.4 GHz)		17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	414.8 x 275.0 x 34.65 - 31 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		3.20 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
ASUS X550CA-XX579D Kék Notebook	97559 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-3217U (Dual-Core, 1.8 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	38.0 x 2.51 x 2.48 ~ 3.17 cm	magyar teljes méretű, numerikus billentyűkkel		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics 4000	SonicMaster beépített hangszóró és mikrofon	4 cellás (37WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.3 kg						
Acer E1-570G-33214G50MNKK NX.MEREU.001 Notebook	97559 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-3217U (Dual-Core, 1.8 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	381,6 x 256 x 12,07 - 25,3 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	NVIDIA® GeForce® GT 720M 1GB DDR3	Beépített sztereó hangszórók	4 cellás lítiumion (Li-Ion)	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2,3 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Lenovo ThinkPad Edge Plus E145 20BC0006HV Notebook	97874 Ft	11,6" HD WXGA matt LED TFT 16:9 (1366 x 768)	AMD® E1-2500 (Dual-Core, 1.4 GHz)		11,6" HD WXGA matt LED TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	287 x 212 x 23 mm	magyar		4 az 1-ben kártyaolvasó, beépített HD webkamera	AMD® A68M Fusion™	AMD Radeon™ HD 8240	Dolby® Advanced Audio™	6cellás (62WHr) lithium-ion	VGA monitor kimenet, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		1.55 kg	3 év nemzetközi, belföldön el- és visszaszállítás					
