TermékNév	Ár	TFT Méret	TFT Felb.	TFT Típus	TFT Jell.	CPU Gyártó	CPU Család	CPU Típus	CPU +	RAM Méret	RAM Frek.	RAM Jell.	HDD Méret	HDD Típus	HDD Jell.	GPU Gyártó	GPU Típus	GPU Jelleg	GPU Jell.	Súly	Gar.	Gar. Típus	Akku	ODD	Chipset	Kategória	Típus	Állapot	Szín	Akció	Háttértár HDD meghajtó méret	Háttértár Tipus	Háttértár Jellemzők	Videókártya Jellemzők	Egyéb technikai paraméretek Billentyűzet	Bill.	Touchpad	Audio	Portok	Portok +	ExpressCard	Tartozék	LAN	LAN +	OS	Egyéb	Méret	Fizikai paraméterek Egyéb leírás	Optikai meghajtó Jellemzők	Operációs rendszer Verzió	Operációs rendszer Nyelv	Videókártya Dedikált memória	Fizikai paraméterek Ajándék kiegészítők	Háttértár SSD / Flash meghajtó méret	OS Jell.
Lenovo Ideapad G510	1.5062184041319E+36 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes	200 nit	Intel®	Core i5	4200M - 2,50GHz	max. 3,10GHz / 3MB cache	6 GB	DDR3 1600 MHz	2 slot / max. 16GB				AMD/ATI	Mobility™ Radeon® HD8750M 2GB DDR3	Dedikált, saját memóriával		2,6 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos	6 cella, max. 5h	DVD író	Mobile Intel® HM86 Express	Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	1000 GB	Hibrid (HDD + SSD)	SSHD		Magyar, Numerikus billentyűzet	AccuType	Multitouch Touchpad	Dolby® Advanced Audio™sztereo hangszórók2-in-1 Audio jack (headphone és mic)	Webkamera, Memóriakártya olvasó, HDMI, VGA, Bluetooth, USB 3.0	Bluetooth 4.0VGA, HDMI, USB 3.0 x 2, USB 2.0 x 1	2 az 1ben kártyaolvasó (SD / MMC)	HD 720p Webkamera	WLAN	10/100 LAN / 802.11 b/g/n WiFi	Külön vásárolható	FreeDOS	377 x 250 x 34 mm		DVD-RW supermulti DL			2048 MB		8 GB		
Asus X502CA-XX052D	1.198351139119E+35 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes		Intel®	Core i5	3317U 1,7 GHz	3MB cache	4 GB	DDR3 1333 MHz	beépítve, Nem bővíthető				Intel	HD Graphics 4000	Alaplapi integrált		2 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	2 cellás (Polymer) 5136 mAh	Nincs	Mobile Intel® HM76 Express	2 kg alatt, Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	HDD	SATA 5400rpm		Magyar, Numerikus billentyűzet			2.0 Hangszóró	HDMI, USB 3.0, Webkamera, Memóriakártya olvasó, VGA	VGA, HDMI, 2*USB 2.0, USB 3.0	SD Kártyaolvasó	720p Webkamera	WLAN	Gigabit LAN / 802.11bgn	Külön vásárolható	FreeDOS	383 x 258 x 20-21,7 mm									
Acer TravelMate B113-M-53334G50TKK_LIN3 év garancia + véletlen sérülés biztosítás!	1.2109463895662E+30 Ft	11,6 "	1366x768 WXGA HD	LED, Matt	Acer ComfyView™	Intel®	Core i5	3337U - 1,80GHz	max. 2,70GHz / 3MB Cache	4 GB	DDR3 1600 MHz	2 slot / max. 8GB				Intel	HD Graphics 4000	Alaplapi integrált		1,38kg	3 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	4 cellás 2600 mAh (max. 5 órás üzemidő)	Nincs	Intel HM77 Express Chipset	2 kg alatt, Üzleti	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	HDD	5400rpm Serial ATA		Magyar		TouchPad	Beépített hangszóró és mikrofon	VGA, Bluetooth, HDMI, Memóriakártya olvasó, USB 3.0, Webkamera	Bluetooth 4.0, 1xUSB3.0 / 2xUSB2.0 / HDMI / VGA	2-in-1 kártyaolvasó :Secure Digital (SD) Card, MultiMediaCard (MMC)	Acer CrystalEye HD Webkamera	WLAN	Acer Nplify 802.11a/g/n Wi-Fi Gigabit Ethernet	Külön vásárolható	Linpus Lite Mobiln	27.4*285*202mm									
Lenovo ThinkPad Edge E530c	1.2148833896686E+31 Ft	15,6 "	1366x768 WXGA HD	LED, Matt	anti-glare, 220 nit, 500:1	Intel®	Core i3	3110M 2.40 GHz	3M Cache	4 GB		16GB Max. (2 DIMM slot)				Intel	HD Graphics	Alaplapi integrált		2.45 Kg	2 év (1 év az akkura és töltőre)	Világ, Szerviz	6 cellás Li-Ion 4400mAHmax. 5.7 óra	DVD író	Mobile Intel HM77 Express Chipset	Üzleti	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	HDD	5400rpm SATA 3.0Gb/s, 2.5"Active Protection System™		Numerikus billentyűzet, Magyar	6-soros, cseppálló, multimedia Fn gombok, numerikus pad	TrackPoint, Internet Scroll Bar, UltraNav multi-touch touchpad	Dolby Advanced Audio V2sztereo hangszórók 2 watt x 2, digitális mikrofoncombo mic/headphone Jack	HDMI, VGA, Bluetooth, USB 3.0, Memóriakártya olvasó	Bluetooth 4.0(1) VGA(1) HDMI 1.4(3) USB 3.0(1) USB 2.0 “always on”	4-in-1 kártyaolvasó (MMC, SD, SDHC, SDXC)	HD 720p Webkamera	WLAN	WiFi: Intel N2230 bgn 2x2Gigabit Ethernet	Külön vásárolható	DOS	377mm x 245mm x 28.49 – 31.1mm		DVD író							
Acer Aspire E1-772-34004G1TMnsk	1.2188203893047E+37 Ft	17,3 "	1600x900 WXGA HD+	LED, Fényes	Acer CineCrystal™	Intel®	Core i3	4000M 2.4 GHz	3M Cache, 37 W	4 GB		DDR3L, max. 16GB, 2 soDIM hely				Intel	HD Graphics 4600	Alaplapi integrált		3.2 kg	2 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	48 Wh 4400 mAh 11.1 V 6-cellás Li-ionmax. 5.5 óra (MobileMark® 2007)max. 4 óra (MobileMark® 2012)max. 3.5 óra (video lejátszás)max. 3.5 óra (web)	DVD író	Mobile Intel® HM86 Express Chipset	Általános otthoni/irodai	Notebook / Laptop	Új	Ezüst hátlap	Nem	1000 GB	HDD	2.5-inch 5400 RPM		Magyar, Numerikus billentyűzet	105-/106-/109-gombos FineTouch	Multi-gesture touchpad	High-definition audiosztereo hangszórók, mikrofonMicrophone-in jackHeadphone/speaker jack	USB 3.0, Memóriakártya olvasó, HDMI, VGA	HDMI®, VGA, 2*USB 3.0, USB 2.0	SD kártyaolvasó	Acer Crystal Eye 720p HD webkamera, 1280 x 720	WLAN	Acer InviLink Nplify 802.11b/g/n wireless LANGigabit Ethernet	Külön vásárolható	Boot-up Linux	414.8 (W) x 275 (D) x 31/34.6 (H) mm		8X DVD-Super Multi double-layer							
Samsung NP535U3C Ultrabook™	1.2196836071554E+36 Ft	13,3 "	1366x768 WXGA HD	LED, Matt	SuperBright 300nit, Anti-Reflective	AMD	A4-Series	A4-4355M 1.9GHz	1MB L2 Cache	4 GB	DDR3 1333 MHz	4G*1 alaplapon, 1 bővítőhely				AMD/ATI	Radeon™ HD 7400G	Alaplapi integrált		1.52kg	2 év (1 év az akkura és töltőre)	Szerviz	4 Cellás (45Wh)	Nincs		Ultrabook™, 2 kg alatt, Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	HDD	5400RPM S-ATAII		Magyar	81 gombos	Touch Pad (Scroll Scope, Flat Type, Gesture UI)	HD Audio, SoundAlive™4 watt Sztereo hangszóró (2 watt x 2), mikrofonHeadphone-out / Mic Combo jack	Bluetooth, HDMI, VGA, Memóriakártya olvasó, Webkamera, USB 3.0	Bluetooth 4.0, 1xUSB 3.0, 2xUSB 2.0 (Sleep-and-Charge), HDMI, DSUB külön kábellel	3in1 kártyaolvasó (SD / SDHC / SDXC)	1.3 megapixel HD Webkamera	WLAN	WLAN 802.11bgn, 10/100/1000 Gigabit Ethernet LAN	Windows 8	Norton Internet Security (60 nap)Samsung Recovery SolutionUniversal Printer / Scanner DriverEasy File ShareEasy MigrationAdobe Acrobat ReaderMicrosoft Office Starter 2010Samsung Support CenterMicrosoft Office Starter 2010 WildTangent Game Console Windows LiveNorton Online Backup (30 nap)SkypeCyberlink Media Suite Cyberlink Youcam Easy SettingsSoftware Launcher	315.1 x 218.9 x 14.9 ~ 17.6mm	72 órás pixelhiba garancia		64 bit	Magyar, Angol, Választható				OS DVD	
Acer Aspire V5-573G-34014G1TAKK	9.4413189304666E+50 Ft	15,6 "	1366x768 WXGA HD	LED, Matt	Acer ComfyView™	Intel®	Core i3	4010U 1,7 GHz	3MB cache	4 GB	DDR3 1600 MHz	alaplapon, 1 soDIMM hely, max. 12GB				nVidia	GeForce® GT 720M 2GB	Dedikált, saját memóriával		2.0 kg	2 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	53 Wh 3560 mAh 15 V 4-cellás Li-polymer max. 7,5h	Nincs		Játék/3D grafika, 2 kg alatt	Notebook / Laptop	Új	Fekete hátlap	Igen	1000 GB	HDD	5400 rpm Serial ATA		Magyar, Numerikus billentyűzet	105-/106-/109-gombos FineTouch™	Acer ZoomPerfect touchpad	Dolby Digital Home Theater® v4 audio 4 hangszóró, digitális mikrofonCombo audio jack	HDMI, USB 3.0, Webkamera, Memóriakártya olvasó, VGA, Bluetooth	Bluetooth 4.0, HDMI®, Acer Converter port, 1* USB 3.0, 2* USB 2.0	Secure Digital (SD) kártyaolvasó	Acer Crystal Eye 720p HD Webkamera, 1280 x 720	WLAN	Acer InviLink™ Nplify™ 802.11a/b/g/n Wi-Fi Gigabit Ethernet	Külön vásárolható	Linux	381.6 (W) x 255.95 (D) x 18/20.75 (H) mm					2048 MB	Acer Converter kábel (VGA-out)			
Toshiba Satellite C55-A-10F	9.0476189668558E+41 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	Nagy fényerejű Toshiba TruBrite®	Intel®	Core i5	3230M 2,60/3,20 Turbo GHz	Elülső busz : 1600 MHz, 3. szintű gyorsítótár : 3 MB	4 GB	DDR3 1600 MHz	(4,096*1) bővíthetőség felső határa : 16,384 MB				Intel	HD Graphics 4000	Alaplapi integrált		min. 2,3 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Szerviz, Nemzetközi	technológia : lítiumionos maximális üzemidő : akár 3 óra 30 perc (Mobile Mark™ 2012)	DVD író		Általános otthoni/irodai	Notebook / Laptop	Új	Csillogó fekete felület, fekete billentyűzet	Igen	750 GB	HDD	5,400 fordulat/perc	akár 1771 MB megosztott memória 4 GB telepített rendszermemóriából (64 bites Windows® operációs rendszer esetén) memória típusa : megosztott	Magyar, Numerikus billentyűzet	billentyűk : 102 Windows billentyűk : Igen speciális szolgáltatások : Matt fekete billentyűzet tízjegyű számbillentyűzettel	Különböző görgetési, nagyítási és indítási funkciók közvetlen használatát támogató, többérintéses vezérlésre alkalmas érintőtábla	támogatott hangformátum : 24 bites sztereó hangszórók : beépített sztereó hangszórók gyártó : Realtek ALC269Q-VB5-GR 1 × külső mikrofon 1 × sztereó fejhallgató	HDMI, Webkamera, Memóriakártya olvasó, VGA, Bluetooth, USB 3.0	Bluetooth® 4.0 + LE 1 × külső monitor, 1 × HDMI-kimenet, 1080p jelformátum támogatása2 × USB 2.0, 1 × USB 3.0	1 × Univerzális kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™, 64 GB-os SDXC™ és 2 GB-os MultiMedia Card™ kártyákhoz)	0,9 megapixel HD webkamera(1280 x 720) mikrofonnal	WLAN	Wi-Fi® Hálózati támogatás : 802.11b/g/nFast Ethernet hálózati csatoló	Külön vásárolható		Sz x H x M : 380 x 242 x 30,8 (elöl) / 33,35 (hátul) mm		Univerzális kétrétegű, vékony DVD-meghajtó							
Fujitsu LIFEBOOK UH552-SH-2 Slimbook	3.9297709198983E+41 Ft	13,3 "	1366x768 WXGA HD	Matt, LED	Anti-glare, 220 cd/m2	Intel®	Core i5	-3317U processzor	3MB cache	4 GB		1x 4GB, max. 16 GB, 2 slot				Intel	HD Graphics 4000	Alaplapi integrált		1,57 kg	2 év (1 év az akkura és töltőre)	Szerviz	4 cellás Lithium polymer 2840 mAh, 42 Wh7.5 h (Mobile Mark 2007)	Nincs	Intel HM76	2 kg alatt, Üzleti	Notebook / Laptop	Új	Ezüst hátlap	Igen	500 GB	HDD	5,4krpm 2,5 hüvelykes, S.M.A.R.T.		Magyar	Cseppálló billentyűzet	Multi-TouchPad	Realtek ALC269Q-VB6 (HD audio)2x beépített hangszóró (sztereó), Nagy felbontású hangszolgáltatás támogatása, DTS Boost™1 x Hang: vonali kimenet / fejhallgató	Memóriakártya olvasó, Webkamera, USB 3.0, Bluetooth, HDMI	Bluetooth V4.0, 1 (ebből 1 db Anytime USB-töltési funkció) x USB 2.0 összesen2 x USB 3.0 összesen1 x HDMI	4-in-1 kártyaolvasó (SD/MS/MSPro/SDXC)	Beépített webkamera, HD	WLAN	WLAN b/g/nUSB-n keresztül Ethernet (RJ-45)	Külön vásárolható		323 x 234 x 18,0 mm								Drivers & Utilities DVD (DUDVD)	
Lenovo Ideapad S210	3.9295662273912E+36 Ft	11,6 "	1366x768 WXGA HD	Fényes, LED, Érintőképernyő	10-pontos multitouch	Intel®	Core i3	3217U 1.6 GHz	3MB cache	4 GB	DDR3 1600 MHz	1 slot / max. 8GB				Intel	HD Graphics 4000	Alaplapi integrált		1,3 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos	3 cella 36 Whmax. 6h	Nincs	Mobile Intel® HM76 Express	2 kg alatt	Notebook / Laptop	Új	Fekete hátlap	Igen	500 GB	HDD	SATA 5400rpm		Magyar	AccuType, teljes méretű	multitouch touchpad	Dolby® Advanced Audio™ v2, sztereo hangszórók Dual digitalis mikrofon headphone/mic combo jack	Memóriakártya olvasó, Webkamera, USB 3.0, Bluetooth, HDMI	Bluetooth 4.0, HDMI, 2*USB 3.0, USB 2.0	2 az 1ben Kártyaolvasó (SD/MMC)	720p HD Webkamera	WLAN	10/100 LAN / 802.11bgn WiFi	Windows 8		299 x 207 x 6-20,9 mm				Választható, Magyar, Angol					
Dell Inspiron 15R 5537	3.9296685578935E+37 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	(720p) Truelife	Intel®	Core i5	4200U (1.6-2.6GHz)	3MB L3 Cache	8 GB	DDR3 1600 MHz	2*4GB, Max. 16GB DDR3L - 2 SODIMM hely				AMD/ATI	Radeon HD 8850M 2GB GDDR5	Dedikált, saját memóriával		Kezdő tömeg 2,32 kg 6 cellás, 65 Wh-s akkumulátorral	3 év (1 év az akkura és töltőre)	Szerviz, Világ	6 cellás/3,0 Ah-s (65 Wh-s) lítiumion akkumulátor	DVD író	Mobile Intel® HM76 Express chipkészlet	Játék/3D grafika	Notebook / Laptop	Új	Kék hátlap	Igen	1000 GB	HDD	5400RPM SATA merevlemez, 2.5"		Magyar, Numerikus billentyűzet			Sztereó hangszórók Waves MaxxAudio® 4 feldolgozássalBeépített digitális mikrofon	Bluetooth, USB 3.0, HDMI, Webkamera, Memóriakártya olvasó	Bluetooth 4.0, HDMI 1.4a, USB 3.0 (2) USB 2.0 (2)	8 az 1-ben memóriakártya-olvasó (nagy sebességű SD, nagy kapacitású SD, MMC, MS, MS-PRO, SD, SDXC, xD)	Natív HD 1,0 MP webkamera digitális mikrofonnal	WLAN	Wireless 802.11bgnIntegrált Ethernet 10/100	Külön vásárolható	Linux	Szélesség: 376 mm Magasság: elöl 24,9 mm/ hátul 31,3 mm, 6 cellás, 65 Wh-s akkumulátorral Mélység: 259 mm		Tálcás betöltésű 8X DVD+/-RW, SATA	64 bit	Magyar, Választható, Angol	2048 MB				
Acer Aspire V5-573-54204G1TAMM	9.4413189304666E+50 Ft	15,6 "	1366x768 WXGA HD	LED, Matt	Acer ComfyView™	Intel®	Core i5	4200U 1,6 GHz	3M Cache, max. 2.60 GHz	4 GB	DDR3 1600 MHz	alaplapon, 1 soDIMM hely, max. 12GB				Intel	HD Graphics 4400	Alaplapi integrált		2.0 kg	2 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	53 Wh 3560 mAh 15 V 4-cellás Li-polymer max. 7,5h	Nincs		2 kg alatt, Általános otthoni/irodai	Notebook / Laptop	Új	Arany hátlap	Igen	1000 GB	HDD	5400rpm Serial ATA		Numerikus billentyűzet, Magyar	105-/106-/109-gombos FineTouch™	Acer ZoomPerfect touchpad	Dolby Digital Home Theater® v4 audio 4 hangszóró, digitális mikrofon Combo audio jack	Webkamera, Memóriakártya olvasó, Bluetooth, VGA, HDMI, USB 3.0	Bluetooth 4.0, HDMI®, Acer Converter port, 1* USB 3.0, 2* USB 2.0	Secure Digital (SD) kártyaolvasó	Acer Crystal Eye 720p HD Webkamera, 1280 x 720	WLAN	Acer InviLink™ Nplify™ 802.11a/b/g/n Wi-Fi Gigabit Ethernet	Külön vásárolható	Linux	381.6 (W) x 255.95 (D) x 18/20.75 (H) mm						Acer Converter kábel (VGA-out)			
Toshiba Satellite C55-A-1F5	9.0476189668558E+36 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	Nagy fényerejű Toshiba TruBrite®	Intel®	Core i3	3110M 2.40GHz	3. szintű gyorsítótár : 3 MB	4 GB	DDR3 1600 MHz	1x4096, bővíthetőség felső határa : 16,384 MB				nVidia	GeForce® 710M 1GB DDR3	Dedikált, saját memóriával		min. 2,3 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Szerviz, Nemzetközi	technológia : lítiumionos maximális üzemidő : akár 4 óra (Mobile Mark™ 2012)	DVD író		Játék/3D grafika	Notebook / Laptop	Új	Csillogó fehér felület, fehér billentyűzet	Igen	750 GB	HDD	5,400 fordulat/perc	CUDA™ technológiával csatlakoztatott busz : PCI Express®	Magyar, Numerikus billentyűzet	billentyűk : 102 Windows billentyűk : Igen speciális szolgáltatások : Matt fehér billentyűzet tízjegyű számbillentyűzettel	Különböző görgetési, nagyítási és indítási funkciók közvetlen használatát támogató, többérintéses vezérlésre alkalmas érintőtábla	támogatott hangformátum : 24 bites sztereó hangszórók : beépített sztereó hangszórók gyártó : Realtek ALC269Q-VB5-GR 1 × külső mikrofon 1 × sztereó fejhallgató	USB 3.0, Memóriakártya olvasó, Webkamera, HDMI, Bluetooth, VGA	Bluetooth® 4.0 + LE 1 × külső monitor, 1 × HDMI-kimenet, 1080p jelformátum támogatása2 × USB 2.0, 1 × USB 3.0	1 × Univerzális kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™, 64 GB-os SDXC™ és 2 GB-os MultiMedia Card™ kártyákhoz)	0,9 megapixel HD webkamera(1280 x 720) mikrofonnal	WLAN	Wi-Fi® Hálózati támogatás : 802.11b/g/nFast Ethernet hálózati csatoló	Windows 8	DTS® Sound McAfee LiveSafe™ - 30 nap TOSHIBA Desktop Assist TOSHIBA Display Utility TOSHIBA Eco Utility™ TOSHIBA PC Health Monitor TOSHIBA System Settings TOSHIBA funkcióbillentyű-kezelő TOSHIBA médialejátszó (sMedio TrueLink+)	Sz x H x M : 380 x 242 x 30,8 (elöl) / 33,35 (hátul) mm		Univerzális kétrétegű, vékony DVD-meghajtó	64 bit	Választható, Magyar, Angol	1024 MB			előtelepítve	
HP-Compaq ProBook 430 G1	9.4413189770951E+40 Ft	13,3 "	1366x768 WXGA HD	LED, Matt	csillogásmentes	Intel®	Core i5	4200U 1,6 GHz	3 MB gyorsítótár, 2 mag	4 GB	DDR3 1600 MHz	2 SODIMM hely, Legfeljebb 16 GB DDR3L SDRAM				Intel	HD Graphics 4400	Alaplapi integrált		1,5 kg kezdősúly(a súly a konfigurációtól függően változik)	3 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	4 cellás (44 WHr) lítiumion	Nincs		2 kg alatt, Üzleti	Notebook / Laptop	Új	Fekete hátlap	Igen	500 GB	HDD	5400 f/p SATAHP 3D DriveGuard		Magyar	Teljes méretű, cseppálló billentyűzet	Kézmozdulatokat támogató érintőtábla LED-es be- és kikapcsoló gombbal, kétirányú görgetéssel és két gombbal	DTS Sound+ Beépített sztereó hangszórók Beépített kétcsatornás mikrofon Sztereó fejhallgató/vonali kimenet Sztereó mikrofon/vonali bemenet	Bluetooth, VGA, HDMI, Memóriakártya olvasó, USB 3.0, Webkamera	Bluetooth 4.02 USB 3.0 1 USB 2.0 1 HDMI1 VGA	1 Secure Digital	720p HD webkamera	WLAN, WWAN modem (HSDPA/3G/4G)	HP hs3110 HSPA+ mobil szélessávú modulMediatek 802.11b/g/n (1x1) WLAN Realtek Ethernet (10/100/1000)	Windows 7 / 8 Pro	HP vezeték nélküli hozzáférési pont Cyberlink Media Suite HP ePrint SMS Roaming riasztás HP Mobile Connect HP gyorsbillentyűk támogatása HP 3D Driveguard Winzip PDF Complete Corporate Edition Skype-kompatibilis HP Recovery Manager Evernote HP Support Assistant Office vásárlása Intel Wireless Display	32,6 x 23,35 x 2,1 cm (elöl)			64 bit	Angol, Magyar, Választható					
Lenovo ThinkPad Edge E130	1.2613399895662E+35 Ft	11,6 "	1366x768 WXGA HD	Matt, LED	anti-glare, 200 nit, 400:1	Intel®	Core i3	3227U 1,9GHz	3M Cache	4 GB	DDR3 1600 MHz	max. 8GB				Intel	HD Graphics 4000	Alaplapi integrált		1,47kg	3 év (1 év az akkura és töltőre)	Világ, Szerviz	6 cellás Li-Ion 62 Whmax. 8,5h	Nincs	Mobile Intel HM77 Express Chipset	2 kg alatt, Üzleti	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	HDD	7200rpm, 2,5 hüvelykes (7 mm magas) HDDActive Protection System™, Lenovo Hard Disk Drive Performance Booste		Magyar	6 soros billentyűzet, cseppállóFn gomb	UltraNav mutatóeszköz (TrackPoint és multi-touch érintőfelület)	Dolby® Advanced Audio™ v2sztereo hangszórók, beépített mikrofonCombo audio jack csatlakozó	Bluetooth, Memóriakártya olvasó, Webkamera, USB 3.0, HDMI	Bluetooth 4.0, USB 3.0 (x3), powered USB 2.0, HDMI	4-in-1 Memóriakártya olvasó (MMC, SD, SDHC, SDXC)	720p HD Webkamera	WLAN	ThinkPad 11b/g/n WiFiRealtek® RTL8111F 10/100/1000 Ethernet	Külön vásárolható	DOS	287*212*23mm	Video megtekintése ->								
Asus X550LB-XO113D	1.2613399896686E+31 Ft	15,6 "	1366x768 WXGA HD	Matt, LED		Intel®	Core i3	4010U 1,70GHz	3M Cache	4 GB	DDR3 1600 MHz	(DDR3L) 1 slot / max. 4GB				nVidia	GeForce® GT 740M 2GB	Dedikált, saját memóriával		2.3 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	4 cellás 2600 mAh 37 wattóra	DVD író		Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	1000 GB	HDD	5400rpm SATA		Magyar, Numerikus billentyűzet			SonicMaster hangszórók és mikrofon 1 x COMBO audio jack	Webkamera, USB 3.0, Memóriakártya olvasó, VGA, Bluetooth, HDMI	Bluetooth 4.01 x VGA port/Mini D-sub 15-pin 2 x USB 3.0 port1 x USB 2.0 port1 x HDMI	3 -in-1 Memóriakártya olvasó (SD/ SDHC/ SDXC)	720p HD Webkamera	WLAN	802.11 b/g/n WiFi10/100/1000 Mb/s LAN	Külön vásárolható	FreeDOS	38.0 x 2.51 x 2.48 ~3.17 cm (WxDxH)		Super-Multi DVD			2048 MB				
Acer Aspire E1-570G-53334G1TMnkk	1.2676391893047E+36 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes	Acer CineCrystal	Intel®	Core i5	3337U 1,8 GHz	max. 2,70GHz / 3MB cache	4 GB		2 slot / max. 8GB				nVidia	GeForce GT 720M 1GB	Dedikált, saját memóriával		2.35 kg	2 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	37 Wh 2500 mAh 14.8 V 4-cellás Li-ion4.5 óra (MobileMark® 2007 teszt)3 óra (MobileMark® 2012 teszt)	DVD író	Mobile Intel® HM77 Express Chipset	Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	1000 GB	HDD	SATA		Magyar, Numerikus billentyűzet	105-/106-/109-gombos FineTouch	Multi-gesture touchpad	High-definition audiosztereo hangszórók, mikrofonHeadphone/speaker jack	HDMI, USB 3.0, Webkamera, Memóriakártya olvasó, VGA, Bluetooth	Bluetooth 4.0, HDMI®, VGA, USB 3.0, 2*USB 2.0	SD kártyaolvasó	Acer Crystal Eye 720p HD webkamera	WLAN	Acer InviLink Nplify 802.11b/g/n wifiGigabit Ethernet	Külön vásárolható	Boot-up Linux	381.6 (W) x 256 (D) x 12.07/25.3 (H) mm		8X DVD-Super Multi double-layer			1024 MB				
Lenovo ThinkPad Edge E330	1.4196043647619E+40 Ft	13,3 "	1366x768 WXGA HD	LED, Matt	200 nit, 400:1	Intel®	Core i3	3120M 2,50GHz	3M Cache	4 GB	DDR3 1600 MHz	1x4GB. max. 8GB				Intel	HD Graphics 4000	Alaplapi integrált		1.8 kg	3 év (1 év az akkura és töltőre)	Világ, Szerviz	6 cellás 62Wh Li-Ionmax. 8 óra	Nincs	Mobile Intel HM77 Express Chipset	2 kg alatt, Üzleti	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	HDD	7200rpm SATA Gen-2 3Gbps Active Protection System™		Magyar	"Island Style" cseppálló, ThinkLight megvilágítás	UltraNav: multi-touch touch pad és TrackPoint	Dolby® Advanced Audio™ v2Realtek ALC269 codec 2* 2W Sztereo hangszórók, mikrofonCombo mic/headphone Jack	VGA, Memóriakártya olvasó, Webkamera, USB 3.0, Bluetooth, HDMI	Bluetooth 4.0, USB 3.0 (x3), powered USB 2.0, HDMI 1.4 Type A, VGA	4-in-1 kártya olvasó (MMC, SD, SDHC, SDXC)	720p HD Webkamera	WLAN	Intel 2x2 b/g/n WiFi Gigabit Ethernet	Külön vásárolható	DOS	322*228*27.8 mm									
HP-Compaq Pavilion 17-e051sh	1.2818123892102E+27 Ft	17,3 "	1600x900 WXGA HD+	Fényes, LED	BrightView	AMD	A4-Series	A4-5150M 2,7 GHz	kétmagos, 1 MB gyorsítótár	8 GB		(2 x 4 GB) DDR3, 2 DIMM				AMD/ATI	Radeon HD 8350G/8670M 1GB DDR3	Dedikált, saját memóriával		Kezdő súly: 2,9 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	6 cellás lítiumion	DVD író	AMD A76M FCH	Játék/3D grafika, Multimédiás	Notebook / Laptop	Új	Csillogó fekete, apró mintával, eloxált ezüst borítás	Nem	1000 GB	HDD	5400 f/p SATA	kettős GPU	Magyar, Numerikus billentyűzet	Teljes méretű, sziget stílusú textúrával, számbillentyűzettel	Érintőtábla ki-/bekapcsoló gombbal és multi-touch kézmozdulatok támogatásával	DTS hang + két hangszóróval 1 fejhallgató-kimenet1 mikrofonbemenet	HDMI, USB 3.0, Webkamera, Memóriakártya olvasó, VGA, Bluetooth	Bluetooth1 VGA1 HDMI1 USB 2.02 USB 3.0	Többformátumú digitális kártyaolvasó MMC és SD kártyákhoz	HP TrueVision HD webkamera tevékenységérzékelő LED-del és beépített digitális mikrofonnal	WLAN	802.11b/g/n WLAN10/100 BASE-T Ethernet LAN	Külön vásárolható	FreeDOS	42 x 26,7 x 3,28 cm		SuperMulti DVD±R/RW kétrétegű támogatással			1024 MB				
