TermékNév	Ár	TFT Méret	TFT Felb.	CPU Típus	CPU Frek.	RAM Méret	RAM Típus	HDD Méret	HDD Seb.	GPU Típus	GPU RAM	Súly	Gar.	Akku	ODD	OS	Beépített tárhely	Audio	LAN	WLAN	Modem	Portok	CR	Méret	Bill.	Egyéb	Állapot	Ajándék	2. Merevlemez mérete	2. Merevlemez sebessége
Samsung Ativ Book 2 NP270E5U Notebook	91331 Ft	15.60 inch	WXGA (1366x768) LED	Intel Pentium processzor 2117U	1800 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	Intel HD Graphics 4000	- MB	2.20 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	FreeDOS		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, Bluetooth, HDMI, VGA	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Sony XPERIA SGPT121E2/S.E2 Notebook	91331 Ft	9.40 inch	WXGA (1280x800)	ARM Cortex processzor Cortex A9 Quad Core	1400 MHz	1024 MB	DDR3 SDRAM			-	- MB	0.57 Kg	2 év	6000 mAh	-	Android 4.1	16 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, Micro USB	micro SD, Memóriakártya-olvasó	174,4 x 8,8 x 239,8 mm	egyéb	Front Camera, Érintőképernyő, Back Camera, Flash memória, 16GB	új				
Acer E1-571-33114G50Maks Notebook	113378 Ft	15.60 inch	WXGA (1366x768) LED	Intel® Core™ i3 processzor 3110M	2400 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel® UMA	- MB	2.40 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Samsung Galaxy Tab 3 8.0 WiFi + 3G + 16GB Notebook	99205 Ft	8.00 inch	WXGA (1280x800)	ARM Cortex processzor Cortex A9 Dual Core	1500 MHz	1536 MB	DDR3 SDRAM			-	- MB	0.31 Kg	2 év	4450 mAh	-	Android Jelly Bean 4.2	16 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, Micro USB	micro SD, Memóriakártya-olvasó	209.8 x 123.8 x 7.4 mm	egyéb	Érintőképernyő, Flash memória, 16GB, Front Camera, Back Camera, GPS	új				
Lenovo IdeaPad G500 Texture Notebook	129126 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3230M	2600 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	-	- MB	2.30 Kg	2 év	6 mAh	DVD+-RW	FreeDOS		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Lenovo Ideapad G700 Notebook	190543 Ft	17.30 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i7 processzor 3612QM	3100 MHz	8192 MB	DDR3 1600MHz	1000 GB	5400 rpm	nVIDIA GeForce GT 720M	2048 MB	2.90 Kg	2 év	6 mAh	DVD SuperMulti	FreeDOS		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0			magyar	HD Webcamera	új		8 GB		
Dell Inspiron 3521 Notebook	144087 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3227U	1800 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	Radeon™ HD 7670M	1024 MB	2.37 Kg	3 év	6 mAh	DVD+-RW	Linux		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Lenovo IdeaPad G500s Notebook	140150 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3230M	2600 MHz	4096 MB	DDR3 1600MHz	1000 GB	5400 rpm	nVIDIA GeForce GT 720M	2048 MB	2.60 Kg	2 év	6 mAh	DVD+-RW	FreeDOS		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, HDMI, 2xUSB 3.0, Bluetooth	Memóriakártya-olvasó		magyar	HD Webcamera	új		8 GB		
Acer E1-531G-20204G75Maks Notebook	102354 Ft	15.60 inch	WXGA (1366x768)	Intel Pentium processzor 2020M Dual Core	2400 MHz	4096 MB	DDR3 SDRAM	750 GB	5400 rpm	nVIDIA GeForce GT 710M	2048 MB	2.40 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	igen	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Samsung Galaxy Note 8.0 Notebook	103929 Ft	8.00 inch	WXGA (1280x800)	ARM Cortex processzor Cortex A9 Quad Core	1600 MHz	2048 MB	DDR3 SDRAM			-	- MB	0.34 Kg	2 év	4600 mAh	-	Android 4.1	16 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth	micro SD, Memóriakártya-olvasó	135,9 x 210,8 x 7,95 mm	egyéb	Érintőképernyő, Flash memória, 16GB, Front Camera, Back Camera	új				
Acer Mini V5-122P-42154G50nbb Notebook	106291 Ft	11.60 inch	Multi-Touch (1366x768) LED	AMD A series processzor A4-1250 Dual Core	1000 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	AMD UMA	- MB	1.00 Kg	2 év	3 mAh	opció	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Acer E1-731-20204G1TMnii Notebook	106291 Ft	17.30 inch	WXGA (1366x768)	Intel Pentium processzor 2020M Dual Core	2400 MHz	4096 MB	DDR3 SDRAM	1000 GB	5400 rpm	Intel® UMA	- MB	2.40 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	igen	opció	3xUSB 2.0, VGA, HDMI	Memóriakártya-olvasó		magyar	Webcamera	új				
Acer Mini V5-122P-42154G50nss Notebook	106291 Ft	11.60 inch	Multi-Touch (1366x768) LED	AMD A series processzor A4-1250 Dual Core	1000 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	AMD UMA	- MB	1.00 Kg	2 év	3 mAh	opció	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Dell Inspiron 3721 Notebook	135425 Ft	17.30 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i3 processzor 3227U	1900 MHz	4096 MB	DDR3 1600MHz	1000 GB	5400 rpm	Intel HD Graphics 4000	- MB	2.37 Kg	3 év	4 mAh	DVD+-RW	Linux		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Samsung Ativ Book 2 NP270E5E Notebook	102354 Ft	15.60 inch	WXGA (1366x768) LED	Intel Pentium processzor 2117U	1800 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	Intel® HD Graphics	- MB	2.20 Kg	2 év	6 mAh	-	Windows 8 64bit HUN		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, Bluetooth, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Samsung Ativ Book 2 VE NP270E5G Notebook	106291 Ft	15.60 inch	WXGA (1366x768) LED	Intel Pentium processzor 2117U	1800 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	Intel HD Graphics 4000	- MB	2.20 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Windows 8 64bit HUN		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, Bluetooth, HDMI, VGA	Memóriakártya-olvasó, SD, SDHC, SDXC		magyar	HD Webcamera	új				
Gigabyte S1082 Notebook	107866 Ft	10.10 inch	Multi-Touch (1366x768) LED	Intel® Celeron™ Dual Core processzor 847	1100 MHz	4096 MB	DDR3 SDRAM			Intel® HD Graphics	- MB	0.79 Kg	1 év	4000 mAh	-	Windows 8 SST	64 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, Micro USB	micro SD, Memóriakártya-olvasó	270 x 173 x 14.94 mm	egyéb	Webcamera, Érintőképernyő, Flash memória, 64GB	új				
Lenovo IdeaPad S210 Touch Notebook	108654 Ft	11.60 inch	Multi-Touch (1366x768) LED	Intel Pentium processzor 2117U	1800 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel® GMA HD	- MB	1.80 Kg	2 év	3 mAh	opció	Windows 8 Professional 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, Bluetooth, HDMI	Memóriakártya-olvasó		magyar	Webcamera	új				
Acer TMB113-E-21174G50tkk_LIN Notebook	110228 Ft	11.60 inch	WXGA (1366x768) LED	Intel Pentium processzor 2117U	1800 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel HD Graphics 4000	- MB	1.90 Kg	3 év	4 mAh	opció	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, VGA, HDMI, USB 2.0, 3xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Acer TMP253-M-33114G50Maks Notebook	110228 Ft	15.60 inch	WXGA (1366x768) LED	Intel® Core™ i3 processzor 3110M	2400 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel® UMA	- MB	2.40 Kg	3 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI, Infra	Memóriakártya-olvasó		magyar	Webcamera	új				
HP Pavilion 17-E050SH Notebook	110228 Ft	17.30 inch	HD+ WUGA (1600x900) LED	AMD A series processzor A4-5000M	1500 MHz	4096 MB	DDR3 1600MHz	750 GB	5400 rpm	AMD Radeon™ HD 8330G	- MB	2.90 Kg	2 év	6 mAh	DVD+-RW	FreeDOS		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Lenovo Ideapad G710 Notebook	110228 Ft	17.30 inch	WUGA (1600x900) LED	Intel Pentium processzor 3350M Dual Core	2300 MHz	4096 MB	DDR3 1600MHz	1024 GB	5400 rpm	Intel® HD Graphics	- MB	2.90 Kg	2 év	6 mAh	DVD+-RW	FreeDOS		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, HDMI, 1xUSB 3.0, VGA, Bluetooth	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Toshiba Satellite M50D-A-10W Notebook	111803 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD A series processzor A4-5000	1500 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	AMD GMA HD	- MB	2.30 Kg	2 év	3 mAh	opció	opció		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 3.0, Bluetooth, HDMI, USB 2.0	Memóriakártya-olvasó		magyar	HD Webcamera	új	1éves McAfee Antivirus Plus 2013			
Acer Mini V5-122P-61454G50nss Notebook	114165 Ft	11.60 inch	Multi-Touch (1366x768) LED	AMD A series processzor A6-1450 Quad Core	1000 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	AMD UMA	- MB	1.00 Kg	2 év	3 mAh	opció	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Lenovo IdeaPad Miix 10 Notebook	114953 Ft	10.10 inch	Multi-Touch (1366x768) LED	Intel® Atom processzor Z2760	1800 MHz	2048 MB	DDR3 SDRAM			Intel® HD Graphics	- MB	0.60 Kg	1 év	6800 mAh	-	Windows 8 MM	64 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, Micro USB	micro SD, Memóriakártya-olvasó	10.43 x 6.81 x 0.39 mm	magyar	Flash memória, 64GB, Érintőképernyő, Front Camera	új				
HP Pavilion 15-E001SH Notebook	115740 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel Pentium processzor 2020M Dual Core	2400 MHz	4096 MB	DDR3 1600MHz	750 GB	5400 rpm	-	- MB	2.35 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	FreeDOS		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Toshiba Satellite C50-A-19U Notebook	115740 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i3 processzor 3110M	2400 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	Intel® GMA HD	- MB	2.30 Kg	2 év	6 mAh	opció	Windows 8 64bit HUN		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új	1éves McAfee Antivirus Plus 2013			
Toshiba Satellite C50-A-1FX Notebook	115740 Ft	15.60 inch	WXGA (1366x768)	Intel Pentium processzor 2020M Dual Core	2400 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	nVIDIA GeForce GT 710M	- MB	2.30 Kg	2 év	6 mAh	opció	Windows 8 64bit HUN		igen	WLAN a/b/g/n, 10/100Mbps	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új	1éves McAfee Antivirus Plus 2013			
Acer TMB113-M-33214G50tkk_LIN Notebook	122827 Ft	11.60 inch	WXGA (1366x768) LED	Intel® Core™ i3 processzor 3217U	1800 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel HD Graphics 4000	- MB	1.90 Kg	3 év	4 mAh	opció	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 3xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Toshiba Satellite C855-2FG Notebook	122827 Ft	15.60 inch	HD WXGA (1366x768)	Intel® Core™ i5 processzor 3230M	1 MHz	4096 MB	DDR3 1600MHz	750 GB	5400 rpm	Intel HD Graphics 4000	- MB	2.30 Kg	2 év	6 mAh	DVD+-RW Dual Layer	opció		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Acer V5-572G-33214G1Takk Notebook	123614 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i3 processzor 3217U	1800 MHz	4096 MB	DDR3 SDRAM	1000 GB	5400 rpm	nVIDIA GeForce GT 720M	2048 MB	2.10 Kg	2 év	4 mAh	opció	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 1xUSB 3.0, VGA	Memóriakártya-olvasó		magyar	Billentyűzet megvilágítás, Webcamera	új				
Acer E1-772-34004G1TMnsk Notebook	123614 Ft	17.30 inch	WUGA (1600x900) LED	Intel® Core™ i3 processzor 4000M	2400 MHz	4096 MB	DDR3 SDRAM	1000 GB	5400 rpm	Intel® UMA	- MB	3.20 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	WLAN a/b/g/n, 10/100Mbps	igen	opció	USB 2.0, Bluetooth, VGA, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Dell Vostro 2521 Notebook	147236 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3337U	2700 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	AMD Radeon™ HD 7670M	1024 MB	2.36 Kg	3 év	6 mAh	DVD+-RW	Linux			10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	Memóriakártya-olvasó		magyar	Webcamera	új				
Lenovo IdeaPad YOGA Notebook	126764 Ft	11.60 inch	HD WXGA (1366x768) LED	NVIDIA® Tegra™ processzor T30	1500 MHz	2048 MB	DDR3 1600MHz	1000 GB		Intel® HD Graphics	- MB	1.24 Kg	3 év	4 mAh	opció	Windows RT		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, HDMI, VGA, Bluetooth	Memóriakártya-olvasó		magyar	Webcamera	új				
Samsung Ativ Book 4 NP450R5V Notebook	126764 Ft	15.60 inch	WXGA (1366x768) LED	Intel® Core™ i3 processzor 3120M	2500 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	nVIDIA GeForce GT 710M	2048 MB	2.00 Kg	2 év	3 mAh	opció	FreeDOS		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0			magyar	HD Webcamera	új				
Dell Inspiron 3537 Notebook	148811 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 4200U	1600 - 2600 MHz	6144 MB	DDR3 1600MHz	1024 GB	5400 rpm	AMD Radeon HD 8670M	2048 MB	2.37 Kg	3 év	6 mAh	DVD+-RW	Linux		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
HP Slatebook X2 10-h010sn Notebook	129126 Ft	10.10 inch	FULL HD (1920x1080) LED	NVIDIA® Tegra™ processzor 4 Quad Core	1800 MHz	2048 MB	DDR3 SDRAM			-	- MB	0.13 Kg	2 év	4400 mAh	opció	Android Jelly Bean 4.2	32 GB	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, HDMI, Micro USB	Memóriakártya-olvasó	19.38 x 25.8 x 2.05 mm	egyéb	Front Camera, Back Camera, Érintőképernyő, Flash memória, 32GB	új				
Samsung Ativ Book 5 NP535U3C Notebook	129913 Ft	13.30 inch	WXGA (1366x768) LED	AMD A series processzor A4-4355M	1900 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	AMD Radeon™ HD 7400G	- MB	1.52 Kg	2 év	4 mAh	opció	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0		218.9 x 14.9 x 17.6 mm	magyar	HD Webcamera	új				
Lenovo ThinkPad Edge E530c Notebook	191331 Ft	15.60 inch	HD WXGA (1366x768)	Intel® Core™ i5 processzor 3230M	2600 MHz	4096 MB	DDR3 1600MHz	1000 GB	5400 rpm	Intel® HD Graphics	- MB	2.44 Kg	2 év	6 mAh	DVD+-RW Dual Layer	Windows 7 Professional		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, HDMI, 3xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
HP Pavilion 17-E051SH Notebook	132276 Ft	17.30 inch	HD+ WUGA (1600x900) LED	AMD A series processzor A4-5150M	2700 MHz	8196 MB	DDR3 1600MHz	1000 GB	5400 rpm	-	1024 MB	2.90 Kg	2 év	6 mAh	DVD+-RW	FreeDOS		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Toshiba Satellite C55-A-1P2 Notebook	133850 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i5 processzor 4200M	2500 MHz	4096 MB	DDR3 1600MHz	1024 GB	5400 rpm	Intel HD Graphics 4000	- MB	2.30 Kg	2 év	6 mAh	DVD+-RW Dual Layer	opció		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Dell Inspiron 5537 Notebook	170071 Ft	15.60 inch	WXGA (1366x768) LED	Intel® Core™ i5 processzor 4200U	1600 MHz	8192 MB	DDR3 1600MHz	1000 GB	5400 rpm	AMD Radeon™ HD 8850M	2048 MB	2.37 Kg	3 év	6 mAh	DVD+-RW	Linux		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Dell Latitude E5537 Notebook	135425 Ft	15.60 inch	WXGA (1366x768) LED	Intel® Core™ i3 processzor 4010U	1700 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	AMD Radeon HD 8670M	2048 MB	2.37 Kg	3 év	6 mAh	DVD+-RW	Linux		igen	WLAN a/b/g/n, 10/100Mbps	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Lenovo ThinkPad Edge E535 Notebook	101090 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD A series processzor A4-3300M	1900 - 2500 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	AMD Radeon™ integrated graphics	- MB	2.36 Kg	1 év	6 mAh	DVD+-RW	Android 2.2		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	4xUSB 2.0, VGA, Bluetooth, HDMI, eSATA	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Lenovo ThinkPad Edge E330 Notebook	135425 Ft	13.30 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 3120M	2500 MHz	4096 MB	DDR3 1600MHz	500 GB	7200 rpm	Intel® HD Graphics	- MB	1.80 Kg	2 év	6 mAh	opció	FreeDOS		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, HDMI, 2xUSB 3.0, USB 2.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Toshiba Satellite C55-A-10F Notebook	135425 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i5 processzor 3230M	2600 MHz	4096 MB	DDR3 1600MHz	750 GB	5400 rpm	Intel HD Graphics 4000	- MB	2.30 Kg	2 év	6 mAh	DVD+-RW Dual Layer	opció		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Acer TMP643-M-33114G50Mtkk_LIN Notebook	136213 Ft	14.00 inch	WXGA (1366x768) LED	Intel® Core™ i3 processzor 3110	2400 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel HD Graphics 4000	- MB	1.90 Kg	3 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 3.0, Bluetooth, HDMI, USB 2.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Toshiba Satellite C55-A-1F5 Notebook	137000 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i3 processzor 3110M	2400 MHz	4096 MB	DDR3 1600MHz	750 GB	5400 rpm	nVIDIA GeForce GT 710M	- MB	2.30 Kg	2 év	6 mAh	opció	Windows 8 64bit HUN		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Lenovo ThinkPad Edge E531 Notebook	218102 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i5 processzor 3230M	2600 MHz	4096 MB	DDR3 1600MHz	500 GB	7200 rpm	nVIDIA GeForce GT730M	2048 MB	2.44 Kg	2 év	6 mAh	DVD+-RW Dual Layer	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Ujjlenyomat olvasó, Webcamera	új				
Acer Mini V5-132P-3322Y4G50nbb Notebook	140150 Ft	11.60 inch	Multi-Touch (1366x768) LED	Intel® Core™ i3 processzor 3229Y	1400 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel® UMA	- MB	1.00 Kg	2 év	3 mAh	opció	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Lenovo IdeaPad S510p Ultra Slim Notebook	174008 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 4200U	1 MHz	4096 MB	DDR3 1600MHz	1000 GB	5400 rpm	nVIDIA GeForce GT 720M	2048 MB	2.40 Kg	2 év	4 mAh	DVD+-RW	Windows 8 64bit HUN		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új		8 GB		
Toshiba Satellite C55-A-132 Notebook	141724 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i5 processzor 3230M	2600 MHz	4096 MB	DDR3 1600MHz	750 GB	5400 rpm	nVIDIA GeForce GT 710M	- MB	2.30 Kg	2 év	6 mAh	DVD+-RW Dual Layer	opció		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Samsung Ativ Book 4 NP450R5E Notebook	143299 Ft	15.60 inch	WXGA (1366x768) LED	Intel® Core™ i3 processzor 3120M	2500 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	nVIDIA GeForce GT 710M	2048 MB	2.00 Kg	2 év	3 mAh	opció	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0			magyar	HD Webcamera	új				
Lenovo ThinkPad Edge E431 Notebook	144874 Ft	14.00 inch	HD WXGA (1366x768)	Intel® Core™ i3 processzor 3120	2500 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	nVIDIA GeForce GT 710M	1024 MB	2.44 Kg	2 év	6 mAh	DVD+-RW Dual Layer	FreeDOS		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
