TermékNév	Ár	TFT	TFT Szabány	TFT Méret	TFT Méret +	TFT Felb.	TFT X	TFT Y	TFT Arány	TFT Típus	TFT Touch	TFT Fok	TFT Színhű	CPU	CPU Gyártó	CPU Család	CPU Magok	CPU Frek.	CPU Turbo	CPU SS	CPU Cache	CPU RAM Max	CPU 64	CPU Tech	CPU Wh	CPU Virt	CPU HT	RAM	RAM Méret	RAM Típus	HDD	HDD Típus	HDD 2	HDD 2 Típus	GPU	GPU Gyártó	GPU Család	GPU Típus	GPU Mem	GPU Mem Típus	GPU Tech	GPU DX	GPU Shader	GPU OGL	Súly	Akku	Akku Cella	Akku Wh	Akku Típus	Akku Idő	ODD	ODD Hely	ODD CD	ODD DVD	ODD BR	OS	OS Család	OS Típus	OS Nyelv	OS 32/64	Modell	Kategória	Egyéb	LAN	WLAN	BT	CR	USB	VGA ki	HDMI	Audio	Mikrofon	Kamera	Bill.	Bill. Szín	Bill. Gombok	FP	Kensington	Széles	Mély	Magas	HDD RPM	HSDPA	ExpressCard	Dokk	USB 3	eSata	FW	DP	Mikrofon be	Bill. Num	Multitouch	AC	Backlit KB	TPM	Utazó akkumulátor csatlakozó	Modem	Com	Éjjeli megvilágítás	Beépített kamera	Vonal bemenet	TFT 3D
TOSHIBA Portégé R930 notebook	277086 Ft	13.3" HD (1366x768) AG LED	WXGA	13,3 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3340M	Intel	Core i5	2	2,70 GHz	3,4 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	1,5 kg						DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 8 Pro 64bit hun	Windows 8	Professional	Magyar	64 bit	TOSHIBA Portégé R	közép kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	2 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	316 mm	227 mm	18 mm	7200 fordulat/perc	3G/HSDPA		Igen	2 db USB3	Igen			Igen			65 W										
DELL Latitude E6330 notebook	274724 Ft	13.3" HD (1366x768) AG LED	WXGA	13,3 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3340M	Intel	Core i5	2	2,70 GHz	3,4 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	750 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	1,6 kg	DELL Latitude E6330 6-cell	6	65 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	DELL Latitude E6xxx	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	5	Igen	Igen	335 mm	223 mm	25 mm	7200 fordulat/perc	foglalat	Igen	Igen	2 db USB3	Igen			Igen		Igen	65 W	Igen									
DELL Inspiron 7537 notebook (alu)	177086 Ft	15.6" HD (1366x768) TrueLife LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 4200U	Intel	Core i5	2	1,60 GHz	2,6 GHz	Igen	3 MB	16 GB	Igen	22 nm	15 W	Igen	Igen	6GB DDR3	6 GB	DDR3	500 GB	HDD			GeForce GT 750M / 2GB	NVIDIA	GeForce	dedikált (közép kategória)	2,0 GB	GDDR3	28 nm	11,0	5,0	4,2	2,6 kg	DELL Inspiron 7537 6-cell	6	58 Wh	Li-Ion	kiváló						Linux	Linux	FreeDos	Magyar	32 bit	DELL Inspiron 15	közép kategória	otthoni	10/100/1000 gigabit	802.11(a/b/g/n) + WiDi 2x2	Igen	Igen	4 db USB		Igen	Igen	stereo	HD	Magyar billentyűzet	világos alapon sötét karakterek	2	Igen	Igen	379 mm	255 mm	20 mm	5400 fordulat/perc				4 db USB3				Igen	Igen	Igen	90 W	Igen									
SAMSUNG 740U ultrabook	253464 Ft	13.3" Full HD (1920x1080) AG LED	WUXGA	13,3 "	matt	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3337U	Intel	Core i5	2	1,80 GHz	2,7 GHz	Igen	3 MB	32 GB	Igen	22 nm	17 W	Igen	Igen	4GB	4 GB	-	128 GB	SSD			Radeon HD 8750M / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR3	28 nm	11,1	5,0	4,2	1,7 kg	4-cell Lithium-ion (57 WHr)	4	57 Wh	Li-Ion	normál						Windows 8 64bit hun	Windows 8	Home	Magyar	64 bit				10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB		Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek				324 mm	224 mm	19 mm					1 db USB3				Igen				Igen									
LENOVO ThinkPad Edge E431 notebook	251889 Ft	14.0" HD+ (1600x900) AG LED	WXGA++	14,0 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i7 3632QM	Intel	Core i7	4	2,20 GHz	3,2 GHz	Igen	6 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	8GB DDR3	8 GB	DDR3	1000 GB	HDD			GeForce GT 730M / 2GB	NVIDIA	GeForce	dedikált (közép kategória)	2,0 GB	DDR3, GDDR5	28 nm	11,1	5,0	4,1	2,1 kg	LENOVO ThinkPad Edge E431 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 8 Pro 64bit hun	Windows 8	Professional	Magyar	64 bit	LENOVO ThinkPad Edge	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek	5	Igen	Igen	344 mm	239 mm	25 mm	5400 fordulat/perc			Igen	2 db USB3			Igen	Igen													
DELL Vostro 3460 notebook (ezüst)	175511 Ft	14.0" HD (1366x768) AG LED	WXGA	14,0 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 3120M	Intel	Core i3	2	2,50 GHz	2,5 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD	500 GB	HDD	GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,2 kg	DELL Vostro 3460 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 8 64bit hun	Windows 8	Home	Magyar	64 bit	DELL Vostro 3xxx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	345 mm	244 mm	14 mm	7200 fordulat/perc				4 db USB3				Igen		Igen	65 W	Igen									
DELL Vostro 3460 notebook (bronz)	188110 Ft	14.0" HD (1366x768) AG LED	WXGA	14,0 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3230M	Intel	Core i5	2	2,60 GHz	3,2 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD	500 GB	HDD	GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,2 kg	DELL Vostro 3460 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 8 64bit hun	Windows 8	Home	Magyar	64 bit	DELL Vostro 3xxx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	345 mm	244 mm	14 mm	7200 fordulat/perc				4 db USB3				Igen		Igen	65 W	Igen									
HP Probook 6570b notebook	217244 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3230M	Intel	Core i5	2	2,60 GHz	3,2 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,5 kg	HP Probook 6570b 6-cell	6	55 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Hb 32bit hun	Windows 7	Home	Magyar	32 bit	HP ProBook 65xx	közép kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	4 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	374 mm	251 mm	34 mm	7200 fordulat/perc		Igen	Igen	2 db USB3	Igen	Igen	Igen	Igen	Igen	Igen	90 W		Igen			Igen					
TOSHIBA Satellite P855 notebook	240078 Ft	15.6" HD (1366x768) TruBrite LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i7 3630QM	Intel	Core i7	4	2,40 GHz	3,4 GHz	Igen	6 MB	32 GB	Igen	22 nm	45 W	Igen	Igen	8GB DDR3	8 GB	DDR3	1000 GB	HDD			GeForce GT 640M / 2GB	NVIDIA	GeForce	dedikált (felső kategória)	2,0 GB	GDDR3	28 nm	11,1	5,0	4,1	2,9 kg	TOSHIBA Satellite P855 6-cell	6	48 Wh	Li-Ion	normál	Blu-Ray R/RE - DVD+/-RW combo	beépített	ír és olvas	ír és olvas	ír és olvas	Windows 8 64bit hun	Windows 8	Home	Magyar	64 bit	TOSHIBA Satellite P	felső kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	385 mm	253 mm	30 mm	5400 fordulat/perc				4 db USB3				Igen	Igen	Igen	120 W	Igen									
LENOVO Ideapad Y510p notebook	237716 Ft	15.6" Full HD (1920x1080) AG LED	WUXGA	15,6 "	matt	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	nem	normál		Intel Core i7 4700MQ	Intel	Core i7	4	2,40 GHz	3,4 GHz	Igen	6 MB	32 GB	Igen	22 nm	4 W	Igen	Igen	4GB DDR3	4 GB	DDR3	8 GB	SSD	1000 GB	HDD	GeForce 755M GT / 2GB	NVIDIA	GeForce	dedikált (közép kategória)	2,0 GB	GDDR5	28 nm	11,0	5,0	4,4	2,9 kg						DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO IdeaPad Y	közép kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen				5400 fordulat/perc				2 db USB3				Igen	Igen		120 W	Igen									
HP Elitebook 8470p Premium Business notebook (Renew*)	192126 Ft	14.0" HD (1366x768) AG LED	WXGA	14,0 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3320M	Intel	Core i5	2	2,60 GHz	3,3 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	4GB	4 GB	-	320 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,1 kg	HP Elitebook 8470p 3-cell	3	31 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP EliteBook 84xx	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen		Igen	stereo	HD	Nemzetközi billentyűzet	sötét alapon világos karakterek	4	Igen	Igen	338 mm	231 mm	34 mm	7200 fordulat/perc		Igen	Igen	2 db USB3	Igen	Igen	Igen	Igen		Igen	65 W		Igen	Igen	Igen		Igen				
TOSHIBA Satellite P50-A notebook	235354 Ft	15.6" Full HD (1920x1080) TruBrite LED	WUXGA	15,6 "	fényes	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	nem	széles		Intel Core i7 3630QM	Intel	Core i7	4	2,40 GHz	3,4 GHz	Igen	6 MB	32 GB	Igen	22 nm	45 W	Igen	Igen	8GB DDR3	8 GB	DDR3	1000 GB	HDD			GeForce GT 740M / 2GB	NVIDIA	GeForce	dedikált (közép kategória)	2,0 GB	GDDR3	28 nm	11,0	5,0	4,2	2,4 kg						DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 8 64bit hun	Windows 8	Home	Magyar	64 bit	TOSHIBA Satellite P	közép kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	van	Full HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	378 mm	244 mm	26 mm	5400 fordulat/perc				2 db USB3				Igen	Igen		120 W	Igen									
LENOVO ThinkPad X230i notebook	217244 Ft	12.5" HD (1366x768) AG LED	WXGA	12,5 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 3120M	Intel	Core i3	2	2,50 GHz	2,5 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	320 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	1,3 kg	LENOVO ThinkPad X230 6-cell	6	63 Wh	Li-Ion	normál						Windows 8 Pro 64bit hun	Windows 8	Professional	Magyar	64 bit	LENOVO ThinkPad X	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	305 mm	207 mm	19 mm	7200 fordulat/perc	foglalat	Igen		2 db USB3			Igen	Igen		Igen	90 W	Igen									
LENOVO IdeaPad Y510p notebook	231417 Ft	15.6" Full HD (1920x1080) AG WVA LED	WUXGA	15,6 "	matt	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	nem	széles		Intel Core i5 4200M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	32 GB	Igen	22 nm	37 W	Igen	Igen	4GB DDR3	4 GB	DDR3	8 GB	SSD	1000 GB	HDD	GeForce GT 750M / 2GB SLI	NVIDIA	GeForce	dedikált (felső kategória)	2,0 GB	GDDR3	28 nm	11,0	5,0	4,2	2,7 kg	LENOVO IdeaPad Y500 6-cell	6	72 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO IdeaPad Y	közép kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	387 mm	259 mm	30 mm	5400 fordulat/perc				2 db USB3				Igen	Igen	Igen	90 W	Igen									
LENOVO ThinkPad T530i notebook	225118 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 3120M	Intel	Core i3	2	2,50 GHz	2,5 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,5 kg	LENOVO ThinkPad T530 6-cell	6	56 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 8 Pro 64bit hun	Windows 8	Professional	Magyar	64 bit	LENOVO ThinkPad T	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	4	Igen	Igen	373 mm	245 mm	32 mm	7200 fordulat/perc	foglalat	Igen		2 db USB3			Igen	Igen		Igen	90 W	Igen									
TOSHIBA Satellite U840W notebook	229055 Ft	14.4" HD (1792x768) TruBrite LED	-	14,4 "	fényes	HD (720p képes)	1792 pixel	768 pixel	21:9	LED TFT	nem	normál		Intel Core i5 3317U	Intel	Core i5	2	1,70 GHz	2,4 GHz	Igen	3 MB	16 GB	Igen	22 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	32 GB	SSD	320 GB	HDD	GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	1,7 kg											Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	TOSHIBA Satellite U	közép kategória	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek				369 mm	200 mm	20 mm	5400 fordulat/perc				3 db USB3				Igen		Igen	45 W	Igen									
LENOVO ThinkPad T430i notebook	228267 Ft	14.0" HD+ (1600x900) AG LED	WXGA++	14,0 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i3 3120M	Intel	Core i3	2	2,50 GHz	2,5 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,2 kg	LENOVO ThinkPad T430 6-cell	6	56 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 8 Pro 64bit hun	Windows 8	Professional	Magyar	64 bit	LENOVO ThinkPad T	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	4	Igen	Igen	351 mm	232 mm	30 mm	7200 fordulat/perc	foglalat	Igen		2 db USB3			Igen	Igen		Igen	90 W	Igen									
HP Split 13-m103sh x2 tablet számítógép	225118 Ft	13.3" HD Multi-Touch, (1366x768) AG LED	WXGA	13,3 "	matt	HD (720p képes)	1366 pixel	720 pixel	16:9	LED TFT	igen (passzív)	normál		Intel Core i5 4200Y	Intel	Core i5	2	1,40 GHz	1,9 GHz	Igen	3 MB	16 GB	Igen	22 nm	12 W	Igen	Igen	4GB DDR3	4 GB	DDR3	64 GB	SSD	500 GB	HDD	GMA HD4400	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,1	5,0	4,0	2,3 kg	HP Split 3-cell	3	32 Wh	Li-Ion Polymer	kiváló						Windows 8 64bit hun	Windows 8	Home	Magyar	64 bit	HP Split x2	közép kategória	otthoni		802.11(b/g/n)	Igen	Igen	2 db USB		Igen	Igen	stereo	Full HD	Magyar billentyűzet	sötét alapon világos karakterek	2			340 mm	230 mm	23 mm	5400 fordulat/perc				1 db USB3				Igen		Igen	45 W										
DELL Latitude E5540 notebook	221968 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 4200U	Intel	Core i5	2	1,60 GHz	2,6 GHz	Igen	3 MB	16 GB	Igen	22 nm	15 W	Igen	Igen	4GB	4 GB	-	8 GB	SSD	500 GB	HDD	GMA HD4400	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,1	5,0	4,0	2,3 kg	DELL Latitude E5540 6-cell	6	65 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	DELL Latitude E5xxx	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek	5		Igen	379 mm	250 mm	30 mm	5400 fordulat/perc	foglalat	Igen	Igen	2 db USB3				Igen	Igen	Igen	90 W		Igen								
DELL Latitude E5430 notebook DELL Latitude E5430	173937 Ft	14.0" HD (1366x768) AG LED	WXGA	14,0 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3230M	Intel	Core i5	2	2,60 GHz	3,2 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,0 kg	DELL Latitude E5430 6-cell	6	60 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Latitude E5xxx	közép kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	Full HD	Magyar billentyűzet	sötét alapon világos karakterek	5	Igen	Igen	350 mm	240 mm	30 mm	7200 fordulat/perc	foglalat	Igen	Igen	2 db USB3	Igen			Igen		Igen	65 W	Igen									
TOSHIBA Tecra R950 notebook (fekete)	220393 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3230M	Intel	Core i5	2	2,60 GHz	3,2 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,5 kg						DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 8 Pro 64bit hun	Windows 8	Professional	Magyar	64 bit	TOSHIBA Tecra R	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	2 db USB	Igen		Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	379 mm	252 mm	21 mm	7200 fordulat/perc				1 db USB3	Igen		Igen	Igen	Igen												
ACER V3-772G notebook	212519 Ft	17.3" Full HD (1920x1080) AG LED	WUXGA	17,3 "	matt	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	nem	normál		Intel Core i5 4200M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	32 GB	Igen	22 nm	37 W	Igen	Igen	8GB DDR3	8 GB	DDR3	1000 GB	HDD			GeForce GTX 760M / 2GB	NVIDIA	GeForce	dedikált (közép kategória)	2,0 GB	GDDR5	28 nm	11,0	5,0	4,3	3,2 kg	ACER Aspire V3-7xx 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	ACER V3		otthoni	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	415 mm	275 mm	35 mm	5400 fordulat/perc				2 db USB3				Igen	Igen		120 W										
LENOVO Ideapad G710 notebook	212519 Ft	17.3" HD+ (1600x900) VibrantView LED	WXGA++	17,3 "	fényes	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i7 4702MQ	Intel	Core i7	4	2,20 GHz	3,2 GHz	Igen	6 MB	32 GB	Igen	22 nm	37 W	Igen	Igen	8GB DDR3	8 GB	DDR3	8 GB	SSD	1000 GB	HDD	GeForce GT 720M / 2GB	NVIDIA	GeForce	dedikált (belépő szint)	2,0 GB	GDDR3	28 nm	11,0	5,0	4,3	2,9 kg	6-cell Lithium-ion	6	0 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO IdeaPad G	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	418 mm	278 mm	37 mm	5400 fordulat/perc				1 db USB3				Igen	Igen		90 W										
LENOVO IdaePad Z510 notebook	211732 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i7 4702MQ	Intel	Core i7	4	2,20 GHz	3,2 GHz	Igen	6 MB	32 GB	Igen	22 nm	37 W	Igen	Igen	8GB DDR3	8 GB	DDR3	8 GB	SSD	1000 GB	HDD	GeForce GT 740M / 2GB	NVIDIA	GeForce	dedikált (közép kategória)	2,0 GB	GDDR3	28 nm	11,0	5,0	4,2	2,2 kg	4-cell Lithium-ion	4	0 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO IdeaPad Z	felső kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	380 mm	265 mm	26 mm	5400 fordulat/perc				2 db USB3				Igen	Igen	Igen	65 W										
TOSHIBA Satellite U920t notebook (ezüst)	208582 Ft	12.5" Multi-Touch, HD (1366x768) TruBrite LED	WXGA	12,5 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	igen (passzív)	normál		Intel Core i3 3227U	Intel	Core i3	2	1,90 GHz	1,9 GHz	Igen	3 MB	32 GB	Igen	22 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	128 GB	SSD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	1,5 kg											Windows 8 64bit hun	Windows 8	Home	Magyar	64 bit	TOSHIBA Satellite U	közép kategória	otthoni		802.11(b/g/n)	Igen	Igen	2 db USB		Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek				327 mm	213 mm	20 mm					2 db USB3				Igen		Igen	45 W	Igen									
