TermékNév	Ár	TFT	TFT Szabány	TFT Méret	TFT Méret +	TFT Felb.	TFT X	TFT Y	TFT Arány	TFT Típus	TFT Touch	TFT Fok	TFT Színhű	CPU	CPU Gyártó	CPU Család	CPU Magok	CPU Frek.	CPU Turbo	CPU SS	CPU Cache	CPU RAM Max	CPU 64	CPU Tech	CPU Wh	CPU Virt	CPU HT	RAM	RAM Méret	RAM Típus	HDD	HDD Típus	HDD 2	HDD 2 Típus	GPU	GPU Gyártó	GPU Család	GPU Típus	GPU Mem	GPU Mem Típus	GPU Tech	GPU DX	GPU Shader	GPU OGL	Súly	Akku	Akku Cella	Akku Wh	Akku Típus	Akku Idő	ODD	ODD Hely	ODD CD	ODD DVD	ODD BR	OS	OS Család	OS Típus	OS Nyelv	OS 32/64	Modell	Kategória	Egyéb	LAN	WLAN	BT	CR	USB	VGA ki	HDMI	Audio	Mikrofon	Kamera	Bill.	Bill. Szín	Bill. Gombok	FP	Kensington	Széles	Mély	Magas	HDD RPM	HSDPA	ExpressCard	Dokk	USB 3	eSata	FW	DP	Mikrofon be	Bill. Num	Multitouch	AC	Backlit KB	TPM	Utazó akkumulátor csatlakozó	Modem	Com	Éjjeli megvilágítás	Beépített kamera	Vonal bemenet	TFT 3D
DELL Latitude E6530 notebook	331417 Ft	15.6" Full HD (1920x1080) AG LED	WUXGA	15,6 "	matt	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	nem	normál		Intel Core i7 3540M	Intel	Core i7	2	3,00 GHz	3,7 GHz	Igen	4 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	8GB DDR3	8 GB	DDR3	750 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,5 kg	DELL Latitude E6530 6-cell	6	60 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	DELL Latitude E6xxx	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	5	Igen	Igen	384 mm	258 mm	28 mm	7200 fordulat/perc	foglalat	Igen	Igen	2 db USB3	Igen			Igen	Igen	Igen	65 W	Igen									
LENOVO ThinkPad T530 notebook	292047 Ft	15.6" HD+ (1600x900) AG LED	WXGA++	15,6 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3230M	Intel	Core i5	2	2,60 GHz	3,2 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			NVS 5400M / 1GB	NVIDIA	quadro NVS	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,0	2,5 kg	LENOVO ThinkPad T530 6-cell	6	56 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 8 Pro 64bit hun	Windows 8	Professional	Magyar	64 bit	LENOVO ThinkPad T	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	4	Igen	Igen	373 mm	245 mm	32 mm	7200 fordulat/perc	foglalat	Igen		2 db USB3			Igen	Igen		Igen	90 W	Igen			Igen						
HP Elitebook 2570p Premium Business notebook	331417 Ft	12.5" HD (1366x768) AG LED	WXGA	12,5 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3210M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	1,7 kg	HP Elitebook 2570p 6-cell	6	62 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 8 Pro 64bit hun	Windows 8	Professional	Magyar	64 bit	HP EliteBook 25xx	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	2 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	4	Igen	Igen	305 mm	209 mm	27 mm	7200 fordulat/perc		Igen	Igen	1 db USB3	Igen		Igen	Igen		Igen	65 W	Igen	Igen								
LENOVO ThinkPad T430 notebook	259763 Ft	14.0" HD (1366x768) AG LED	WXGA	14,0 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3230M	Intel	Core i5	2	2,60 GHz	3,2 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,2 kg	LENOVO ThinkPad T430 6-cell	6	56 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 8 Pro 64bit hun	Windows 8	Professional	Magyar	64 bit	LENOVO ThinkPad T	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	4	Igen	Igen	351 mm	232 mm	30 mm	7200 fordulat/perc	foglalat	Igen		2 db USB3			Igen	Igen		Igen	90 W	Igen									
Apple Macbook Pro 13.3" notebook	302283 Ft	13.3" HD (1280x800) Glossy LED	WXGA	13,3 "	fényes	HD (720p képes)	1280 pixel	800 pixel	16:9	LED TFT	nem	széles		Intel Core i5 3210M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,0 kg	APPLE Macbook Pro 13" 6-cell	6	63 Wh	Li-Ion Polymer	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Mac OS X 10.7 (Lion)	Mac OS	MAC	Angol	32 bit	APPLE Macbook Pro	felső kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	2 db USB			Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	325 mm	241 mm	23 mm	5400 fordulat/perc				2 db USB3		Igen	Igen	Igen		Igen	60 W	Igen									
HP Elitebook 8470w Mobile Workstation notebook	297558 Ft	14.0" HD+ (1600x900) AG LED	WXGA++	14,0 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3360M	Intel	Core i5	2	2,80 GHz	3,5 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			FirePro M2000 / 1GB	AMD	FirePro	dedikált (közép kategória)	1,0 GB	GDDR5	28 nm	11,0	5,0	4,2	2,3 kg	HP Elitebook 8470w 6-cell	6	62 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP EliteBook 84xx	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	4	Igen	Igen	338 mm	231 mm	32 mm	7200 fordulat/perc	foglalat	Igen	Igen	2 db USB3	Igen	Igen	Igen	Igen		Igen	90 W	Igen									
HP Elitebook 8470p Premium Business notebook	292047 Ft	14.0" HD+ (1600x900) AG LED	WXGA++	14,0 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i7 3540M	Intel	Core i7	2	3,00 GHz	3,7 GHz	Igen	4 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,1 kg	HP Elitebook 8470p 6-cell	6	62 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 8 Pro 64bit hun	Windows 8	Professional	Magyar	64 bit	HP EliteBook 84xx	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	4	Igen	Igen	338 mm	231 mm	34 mm	7200 fordulat/perc		Igen	Igen	2 db USB3	Igen	Igen	Igen	Igen		Igen	90 W										
SONY VAIO Pro SVP1321M2EB notebook (fekete)	281023 Ft	13.3" Multi-Touch, Full HD (1920x1080) Glare LED	WUXGA	13,3 "	fényes	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	igen (passzív)	normál		Intel Core i5 4200U	Intel	Core i5	2	1,60 GHz	2,6 GHz	Igen	3 MB	16 GB	Igen	22 nm	15 W	Igen	Igen	4GB DDR3	4 GB	DDR3	128 GB	SSD			GMA HD4400	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,1	5,0	4,0	1,1 kg											Windows 8 64bit hun	Windows 8	Home	Magyar	64 bit					802.11(a/b/g/n)	Igen	Igen	2 db USB		Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen								2 db USB3				Igen		Igen		Igen									
DELL Latitude E5530 notebook  DELL Latitude E5530	211732 Ft	15.6" Full HD (1920x1080) AG LED	WUXGA	15,6 "	matt	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3230M	Intel	Core i5	2	2,60 GHz	3,2 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,4 kg	DELL Latitude E5530 6-cell	6	60 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	DELL Latitude E5xxx	közép kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	Full HD	Magyar billentyűzet	sötét alapon világos karakterek	5	Igen	Igen	388 mm	251 mm	30 mm	7200 fordulat/perc	foglalat	Igen	Igen	2 db USB3	Igen			Igen	Igen	Igen	90 W	Igen									
DELL Inspiron 7737 notebook (ezüst)	236141 Ft	17.3" Multi-Touch, HD+ (1600x900) Glare LED	WXGA+	17,3 "	fényes	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	igen (passzív)	normál		Intel Core i5 4200U	Intel	Core i5	2	1,60 GHz	2,6 GHz	Igen	3 MB	16 GB	Igen	22 nm	15 W	Igen	Igen	6GB DDR3	6 GB	DDR3	1000 GB	HDD			GeForce GT 750M / 2GB	NVIDIA	GeForce	dedikált (közép kategória)	2,0 GB	GDDR3	28 nm	11,0	5,0	4,2	3,3 kg	6-cell Lithium-ion (65 WHr)	6	65 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Inspiron 17R	közép kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB		Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	412 mm	269 mm	28 mm	5400 fordulat/perc				2 db USB3				Igen	Igen	Igen	90 W	Igen									
