TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Méret	Audio	LAN	WLAN	BT	HSDPA	Kamera	CR	HDMI	VGA ki	USB	TV ki	DP	FP	ExpressCard	FW	eSata	Egyéb	Tárhely	Tárhely bővítés	Interfészek
SAMSUNG Ativ Book 2 NP270E5V-K02HU	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Pentium® 2117U Processor (2M Cache, 1.80 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.2kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM65 Express	376.0 x 248.0 x 25.2 ~ 31.8mm	HD Audio	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	720p HD felbontású webkamera	3in1 Card reader	Van	Van	3db USB 2.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
LENOVO IdeaPad G505 59-390258	0 Ft	15.6" WXGA HD GlareType 1366x768 pixel	AMD® A4-5000M (2M Cache, 1.5GHz)	4GB DDR3/1600 MHz	1TB 5400RPM SATA	AMD Radeon™ HD 8570M 1024MB	2.6kg	24 hónap	2900 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	AMD® A76M Fusion™	377 x 250 x 34 mm	Dolby® Advanced Audio™ v2	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	1MP HD Webkamera	2in1 Card reader	Van	Van	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nem	Nem				
HP 2000-2D03SH F2T63EA	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-3110M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	750GB 5400RPM SATA	Intel® GMA HD 4000	2.45kg	24 hónap	47WHr (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel HM75 Express	376 x 247 x 35.8 mm	Altec Lansing hangszórók	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	HP TrueVision HD webkamera LED-es működésjelző fénnyel	2in1 Card reader	Van	Van	3db USB 2.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
ASUS X550CC-XX156D fehér	0 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Pentium® 2117U Processor (2M Cache, 1.80 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT 720M 2048MB	2.3kg	24 hónap	2600 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	380 x 251 x 24,8-31,7 mm	SonicMaster technológia	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	HD webkamera (720p)	3in1 Card reader	Van	Van	1db USB 2.0 - 1db USB 3.0	http://www.youtube.com/watch?v=3Q2_gXq7GG0	Nincs	Nincs	Nincs	Nincs	Nem	Nem				
LENOVO IdeaPad G500 Texture 59-390525	0 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Core™ i3-3110M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 4000	2.6kg	24 hónap	2900 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	380 x 260 x 25.8mm	Dolby® Home Theatre™ v4	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	1.0MP 720p HD Webkamera	2in1 Card reader	Van	Van	1db USB 2.0 - 2db USB 3.0	http://www.youtube.com/watch?v=VyzvEWA7tNk	Nincs	Nincs	Nincs	Nincs	Van	Nem				
DELL Inspiron 3521 157793	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-3217U Processor (3M Cache, 1.80 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 4000	2.35kg	36 hónap	40 Wh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel HM76 Express	376 x 260 x 24,9 - 31,3 mm	Sztereó hangszóró Waves MaxxAudio® 3 feldolgozási technológiával	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	1,0 MP HD integrált webkamera beépített analóg mikrofonnal	3in1 Card reader	Van	Nincs	USB 2.0 (2db) • USB 3.0 (2db)	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
TOSHIBA Satellite C55-A-19D	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-3110M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 4000	2.3 Kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM76 Express Chipset	380 x 242 x 30,8 - 33,35 mm	Realtek ALC269Q-VB5-GR beépített sztereó hangszórók	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	beépített 1 megapixeles HD webkamera (1280 x 800) beépített mikrofonnal	5in1 Card reader	Van	Van	2db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
LENOVO IdeaPad G500 Texture 59-377047	0 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Pentium® 2020M Processor (2M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® HD Graphics	2.6kg	24 hónap	2900 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 8	Intel® HM76 Express	380 x 260 x 25.8mm	Nem	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	1.0MP 720p HD Webkamera	2in1 Card reader	Van	Van	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Van	Nem				
HP Pavilion 17-E050SH E6A88EA	0 Ft	17.3" WXGA HD-LED GlareType 1600x900 pixel	AMD® A4-5000M (2M Cache, 1.5GHz)	4GB DDR3/1600 MHz	750GB 5400RPM SATA	AMD Radeon™ HD 8330G	2.9kg	24 hónap	47WHr (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Nem	420 x 267 x 32.8 mm	DTS hang + két hangszóróval	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	HP TrueVision HD webkamera tevékenységérzékelő LED-del és beépített digitális mikrofonnal	2in1 Card reader	Van	Van	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
Acer Aspire E1-571G-33114G50Makss	0 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Core™ i3-3110M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT 710M 2048MB	2.4kg	24 hónap	48WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM77 Express	378 x 259 x 24.8 - 29.7 mm	HD Audio	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	1.3MP HD CrystalEye Webkamera	5in1 Card reader	Van	Van	3db USB 2.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
