TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Méret	Audio	LAN	WLAN	BT	HSDPA	Kamera	CR	HDMI	VGA ki	USB	TV ki	DP	FP	ExpressCard	FW	eSata	Egyéb	Tárhely	Tárhely bővítés	Interfészek
	0 Ft																																	
LENOVO IdeaPad G500 Metal 59-402605	0 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Core™ i3-3110M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	1TB 5400RPM SATA	AMD Radeon™ HD 8570M 2048MB	2.6kg	24 hónap	2900 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	380 x 260 x 25.8mm	Nem	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	1.0MP 720p HD Webkamera	2in1 Card reader	Van	Van	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Van	Nem				
HP Pavilion 15-N050SH F2T48EA fehér	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® A4-5000M (2M Cache, 1.5GHz)	4GB DDR3/1600 MHz	750GB 5400RPM SATA	AMD Radeon™ HD 8330G	2.28kg	24 hónap	41 Wh (Lithium-ion)	8x DVD+-RW DL drive	Windows 8	AMD® A76M Fusion™	385,6 x 258 x 22,6 mm	Beépített DTS® sztereó hangszórók	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	HP TrueVision HD webkamera	2in1 Card reader	Van	Nincs	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
TOSHIBA C55-A-19D + Brother nyomtató	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-3110M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 4000	2.3 Kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM76 Express Chipset	380 x 242 x 30,8 - 33,35 mm	Realtek ALC269Q-VB5-GR beépített sztereó hangszórók	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	beépített 1 megapixeles HD webkamera (1280 x 800) beépített mikrofonnal	5in1 Card reader	Van	Van	2db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
LENOVO IdeaPad B590 59-352457	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 4000	2.5kg	24 hónap	48WHr (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM77 Express	378 x 252 x 33.4 mm	Nem	Gigabit LAN	Intel® Centrino® Wireless-N 2230	Nincs	Nincs	720p webkamera	4in1 Card reader	Van	Van	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nincs				
DELL Inspiron 3537 157808	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-4200U Processor (3M Cache, up to 2.60 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	AMD Radeon™ HD 8670M 1024MB	2.37kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® HM76 Express	259 x 376 x 25.3 mm	Sztereó hangszóró Waves MaxxAudio® 3 feldolgozási technológiával	10/100mbps LAN	Dell™ Wireless 1705 802.11b/g/n	Bluetooth 4.0	Nincs	1,0 MP HD integrált webkamera beépített analóg mikrofonnal	3in1 Card reader	Van	Nincs	USB 2.0 (2db) • USB 3.0 (2db)	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
SAMSUNG Ativ Book 2 NP270E5V-X03HU	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-3120M Processor (3M Cache, 2.50 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT 710M 1024MB	2.2kg	24 hónap	48WHr (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM75 Express Chipset	376.0 x 248.0 x 25.2 ~ 31.8mm	HD Audio	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	720p HD felbontású webkamera	3in1 Card reader	Van	Van	3db USB 2.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
HP Pavilion 17-E051SH E6A89EA	0 Ft	17.3" WXGA HD-LED GlareType 1600x900 pixel	AMD® A4-5150M (1M Cache, 2.7 - 3.3 GHz) (1M Cache, 1.9 - 2.4 GHz)	8GB DDR3/1600 MHz	1TB 5400RPM SATA	AMD Radeon™ HD 8670M 1024MB	2.9kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	AMD® A70M FCH	420 x 267 x 32.8 mm	DTS hang + két hangszóróval	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	HP TrueVision HD webkamera tevékenységérzékelő LED-del és beépített digitális mikrofonnal	2in1 Card reader	Van	Van	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
Lenovo IdeaPad™ Yoga 11 Orange 59-361324	0 Ft	11.6" WXGA HD-LED Multi-Touch 1366x768 pixel	nVidia® Tegra® 3 Quad-Core (1.5GHz, 1MB)	2GB DDR3/1600 MHz	32GB Solid State Drive (SSD)	NVIDIA® ULP GeForce®	1.24kg	36 hónap	2900 mAh (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows RT		298 x 204 x 15.6 mm	Realtek® ALC5642 codec	Nincs	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	720p HD webcam	SD Card reader	Van	Nincs	2db USB 2.0	http://www.youtube.com/watch?v=pOLyyHRLYps	Nincs	Nincs	Nincs	Nincs	Nincs	Fényérzékelő, Gyursulásmérő, Giroszkóp, Digitális iránytű				
LENOVO IdeaPad G500 Texture 59-390489	0 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Core™ i5-3230M Processor (3M Cache, up to 3.20 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	AMD Radeon™ HD 8570M 2048MB	2.6kg	24 hónap	2900 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	380 x 260 x 25.8mm	Dolby® Home Theatre™ v4	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	1.0MP 720p HD Webkamera	2in1 Card reader	Van	Van	1db USB 2.0 - 2db USB 3.0	http://www.youtube.com/watch?v=VyzvEWA7tNk	Nincs	Nincs	Nincs	Nincs	Van	Nem				
LENOVO ThinkPad Edge E530c NZY6ZHV_TS	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-3110M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 4000	2.45kg	24 hónap	48WHr (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® Mobile HM77 Express	377.0 x 245.0 x 29.5-35.3 mm	Nem	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	HD720p webkamera	4in1 Card reader	Van	Van	1db USB 2.0 - 3db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nincs				
TOSHIBA Satellite C55-A-10F	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-3230M Processor (3M Cache, up to 3.20 GHz)	4GB DDR3/1600 MHz	750GB 5400RPM SATA	Intel® GMA HD 4000	2.3 Kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM76 Express Chipset	380 x 242 x 30,8 - 33,35 mm	Realtek ALC269Q-VB5-GR beépített sztereó hangszórók	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	beépített 1 megapixeles HD webkamera (1280 x 800) beépített mikrofonnal	5in1 Card reader	Van	Van	2db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
ASUS X550CC-XX724D Piros	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3337U Processor (3M Cache, up to 2.70 GHz)	4GB DDR3/1600 MHz	1TB 5400RPM SATA	NVIDIA® GeForce® GT 720M 2048MB	2.3kg	24 hónap	Nem	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	380 x 251 x 24,8-31,7 mm	SonicMaster technológia	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	HD webkamera (720p)	2in1 Card reader	Van	Van	1db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nem	Nem				
DELL Inspiron 5521 154741 Ezüst	0 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Core™ i5-3337U Processor (3M Cache, up to 2.70 GHz)	4GB DDR3/1600 MHz	750GB 5400RPM SATA	AMD Radeon™ HD 8730M 2048MB	2.35kg	36 hónap	6500 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® HM76	376 x 259 x 24,9 - 25,4 mm	Sztereó hangszóró Waves MaxxAudio® 3 feldolgozási technológiával	10/100mbps LAN	Intel® Centrino® Wireless-N 2230	Bluetooth 4.0	Nincs	Natív HD 1,0 megapixel felbontású webkamera digitális mikrofonnal	8in1 Card reader	Van	Van	2db USB 2.0 - 2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
DELL Inspiron 3537 157848	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-4200U Processor (3M Cache, up to 2.60 GHz)	4GB DDR3/1600 MHz	750GB 5400RPM SATA	AMD Radeon™ HD 8670M 2048MB	2.37kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® HM76 Express	259 x 376 x 25.3 mm	Sztereó hangszóró Waves MaxxAudio® 3 feldolgozási technológiával	10/100mbps LAN	Dell™ Wireless 1705 802.11b/g/n	Bluetooth 4.0	Nincs	1,0 MP HD integrált webkamera beépített analóg mikrofonnal	3in1 Card reader	Van	Nincs	USB 2.0 (2db) • USB 3.0 (2db)	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
Fujitsu Lifebook UH552-MPZF5HU	0 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3317U Processor (3M Cache, up to 2.60 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 4000	1.57kg	24 hónap	2840 mAh (Lithium Polymer)	USB DVD-RW (vásárolható)	Nem	Intel® HM76 Express	323 x 234 x 18 mm	DTS Boost™ - Nagy felbontású hangszolgáltatás támogatása	Nincs	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	HD webcam	4in1 Card reader	Van	Nincs	2db USB 3.0, 1db USB 2.0	Nem	Nincs	Nincs	Nincs	Nincs	Nem	Nem				
SAMSUNG NP535U3C-K01HU	0 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	AMD® Llano A4-4355M (1M Cache, 1.9 - 2.4 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	AMD Radeon™ HD 7400G	1.52kg	24 hónap	45,3WHr (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 8	AMD® A70M	315.1 x 218.9 x 14.9-17.6 mm	SoundAlive™	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	1.3 megapixel HD Webcam	3in1 Card reader	Van	Van	1db USB 3.0 - 2db USB 2.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
ASUS X550CC-XO093D	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3337U Processor (3M Cache, up to 2.70 GHz)	4GB DDR3/1600 MHz	1TB 5400RPM SATA	NVIDIA® GeForce® GT 720M 2048MB	2.3kg	24 hónap	3700 mAh (Lithium Polymer)	8x DVD+-RW SM	FreeDos	Mobile Intel® HM76 Express	380 x 251 x 24,8-31,7 mm	SonicMaster beépített hangszóró és mikrofon	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	HD webkamera (720p)	3in1 Card reader	Van	Van	1db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nem	Nem				
LENOVO IdeaPad G500s 59-376721	0 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Core™ i5-3230M Processor (3M Cache, up to 3.20 GHz)	4GB DDR3/1600 MHz	1TB 5400RPM SATA	NVIDIA® GeForce® GT 720M 2048MB	2.5kg	24 hónap	2900 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	380 x 260 x 25.8mm	Nem	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	1.0MP 720p HD Webkamera	2in1 Card reader	Van	Van	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Van	Nem				
Acer S3-371-33224G50add_Lin	0 Ft	13.3" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-3227U Processor (3M Cache, up to 1.90 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 4000	1.36kg	24 hónap	3200 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Linux	Intel® HM77 Express	323 x 218 x 13.1-17.5 mm	HD Audio	Nincs	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	1.3MP HD CrystalEye Webkamera	2in1 Card reader	Van	Nincs	2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
SAMSUNG Ativ Book 2 NP270E5E-X05HU	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-3120M Processor (3M Cache, 2.50 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT 710M 1024MB	2.2kg	24 hónap	48WHr (Lithium-ion)	8x DVD+-RW DL drive	Windows 8	Mobile Intel® HM70 Express	376.0 x 248.0 x 25.2 ~ 31.8mm	HD Audio	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	720p HD felbontású webkamera	3in1 Card reader	Van	Van	3db USB 2.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
SAMSUNG Ativ Book 4 NP450R5E-X03HU	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-3120M Processor (3M Cache, 2.50 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT 710M 2048MB	1.99kg	24 hónap	3700 mAh (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 8	Mobile Intel® HM76 Express	376 x 248 x 22.9 mm	HD Audio	Gigabit LAN	Intel® Centrino® Advanced-N 6235, 2 x 2 802.11abg/n (up to 300 Mbps), Widi Support	Bluetooth 4.0	Nincs	720p HD Webkamera	3in1 Card reader	Van	Van	2db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
SAMSUNG Ativ Book 4 NP450R5E-X02HU	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-3120M Processor (3M Cache, 2.50 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT 710M 2048MB	1.99kg	24 hónap	3700 mAh (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 8	Mobile Intel® HM76 Express	376 x 248 x 22.9 mm	HD Audio	Gigabit LAN	Intel® Centrino® Advanced-N 6235, 2 x 2 802.11abg/n (up to 300 Mbps), Widi Support	Bluetooth 4.0	Nincs	720p HD Webkamera	3in1 Card reader	Van	Van	2db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
TOSHIBA Satellite C55-A-1NK	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-4200M Processor (3M Cache, up to 3.10 GHz)	4GB DDR3/1600 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT 710M 2048MB	2.3 Kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 8.1	Mobile Intel® HM76 Express Chipset	380 x 242 x 30,8 - 33,35 mm	beépített sztereó hangszórók DTS® Sound™ hangzásjavító technológiával	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	beépített 1 megapixeles HD webkamera (1280 x 800) beépített mikrofonnal	5in1 Card reader	Van	Van	2db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
Dell Latitude E5430 153323	0 Ft	14" WXGA HD LED AntiGlare 1366x768 pixel	Intel® Core™ i3-3120M Processor (3M Cache, 2.50 GHz)	4GB DDR3/1600 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	2.04kg	36 hónap helyszíni garancia	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobil Intel® HM77 Express	350 x 240 x 29.9-32.5 cm	Beépített sztereó hangszórók	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	2.0MPixel HD	SD/SDHC/SDXC kártyahely	Van	Van	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Van	Van	Van	Van	Billentyűzet világítás, Dokkolható				
SAMSUNG NP370R5E-S03HU Red	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-3110M Processor (3M Cache, 2.40 GHz)	8GB DDR3/1600 MHz	1TB 5400RPM SATA	AMD Radeon™ HD 8750M 1024MB	1.99kg	24 hónap	3700 mAh (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 8	Mobile Intel® HM77 Express	376 x 248 x 22.9 mm	HD Audio	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	1,3 megapixel felbontású webkamera	3in1 Card reader	Van	Van	2db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
DELL Vostro 5470 158239	0 Ft	14" WXGA HD LED GlareType 1366x768 pixel	Intel® Core™ i3-4010U Processor (3M Cache, 1.7 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 4400	1,53 kg	36 hónap helyszíni garancia	51,2 Wh (Lithium-ion)	USB DVD-RW (vásárolható)	Linux	Mobile Intel® HM86 Express Chipset	337,6 x 233,5 x 18,3 mm	Beépített sztereó hangszórók mélysugárzóval	Gigabit LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Nincs	beépített HD webkamera	8in1 Card reader	Van	Nem	1db USB 3.0, 2db USB 2.0	Nem	Nincs	Nem	Nincs	Nincs	Nincs	Nem				
HP ProBook 4340s H4R70EA	0 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-3120M Processor (3M Cache, 2.50 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	AMD Radeon™ HD 7570M 1024MB	1.84kg	36 hónap	4700 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM76 Express	326 x 229 x 24 mm	SRS Premium Surround Sound PRO	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	720p HD webkamera	SD/MMC Slot	Van	Van	1db USB 2.0 - 3db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Intel® Anti-Theft támogatás				
TOSHIBA Satellite C55-A-10Q fehér	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-3230M Processor (3M Cache, up to 3.20 GHz)	4GB DDR3/1600 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT 710M 1024MB	2.3 Kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 8	Mobile Intel® HM76 Express Chipset	380 x 242 x 30,8 - 33,35 mm	Realtek ALC269Q-VB5-GR beépített sztereó hangszórók	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	beépített 1 megapixeles HD webkamera (1280 x 800) beépített mikrofonnal	5in1 Card reader	Van	Van	2db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
FUJITSU Lifebook AH552-MPZA2	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 4000	2.2 kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 8	Mobile Intel® HM76	378 x 252 x 25,4 mm	Realtek ALC269 VC2 HD	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	HD	4in1 Card reader	Van	Van	3db USB 2.0, 1 db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nincs				
DELL Inspiron 17 3737 157877	0 Ft	17.3" WXGA HD-LED GlareType 1600x900 pixel	Intel® Core™ i5-4200U Processor (3M Cache, up to 2.60 GHz)	6GB DDR3/1600 MHz	1TB 5400RPM SATA	AMD Radeon™ HD 8670M 1024MB	2.64kg	36 hónap	65WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® HM76 Express	412 x 270 x 28.34 - 35.6 mm	Nem	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Natív HD 1,0 megapixeles webkamera digitális mikrofonnal	8in1 Card reader	Van	Nincs	USB 2.0 (2db) • USB 3.0 (2db)	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
ASUS X550CC-XO249D	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i7-3537U Processor (4M Cache, up to 3.10 GHz)	4GB DDR3/1600 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT 720M 2048MB	2.3kg	24 hónap	2600 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	380 x 251 x 24,8-31,7 mm	SonicMaster technológia	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	HD webkamera (720p)	3in1 Card reader	Van	Van	1db USB 2.0 - 1db USB 3.0	http://www.youtube.com/watch?v=3Q2_gXq7GG0	Nincs	Nincs	Nincs	Nincs	Nem	Nem				
LENOVO IdeaPad G710 59-390399	0 Ft	17.3" WXGA HD-LED GlareType 1600x900 pixel	Intel® Core™ i5-4200M Processor (3M Cache, up to 3.10 GHz)	4GB DDR3/1600 MHz	1TB 5400RPM SATA + 8GB ExpressCache	NVIDIA® GeForce® GT 720M 2048MB	2.9kg	12 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	418 x 278 x 36.8 mm	Dolby® Advanced Audio v2	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	720p HD webkamera	SD/MMC Slot	Van	Van	2db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
HP Pavilion 15-N002SH F2T42EA	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-4200U Processor (3M Cache, up to 2.60 GHz)	8GB DDR3/1600 MHz	1TB 5400RPM SATA	AMD Radeon™ HD 8670M 1024MB	2.28kg	24 hónap	41 Wh (Lithium-ion)	8x DVD+-RW DL drive	Windows 8	Mobile Intel® HM86 Express Chipset	385,6 x 258 x 22,6 mm	Beépített DTS® sztereó hangszórók	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	HP TrueVision HD webkamera	2in1 Card reader	Van	Nincs	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
HP Pavilion 15-N004EH F6R77EA	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-4200U Processor (3M Cache, up to 2.60 GHz)	8GB DDR3/1600 MHz	1TB 5400RPM SATA	NVIDIA® GeForce® GT 740M 2048MB	2.28kg	24 hónap	47WHr (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM86 Express Chipset	385,6 x 258 x 22,6 mm	Beépített DTS® sztereó hangszórók	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	HP TrueVision HD webkamera	2in1 Card reader	Van	Nincs	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
DELL Inspiron 5537 157827 lila	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-4200U Processor (3M Cache, up to 2.60 GHz)	8GB DDR3/1600 MHz	1TB 5400RPM SATA	AMD Radeon™ HD 8850M 2048MB	2.32kg	36 hónap	65WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® HM76 Express	376 x 259 x 24.9 mm	Waves MaxxAudio® 4.0	10/100mbps LAN	Dell Wireless-N 170x	Bluetooth 4.0	Nincs	1,0 MP HD integrált webkamera beépített digitális mikrofonnal	8in1 Card reader	Van	Nincs	USB 2.0 (2db) • USB 3.0 (2db)	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
SAMSUNG NP400B2B-A01HU	0 Ft	Nem	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	4GB DDR3/1333 MHz	500GB 7200RPM SATA	Intel® GMA HD 3000	1.7kg	24 hónap	4400 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Professional 64Bit	Mobile Intel® HM65 Express	302.1 x 223.7 x 28.3 ~ 32.2 mm	HD Audio	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	1,3 megapixel HD	4in1 Card reader	Van	Van	2db USB 3.0 - 1db USB 2.0	Nem	Nincs	Van	Nincs	Nincs	Van	Nem				
DELL Inspiron 5537 157791 ezüst	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-4200U Processor (3M Cache, up to 2.60 GHz)	8GB DDR3/1600 MHz	1TB 5400RPM SATA	AMD Radeon™ HD 8850M 2048MB	2.32kg	36 hónap	65WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® HM76 Express	376 x 259 x 24.9 mm	Waves MaxxAudio® 4.0	10/100mbps LAN	Dell Wireless-N 170x	Bluetooth 4.0	Nincs	1,0 MP HD integrált webkamera beépített digitális mikrofonnal	8in1 Card reader	Van	Nincs	USB 2.0 (2db) • USB 3.0 (2db)	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
