TermékNév	Ár	TFT Méret	TFT Felb.	TFT Jell	CPU	RAM	HDD	SSD	GPU	Súly	Gar.	Akku	ODD	OS	LAN	Portok	Bill.	Specifikáció	Softver	SDD
acer Aspire V3-571G-736b8G1TMaii - Szürke - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i7-3610QM (6M Cache, 2.3 GHz up to 3.30 GHz)	8GB DDR3 memória	1TB SATA HDD		NVIDIA® GeForce® GT 640M 1GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 8	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HS	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire V3-772G-747a8G1.12TMakk Fekete - Már 2 év garanciával!	0 Ft	17.3"		Full HD 1920 x 1080 felbontású, Acer ComfyView™ MATT LCD	Intel® Core™ i7-4702MQ (6M Cache, 2.20 up to 3.20 GHz)	8GB DDR3 memória	1 TB SATA HDD	120GB	NVIDIA® GeForce® GTX 760M 2GB	414 x 275 x 34.8/36.1 mm3.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 3.5 óra üzemidővel	DVD-Super Multi duplarétegű író	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HS Acer Crystal Eye webkamera 1.3MPix	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 2x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Ultrabook Aspire V7-581-53334G52aii - Ezüst - Matt kijelző! - Ultrabook - Matt kijelző!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású , magas fényerejű (220-nit) Acer Comfyview™ LED-háttérvilágítású TFT LCD Super-Slim design, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i5-3337U (3M Cache, 1.80 up to 2.70 )	4GB DDR3 memória	500 GB SATA HDD + 20GB Cache SSD		Intel®HD Graphics 4000	381.6 x 256 x 19.7/20.7 mm2.0 kg	2 év	3560 mAh 4-cellás Li-Polymer akkumulátor, max. 5.5 óra	-	Windows 8	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x Acer Converter port 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x Ethernet (RJ-45) csatlakozó 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos, HÁTTÉRVILÁGÍTÁSÚ billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire V3-772G-54208G1TMakk Fekete - Már 2 év garanciával!	0 Ft	17.3"		Full HD 1920 x 1080 felbontású, Acer ComfyView™ MATT LCD	Intel® Core™ i5-4200M (3M Cache, 2.5 to 3.10 GHz)	8GB DDR3 memória	1 TB SATA HDD		NVIDIA® GeForce® GT 750M 4GB	414 x 275 x 34.8/36.1 mm, 3.4 kg	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 3.5 óra üzemidővel	DVD-Super Multi duplarétegű író	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HS Acer Crystal Eye webkamera 1.3MPix	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 2x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire E1-571-3114G50Mnks - Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i3-3110M (3M Cache, 2.40 GHz)	4GB DDR3 memória	500 GB		Intel®HD Graphics 4000	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 3x USB 2.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Aspire E1-570-33214G50Dnkk - Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i3-3217U (3M Cache, 1.80 GHz)	4GB DDR3 memória	500GB		Intel®HD Graphics 4000	378 x 259 x 24.8/29.7 mm2.2 kg	2 év	4-cellás Li-ion akkumulátor, max. 4 óra üzemidővel	nincs	Linux	Acer InviLink™ Nplify™ 802.11a/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Aspire E1-731-20204G75MNII - Szürke - Már 2 év garanciával!	0 Ft	17.3"	HD 1600x900	1600 x 900 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Pentium® 2020M (2M Cache, 2.40 GHz)	4GB DDR3 memória	750 GB SATA HDD		Intel HD Graphics	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux	Acer InviLink™ Nplify™ 802.11a/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 3x USB 2.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Aspire E1-570G-33214G50MNKK - Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i3-3217U (3M Cache, 1.80 GHz)	4GB DDR3 memória	500 GB		NVIDIA® GeForce® GT 720M 1GB	378 x 259 x 24.8/29.7 mm2.2 kg	2 év	4-cellás Li-ion akkumulátor, max. 4 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows8	Acer InviLink™ Nplify™ 802.11a/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Aspire E1-530G-21174G75Mnks - Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Pentium® 2117U (2M Cache, 1.80 GHz)	4GB DDR3 memória	750 GB SATA HDD		NVIDIA® GeForce® GT 720M 1GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	2500 mAh 4-cellás Li-ion akkumulátor, akár 4 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 8	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Aspire V5-573-34014G50amm - Pezsgő - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer ComfyView™ LED-háttérvilágítású MATT TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i3-4010U (3M Cache, 1.70 GHz)	4GB DDR3 memória	500 GB		Intel®HD Graphics 4400	382 x 253 x 23 mm2.3 kg 4-cellás akkumulátorral	2 év	4-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	-	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x Ethernet (RJ-45) / VGA kombó csatlakozó 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire E1-571-33114G75MNKS - Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i3-3110M (3M Cache, 2.40 , HyperThreading,)	4GB DDR3 memória	750GB SATA HDD		Intel®HD Graphics 4000	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3Mpix	2-az-1-ben kártyaolvasó (SD™, MMC) 3x USB 2.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Ultrabook Aspire V7-581G-73538G12akk - Fekete - FULL HD Matt kijelző! - Ultrabook - Matt kijelző!	0 Ft	15.6"	FULL HD 1920 x 1080	1920 x 1080 felbontású , magas fényerejű (220-nit) Acer Comfyview™ LED-háttérvilágítású IPS Super-Slim design, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i7-3537U (4M Cache, 2.0 to 3.10 GHz)	8GB DDR3 memória	-	120 GB	NVIDIA® GeForce® GT720M 2GB	381.6 x 256 x 19.7/20.7 mm2.0 kg	2 év	3560 mAh 4-cellás Li-Polymer akkumulátor, max. 5.5 óra	-	Windows 8	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x Acer Converter port 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x Ethernet (RJ-45) csatlakozó 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos, HÁTTÉRVILÁGÍTÁSÚ billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire E1-570G-53334G1TMnks - Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i5-3337U (3M Cache, 1.8 to 2.70 GHz)	4GB DDR3 memória	1 TB		NVIDIA® GeForce® GT 740M 2GB	378 x 259 x 24.8/29.7 mm2.2 kg	2 év	4-cellás Li-ion akkumulátor, max. 4 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux	Acer InviLink™ Nplify™ 802.11a/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Aspire E1-570G-33214G1TMnkk - Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i3-3217U (3M Cache, 1.80 GHz)	4GB DDR3 memória	1TB		NVIDIA® GeForce® GT 740M 2GB	378 x 259 x 24.8/29.7 mm2.2 kg	2 év	4-cellás Li-ion akkumulátor, max. 4 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux	Acer InviLink™ Nplify™ 802.11a/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Aspire V5-573G-74508G1Taii - Ezüst - Már 2 év garanciával!	0 Ft	15.6"	1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer ComfyView™ LED-háttérvilágítású MATT, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i7-4500U (4M Cache, 1.8 to 3.00 GHz)	8GB DDR3 memória	1 TB		NVIDIA® GeForce® GT 750M 4GB	381 x 256 x 22 mm~2.2 kg	2 év	4-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	-	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x Ethernet (RJ-45) 1x Acer Converter port (VGA) 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos, HÁTTÉRVILÁGÍTÁSÚ billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire V5-573G-54204G1Taii - Ezüst - Már 2 év garanciával!	0 Ft	15.6"	FULL HD 1920 x 1080	1920 x 1080 felbontású, magas fényerejű (220-nit) Acer ComfyView™ LED-háttérvilágítású MATT IPS, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i5-4200U (3M Cache, 1.6 to 2.60 GHz)	4GB DDR3 memória	1 TB		NVIDIA® GeForce® GT 750M 4GB	381 x 256 x 22 mm~2.2 kg	2 év	4-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	-	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x Ethernet (RJ-45) 1x Acer Converter port (VGA) 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos, HÁTTÉRVILÁGÍTÁSÚ billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Ultrabook Aspire V7-581G-73538G1.02Takk - Fekete - Matt kijelző! - Ultrabook - Matt kijelző!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású , magas fényerejű (220-nit) Acer Comfyview™ LED-háttérvilágítású TFT LCD Super-Slim design, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i7-3537U (4M Cache, 2.0 to 3.10 GHz)	8GB DDR3 memória	1000 GB SATA HDD + 20GB Cache SSD		NVIDIA® GeForce® GT720M 2GB	381.6 x 256 x 19.7/20.7 mm2.0 kg	2 év	3560 mAh 4-cellás Li-Polymer akkumulátor, max. 5.5 óra	-	Windows 8	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x Acer Converter port 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x Ethernet (RJ-45) csatlakozó 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos, HÁTTÉRVILÁGÍTÁSÚ billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire E1-531G-20204G75Mnks - Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Pentium® 2020M (2M Cache, 2.40 GHz)	4GB DDR3 memória	750 GB SATA HDD		NVIDIA® GeForce® GT 710M 2GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 3x USB 2.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
