TermékNév	Ár	TFT Méret	TFT Típus	TFT Felb.	CPU	RAM	RAM Típus	HDD	GPU	Súly	Gar.	Akku	ODD	OS	LAN	WLAN	Modem	USB	USB 3	FP	CR	BT	FW	Audio	Kamera	TV in	VGA ki	Portok	HSDPA	Szín	Dokk	Szoftverek	Tartozék	Backlit KB	Info	Mely típushoz	Méret	Foglalat típusa	Kiszerelés	Magszám	Valós frekvencia	Szorzó	Cache	L1 Cache	L2 Cache	L3 Cache	FSB	Egyéb képességek	FDD	Busz
LENOVO NB IdeaPad G575GL, 15.6" HD, AMD Brazos E300, 1,30GHz, 2GB, 320GB, DVDąRW, fekete szín, DOS, 6 Cell	72176 Ft	15,6	Fényes	1360 x 768 (WXGA) HD Ready	AMD Brazos	2048	DDRIII	320	AMD Radeon Integrated Graphics		2 év szervizben	6 cella	DVD-RW +/-	DOS	10/100	802.11b/g/n	Nem	2		Nem	Nem	Nincs		n.a.	0,3	Nem	Nincs	n.a.	n.a.	Fekete		n.a.	n.a.	Nem	http																
HPQ NB ProBook 6560b 15,6" HD Core i5-2450M 2.5GHz, 4GB, 320GB, DVD-RW, BT, FPR, Win 7 Prof 64 bit, 6cell	197496 Ft	15,6	Matt	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	320	Alaplapi Integrált VGA	2,7	3 év el- és visszaszállításos garancia	6 cella	DVD-RW +/-	MS W. 7 Professional 64bit HU/ENG	10/100/1000	802.11b/g/n	Igen	4		Igen	Igen	2.1	1	Igen	0,92	Nem	D-Sub + Display Port	eSATA + Soros	Nincs	Fekete	USB/dokkoló porton		Soros port	Nem	http																
SAMSUNG NB NP300E5X, 15.6 LED Matt 1366x768, Pentium B960 2.20GHz, 4GB, 750GB, HDMI, DSUB, NVIDIA GF 610M 512MB DDR3, DOS, 6cell, kék-ezüst	95150 Ft	15,6	Matt	1366 x 768 (WXGA) 16	Intel Pentium	4	DDRIII	750	nVIDIA GeForce GT 610	2,34	2 év szervizben	6 cella	DVD-RW SUPERMULTI DL	DOS	10/100/1000	802.11b/g/n	Nem	3		Nem	4-1	3.0		Igen	0,3	Nem	D-Sub + HDMI	n.a.	n.a.	Ezüst	USB porton			Nem	http																
TOSHIBA NB Satellite C850-13Z, 15.6" 1366x768, Intel Celeron B820 1.7GHz, 2GB, 320GB, Intel GMA HD, DVD-RW DL, NoOs, 6 cell, Fekete	72790 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Celeron	2048	DDRIII	320	Intel GMA HD	2,3	2 év szervizben	6 cella	DVD-RW	Operációs rendszer nélkül	10/100	802.11b/g/n		2	1	Nem	Igen	4.0			1		HDMI	n.a.	Nincs	Fekete		n.a.	n.a.	n.a.	http																
ACER NB AS4352-B812G32MNkk 14.0" LED CB, Intel Celeron B815 1.6GHz, 1x2GB, 320GB, DVD-RW SM, Intel UMA, Win 7 Home Premium, 6cell, fekete	79976 Ft	14	Fényes	1366 x 768 (WXGA) 16	Intel Celeron	2048	DDRIII	320	Alaplapi Integrált VGA	2,25	2 év el- és visszaszállításos garancia	6 cella	DVD-RW SUPERMULTI DL	MS W. 7 Home Premium 64bit HU/ENG	10/100/1000	802.11b/g/n	Nem	3		Nem	5-1	Nincs		Igen	1,3	Nem	D-Sub + HDMI	n.a.	Nincs	Fekete	USB porton			Nem	http																
ACER Ultrabook NB Aspire S3-391-53314G12add 13.3" WXGA Core i5-3317U, 1x4GB, 128 GB SSD, Intel HD 3000, Win 7 Home Premium, 3cell	241176 Ft	13,30	Fényes	1366 x 768 (WXGA) 16	Intel Core i5	4.096	DDRIII	128	Intel HD Graphics 3000	1,49	3 év szervizben	3 cella	Nem	MS W. 7 Home Premium 64bit HU/ENG	Nem	802.11a/b/g/n	Nem	2		Nem	Igen	4.0		Igen	1,30	Nem	HDMI	n.a.	Nincs	Pezsgő	USB/dokkoló porton			Nem	http																
Packard Bell NB EASYNOTE_F5211-BZ-451HG 15.6" AMD E-450 1,65 Ghz , 4GB, 500GB, DVD-RW SM, AMD UMA, Linux, 6cell, fekete	78936 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	AMD Llano	4096	DDRII	500	AMD GMA HD	2,59	2 év el- és visszaszállításos garancia	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100/1000	802.11b/g/n	Nem	3		Nem	Igen	Nincs		Igen	1,3	Nem	D-Sub + HDMI	n.a.	Nincs	Fekete	USB porton			Nem	http																
Acer NB V5-171-323a4G50ass_W7HP 11.6" WXGA LED, Intel Core i3-2377M, 4GB, 500GB, Intel UMA, Card Reader, BT 4.0, Win 7 HPrem 64bit, 4 cell, ezüst	120536 Ft	11,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i3	4096	DDRIII	500	Alaplapi Integrált VGA	1,38	2 év el- és visszaszállításos garancia	4 cella	Nem	MS W. 7 Home Premium 64bit HU/ENG	10/100/1000	802.11b/g/n	Nem	3		Nem	Igen	4.0		Igen	1,3	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton	n.a.	n.a.	Nem	http																
TOSHIBA NB Satellite L870-147, 17.3" HD 1600x900, Intel Core i5-3210M 2.5GHz, 6GB, 750GB, Radeon HD 7670M 2GB, DVD-RW DL, Win7 Hprem, 6 cell, White	186264 Ft	17,3	Fényes	1600 x 900 (WUGA) 16	Intel Core i5	6144	DDRIII	750	AMD Radeon Integrated Graphics	2,7	2 év szervizben	6 cella	DVD-RW	MS W. 7 Home Premium 64bit HU	10/100/1000	802.11b/g/n		1	2		Igen	4.0		Igen	1		HDMI	n.a.	Nincs	Fehér		n.a.	n.a.	n.a.	http																
HPQ NB HP 635 15.6" HD Brazos E-450 1.65GHz, 4GB, 320GB, DVD-RW, BT, Linux, 6cell	79976 Ft	15,6	Matt	1366 x 768 (WXGA) 16	AMD Brazos	4096	DDRIII	320	AMD Radeon Integrated Graphics	2,36	2 év szervizben	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100	802.11b/g/n	Nem	3		Nem	Igen	2.1		Igen	0,3	Nem	D-Sub + HDMI	n.a.	Nincs	Szürke	USB porton			Nem	http																
LENOVO NB ThinkPad Edge E130, 11.6" HD, Intel Pentium 977 1.4GHz, 4GB, 320GB, Intel HD Graphics, No_OS, 6cell	93496 Ft	11,6	Matt	1366 x 768 (WXGA) 16	Intel Pentium	4068	DDRIII	320	Intel GMA HD	1,47	1 év szervizgarancia	6 cella	Nem	Operációs rendszer nélkül	10/100/1000	802.11b/g/n	Nem	3		Nem	Nem	4.0		Igen		Nem	D-Sub + HDMI	eSATA	Nincs	Fekete	USB porton			Nem	http																
DELL NB Vostro 3360 13.3" Intel Core i7-3517 1.9GHz, 4GB, 320GB, Intel HD 4000, Linux, 4cell, Ezüst	195000 Ft	13,3	Matt	1366 x 768 (WXGA) 16	Intel Core i7	4096	DDRIII	320	Intel HD Graphics 4000	1,67	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	4 cella	Nem	Ubuntu Linux	10/100/1000	802.11b/g/n	Nem		3	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton			Nem	http																
DELL NB Vostro 3460 14.0" Intel Core i7-3612 2.1GHz, 8GB, 750GB, DVD-RW, GeForce GT630 1GB, Linux, 6cell, Ezüst	216632 Ft	14	Matt	1366 x 768 (WXGA) 16	Intel Core i7	8192	DDRIII	750	nVIDIA GeForce GT 630M + 1GB VRAM	2,23	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	6 cella	DVD-RW +/-	Ubuntu Linux	10/100/1000	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton		34mm Express Card	Igen	http																
DELL NB Vostro 3460 14.0" Intel Core i7-3612 2.1GHz, 8GB, 750GB, DVD-RW, GeForce GT630 1GB, Linux, 6cell, Bronz	216632 Ft	14	Matt	1366 x 768 (WXGA) 16	Intel Core i7	8192	DDRIII	750	nVIDIA GeForce GT 630M + 1GB VRAM	2,23	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	6 cella	DVD-RW +/-	Ubuntu Linux	10/100/1000	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Bronz	USB porton		34mm Express Card	Igen	http																
DELL NB Vostro 3460 14.0" Intel Core i7-3612 2.1GHz, 8GB, 128GB SSD, DVD-RW, GeForce GT 630 1GB, Win 7 Prof 64bit, 6cell, Ezüst	263224 Ft	14	Matt	1366 x 768 (WXGA) 16	Intel Core i7	8192	DDRIII	128	nVIDIA GeForce GT 630M + 1GB VRAM	2,23	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	6 cella	DVD-RW +/- DL	MS W. 7 Professional 64bit HU/ENG	10/100/1000	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton		34mm Express Card	Igen	http																
LENOVO NB ThinkPad T430, 14.0" HD+, Intel Core i7-3520M 2.90 GHz, 8GB, 500GB, DVD-RW, NVIDIA NVS 5400M, Win7 Prof 64, 9cell, fekete	325416 Ft	14	Matt	1600 x 900 (WUGA) 16	Intel Core i7	8192	DDRIII	500	nVIDIA Quadro NVS 4200	2,8	3 év szervizben	9 cella	DVD-RW +/- DL	MS W. 7 Professional 64bit HU/ENG	10/100/1000	802.11a/g/n	Nem	1	2	Igen	4-1	n.a.		Igen	0,9	Nem	D-Sub + Display Port	n.a.	Foglalat	Fekete	USB/dokkoló porton		Express Card	Igen	http																
LENOVO NB IdeaPad G580GC, Intel Pentium B960, 15.6" HD, Intel HD Graphics, 4GB, 500GB, DVDąRW, Windows 8, 6 Cell	104312 Ft	15,6	n.a.	1360 x 768 (WXGA) HD Ready	Intel Pentium	4096	DDRIII	500	Intel HD Graphics 3000		1 + 1 év el és visszaszállításos garancia	6 cella	DVD-RW +/-	MS W. 8 64bit HU	10/100	802.11g/n	Nem	3		Nem	Igen	Nincs		Igen	0,3	Nem	D-Sub	n.a.	Nincs	Fekete		n.a.	n.a.	Nem	http																
HPQ NB HP 630 15.6" HD Pentium B960 2.2GHz, 2GB, 320GB, DVD-RW, BT, Linux, 6cell	81016 Ft	15,6	Matt	1366 x 768 (WXGA) 16	Intel Pentium Dual Core	2048	DDRIII	320	Intel GMA HD	2,36	2 év szervizben	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100	802.11b/g/n	Nem	3		Nem	Igen	2.1		Igen	0,3	Nem	D-Sub + HDMI	n.a.	Nincs	Szürke	USB porton		táska	Nem	http																
HPQ NB HP 630 15.6" HD Core i3-2310M 2.1GHz, 4GB, 500GB, DVD-RW, Win 7 HPrem. 64 bit, 6cell	112528 Ft	15,6	Matt	1366 x 768 (WXGA) 16	Intel Core i3	4096	DDRIII	500	Intel GMA HD	2,53	2 év szervizben	6 cella	DVD-RW SUPERMULTI DL	MS W. 7 Home Premium 64bit HU/ENG	10/100	802.11b/g/n	Nem	3		Nem	Igen	Nincs		Igen	0,3	Nem	D-Sub + HDMI	n.a.	Nincs	Szürke	USB porton			Nem	http																
LENOVO NB IdeaPad Y580, Intel Core i7-3610QM, 15.6" Full HD, 4GB, 1TB, nVidia Geforce GTX 660M, DVDąRW, Win 7 Home Prem, metál szürke szín, BL Keyboard 6 Cell	240760 Ft	15,6	Fényes	1920 x 1080 (HD1080) 16	Intel Core i7	4096	DDRIII	1000	nVIDIA GeForce GTX 660M		2 év szervizben	6 cella	DVD-RW +/-	MS W. 7 Home Premium 64bit HU/ENG	10/100	802.11g/n	Nem	4		Nem	Igen	3.0			1		HDMI	n.a.	n.a.	n.a.		n.a.	n.a.	n.a.	http																
ACER NB E1-571-33114G50Mnks_Lin 15.6" WXGA Intel Core i3-3110 2.4GHz, 4GB, 500GB HDD,Intel UMA, DVD-RW, Card reader, Linux, 6cell, Fekete	103896 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i3	4096	DDRIII	500	Alaplapi Integrált VGA	2,4	2 év el- és visszaszállításos garancia	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100/1000	802.11a/b/g/n	Nem	2	1	Nem	Igen	Nincs		Igen	1,3	Nem	HDMI	n.a.	Nincs	Fekete	USB porton			Nem	http																
DELL NB Inspiron N5050 15.6" HD, Intel Pentium B960 2.20GHz, 2GB, 500GB, DVD-RW, Intel HD, Linux, 6cell, Fekete	88296 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Pentium	2048	DDRIII	500	Intel GMA HD	2,37	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Ubuntu Linux	10/100	802.11b/g/n	Nem	3		Nem	3-1	3.0		Igen	0,3	Nem	D-Sub + HDMI	n.a.	Nincs	Fekete	USB porton			Nem	http																
DELL NB Latitude E5430 14.0" HD Intel Core i5-3320M 2.60GHz 4GB 500GB, DVD-RW, Win 7 Prof 64bit, 6cell	211952 Ft	14,00	Matt	1366 x 768 (WXGA) 16	Intel Core i5	4.096	DDRIII	500	Intel HD Graphics 4000	2,14	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	6 cella	DVD-RW +/-	MS W. 7 Professional 64bit HU	10/100/1000	802.11a/b/g/n	Nem	1	3	Igen	n.a.	2.1		Igen	2,00	Nem	n.a.	n.a.	Nincs	Ezüst	USB/dokkoló porton			Igen	http																
TOSHIBA NB Satellite C855-1MX, 15.6" 1366x768, Intel Pentium B950 2.1GHz, 4GB, 640GB, Radeon HD 7610M, DVD-RW DL, NoOs, 6 cell, Fekete	100402 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Pentium Dual Core	4096	DDRIII	640	AMD Radeon Integrated Graphics	2,3	2 év szervizben	6 cella	DVD-RW	Operációs rendszer nélkül	10/100	802.11b/g/n		2	1	Nem	Igen	4.0			1		HDMI	n.a.	n.a.	Fekete		n.a.	n.a.	n.a.	http																
HPQ NB HP 630 15.6" HD Celeron B815 1.6GHz, 4GB, 500GB, DVD-RW, BT, Win 7 HPrem. 64 bit, 6cell + táska	91416 Ft	15,6	Matt	1366 x 768 (WXGA) 16	Intel Celeron	4096	DDRIII	500	Intel GMA HD	2,53	2 év szervizben	6 cella	DVD-RW SUPERMULTI DL	MS W. 7 Home Premium 64bit HU/ENG	10/100	802.11b/g/n	Nem	3		Nem	Igen	2.1		Igen	0,3	Nem	D-Sub + HDMI	n.a.	Nincs	Szürke	USB porton		táska	Nem	http																
SONY NB Vaio VPC-CA4S1E 14" WXGA Core i3-2350M 2.3GHz, 4GB, 640GB, DVD-RW, ATI HD 6470M, Win 7 HPrem. 6cell, narancssárga	161096 Ft	14	Matt	1366 x 768 (WXGA) 16	Intel Core i3	4096	DDRIII	640	AMD Radeon HD 6470	1,43	2 év el- és visszaszállításos garancia	n.a.	DVD-RW SUPERMULTI DL	MS W. 7 Home Premium 64bit HU	10/100/1000	802.11b/g/n	Nem	3	1	Nem	Igen	4.0		Igen	1,31	Nem	D-Sub + HDMI	n.a.	Beépítve	Narancssárga	USB porton			Igen	http																
LENOVO NB IdeaPad G585A, AMD E1-1200, 15.6" HD, AMD Radeon 6370M 1G DDR3, 4GB, 500GB, DOS, 6 Cell	88192 Ft	15,6	n.a.	1360 x 768 (WXGA) HD Ready	Intel Pentium	4096	DDRIII	500	AMD Radeon HD 6370M		2 év szervizben	6 cella	n.a.	DOS	10/100	802.11g/n	Nem	4		Nem	Igen	2.1			0,3		HDMI	n.a.	n.a.	n.a.		n.a.	n.a.	n.a.	http																
TOSHIBA NB Satellite C850-176, 15.6" 1366x768, Intel Core i3-2310M 2.1GHz, 2GB, 320GB, Intel GMA HD, DVD-RW DL, NoOs, 6 cell, Fekete	97750 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i3	2048	DDRIII	320	Intel GMA HD	2,3	2 év szervizben	6 cella	DVD-RW	Operációs rendszer nélkül	10/100	802.11b/g/n	Nem	2	1	Nem	Igen	4.0		Igen	1		HDMI	n.a.	n.a.	Fekete		n.a.	n.a.	n.a.	http																
DELL NB Inspiron 7520 15.6" HD, Intel Core i7-3612 2.10GHz 6GB 1TB DVD-RW, 2GB Radeon 7730M, Linux, 6cell, Ezüst	178152 Ft	15,6	Fényes	1360 x 768 (WXGA) HD Ready	Intel Core i7	6144	DDRIII	1000	AMD Radeon HD 7730M	2,76	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Linux	10/100/1000	802.11g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton			Nem	http																
DELL NB Vostro 3460 14.0" Intel Core i5-3210 2.5GHz, 4GB, 500GB, DVD-RW, Intel HD, Linux, 6cell, Ezüst	182936 Ft	14	Matt	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	500	Intel HD Graphics 4000	2,23	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	6 cella	DVD-RW +/-	Ubuntu Linux	10/100/1000	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton		34mm Express Card	Igen	http																
LENOVO NB ThinkPad Edge E330, 13.3" HD, Intel Pentium B970 2.3GHz, 4GB, 500GB, Intel HD Graphics, No_OS, 6cell	107016 Ft	13,3	Matt	1366 x 768 (WXGA) 16	Intel Pentium	4068	DDRIII	500	Intel GMA HD	1,47	1 év szervizgarancia	6 cella	Nem	Operációs rendszer nélkül	10/100/1000	802.11b/g/n	Nem	1	2	Nem	Nem	4.0		Igen		Nem	D-Sub + HDMI	eSATA	Nincs	Fekete	USB porton			Nem	http																
LENOVO NB IdeaPad G575GL, 15.6" HD, AMD Brazos E300, 1,30GHz, 4GB, 500GB, DVDąRW, fekete szín, DOS, 6 Cell	76232 Ft	15,6	Fényes	1360 x 768 (WXGA) HD Ready	AMD Brazos	4096	DDRIII	500	AMD Radeon Integrated Graphics		2 év szervizben	6 cella	DVD-RW +/-	DOS	10/100	802.11b/g/n	Nem	2		Nem	Nem	Nincs		n.a.	0,3	Nem	Nincs	n.a.	n.a.	Fekete		n.a.	n.a.	Nem	http																
TOSHIBA NB Satellite C850-179, 15.6" 1366x768, Intel Core i3-2310M 2.1GHz, 4GB, 320GB, Radeon HD 7610M, DVD-RW DL, NoOs, 6 cell, Fekete	112528 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i3	4096	DDRIII	320	AMD Radeon Integrated Graphics		2 év szervizben	6 cella	DVD-RW	Operációs rendszer nélkül	10/100	802.11b/g/n		2	1		Igen	4.0		Igen	1,3		HDMI	n.a.	Nincs	Fekete		n.a.	n.a.	n.a.	http																
DELL NB Vostro 3360 13.3" Intel Core i7-3517 1.9GHz, 4GB, 320GB, Intel HD 4000, Linux, 4cell, Piros	195000 Ft	13,3	Matt	1366 x 768 (WXGA) 16	Intel Core i7	4096	DDRIII	320	Intel HD Graphics 4000	1,67	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	4 cella	Nem	Ubuntu Linux	10/100/1000	802.11b/g/n	Nem		3	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Piros	USB porton			Nem	http																
DELL NB Vostro 3560 15.6" HD, Intel Core i5-3210 2.5GHz, 4GB, 500GB, DVD-RW, AMD Radeon HD 7670, Linux, 6cell, Piros	178984 Ft	15,6	Matt	1360 x 768 (WXGA) HD Ready	Intel Core i5	4096	DDRIII	500	AMD Radeon HD 7670M	2,57	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	6 cella	DVD-RW +/-	Ubuntu Linux	10/100/1000	802.11b/g/n	Nem		4	Igen	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Piros	USB porton		34mm Express Card	Igen	http																
ACER NB AS5560G-63424G50Mnkk_W7HP 15.6" AMD A6-3420 (Quad Core 1.5Ghz, 4Mb Cache) , 4GB, 500GB, DVD-RW SM, Ati HD7670M-1Gb, Card Reader, Win 7 Home Premium, 6cell, fekete	118456 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	AMD Llano	4096	DDRII	500	AMD Radeon HD 7670M	2,59	2 év el- és visszaszállításos garancia	6 cella	DVD-RW SUPERMULTI DL	MS W. 7 Home Premium 64bit HU/ENG	10/100/1000	802.11b/g/n	Nem	2	1	Nem	Igen	Nincs		Igen	1,3	Nem	D-Sub + HDMI	n.a.	n.a.	Fekete	USB porton			n.a.	http																
Packard Bell NB EASYNOTE_F5211-HC-258HG 15.6" LED, Intel Dual Core B970 2.3GHz, 2GB, 500GB, DVD-RW SM, nVidia GT620-1GB, Linux, 6cell, fekete	92456 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Pentium Dual Core	2048	DDRIII	500	nVIDIA GeForce GT 620	2,25	2 év el- és visszaszállításos garancia	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100/1000	802.11b/g/n	Nem	3		Nem	Igen	Nincs		Igen	1,3	Nem	D-Sub + HDMI	n.a.	Nincs	Fekete	USB porton			Nem	http																
LENOVO NB IdeaPad B570e2, 15.6" HD LED, Intel Pentium B950, 4GB, 500GB, DVD-RW, Intel HD Graphics, 6 Cell, DOS, Fekete	81328 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Pentium	4096	DDRIII	500	Intel HD Graphics 3000	2,7	2 év szervizben	6 cella	DVD-RW	DOS	10/100/1000	802.11b/g/n	Nem	3		Nem	n.a.	2.1		Igen	0,3	Nem	n.a.	n.a.	Nincs	Fekete	USB porton		Numerikus bill	Nem	http																
SAMSUNG NB NP300E5C, 15.6 LED Matt 1366x768, Core i5-3210M 3.10GHz, 4GB, 750GB, HDMI, DSUB, NVIDIA GF 610M 1GB, DDR3, Windows 7 Home Premium 64 bit, 6cell, kék-ezüst	145184 Ft	15,6	Matt	1366 x 768 (WXGA) 16	Intel Core i5	4	DDRIII	750	nVIDIA GeForce GT 610	2,34	2 év szervizben	6 cella	DVD-RW SUPERMULTI DL	MS W. 7 Home Premium 64bit HU	10/100/1000	802.11b/g/n	Nem	3		Nem	4-1	4.0		Igen	0,3	Nem	D-Sub + HDMI	n.a.	n.a.	Ezüst	USB porton			Nem	http																
TOSHIBA NB Satellite C870-168, 17.3" 1600x900, Intel Pentium B950 2.1GHz, 4GB, 500GB, Radeon HD 7610M, DVD-RW DL, NoOs, 6 cell, Fehér	122824 Ft	17,3	Fényes	1600 x 900 (WUGA) 16	Intel Pentium Dual Core	4096	DDRIII	500	AMD Radeon Integrated Graphics	3,1	2 év szervizben	6 cella	DVD-RW +/- DL	Operációs rendszer nélkül	10/100	802.11b/g/n		2	1	Nem	Igen	4.0		Igen	1		HDMI	n.a.	n.a.	Fehér		n.a.	n.a.	n.a.	http																
DELL NB Inspiron N5110 15.6" 1366x768, Intel Core i5-2450M 2.5GHz, 4GB, 500GB, DVD-RW, nV GF GT525M, DOS, 6cell, Fekete	138008 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	500	nVIDIA GeForce GT 525	2,65	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	DOS	10/100	802.11b/g/n	Nem	2	2	Nem	8-1	3.0		Igen	1	Nem	D-Sub + HDMI	eSATA	Nincs	Fekete	USB porton		Cserélhető fedlap	Nem	http																
DELL NB Inspiron 5520 15.6" 1366x768, Intel Core i7-3632 2.2GHz, 6GB, 750GB, DVD-RW, Intel HD, Linux, 6cell, ezüst	158912 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i7	6144	DDRIII	750	Intel HD Graphics 4000	2,9	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Linux	10/100/1000	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton	Nincs rajta Numpad	CSERÉLHETŐ FEDLAPOS	Nem	http																
DELL NB Inspiron 5520 15.6" 1366x768, Intel Core i7-3632 2.2GHz, 6GB, 1TB, DVD-RW, Intel HD, Linux, 6cell, kék	164528 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i7	6144	DDRIII	1000	Intel HD Graphics 4000	2,9	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Linux	10/100/1000	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Kék	USB porton	Nincs rajta Numpad	CSERÉLHETŐ FEDLAPOS	Nem	http																
ACER NB V3-571G-53216G75Makk_Lin 15.6" WXGA Core i5 3210M (2,5-3,1 GHz, 3 MB), 6GB, 750 GB HDD, nvidia GT630M-2Gb, DVD-RW, BT 4.0, Linux, 6cell, Fényes Fekete	149656 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i5	6144	DDRIII	750	nVIDIA GeForce GT 630M	2,4	2 év el- és visszaszállításos garancia	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100/1000	802.11a/b/g/n	Nem	2	1	Nem	5-1	4.0		Igen	1,3	Nem	D-Sub + HDMI	n.a.	Nincs	Szürke	USB porton			Nem	http																
LENOVO NB ThinkPad T420, 14.0" HD, Intel Core i5-2520M 2.50 GHz, 4GB, 320GB, DVD-RW, Intel HD Graphics, Win7Pro64, 6cell	236288 Ft	14	Matt	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	320	Intel HD Graphics 3000	2,8	3 év szervizben	6 cella	DVD-RW +/-	MS W. 7 Professional 64bit HU	10/100/1000	802.11a/g/n	Nem	3		Igen	4-1	3.0		Igen	2	Nem	D-Sub + Display Port	n.a.	n.a.	Fekete	USB/dokkoló porton			n.a.	http																
DELL NB Vostro 3360 13.3" Intel Core i3-2367 1.4GHz, 4GB, 320GB, Intel HD 3000, Linux, 4cell, Piros	154024 Ft	13,3	Matt	1366 x 768 (WXGA) 16	Intel Core i3	4096	DDRIII	320	Intel HD Graphics 3000	1,67	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	4 cella	Nem	Ubuntu Linux	10/100/1000	802.11b/g/n	Nem		3	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Piros	USB porton			Nem	http																
DELL NB Vostro 3460 14.0" Intel Core i7-3612 2.1GHz, 8GB, 750GB, DVD-RW, GeForce GT630 1GB, Linux, 6cell, Piros	216632 Ft	14	Matt	1366 x 768 (WXGA) 16	Intel Core i7	8192	DDRIII	750	nVIDIA GeForce GT 630M + 1GB VRAM	2,23	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	6 cella	DVD-RW +/-	Ubuntu Linux	10/100/1000	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Piros	USB porton		34mm Express Card	Igen	http																
