TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	ODD	Gar.	Akku	OS	Család	Modell	Szín	LAN	USB	WLAN	Bill.	Touchpad	Állapot	Bill. Num	Kamera	Portok	BT	CR	HDMI	Külső táskaméret	eSata	FP	ExpressCard	3G kártyahely	Dokk	RS232	FW	Modem	Távirányító	TV ki	PCMCIA	LPT
Dell Inspiron N5040 JAS Black FD 2Y	83386 Ft	15.6ʺ HD LED (1366x768)	Pentium P6200 (2130)	2048 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	nincs (F)	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	3 in 1	van														
Dell. Inspiron N5050 Black CE M LX 3Y 3714426	83386 Ft	15.6ʺ HD WLED (1366x768)	Celeron B720 (1700)	1024 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	3 in 1	van														
Acer Aspire 4352-B812G32MNkk Blk LX 2Y 6GB	83386 Ft	14ʺ HD LED (1366x768)	Celeron DualCore B815 (1600)	6144 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs (L)	Aspire		fekete	10/100/1000	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA		Multi-in-1	van														
HP 635 Champagne A1E50EA LX 6GB	84173 Ft	15.6ʺ HD LED (1366x768)	AMD DualCore E-450 (1650)	6144 (DDR3) MB	320 GB	AMD Radeon HD 6320	DVDRW SM	2 év	6 cellás	nincs (L)			champagne	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	2 in 1	van	Ajándék táska													
Asus X55U-SX003D Black FD 4GB	84173 Ft	15.6ʺ HD LED (1366x768)	AMD DualCore E-450 (1650)	4096 (DDR3) MB	320 GB	AMD Radeon HD 6320	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs (F)			fekete	10/100/1000	1x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1	van														
Lenovo IdeaPad G585A Brown 59-334362 FD	86535 Ft	15.6ʺ HD LED (1366x768)	AMD E1-1200 (1400)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 6370M	DVDRW SM	2 év	6 cellás	nincs (F)	IdeaPad	IdeaPad G	barna	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		5 in 1	van														
Acer Aspire 4752Z-B9504G50Mnb Blue LX 2Y	86535 Ft	14ʺ HD LED (1366x768)	Pentium B950 (2100)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs (L)			kék	10/100/1000	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA		Multi-in-1	van														
Dell. Inspiron N5050 PE Black LX 3Y 3014580	86535 Ft	15.6ʺ HD (1366x768)	Pentium B960 (2200)	2048 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	3 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	3 in 1	van														
Acer Aspire 4752Z-B9504G50Mnk Black LX 2Y	86535 Ft	14ʺ HD LED (1366x768)	Pentium B950 (2100)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs (L)	Aspire		fekete	10/100/1000	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA		Multi-in-1	van														
Acer Aspire 5742Z-P624G32Mncc Brown LX	86535 Ft	15.6ʺ HD LED (1366x768)	Pentium P6200 (2130)	4096 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW SM	1 év	6 cellás	nincs (L)	Aspire	Aspire 5xxx	barna	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1	van														
Lenovo B575 Black 59-325680 FD 8GB	86535 Ft	15.6ʺ HD LED (1366x768)	AMD DualCore E-450 (1650)	8192 (DDR3) MB	320 GB	AMD Radeon HD 6320	DVDRW SM	2 év	6 cellás	nincs (F)			fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	5 in 1	van		e-SATA/USB	van											
Dell Inspiron N5040 JAS Black FD 4GB. 2Y	86535 Ft	15.6ʺ HD LED (1366x768)	Pentium P6200 (2130)	4096 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	nincs (F)	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	3 in 1	van														
Lenovo B570e Black 59-325611 FD	86535 Ft	15.6ʺ HD LED (1366x768)	Pentium B960 (2200)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	nincs (F)			fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	5 in 1	van														
HP 650 B6N07EA W7	86535 Ft	15.6ʺ HD LED (1366x768)	Celeron B820 (1700)	2048 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW +/- DL	2 év	6 cellás	Windows7 HomePrem 64 HUN			ezüstszürke	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA		2 in 1	van														
Dell. Inspiron N5050 PE Red LX 3Y 3114580	86535 Ft	15.6ʺ HD (1366x768)	Pentium B960 (2200)	2048 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	3 év	6 cellás	nincs (L)	Inspiron		piros	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	3 in 1	van														
Acer Aspire 5742Z-P622G32Mnkk Black LX	86535 Ft	15.6ʺ HD LED (1366x768)	Pentium P6200 (2130)	2048 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW SM	1 év	6 cellás	nincs (L)	Aspire	Aspire 5xxx	fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1	van														
