TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	ODD	Gar.	Akku	OS	Család	Modell	Szín	LAN	USB	WLAN	Bill.	Touchpad	Állapot	Bill. Num	Kamera	Portok	BT	CR	HDMI	Külső táskaméret	eSata	FP	ExpressCard	3G kártyahely	Dokk	RS232	FW	Modem	Távirányító	TV ki	PCMCIA	LPT
Lenovo IdeaPad G580GH Brown 59-336871 FD 8GB	94409 Ft	15.6ʺ HD LED (1366x768)	Pentium B950 (2100)	8192 (DDR3) MB	750 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	nincs (F)	IdeaPad	IdeaPad G	barna	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1	van														
Acer V3-531G-B9704G50Maii Grey LX 2Y	94409 Ft	15.6ʺ HD LED (1366x768)	Pentium B970 (2300)	4096 (DDR3) MB	500 GB	1024 MB NVIDIA GF GT630M	DVDRW SM	2 év	6 cellás	nincs (L)	Aspire		ezüstszürke	10/100/1000	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	Multi-in-1	van														
Fujitsu LifeBook A530 P62 NoOs 2GB.	94480 Ft	15.6ʺ HD (1366x768)	Pentium P6200 (2130)	2048 (DDR3) MB	320 GB	Intel Media Accelerator HD	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.	Lifebook	Lifebook A	fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	3 in 1	van				van										
Dell Inspiron N5040 Black PS LX 3Y 3714096	95984 Ft	15.6ʺ HD LED (1366x768)	Pentium P6200 (2130)	2048 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	3 in 1	van														
Lenovo IdeaPad G570GH Brown 59-324351 FD	96772 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	2048 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	nincs (F)	IdeaPad	IdeaPad G	barna	10/100	4 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	5 in 1	van														
Fujitsu LifeBook A530 P62 NoOs 4GB	97559 Ft	15.6ʺ HD (1366x768)	Pentium P6200 (2130)	4096 (DDR3) MB	320 GB	Intel Media Accelerator HD	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.	Lifebook	Lifebook A	fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	3 in 1	van				van										
Dell Inspiron N5050 PE S Black LX 2Y 3313854	98346 Ft	15.6ʺ HD LED (1366x768)	Pentium B960 (2200)	2048 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	3 in 1	van														
Samsung NP300E5Z-A01HU Silver FD	98346 Ft	15.6ʺ HD LED (1366x768)	Pentium B940 (2000)	4096 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs (F)	Samsung	Samsung N	ezüst	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	SD card	van														
HP 630 Champagne A6E91EA LX	98346 Ft	15.6ʺ HD LED (1366x768)	Core i3 380M (2530)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW	2 év	6 cellás	nincs (L)			champagne	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	2 in 1	van	Ajándék táska													
Acer V3-531G-B9704G50Maii Grey LX 2Y 8GB	98346 Ft	15.6ʺ HD LED (1366x768)	Pentium B970 (2300)	8192 (DDR3) MB	500 GB	1024 MB NVIDIA GF GT630M	DVDRW SM	2 év	6 cellás	nincs (L)	Aspire		ezüstszürke	10/100/1000	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	Multi-in-1	van														
Dell Inspiron M5110 Red A6R LX 3514617 8GB	98346 Ft	15.6ʺ HD LED TL (1366x768)	AMD A6-3420M (1500)	8192 (DDR3) MB	640 GB	AMD Radeon HD 6520G	DVDRW SM	3 év	6 cellás	nincs (L)	Inspiron		piros	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	4 in 1	van		van												
HP Pavilion G6-1306SH A9B65EA FD	98346 Ft	15.6ʺ LED HD BV (1366x768)	AMD A6-3420M (1500)	4096 (DDR3) MB	750 GB	1GB AMD Radeon HD6520G +7450M	DVDRW +/-	2 év	6 cellás	nincs (F)	Pavilion		ezüst	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	2 in 1	van														
Acer Aspire 5560-63424G50Mnbb Blue LX	98346 Ft	15.6ʺ HD LED (1366x768)	AMD A6-3420M (1500)	4096 (DDR3) MB	500 GB	AMD Radeon HD 7480	DVDRW SM	1 év	6 cellás	nincs (L)	Aspire		kék	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1	van														
Samsung NP300E5Z-A04HU Silver-Blue FD	98346 Ft	15.6ʺ HD LED (1366x768)	Pentium B950 (2100)	4096 (DDR3) MB	750 GB	Intel HD Graphics	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs (F)	Samsung	Samsung N	kék	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	SD card	van														
Dell Inspiron N5040 Black PM LX 3Y 3914203	99134 Ft	15.6ʺ HD LED (1366x768)	Pentium P6200 (2130)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	3 in 1	van														
Acer Aspire 5250-E304G32Mnkk Grey W7	99134 Ft	15.6ʺ HD LED (1366x768)	AMD E-300 (1300)	4096 (DDR3) MB	320 GB	AMD Radeon HD 6320	DVDRW SM	1 év	4400 mAh (Li-ion)	Windows7 HomePrem 64 HUN	Aspire	Aspire 5xxx	szürke	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1															
Dell Inspiron N5040 Red PM LX 3Y 3014204	99134 Ft	15.6ʺ HD LED (1366x768)	Pentium P6200 (2130)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		piros	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	3 in 1	van														
Fujitsu LifeBook A512 Black NoOs 2Y 8GB	99921 Ft	15.6ʺ HD LED (1366x768)	Pentium B960 (2200)	8192 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs op. rsz.	Lifebook	Lifebook A	fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	4 in 1	van				van										
Lenovo IdeaPad G570GH Brown 59-324351 FD 4GB	99921 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	nincs (F)	IdeaPad	IdeaPad G	barna	10/100	4 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	5 in 1	van														
Dell Inspiron N5050 Red i3 S LX 3314580	100709 Ft	15.6ʺ HD LED TL (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		piros	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	3 in 1	van														
Toshiba Satellite C850-176 Black NoOs	100709 Ft	15.6ʺ HD LED (1366x768)	Core i3 2310M (2100)	2048 (DDR3) MB	320 GB	Intel HD Graphics 3000	DVDRW SM	2 év	4200 mAh (Li-ion)	nincs op. rsz.	Satellite		fekete	10/100	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	SD card	van														
Toshiba Satellite C855-1MX Black NoOs	100709 Ft	15.6ʺ HD LED (1366x768)	Pentium B950 (2100)	4096 (DDR3) MB	640 GB	1024 MB AMD Radeon HD 7610M	DVDRW SM	2 év	4200 mAh (Li-ion)	nincs op. rsz.	Satellite		fekete	10/100	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	SD card	van														
Dell. Inspiron N5050 Black i3 S LX 3214580	100709 Ft	15.6ʺ HD LED TL (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	3 in 1	van														
Samsung NP300E5Z-A03HU Silver FD	101496 Ft	15.6ʺ HD LED (1366x768)	Pentium B950 (2100)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs (F)	Samsung	Samsung N	ezüst	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	SD card	van														
HP 630 Champagne A6D80ES W7 8GB	102283 Ft	15.6ʺ HD LED (1366x768)	Celeron DualCore B800 (1500)	8192 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW	2 év	6 cellás	Windows7 HomePrem 64 HUN			champagne	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	2 in 1	van	Ajándék táska													
Dell Inspiron M5110 A6R LX 3414617 Peacock Blue 8GB	102283 Ft	15.6ʺ HD LED TL (1366x768)	AMD A6-3420M (1500)	8192 (DDR3) MB	640 GB	AMD Radeon HD 6520G	DVDRW SM	3 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	4 in 1	van		van												
Lenovo IdeaPad G580GH NV Brown 59-336132 FD	102283 Ft	15.6ʺ HD LED (1366x768)	Pentium B960 (2200)	4096 (DDR3) MB	500 GB	2048 MB NVIDIA GF GT630M	DVDRW SM	2 év	6 cellás	nincs (F)	IdeaPad	IdeaPad G	barna	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1	van														
Lenovo IdeaPad G580GH Brown 59-346892 FD	102283 Ft	15.6ʺ HD LED (1366x768)	Core i3 2328M (2200)	4096 (DDR3) MB	1000 GB	Intel HD Graphics 3000	DVDRW SM	2 év	6 cellás	nincs (F)	IdeaPad	IdeaPad G	barna	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1	van														
Lenovo IdeaPad S400 Silver 59-350206 FD	102283 Ft	14ʺ HD LED (1366x768)	Pentium 997 (1600)	4096 (DDR3) MB	500 GB	Intel HD Graphics	nincs optikai meghajtó	2 év	2200 mAh (Li-ion)	nincs (F)	IdeaPad	IdeaPad S	ezüst	10/100	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új		van		van	2 in 1	van														
Fujitsu LifeBook A530 i37 NoOs	102283 Ft	15.6ʺ HD (1366x768)	Core i3 370M (2400)	4096 (DDR3) MB	320 GB	Intel Media Accelerator HD	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.	Lifebook	Lifebook A	fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	3 in 1	van				van										
Lenovo IdeaPad G580GH Brown 59-336127 W7	102283 Ft	15.6ʺ HD LED (1366x768)	Pentium B960 (2200)	4096 (DDR3) MB	750 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	IdeaPad	IdeaPad G	barna	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1	van														
HP 630 Champagne A6E91EA LX 8GB	102283 Ft	15.6ʺ HD LED (1366x768)	Core i3 380M (2530)	8192 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW	2 év	6 cellás	nincs (L)			champagne	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	2 in 1	van	Ajándék táska													
Fujitsu LifeBook AH531 AKC3Y Black W7 6GB	102283 Ft	15.6ʺ HD LED (1366x768)	Pentium B960 (2200)	6144 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	3 év	4400 mAh (Li-ion)	Windows7 HomePrem 64 HUN	Lifebook	Lifebook AH	fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	4 in 1	van				van	Előkészítés modem nélkül									
Dell Inspiron M5110 A6R LX 3414617 Big Giant Plaid 8GB	102283 Ft	15.6ʺ HD LED TL (1366x768)	AMD A6-3420M (1500)	8192 (DDR3) MB	640 GB	AMD Radeon HD 6520G	DVDRW SM	3 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	4 in 1	van		van												
Acer Aspire 5750ZG-B954G50Mnkk NV Black W7 2Y	102283 Ft	15.6ʺ HD LED (1366x768)	Pentium B950 (2100)	4096 (DDR3) MB	500 GB	1024 MB NVIDIA GF GT 520M	DVDRW SM	2 év	4400 mAh (Li-ion)	Windows7 HomePrem 64 HUN	Aspire	Aspire 5xxx	fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		Multi-in-1	van														
Dell Inspiron M5110 A6R LX 3414617 Horizonal Pink 8GB	102283 Ft	15.6ʺ HD LED TL (1366x768)	AMD A6-3420M (1500)	8192 (DDR3) MB	640 GB	AMD Radeon HD 6520G	DVDRW SM	3 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	4 in 1	van		van												
HP Pavilion G6-2013SH B6W25EA FD	102283 Ft	15.6ʺ LED HD BV (1366x768)	AMD A6-4400M (2600)	4096 (DDR3) MB	640 GB	1024 MB AMD Radeon HD 7670M	DVDRW SM	2 év	6 cellás	nincs (F)	Pavilion		szürke	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	2 in 1	van														
HP Pavilion G6-1306SH A9B65EA FD 8GB	102283 Ft	15.6ʺ LED HD BV (1366x768)	AMD A6-3420M (1500)	8192 (DDR3) MB	750 GB	1GB AMD Radeon HD6520G +7450M	DVDRW +/-	2 év	6 cellás	nincs (F)	Pavilion		ezüst	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	2 in 1	van														
Acer Aspire 7250G-4504G50Mnkk Grey LX	102283 Ft	17.3ʺ LED HD+ (1600x900)	AMD DualCore E-450 (1650)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 7470M	DVDRW SM	1 év	6 cellás	nincs (L)	Aspire	Aspire 7xxx	szürke	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1	van														
HP 630 Champagne A6F14EA LX	102283 Ft	15.6ʺ HD LED (1366x768)	Core i3 380M (2530)	4096 (DDR3) MB	500 GB	512 MB AMD Radeon HD 6370M	DVDRW SM	2 év	6 cellás	nincs (L)			champagne	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	2 in 1	van	Ajándék táska													
Dell Inspiron 3520 Black i3 S LX 3414623 3Y	102283 Ft	15.6ʺ HD LED TL (1366x768)	Core i3 2370M (2400)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	3 in 1	van														
Toshiba Satellite C855-113 Silver W7	102283 Ft	15.6ʺ HD LED (1366x768)	Pentium B960 (2200)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4200 mAh (Li-ion)	Windows7 HomePrem 64 HUN	Satellite		ezüst	10/100	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	3 in 1	van														
Acer Aspire 5742Z-P624G32Mncc Brown W7	102283 Ft	15.6ʺ HD LED (1366x768)	Pentium P6200 (2130)	4096 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW SM	1 év	6 cellás	Windows7 HomePrem 64 HUN	Aspire	Aspire 5xxx	barna	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1	van														
HP Pavilion G6-1222EH A5Q04EA W7	102283 Ft	15.6ʺ LED HD BV (1366x768)	AMD A4-3300M (1900)	4096 (DDR3) MB	640 GB	1024 MB AMD Radeon HD 6470M	DVDRW +/-	2 év	6 cellás	Windows7 HomePrem 64 HUN	Pavilion		ezüst	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	2 in 1	van														
Acer Aspire 4752Z-B9504G50Mnb Blue W7 2Y	102283 Ft	14ʺ HD LED (1366x768)	Pentium B950 (2100)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4400 mAh (Li-ion)	Windows7 HomePrem 64 HUN	Aspire		kék	10/100/1000	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA		Multi-in-1	van														
Lenovo IdeaPad G585A Brown 59-341995 W7	102283 Ft	15.6ʺ HD LED (1366x768)	AMD E2-1800 (1700)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 6370M	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	IdeaPad	IdeaPad G	barna	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	5 in 1	van														
Packard Bell EasyNote F4211-HR-454HG LX	104252 Ft	15.6ʺ HD LED (1366x768)	Core i3 2330M (2200)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW SM	1 év	4400 mAh (Li-ion)	nincs (L)			fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		Multi-in-1	van														
Asus A54HR-SX155V Black W7	106220 Ft	15.6ʺ HD LED (1366x768)	Pentium B960 (2200)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 7470M	DVDRW SM	2 év	2600 mAh	Windows7 HomePrem 64 HUN	Value	ASUS A	fekete	10/100/1000	1x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		4 in 1	van														
HP Pavilion G6-1222EH A5Q04EA W7 6GB	106220 Ft	15.6ʺ LED HD BV (1366x768)	AMD A4-3300M (1900)	6144 (DDR3) MB	640 GB	1024 MB AMD Radeon HD 6470M	DVDRW +/-	2 év	6 cellás	Windows7 HomePrem 64 HUN	Pavilion		ezüst	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	2 in 1	van														
Fujitsu LifeBook A530 i38 M 8GB NoOs	106220 Ft	15.6ʺ HD (1366x768)	Core i3 380M (2530)	8192 (DDR3) MB	500 GB	Intel Media Accelerator HD	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.	Lifebook	Lifebook A	fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	3 in 1	van				van										
Packard Bell EasyNote F3185-HR-461HG LX	106220 Ft	14ʺ HD LED (1366x768)	Core i3 370M (2400)	4096 (DDR3) MB	640 GB	Intel HD 2000	DVDRW SM	1 év	6 cellás	nincs (L)			fekete	10/100	4 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	5 in 1	van														
Lenovo IdeaPad G580GH NV Brown 59-336132 FD 8GB	106220 Ft	15.6ʺ HD LED (1366x768)	Pentium B960 (2200)	8192 (DDR3) MB	500 GB	2048 MB NVIDIA GF GT630M	DVDRW SM	2 év	6 cellás	nincs (F)	IdeaPad	IdeaPad G	barna	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1	van														
HP Pavilion G6-1211EH A5Q02EA FD	106220 Ft	15.6ʺ LED HD BV (1366x768)	AMD A4-3300M (1900)	4096 (DDR3) MB	640 GB	1024 MB AMD Radeon HD 6470M	DVDRW +/-	2 év	6 cellás	nincs (F)	Pavilion		ezüst	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	2 in 1	van														
Fujitsu LifeBook AH531 AKC3Y Black W7 8GB	106220 Ft	15.6ʺ HD LED (1366x768)	Pentium B960 (2200)	8192 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	3 év	4400 mAh (Li-ion)	Windows7 HomePrem 64 HUN	Lifebook	Lifebook AH	fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	4 in 1	van				van	Előkészítés modem nélkül									
Fujitsu LifeBook A530 P62 NoOs 6GB	106220 Ft	15.6ʺ HD (1366x768)	Pentium P6200 (2130)	6144 (DDR3) MB	320 GB	Intel Media Accelerator HD	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.	Lifebook	Lifebook A	fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	3 in 1	van				van										
Samsung NP300E5C-A01HU Silver Blue W7	106220 Ft	15.6ʺ HD LED (1366x768)	Pentium B960 (2200)	4096 (DDR3) MB	750 GB	Intel HD Graphics	DVDRW SM	2 év	4400 mAh (Li-ion)	Windows7 HomePrem 64 HUN	Samsung	Samsung N	kék	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	SD card	van														
HP 630 Champagne C1M15 EA W7 8GB	106299 Ft	15.6ʺ HD LED (1366x768)	Core i3 2310M (2100)	8192 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW +/- DL	2 év	6 cellás	Windows7 HomePrem 64 HUN			champagne	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	2 in 1	van														
Lenovo B570e Black 59-325611 Win7	106535 Ft	15.6ʺ HD LED (1366x768)	Pentium B960 (2200)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN			fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	5 in 1	van														
Dell Inspiron N5040 i3 S Black 3513853 LX 2Y	106693 Ft	15.6ʺ HD (1366x768)	Core i3 380M (2530)	2048 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	3 in 1	van														
Dell Inspiron 3520 Black i3 M LX 3514623 3Y	107008 Ft	15.6ʺ HD LED TL (1366x768)	Core i3 2370M (2400)	4096 (DDR3) MB	750 GB	Intel HD Graphics 3000	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	3 in 1	van														
Lenovo B580 Black 59-344137 W7	108583 Ft	15.6ʺ HD LED (1366x768)	Core i3 2328M (2200)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN			fekete	10/100/1000	2x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	2 in 1	van			van											
Dell Inspiron N5040 Black 3313853 4GB. W7 2Y	110157 Ft	15.6ʺ HD (1366x768)	Pentium P6200 (2130)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN			fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	3 in 1	van														
Lenovo IdeaPad G580GH Brown 59-336127 W7 8GB	110157 Ft	15.6ʺ HD LED (1366x768)	Pentium B960 (2200)	8192 (DDR3) MB	750 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	IdeaPad	IdeaPad G	barna	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1	van														
Acer Aspire 5750ZG-B954G50Mnkk NV Blk W7 2Y 8GB	110157 Ft	15.6ʺ HD LED (1366x768)	Pentium B950 (2100)	8192 (DDR3) MB	500 GB	1024 MB NVIDIA GF GT 520M	DVDRW SM	2 év	4400 mAh (Li-ion)	Windows7 HomePrem 64 HUN	Aspire	Aspire 5xxx	fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		Multi-in-1	van														
HP Pavilion G6-2013SH B6W25EA FD 8GB	110157 Ft	15.6ʺ LED HD BV (1366x768)	AMD A6-4400M (2600)	8192 (DDR3) MB	640 GB	1024 MB AMD Radeon HD 7670M	DVDRW SM	2 év	6 cellás	nincs (F)	Pavilion		szürke	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	2 in 1	van														
Acer Aspire 4752Z-B9504G50Mnb Blue W7 2Y 8GB	110157 Ft	14ʺ HD LED (1366x768)	Pentium B950 (2100)	8192 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4400 mAh (Li-ion)	Windows7 HomePrem 64 HUN	Aspire		kék	10/100/1000	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA		Multi-in-1	van														
HP 630 Champagne A1D74EA W7	110157 Ft	15.6ʺ HD LED (1366x768)	Core i3 370M (2400)	4096 (DDR3) MB	320 GB	AMD Radeon HD 6370M	DVDRW +/- DL	2 év	6 cellás	Windows7 HomePrem 64 HUN			champagne	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	2 in 1	van	Ajándék táska													
Toshiba Satellite C855-113 Silver W7 8GB	110157 Ft	15.6ʺ HD LED (1366x768)	Pentium B960 (2200)	8192 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4200 mAh (Li-ion)	Windows7 HomePrem 64 HUN	Satellite		ezüst	10/100	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	3 in 1	van														
Dell Inspiron N5050 SPO 4GB W7	110157 Ft	15.6ʺ HD LED TL (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	3 in 1	van														
Asus X54C-SO344D Black Win7	110157 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	2048 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW SM	2 év	2600 mAh	Windows7 HomePrem 64 HUN			fekete	10/100	1x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	3 in 1	van														
HP 630 Champagne A6F09EA W7	110157 Ft	15.6ʺ HD LED (1366x768)	Core i3 380M (2530)	4096 (DDR3) MB	500 GB	AMD Radeon HD 6370M	DVDRW +/- DL	2 év	6 cellás	Windows7 HomePrem 64 HUN			champagne	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	2 in 1	van														
