TermékNév	Ár	TFT	CPU	RAM	HDD	HDD +	GPU	Súly	Gar.	Akku	ODD	OS	LAN	Portok	Kamera	Audio	Egyéb	Szín
Packard Bell EASYNOTE F5211-HC-454HG Notebook	77900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B815 - 1,6GHz /2MB Cache / FSB 1333MHz	4 GB, DDR3 1066MHz		500 GB, SATA-2	Intel GMA HD	2,5 kg, 381.6 (W) x 253 (D) x 25.2/33.2 (H) mm	2 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Linux	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, 5 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Acer Aspire V3-531-B824G32Makk_Lin (NX.M35EU.012) Notebook	78900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B820 - 1,7Ghz /2MB Cache / FSB 1333MHz	4 GB, DDR3		320 GB, SATA-2	Intel GMA HD Graphics 4000	2,6 kg, 381.6 x 253 x 25.2/33.2 mm	2 év garancia	6 cella, 2,5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	Linux	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Asus X55A-SX044D Notebook	79900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B820 - 1,7Ghz /2MB Cache / FSB 1333MHz	2 GB, DDR3 1333MHz		320 GB, SATA-2	Intel GMA HD	2,4 kg, 37,8 x 25,3 x 2,62 - 3,19 cm	2 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	1x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Packard Bell EASYNOTE TK-F4011-BZ-253HG Notebook	80900 Ft	15,6", 1366x768, 16:9	AMD , AMD E-300 APU 1.3GHz / 800MHz/1MB L2	2 GB, DDR3 1066MHz		500 GB, SATA-2	ATI Mobility Radeon HD6310		1 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Linux	802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 2.1, Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Packard Bell EASYNOTE F4011-BZ-235HG Notebook	80900 Ft	15,6", 1366x768, 16:9	AMD , AMD E-450 1.66 GHz / 1MB Cache 18W	2 GB, DDR3 1066MHz		320 GB, SATA-2	ATI Mobility Radeon HD6320M		1 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Linux	802.11.b/g/n WLAN	3 db USB 2.0 port, Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Toshiba Satellite C850-13Z Notebook	81900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B820 - 1,7Ghz /2MB Cache / FSB 1333MHz	2 GB, DDR3 1066MHz		320 GB, SATA-2	Intel Graphics 3000 HD	2,3Kg, 380.0 x 242.0 x 33.52 mm	2 év garancia	Lithium-ion, 5,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer	FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Acer Aspire 5349-B812G50MN (NX.RR9EU.007) Notebook	82900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B815 - 1,6GHz /2MB Cache / FSB 1333MHz	2 GB, DDR3 1066MHz		500 GB, SATA-2	Intel GMA HD	2,4 kg, 381 (W) x 253 (D) x 29.6/34.7 (H) mm	1 év garancia	6 cella, 4 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	Linux	10/100, 802.11.b/g/n WLAN	3 db USB 2.0 port, Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Lenovo ideaPad G575GL (59-345828) Notebook	82900 Ft	15,6", 1366x768, 16:9	AMD , AMD E-300 APU 1.3GHz / 800MHz/1MB L2	4 GB, DDR3 1333MHz		500 GB, SATA-2	ATI Mobility Radeon HD6310	2,6 kg, 376.8mm x249.8mm x17.3~34.9 mm	2 év garancia	6 cella, 4,5 óra átlagos üzemidő , 4400 mAh	DVD +/- RW, Dual Layer	FreeDos	10/100, 802.11.b/g/n WLAN	4 db USB 2.0 port, Bluetooth 2.1, 2 in 1 kártyaolvasó, DSUB	Camera 0.3MPixel				
Packard Bell EASYNOTE F4211-HR-256HG Notebook	82900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B960 2.2GHz / 2MB L3 cache	2 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD		2 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Linux	802.11.b/g/n WLAN	3 db USB 2.0 port, 5 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Packard Bell EASYNOTE F4085-GN-357HG Notebook	82900 Ft	15,6", 1366x768, 16:9	Intel DualCore, P6200 ( 2.13 GHz, 3M Cache)	3 GB, DDR3 1066MHz		500 GB, SATA-2	AMD Radeon HD 6370 512MB		2 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Linux	802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 3.0 High Speed , 2 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Hewlett Packard HP 635 (A1E50EA) Notebook	83900 Ft	15,6", 1366x768, 16:9	AMD , AMD E-450 1.66 GHz / 1MB Cache 18W	2 GB, DDR3 1333MHz		320 GB, SATA-2	ATI Radeon HD 4225 Graphics Shared Memory	2,5 kg, 37,6 x 24,7 x 3,18 cm	2 év garancia	6 cella, 3 óra átlagos üzemidő, 47Wh	DVD +/- RW, Super Multi	Linux	10/100, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Hewlett Packard HP 650 (B6M55EA) Notebook	84900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B820 - 1,7Ghz /2MB Cache / FSB 1333MHz	2 GB, DDR3 1333MHz		320 GB, SATA-2	Intel GMA HD	2,5 kg, 37,6 x 24,7 x 3,18 cm	1 év garancia	6 cella, 3 óra átlagos üzemidő, 47Wh	DVD +/- RW, Super Multi	Linux	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 2.1, Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Hewlett Packard HP 650 (B6N06EA) Notebook	84900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B820 - 1,7Ghz /2MB Cache / FSB 1333MHz	2 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	2,5 kg, 37,6 x 24,7 x 3,18 cm	1 év garancia	6 cella, 3 óra átlagos üzemidő, 47Wh	DVD +/- RW, Super Multi	Linux	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 2.1, Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Asus X55U-SX035D Notebook	84900 Ft	15,6", 1366x768, 16:9	AMD , AMD E-450 1.66 GHz / 1MB Cache 18W	4 GB, DDR3 1333MHz		500 GB, SATA-2	AMD Radeon HD 6320	2,4 kg, 37,8 x 25,3 x 2,62 - 3,19 cm	2 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	3USB 2.0, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Lenovo Ideapad G580GL (59-346348) Notebook	84900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B830 - 1.8 GHz/2MB Cache / FSB 1333MHz	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	2,6 kg, 376x245x34.3	2 év garancia	6 cella, 5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, 2 in 1 kártyaolvasó, HDMI out	Camera 0.3MPixel				
Packard Bell Packard Bell Liberty Tab G100 32GB Tablet	85900 Ft	10,1 képátló, 1280x800	NVIDIA Tegra 250 1GHz/FSB 333MHz /1MB Cache	1GB RAM	32 GB háttértár		NVIDIA Tegra 250	760g	1 év garancia	6520mAh, 10 óra		Android 3.0 Honeycomb	802.11b, g, n, Bluetooth, GPS	mini HDMI 1.3, Micro SD	2.0Mpixel elől, 5Mpixel hátul	sztereó hangszóró, mikrofon			
