TermékNév	Ár	TFT	CPU	RAM	HDD	HDD +	GPU	Súly	Gar.	Akku	ODD	OS	LAN	Portok	Kamera	Audio	Egyéb	Szín
Hewlett Packard HP 630 (A6F21EA) Notebook	91900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B815 - 1,6GHz /2MB Cache / FSB 1333MHz	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	2,5 kg, 37,6 x 24,7 x 3,18 cm	1 év garancia	6 cella, 3 óra átlagos üzemidő, 47Wh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Dell Inspiron M5040 (DI5040A-E450-4GH50D6BK) Notebook	92900 Ft	15,6", 1366x768, 16:9	AMD , AMD E-450 1.66 GHz / 1MB Cache 18W	4 GB, DDR3 1333MHz		500 GB, SATA-2	ATI Mobility Radeon HD6320M	2,4 kg, 31/34 * 376 * 260mm	2 év garancia	6 cella, 48Wh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.g/n WLAN	3USB 2.0, Bluetooth 3.0 High Speed , 3 in 1 kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Asus K53BR-SX035D Notebook	92900 Ft	15,6", 1366x768, 16:9	AMD , AMD E-450 1.66 GHz / 1MB Cache 18W	4 GB, DDR3 1333MHz		500 GB, SATA-2	AMD Radeon HD 7470M /1GB	2,6 kg, 37,8 x 25,3 x 2,62 - 3,19 cm	2 év garancia	6 cella, 5200mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 2.1, Multi in 1kártyaolvasó, Mini D-sub 15-pin, HDMI out	Camera 0.3MPixel				
Asus P53E-SO212D Notebook	92900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B970 2.3GHz / 2MB Cache, 5 GT/s, 35 W	2 GB, DDR3 1333MHz		320 GB, SATA-2	Intel Graphics 3000 HD	2,6 kg, 37,8 x 25,3 x 2,62 - 3,19 cm	2 év garancia	6 cella, 5200mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	3USB 2.0, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, Mini D-sub 15-pin, HDMI out	Camera 0.3MPixel				
Asus X55U-SX003V Notebook	92900 Ft	15,6", 1366x768, 16:9	AMD , AMD E-450 1.66 GHz / 1MB Cache 18W	2 GB, DDR3 1333MHz		320 GB, SATA-2	AMD Radeon HD 6320	2,4 kg, 37,8 x 25,3 x 2,62 - 3,19 cm	2 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	1x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Acer Aspire 7250-4504G50Mn (NX.RL6EU.002) Notebook	92900 Ft	17,3", 1600*900, 16:9	AMD , AMD E-450 1.66 GHz / 1MB Cache 18W	4 GB, DDR3		500 GB, SATA-2	AMD Radeon HD 7480M	3,3 kg, 414.75 (W) x 275 (D) x 34.6 (H) mm	1 év garancia	6 cella, 2,5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	Linux	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Toshiba AT300-101 Tablet	92900 Ft	10,1 képátló, 1280x800, 16:10	nVidia Tegra 3 1.3Ghz	1GB RAM	16GB SSD		12 magos NVIDIA GPU	590g	2 év (1 év az akkura és töltőre)	Lithium Polymer, 14 óra		Android 4.0 Ice Cream Sandwich	802.11a/b/g/n, Bluetooth 3.0	Micro-HDMI kimenet, sztereo jack, Max. Támogatás 32GB SD/SDHC Card, micro-USB	2.0Mpixel elől, 5Mpixel hátul	sztereó hangszóró, mikrofon		Ezüst	
Packard Bell EASYNOTE TS-F4211-HR-453HG Notebook	93900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B815 - 1,6GHz /2MB Cache / FSB 1333MHz	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD		1 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Linux	802.11.b/g/n WLAN	3 db USB 2.0 port, 5 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Dell Inspiron Mini Duo 1090 (Ins1090_139548) Netbook	93900 Ft	10,1", 1366x768, 16:9	Intel Mobil, Intel Atom N570 1,66Ghz /667MHz FSB /2x 512KB Cache	2 GB, DDR3 1333MHz		320 GB, SATA-2	Intel GMA 3150	1,5 kg, 285.0mm x 194.5mm x 26.2mm, 28.7mm	2 év garancia	4 cella, 29Wh		Windows 7 Home Premium	802.11b/g/n WLAN	2 db USB 2.0 port, Dokkolható	Camera 1.3MPix				
Dell Inspiron Mini Duo 1090 (Ins1090_139549) Netbook	93900 Ft	10,1", 1366x768, 16:9	Intel Mobil, Intel Atom N570 1,66Ghz /667MHz FSB /2x 512KB Cache	2 GB, DDR3 1333MHz		320 GB, SATA-2	Intel GMA 3150	1,5 kg, 285.0mm x 194.5mm x 26.2mm, 28.7mm	2 év garancia	4 cella, 29Wh		Windows 7 Home Premium	802.11b/g/n WLAN	2 db USB 2.0 port, Dokkolható	Camera 1.3MPix				
Toshiba Satellite C850-11Q Notebook	93900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Celeron DualCore, B815 - 1,6GHz /2MB Cache / FSB 1333MHz	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel Graphics 3000 HD	2,3Kg, 380.0 x 242.0 x 33.52 mm	2 év garancia	Lithium-ion, 5,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Hewlett Packard HP 630 (A6E83EA) Notebook	93900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B960 2.2GHz / 2MB L3 cache	2 GB, DDR3 1333MHz		320 GB, SATA-2	Intel GMA HD	2,5 kg, 37,6 x 24,7 x 3,18 cm	1 év garancia	6 cella, 3 óra átlagos üzemidő, 47Wh	DVD +/- RW, Super Multi	Linux	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Lenovo Ideapad G585A (59-334362) Notebook	93900 Ft	15,6", 1366x768, 16:9	AMD , E1-1200 1,4GHz /1MB L2 Cache / 18W	4 GB, DDR3 1333MHz		500 GB, SATA-2	ATI Mobility Radeon HD6370 1GB	2,5 kg, 375 x 245 x 34,3 mm	2 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 2.1, 2 in 1 kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Dell Inspiron N5050 (N5050_145800) Notebook	93900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B960 2.2GHz / 2MB L3 cache	2 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	2,4 kg, 34.53mm/31.52mm * 376.0mm * 260.0mm	2 év garancia	6 cella, 48Wh	DVD +/- RW, Super Multi	Linux	10/100, 802.11.b/g/n WLAN	3USB 2.0, Bluetooth 3.0 High Speed , 3 in 1 kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Dell Inspiron N5050 (N5050_145801) Notebook	93900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B960 2.2GHz / 2MB L3 cache	2 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	2,4 kg, 34.53mm/31.52mm * 376.0mm * 260.0mm	2 év garancia	6 cella, 48Wh	DVD +/- RW, Super Multi	Linux	10/100, 802.11.b/g/n WLAN	3USB 2.0, Bluetooth 3.0 High Speed , 3 in 1 kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Acer Aspire 4752Z-B9504G50MNKK (NX.RT2EU.002) Notebook	93900 Ft	14,1'', 1366x768, 16:9	Intel DualCore, B950 - 2,1GHz / 2MB L2 Cache	4 GB, DDR3		500 GB, SATA-2	Intel GMA HD	2,2 kg, 342 (W) x 245 (D) x 25.5/34.2 (H) mm	2 év garancia	6 cella, 2,5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	Linux	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Acer Aspire AS4752Z-B9504G50MNBB (NX.RTWEU.005) Notebook	93900 Ft	14,1'', 1366x768, 16:9	Intel DualCore, B950 - 2,1GHz / 2MB L2 Cache	4 GB, DDR3		500 GB, SATA-2	Intel GMA HD	2,2 kg, 342 (W) x 245 (D) x 25.5/34.2 (H) mm	2 év garancia	6 cella, 2,5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	Linux	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Fujitsu Lifebook A512 (VFY:A5120MPAB5HU) Notebook	93900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B960 2.2GHz / 2MB L3 cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel Graphics 3000 HD	2,5 kg, 378 x 252 x 36,5 mm	1 év garancia	6 cella, 7 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi		10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, 3 in 1 kártyaolvasó, DSUB, Express Card 34/54, HDMI out	Camera 1.3MPix				
Lenovo Ideapad G585 (59-346424) Notebook	94900 Ft	15,6", 1366x768, 16:9	AMD , E2-1800 1.70GHz / 1MB L2, 18W	4 GB, DDR3 1333MHz		500 GB, SATA-2	ATI Radeon HD 6470M 1GB DDR3	2,5 kg, 375 x 245 x 34,3 mm	2 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, 2 in 1 kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Packard Bell EASYNOTE TS-F4211-HR-459HG Notebook	96900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B960 2.2GHz / 2MB L3 cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Nvidia Geforce GT 610M 1GB		1 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Linux	802.11.b/g/n WLAN	3 db USB 2.0 port, 5 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Acer Aspire 7250G-4504G50Mn (NX.RXXEU.002) Notebook	96900 Ft	17,3", 1600*900, 16:9	AMD , AMD E-450 1.66 GHz / 1MB Cache 18W	4 GB, DDR3		500 GB, SATA-2	AMD Radeon HD 7470M /1GB	3,3 kg, 414.75 (W) x 275 (D) x 34.6 (H) mm	1 év garancia	6 cella, 2,5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	Linux	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Dell Inspiron N5040 (DI5040I-P6200-4GH50D6BK) Notebook	96900 Ft	15,6", 1366x768, 16:9	Intel DualCore, P6200 ( 2.13 GHz, 3M Cache)	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	2,4 kg, 34.53mm/31.52mm * 376.0mm * 260.0mm	2 év garancia	6 cella, 48Wh	DVD +/- RW, Super Multi	FreeDos	802.11.g/n WLAN	3USB 2.0, Bluetooth 3.0 High Speed , 3 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD		eSATA		
Fujitsu Lifebook AH531 (VFY:AH531MF045HU) Notebook	96900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B960 2.2GHz / 2MB L3 cache	2 GB, DDR3 1333MHz		320 GB, SATA-2	Intel Graphics 3000 HD	2,5 kg, 378 mm x 250 mm x 29.2/36.5 mm	3 év garancia	6 cella, 7 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi		10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 2.1, 4 in 1 kártyaolvasó, DSUB, Express Card 34/54, HDMI out	Camera 1.3MPix				
Hewlett Packard HP 630 (A6F12EA) Notebook	97900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -380M, 2.53GHz / 2,5GT/s / 3MB Cache	2 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	2,5 kg, 37,6 x 24,7 x 3,18 cm	1 év garancia	6 cella, 3 óra átlagos üzemidő, 47Wh	DVD +/- RW, Super Multi	Linux	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Toshiba Satellite C850-13G Notebook	97900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Celeron DualCore, B820 - 1,7Ghz /2MB Cache / FSB 1333MHz	2 GB, DDR3 1333MHz		320 GB, SATA-2	Intel Graphics 3000 HD	2,3Kg, 380.0 x 242.0 x 33.52 mm	2 év garancia	6 cella, 5,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Packard Bell EASYNOTE TS11-SB-452HG Notebook	98900 Ft	15,6", 1366x768, 16:9	AMD , Fusion A4-3300M 1.9GHz	4 GB, DDR3 1333MHz		500 GB, SATA-2	ATI Radeon HD 6470M 512MB		1 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 3.0 High Speed , 5 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Dell Inspiron N5040 (N5040_142039) Notebook	98900 Ft	15,6", 1366x768, 16:9	Intel DualCore, P6200 ( 2.13 GHz, 3M Cache)	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	2,4 kg, 34.53mm/31.52mm * 376.0mm * 260.0mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Super Multi	Linux	802.11.g/n WLAN	3USB 2.0, Bluetooth 3.0 High Speed , 3 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD		eSATA		
Hewlett Packard HP 650 (B6N07EA) Notebook	98900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B820 - 1,7Ghz /2MB Cache / FSB 1333MHz	2 GB, DDR3 1333MHz		320 GB, SATA-2	Intel GMA HD	2,5 kg, 37,6 x 24,7 x 3,18 cm	1 év garancia	6 cella, 3 óra átlagos üzemidő, 47Wh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 2.1, Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Samsung NP300E5A-A06HU Notebook	98900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B800 - 1,5GHz /2MB Cache / FSB 1333MHtz	3 GB, DDR3 1333MHz		320 GB, SATA-2	Intel GMA HD	2,3Kg, 367.9 x 243 x 27.6 ~ 33.2mm	2 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 3.0 High Speed , 4 in 1 kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Packard Bell EASYNOTE F4085-GN-464HG Notebook	99900 Ft	15,6", 1366x768, 16:9	Intel DualCore, P6200 ( 2.13 GHz, 3M Cache)	4 GB, DDR3 1066MHz		640 GB, SATA-2	Nvidia Geforce GT 610M 1GB		1 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Linux	802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 3.0 High Speed , 2 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Lenovo ThinkPad Edge E135 (NZV4RHV) Netbook	99900 Ft	11,6", 1366x768, 16:9	AMD , E-300 1.30 GHz 2MB Cache DualCore	4 GB, DDR3 1333MHz		500 GB, SATA-2	ATI Mobility Radeon HD6310	1,5 kg, 287*212*23mm	1 év garancia	6 cella, 8,5 óra átlagos üzemidő		FreeDos	10/100/1000, 802.11b/g/n WLAN	2db USB 3.0 port + 1db USB 2.0, Bluetooth 4.0, 4 in 1 kártyaolvasó, DSUB, HDMI out	720p HD Webkamera				
Samsung NP300E5X-T01HU Notebook	100900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B960 2.2GHz / 2MB L3 cache	4 GB, DDR3 1333MHz		750GB, SATA-2	NvidiaGeForce 610M 512GB gDDR3	2,3Kg, 367.9 x 243 x 27.6 ~ 33.2mm	2 év garancia	6 cella, 4800 mAh	DVD +/- RW, Dual Layer	FreeDos	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Hewlett Packard HP 630 (A6D80ES) Notebook	101900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B800 - 1,5GHz /2MB Cache / FSB 1333MHtz	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	2,5 kg, 37,6 x 24,7 x 3,18 cm	1 év garancia	6 cella, 3 óra átlagos üzemidő, 47Wh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Lenovo Ideapad G580GH (59-336871) Notebook	101900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B950 - 2,1GHz / 2MB L2 Cache	4 GB, DDR3 1333MHz		750GB, SATA-2	Intel GMA HD Graphics 4000	2,6 kg, 376x245x34.3	2 év garancia	6 cella, 5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, 5 in 1 kártyaolvasó, HDMI out	Camera 0.3MPixel				
Hewlett Packard HP 630 (C1M13EA) Notebook	101900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2310M 2.10 GHz / 3MB Cache	2 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	2,5 kg, 37,6 x 24,7 x 3,18 cm	1 év garancia	6 cella, 3 óra átlagos üzemidő, 47Wh	DVD +/- RW, Super Multi	Linux	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Lenovo ThinkPad Edge E130 (NZU34HV) Netbook	101900 Ft	11,6", 1366x768, 16:9	Intel DualCore, 977 1.40 GHz 2M Cache	4 GB, DDR3 1333MHz		320 GB, SATA-2	Intel HD Graphics 4000	1,5 kg, 287*212*23mm	1 év garancia	6 cella			10/100/1000, 802.11b/g/n WLAN	3 db USB 3.0 port, Bluetooth 4.0, 4 in 1 kártyaolvasó, HDMI out	720p HD Webkamera				
Asus X53BR-SX030V Notebook	101900 Ft	15,6", 1366x768, 16:9	AMD , AMD E-450 1.66 GHz / 1MB Cache 18W	4 GB, DDR3 1333MHz		320 GB, SATA-2	AMD Radeon HD 6320	2,6 kg, 37,8 x 25,3 x 2,62 - 3,19 cm	2 év garancia	6 cella, 5200mAh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Acer Aspire 5560-63424G50Mnbb (NX.RNWEU.005) Notebook	101900 Ft	15,6", 1366x768, 16:9	AMD , A6-3420M 2,4/1,5 GHz 4MB Cache Quad-Core	4 GB, DDR3 1066MHz		500 GB, SATA-2	Nvidia GeForce GT520M 1GB	2,6 kg, 381.6 x 253 x 25.2/33.2 mm	1 év garancia	6 cella, 3 óra átlagos üzemidő, 48Wh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Toshiba Satellite C850-176 Notebook	101900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Core i3, -2310M 2.10 GHz / 3MB Cache	2 GB, DDR3 1333MHz		320 GB, SATA-2	Intel Graphics 3000 HD	2,3Kg, 380.0 x 242.0 x 33.52 mm	2 év garancia	6 cella, 5,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer		10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Packard Bell EASYNOTE TS-F4211-HR-456HG Notebook	102900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B960 2.2GHz / 2MB L3 cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD		1 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Linux	802.11.b/g/n WLAN	3 db USB 2.0 port, 5 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Lenovo ThinkPad Edge E135 (NZV63HV) Netbook	102900 Ft	11,6", 1366x768, 16:9	AMD , E2-1800 1.70 GHz / Dual-Core / 1MB Cache	4 GB, DDR3 1333MHz		320 GB, SATA-2	AMD Radeon HD 7340	1,5 kg, 287*212*23mm	1 év garancia	6 cella, 8,5 óra átlagos üzemidő		FreeDos	10/100/1000, 802.11b/g/n WLAN	2db USB 3.0 port + 1db USB 2.0, Bluetooth 4.0, 4 in 1 kártyaolvasó, DSUB, HDMI out	720p HD Webkamera				
Lenovo Ideapad G580 (59-346881) Notebook	102900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B950 - 2,1GHz / 2MB L2 Cache	4 GB, DDR3 1333MHz		1 TB, SATA-2	Nvidia Geforce GT 610M 1GB	2,6 kg, 376x245x34.3	2 év garancia	6 cella, 5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, 5 in 1 kártyaolvasó, HDMI out	Camera 0.3MPixel				
Toshiba Satellite C855-12K Notebook	104900 Ft	15,6" HD LED, 1366x768, 16:9	Intel DualCore, B960 2.2GHz / 2MB L3 cache	4 GB, DDR3 1066MHz		500 GB, SATA-2	ATI Radeon HD 7610M 1GB DDR3	2,3Kg, 380.0 x 242.0 x 33.52 mm	2 év garancia	Lithium-ion, 4,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer		10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Acer Aspire 4752Z-B9504G50MNBB (NX.RTWEU.006) Notebook	104900 Ft	14,1'', 1366x768, 16:9	Intel DualCore, B950 - 2,1GHz / 2MB L2 Cache	4 GB, DDR3		500 GB, SATA-2	Intel GMA HD	2,2 kg, 342 (W) x 245 (D) x 25.5/34.2 (H) mm	2 év garancia	6 cella, 2,5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Packard Bell EASYNOTE TS44-HR-235HG Notebook	104900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B815 - 1,6GHz /2MB Cache / FSB 1333MHz	2 GB, DDR3 1333MHz		320 GB, SATA-2	Nvidia Geforce GT 610M 1GB		2 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	802.11.b/g/n WLAN	3 db USB 2.0 port, 5 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Packard Bell EASYNOTE TS13-SB-451HG Notebook	106900 Ft	15,6", 1366x768, 16:9	AMD , Fusion A4-3300M 1.9GHz	4 GB, DDR3 1066MHz		500 GB, SATA-2	ATI Mobility Radeon HD6480G		1 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	3USB 2.0, 5 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Fujitsu Lifebook AH531 (VFY:AH531MF025HU) Notebook	106900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2328M - 2,20GHz / 3MB Cache	2 GB, DDR3 1333MHz		320 GB, SATA-2	Intel Graphics 3000 HD	2,5 kg, 378 mm x 250 mm x 29.2/36.5 mm	3 év garancia	6 cella, 7 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi		10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 2.1, 4 in 1 kártyaolvasó, DSUB, Express Card 34/54, HDMI out	Camera 1.3MPix				
Lenovo Ideapad B580 (59-344140) Notebook	106900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2328M - 2,20GHz / 3MB Cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	2,6 kg, 376x245x34.3	2 év garancia	6 cella, 4 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, HDMI out	Camera 0.3MPixel				
Lenovo ideaPad S400 (59-350206) Notebook	107900 Ft	14.0", 1366x768, 16:9	Intel DualCore, 997 / 2M Cache / 1.6GHz	4 GB, DDR3 1333MHz		24GB SSD + 500GB HDD, SATA-2	Intel GMA HD Graphics 4000	1,8 kg, 336.6x241.2x21.9 (LxWxH) mm	2 év garancia	4 cella, 5 óra átlagos üzemidő		FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , 2 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron N5050 (N5050_145803) Notebook	107900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2350M 2.3GHz / 3MB SmartCache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel Graphics 3000 HD	2,4 kg, 34.53mm/31.52mm * 376.0mm * 260.0mm	2 év garancia	6 cella, 48Wh	DVD +/- RW, Super Multi	Linux	10/100, 802.11.b/g/n WLAN	3USB 2.0, Bluetooth 3.0 High Speed , 3 in 1 kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
