TermékNév	Ár	TFT Méret	TFT Felb.	TFT Jell	CPU	RAM	HDD	SSD	GPU	Súly	Gar.	Akku	ODD	OS	VGA Típusa	LAN	Portok	Bill.	Softver	Bemeneti/Kimeneti csatlkozók	Billentyűzet/Touchpad	Súly/Méretek
acer Aspire 5560G-4054G50MN - Piros - Már 2 év garanciával!	71981 Ft	15,6"	1366x768	CrystalBrite WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	AMD Llano A4-3305M (1.9-2.5GHz, 1MB L2 cache)	4GB DDR3 memória (bővíthető 8GB-ig)	500GB S-ATA merevlemez			360 x 267 x 30.3/43 mm 2.88 kg	2 év	48.8W 6-cellás lítium-ion akkumulátorakár 2.5 órás akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Linux	AMD Radeon™ HD 7460M	Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3Mpix	2-az-1-ben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) 3x USB 2.0 HDMI™ port HDCP támogatással 1 csatlakozó külső kijelzőhöz (VGA) 1 fejhallgató-/hangszóró-/vonalkimenet-csatlakozó 1 mikrofon csatlakozó 1 vonalbemenet-csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire 5560-4054G50MN - Kék - Már 2 év garanciával!	68705 Ft	15,6"	1366x768	CrystalBrite WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	AMD Llano A4-3305M (1.9-2.5GHz, 1MB L2 cache)	4GB DDR3 memória (bővíthető 8GB-ig)	500GB S-ATA merevlemez			360 x 267 x 30.3/43 mm 2.88 kg	2 év	48.8W 6-cellás lítium-ion akkumulátorakár 2.5 órás akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Linux	AMD Radeon™ HD 6480G	Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3Mpix	2-az-1-ben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) 3x USB 2.0 HDMI™ port HDCP támogatással 1 csatlakozó külső kijelzőhöz (VGA) 1 fejhallgató-/hangszóró-/vonalkimenet-csatlakozó 1 mikrofon csatlakozó 1 vonalbemenet-csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire V3-531-B822G32MAKK - Fekete - Már 2 év garanciával!	57241 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Celeron® B820 (2M Cache, 1.70 GHz)	2GB DDR3 memória	320GB SATA HDD		Intel®HD Graphics	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire 5250-302G32MN - Fekete - Már 2 év garanciával!	54784 Ft	15,6"	1366x768	ChrystalBrite WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	AMD Dual-Core E-300(1,3 GHz)	2GB DDR3 memória	320GB S-ATA merevlemez		AMD Radeon HD 6310	360 x 267 x 30.3/43 mm 2.88 kg	2 év	48.8W 6-cellás lítium-ion akkumulátorakár 2.5 órás akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Linux		Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatás	2-az-1-ben kártyaolvasó (SD™, MMC) 3x USB 2.0 1 csatlakozó külső kijelzőhöz (VGA) 1 fejhallgató-/hangszóró-/vonalkimenet-csatlakozó 1 mikrofon csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire V3-571G-73614G1TBMAKK Fekete - Már 2 év garanciával!	158784 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i7-3610QM (3M Cache, 2.30 - 3.30 GHz, 35W, HyperThreading, Turbo Boost)	4GB DDR3 memória	1TB SATA HDD		NVIDIA® GeForce® GT 640M 1GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HS (Bluetooth® 2.1+EDR konfigurációtól függően)	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire 4752Z-B9604G50MNBB - Kék - Már 2 év garanciával!	75420 Ft	14"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Pentium® B960 (2M Cache, 2.20 GHz)	4GB DDR3 memória	500GB SATA HDD		Intel® HD Graphics	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő					
acer Aspire V3-551G-84508G75Makk - Fekete - Már 2 év garanciával!	110715 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	AMD A8-4500M Quad-core (4MB L2 cache, 1.9 GHz - 2.8 GHz)	8GB DDR3 memória	750GB SATA HDD		AMD Radeon™ HD 7670 2GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire 5733-382G32MN-Szürke - Már 2 év garanciával!	64693 Ft	15,6"	1366x768	ChrystalBrite WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	Intel® Core i3 380M (3M Cache, 2.53 GHz, HyperThreading)	2GB DDR3 memória, amely 8 GB-ig bővíthető	320GB S-ATA merevlemez		Intel® HD Graphics	360 x 267 x 30.3/43 mm 2.88 kg		48.8W 6-cellás lítium-ion akkumulátorakár 3 órás akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Linux		Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatás	2-az-1-ben kártyaolvasó (SD™, MMC) 3x USB 2.0 1 csatlakozó külső kijelzőhöz (VGA) 1 fejhallgató-/hangszóró-/vonalkimenet-csatlakozó 1 mikrofon csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire Timeline Ultra M3-581TG-72636G25MNKK ultrabook - Most 3 év garanciával!	234852 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD Super-Slim design, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i7-2637M (4M Cache, 1.70 - 2.8 GHz, 17W, HyperThreading, Turbo Boost)	6GB DDR3 memória		256GB mini-SATA SSD	NVIDIA® GeForce® GT 640M 1GB	376.4 x 253 x 19.7/20.7 mm2.25 kg	3 év	54 W 4850 mAh 3-cellás Li-ion akkumulátor, akár 8 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 7 Home Premium		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HS	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő					
acer Travelmate B113M-23774G50akk - Most 3 év garanciával!	89014 Ft	11.6"	1366x768	Acer ComfyView WXGA nagy fényerejű, tükröződésmentes MATT TFT LCD, 1366x 768 képpont felbontás	Intel® Core™ i3-2377U (3M Cache, 1.5 GHz)	4GB DDR3 memória	500 GB S-ATA merevlemez		Intel® HD Graphics 3000	1.38kg	3 év + véletlen sérülésre is!	4-cellás lítium-ion akkumulátorakár 5 óra akkumulátor üzemidő	-----	Linux		Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3MpixBluetooth®4.0	* 2-az-egyben kártyaolvasó (SD™, MMC) * 2x USB 2.0* 1x USB 3.0 * 1 HDMI™ csatlakozó ( a dedikált grafikus vezérlővel felszerelt modelleken) * 1 csatlakozó külső kijelzőhöz (VGA) * 1 Gigabit Ethernet (RJ-45) csatlakozó * 1 Mikrofon csatlakozó * 1 Vonalbemenet csatlakozó * 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 86-/87-/91-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire 5560G-63424G50Mnkk - Fekete - Már 2 év garanciával!	125296 Ft	15,6"	1366x768	CrystalBrite WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	AMD Llano Quad-Core A6-3420M (1,5GHz-2.4GHz, 4MB L2 cache)	4GB DDR3 memória	500GB S-ATA merevlemez			360 x 267 x 30.3/43 mm 2.88 kg	2 év	48.8W 6-cellás lítium-ion akkumulátorakár 2.5 órás akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Windows 7 Home Premium	AMD Radeon™ HD 7670M 1GB	Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3Mpix	2-az-1-ben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) 3x USB 2.0 HDMI™ port HDCP támogatással 1 csatlakozó külső kijelzőhöz (VGA) 1 fejhallgató-/hangszóró-/vonalkimenet-csatlakozó 1 mikrofon csatlakozó 1 vonalbemenet-csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, két Windows® gomb, gyorsgombok; hagyományos numerikus billentyűzet; nemzetközi nyelv támogatás, Acer PowerSmart gomb Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zárMedia gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés)					
acer Aspire 5560-4053G32MN - Fekete - Már 2 év garanciával!	66153 Ft	15,6"	1366x768	CrystalBrite WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	AMD Llano A4-3305M (1.9-2.5GHz, 1MB L2 cache)	3GB DDR3 memória (bővíthető 8GB-ig)	320GB S-ATA merevlemez			360 x 267 x 30.3/43 mm 2.88 kg	2 év	48.8W 6-cellás lítium-ion akkumulátorakár 2.5 órás akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Linux	AMD Radeon™ HD 6480M	Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3Mpix	2-az-1-ben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) 3x USB 2.0 HDMI™ port HDCP támogatással 1 csatlakozó külső kijelzőhöz (VGA) 1 fejhallgató-/hangszóró-/vonalkimenet-csatlakozó 1 mikrofon csatlakozó 1 vonalbemenet-csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire Timeline Ultra M5-481T-33214G52Mass ultrabook ezüst - Most 3 év garanciával!	138475 Ft	14"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD Super-Slim design, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i3-3217U (3M Cache, 1.8 GHz)	4GB DDR3 memória	20GB SSD + 500 GB HDD		Intel® HD Graphics 4000	376.4 x 253 x 19.7/20.7 mm2.25 kg HDD-vel		54 W 4850 mAh 3-cellás Li-ion akkumulátor, akár 8 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 8 64bit		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HSAcer Crystal Eye webkamera 1.3Mpix	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 3.0 1x HDMI™ port HDCP támogatással 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x Ethernet (RJ-45) csatlakozó 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire E1-571G-3114G75Mnks - Fekete - Már 2 év garanciával!	132000 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i3-3110M (3M Cache, 2.40 , HyperThreading,)	4GB DDR3 memória	750GB SATA HDD		NVIDIA® GeForce® GT 620M 1GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 8		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás	2-az-1-ben kártyaolvasó (SD™, MMC) 3x USB 2.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő					
acer Aspire Timeline Ultra M3-581T-32364G34MNkk ultrabook - Most 3 év garanciával!	157401 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD Super-Slim design, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i3-2367M (3M Cache, 1.40 GHz, 17W, HyperThreading)	4GB DDR3 memória	320 GB SATA HDD	20 GB	Intel®HD Graphics 3000	376.4 x 253 x 19.7/20.7 mm2.25 kg HDD-vel2.16 kg SSD-vel	3 év	54 W 4850 mAh 3-cellás Li-Polymer akkumulátor, akár 8 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 7 Home Premium (Ingyenes frissítés Windows 8 Pro verzióra!)		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire Timeline Ultra M3-581TG-32364G52MNKK ultrabook - Most 3 év garanciával!	129304 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD Super-Slim design, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i3-2367M (3M Cache, 1.40 GHz, 17W, HyperThreading)	4GB DDR3 memória	500 GB SATA HDD	20 GB	NVIDIA® GeForce® GT 640M 1GB	376.4 x 253 x 19.7/20.7 mm2.25 kg HDD-vel2.16 kg SSD-vel		54 W 4850 mAh 3-cellás Li-Polymer akkumulátor, akár 8 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 7 Home Premium (Ingyenes frissítés Windows 8 Pro verzióra!)		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire V5-471-32364G50Mabb - Kék - Már 2 év garanciával!	108260 Ft	14"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i3-2367M (3M Cache, 1.4GHz , HyperThreading,)	4GB DDR3 memória	500GB SATA HDD		Intel®HD Graphics 3000	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 7 Home Premium		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+EDR	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 86-/87-/91-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
