TermékNév	Ár	TFT Felb.	TFT Méret	TFT Típus	TFT Arány	CPU Gyártó	CPU Család	CPU Típus	RAM Méret	RAM	RAM Slot	HDD	HDD Méret	HDD Seb.	GPU	Súly	Akku cella	OS	ODD	Chipset	WLAN	Kamera Felb.	USB	VGA ki	Audio	LAN	CR	Kensington	Anyag	Szín	Széles	Magas	Mély	Család	RAM Modul	AC	Hangszóró	Mikrofon	Bill. num	HDMI	USB 3	Technológia	HSDPA	HDD 2	HDD 2 Méret	BT	TB	Egyéb	2.Háttértár fordulatszám	Tárolt energia	Elektromos töltés	3D Technológia	Mini DisplayPort ki	Billentyűzet világítás	Egyéb szín	Micro HDMI ki	Pixelhiba	Tanúsítvány(ok)	DisplayPort ki	Ujjlenyomat olvasó	Leejtés védelem	TPM	Dokkolható	eSATA ki	ExpressCard	FireWire 400 ki	Soros
ACER Aspire One AO756-B847CKK 11,6"/Intel Celeron Dual-Core 847 1,1GHz/4GB/500GB/Linux/Fekete netbook	0 Ft	1366x768	11,6"	TFT LCD LED háttérvilágítással	Fényes	Intel	Celeron Dual-Core	Intel Celeron Dual-Core ULV 847 (1,1 GHz, 2 MB)	4,0 GB	DDR3-1333	2 db	HDD	500 GB	5400 rpm	Intel HD Graphics	1,38 kg	4	Linux		Intel	802.11 b/g/n	0,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Fekete	285,00 mm	27,30 mm	202,0 mm	Aspire One 756	1 x 4	40 watt	Sztereó	Igen		1 db		Lítium-ion																										
ACER Aspire One AO756-B847CRR 11,6"/Intel Celeron Dual-Core 847 1,1GHz/4GB/500GB/Linux/Piros netbook	0 Ft	1366x768	11,6"	TFT LCD LED háttérvilágítással	Fényes	Intel	Celeron Dual-Core	Intel Celeron Dual-Core ULV 847 (1,1 GHz, 2 MB)	4,0 GB	DDR3-1333	2 db	HDD	500 GB	5400 rpm	Intel HD Graphics	1,38 kg	4	Linux		Intel	802.11 b/g/n	0,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Piros	285,00 mm	27,30 mm	202,0 mm	Aspire One 756	1 x 4	40 watt	Sztereó	Igen		1 db		Lítium-ion																										
ACER Aspire One AO756-B847CSS 11,6"/Intel Celeron Dual-Core 847 1,1GHz/4GB/500GB/Linux/Ezüst netbook	0 Ft	1366x768	11,6"	TFT LCD LED háttérvilágítással	Fényes	Intel	Celeron Dual-Core	Intel Celeron Dual-Core ULV 847 (1,1 GHz, 2 MB)	4,0 GB	DDR3-1333	2 db	HDD	500 GB	5400 rpm	Intel HD Graphics	1,38 kg	4	Linux		Intel	802.11 b/g/n	0,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	ezüst	285,00 mm	27,30 mm	202,0 mm	Aspire One 756	1 x 4	40 watt	Sztereó	Igen		1 db		Lítium-ion																										
ACER Aspire One AOD270-26CBB 10,1"/Intel Atom Dual-Core N2600 1,6GHz/2GB/320GB/Linux/Kék netbook	0 Ft	1024x600	10,1"	LED	Fényes	Intel	Atom	Intel Atom Dual-Core N2600 (1,6GHz, 1MB)	2,0 GB	DDR3-1066	1 db	HDD	320 GB	5400 rpm	Intel GMA 3600	1,30 kg	6	Linux		Intel	802.11 b/g/n	0,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Kék	256,50 mm	21,00 mm	184,0 mm	Aspire One D270	1 x 2	40 watt	Sztereó	Igen		1 db																												
ACER Aspire One AOD270-26CKK 10,1"/Intel Atom Dual-Core N2600 1,6GHz/2GB/320GB/Linux/Fekete netbook	0 Ft	1024x600	10,1"	LED	Fényes	Intel	Atom	Intel Atom Dual-Core N2600 (1,6GHz, 1MB)	2,0 GB	DDR3-1066	1 db	HDD	320 GB	5400 rpm	Intel GMA 3600	1,30 kg	6	Linux		Intel	802.11 b/g/n	0,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Fekete	256,50 mm	21,00 mm	184,0 mm	Aspire One D270	1 x 2	40 watt	Sztereó	Igen		1 db																												
ACER Aspire One AOD270-26CRR 10,1"/Intel Atom Dual-Core N2600 1,6GHz/2GB/320GB/Linux/Piros netbook	0 Ft	1024x600	10,1"	LED	Fényes	Intel	Atom	Intel Atom Dual-Core N2600 (1,6GHz, 1MB)	2,0 GB	DDR3-1066	1 db	HDD	320 GB	5400 rpm	Intel GMA 3600	1,30 kg	6	Linux		Intel	802.11 b/g/n	0,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Piros	256,50 mm	21,00 mm	184,0 mm	Aspire One D270	1 x 2	40 watt	Sztereó	Igen		1 db																												
ACER Aspire One AOD270-26CWS 10,1"/Intel Atom Dual-Core N2600 1,6GHz/2GB/320GB/Linux/Fehér netbook	0 Ft	1024x600	10,1"	LED	Fényes	Intel	Atom	Intel Atom Dual-Core N2600 (1,6GHz, 1MB)	2,0 GB	DDR3-1066	1 db	HDD	320 GB	5400 rpm	Intel GMA 3600	1,30 kg	6	Linux		Intel	802.11 b/g/n	0,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Fehér	256,50 mm	21,00 mm	184,0 mm	Aspire One D270	1 x 2	40 watt	Sztereó	Igen		1 db																												
ACER Aspire One AOD270-26DGKK 10,1"/Intel Atom Dual-Core N2600 1,6GHz/1GB/320GB/3G/Win7/Fekete netbook	0 Ft	1024x600	10,1"	LED	Fényes	Intel	Atom	Intel Atom Dual-Core N2600 (1,6GHz, 1MB)	1,0 GB	DDR3-1066	1 db	HDD	320 GB	5400 rpm	Intel GMA 3600	1,30 kg	6	Windows 7 Starter		Intel	802.11 b/g/n	0,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Fekete	256,50 mm	21,00 mm	184,0 mm	Aspire One D270	1 x 1	40 watt	Sztereó	Igen		1 db			Igen																									
ACER Aspire One AOD270-26DKK 10,1"/Intel Atom Dual-Core N2600 1,6GHz/1GB/320GB/Win7/Fekete netbook	0 Ft	1024x600	10,1"	LED	Fényes	Intel	Atom	Intel Atom Dual-Core N2600 (1,6GHz, 1MB)	1,0 GB	DDR3-1066	1 db	HDD	320 GB	5400 rpm	Intel GMA 3600	1,30 kg	6	Windows 7 Starter		Intel	802.11 b/g/n	0,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Fekete	256,50 mm	21,00 mm	184,0 mm	Aspire One D270	1 x 1	40 watt	Sztereó	Igen		1 db																												
ACER Aspire One AOD270-26DWS 10,1"/Intel Atom Dual-Core N2600 1,6GHz/1GB/320GB/Win7/Fehér netbook	0 Ft	1024x600	10,1"	LED	Fényes	Intel	Atom	Intel Atom Dual-Core N2600 (1,6GHz, 1MB)	1,0 GB	DDR3-1066	1 db	HDD	320 GB	5400 rpm	Intel GMA 3600	1,30 kg	6	Windows 7 Starter		Intel	802.11 b/g/n	0,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Fehér	256,50 mm	21,00 mm	184,0 mm	Aspire One D270	1 x 1	40 watt	Sztereó	Igen		1 db																												
ACER Aspire S3-391-53314G52ADD 13,3"/Intel Core i5-3317 1,7GHz/4GB/500GB/20GB SSD/Win7/Champagne notebook	0 Ft	1366x768	13,3"	LED	Fényes	Intel	Core i5	Intel Core i5-3317U (1,7 GHz)	4,0 GB	DDR3-1066	0 db	HDD	500 GB	5400 rpm	Intel HD 4000	1,36 kg	3	Windows 7 Home Premium 64 bit		Intel	802.11 b/g/n	1,30 MP	3 db		Igen		Igen		Magnézium, aluminium	Champagne gold	323,00 mm	17,50 mm	218,5 mm	Aspire S3	1 x 4	65 watt	Sztereó	Igen		1 db				SSD	20 GB	4.0																						
ACER Aspire S5-391-53314G12AKK 13,3"/Intel Core i5-3317U 1,7GHz/4GB/128GB SSD/Win7 notebook	0 Ft	1366x768	13,3"	LED	Fényes	Intel	Core i5	Intel Core i5-3317U (1,7 GHz)	4,0 GB		0 db	SSD	128 GB		Intel HD 4000	1,20 kg	4	Windows 7 Home Premium 64 bit		Intel	802.11 b/g/n	1,30 MP			Igen		Igen		Magnézium, aluminium	Fekete	324,00 mm	15,00 mm	227,0 mm	Aspire S5	1 x 4	65 watt	Sztereó	Igen		1 db	2 db	Li-polymer				4.0 + HS	1 db	egér																				
ACER Aspire S5-391-53314G25akk 13,3"/Intel Core i5-3317U 1,7GHz/4GB/256GB SSD/Win7 notebook	0 Ft	1366x768	13,3"	LED	Fényes	Intel	Core i5	Intel Core i5-3317U (1,7 GHz)	4,0 GB		0 db	SSD	256 GB		Intel HD 4000	1,20 kg	4	Windows 7 Home Premium 64 bit		Intel	802.11 b/g/n	1,30 MP			Igen		Igen		Magnézium, aluminium	Fekete	324,00 mm	15,00 mm	227,0 mm	Aspire S5	1 x 4	65 watt	Sztereó	Igen		1 db	2 db	Li-polymer				4.0 + HS	1 db	egér																				
ACER Aspire S5-391-73514G25akk 13,3"/Intel Core i7-3517U 1,7GHz/4GB/256GB SSD/Win7 notebook	0 Ft	1366x768	13,3"	LED	Fényes	Intel	Core i7	Intel Core i7-3517U (1,9 GHz)	4,0 GB		0 db	SSD	256 GB		Intel HD 4000	1,20 kg	4	Windows 7 Home Premium 64 bit		Intel	802.11 b/g/n	1,30 MP			Igen		Igen		Magnézium, aluminium	Fekete	324,00 mm	15,00 mm	227,0 mm	Aspire S5	1 x 4	65 watt	Sztereó	Igen		1 db	2 db	Li-polymer				4.0 + HS	1 db	egér																				
ACER E1-531-B9604G50MNKS 15,6"/Intel Pentium Dual-Core B960 2,2Hz/4GB/500GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6"	TFT LCD LED háttérvilágítással	Fényes	Intel	Pentium	Intel Pentium Dual-Core B960 (2,2 GHz, 2 MB)	4,0 GB	DDR3-1333	2 db	HDD	500 GB	5400 rpm		2,45 kg	6	Linux	DVD SuperMulti	Intel	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Fekete	381,60 mm	33,20 mm	253,0 mm	Aspire E1	1 x 4	65 watt	Sztereó	Igen	Igen	1 db		Lítium-ion																										
ACER E1-531-B9604G50MNKS 15,6"/Intel Pentium Dual-Core B960 2,2Hz/4GB/500GB/DVD író/Win8/Fekete notebook	0 Ft	1366x768	15,6"	TFT LCD LED háttérvilágítással	Fényes	Intel	Pentium	Intel Pentium Dual-Core B960 (2,2 GHz, 2 MB)	4,0 GB	DDR3-1333	2 db	HDD	500 GB	5400 rpm	Intel® HD Graphics	2,45 kg	6	Windows 8	DVD SuperMulti	Intel	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Fekete	381,60 mm	33,20 mm	253,0 mm	Aspire E1	1 x 4	65 watt	Sztereó	Igen	Igen	1 db		Lítium-ion																										
ACER E1-531G-B9604G50MNKS 15,6"/Intel Pentium Dual-Core B960 2,2Hz/4GB/500GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6"	TFT LCD LED háttérvilágítással	Fényes	Intel	Pentium	Intel Pentium Dual-Core B960 (2,2 GHz, 2 MB)	4,0 GB	DDR3-1333	2 db	HDD	500 GB	5400 rpm	NVIDIA GeForce G610M 1GB	2,45 kg	6	Linux	DVD SuperMulti	NVIDIA	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Fekete	381,60 mm	33,20 mm	253,0 mm	Aspire E1	1 x 4	65 watt	Sztereó	Igen	Igen	1 db		Lítium-ion																										
ACER E1-531G-B9604G50MNKS 15,6"/Intel Pentium Dual-Core B960 2,2Hz/4GB/500GB/DVD író/W8/Fekete notebook	0 Ft	1366x768	15,6"	TFT LCD LED háttérvilágítással	Fényes	Intel	Pentium	Intel Pentium Dual-Core B960 (2,2 GHz, 2 MB)	4,0 GB	DDR3-1333	2 db	HDD	500 GB	5400 rpm	NVIDIA GeForce GT 610M 1GB	2,45 kg	6	Windows 8	DVD SuperMulti	NVIDIA	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Fekete	381,60 mm	33,20 mm	253,0 mm	Aspire E1	1 x 4	65 watt	Sztereó	Igen	Igen	1 db		Lítium-ion																										
ACER E1-571-33114G50MNKS 15,6"/Intel Core i3-3110M 2,4GHz/4GB/500GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6"	TFT LCD LED háttérvilágítással	Fényes	Intel	Core i3	Intel Core i3-3110M (2,4 GHz, 3 MB)	4,0 GB	DDR3-1333	2 db	HDD	500 GB	5400 rpm	Intel HD 4000	2,45 kg	6	Linux	DVD SuperMulti	Intel	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Fekete	381,60 mm	33,20 mm	253,0 mm	Aspire E1	1 x 4	65 watt	Sztereó	Igen	Igen	1 db		Lítium-ion																										
ACER E1-571G-33114G75MNKS 15,6"/Intel Core i3-3110M 2,4GHz/4GB/750GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6"	TFT LCD LED háttérvilágítással	Fényes	Intel	Core i3	Intel Core i3-3110M (2,4 GHz, 3 MB)	4,0 GB	DDR3-1333	2 db	HDD	750 GB	5400 rpm	NVIDIA GeForce G610M 1GB	2,45 kg	6	Linux	DVD SuperMulti	NVIDIA	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Fekete	381,60 mm	33,20 mm	253,0 mm	Aspire E1	1 x 4	65 watt	Sztereó	Igen	Igen	1 db		Lítium-ion																										
ACER E1-571G-33114G75MNKS 15,6"/Intel Core i3-3110M 2,4GHz/4GB/750GB/DVD író/W8/Fekete notebook	0 Ft	1366x768	15,6"	TFT LCD LED háttérvilágítással	Fényes	Intel	Core i3	Intel Core i3-3110M (2,4 GHz, 3 MB)	4,0 GB	DDR3-1333	2 db	HDD	750 GB	5400 rpm	NVIDIA GeForce G610M 1GB	2,45 kg	6	Windows 8	DVD SuperMulti	NVIDIA	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Fekete	381,60 mm	33,20 mm	253,0 mm	Aspire E1	1 x 4	65 watt	Sztereó	Igen	Igen	1 db		Lítium-ion																										
ACER M3-581TG-53314G52Makk 15,6"/Intel Core i5-3317U 1,7GHz/4GB/500GB+20GB SSD/DVD író/Win7/ notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Core i5	Intel Core i5-3317U (1,7 GHz)	4,0 GB	DDR3-1066	1 db	HDD	500 GB	5400 rpm	NVIDIA GeForce GT 640M 1GB	2,20 kg	3	Windows 7 Home Premium 64 bit	DVD SuperMulti	NVIDIA	802.11 b/g/n	1,00 MP	2 db		Igen	10/100/1000 Mb/s	Igen	Igen	Magnézium, aluminium	Fekete	376,00 mm	20,70 mm	253,0 mm	Aspire M3	2 x 2	65 watt	Sztereó	Igen	Igen	1 db	1 db	Li-polymer		SSD	20 GB	4.0																						
ACER M3-581TG-72636G52Mnkk 15,6"/Intel Core i7-2637M 1,7GHz/6GB/500GB+20GB SSD/DVD író/Win7/ notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Core i7	Intel Core i7-2637M (1,7 GHz, 4 MB)	6,0 GB	DDR3-1066	1 db	HDD	500 GB	5400 rpm	NVIDIA GeForce GT 640M 1GB	2,20 kg	3	Windows 7 Home Premium 64 bit	DVD SuperMulti	NVIDIA	802.11 b/g/n	1,00 MP	2 db		Igen	10/100/1000 Mb/s	Igen	Igen	Magnézium, aluminium	Fekete	376,00 mm	20,70 mm	253,0 mm	Aspire M3	4 + 2	65 watt	Sztereó	Igen	Igen	1 db	1 db	Li-polymer		SSD	20 GB	4.0																						
ACER M5-481T-323a4G52Mass 14"/Intel Core i3-2377M 1,5GHz/4GB/500GB+20GB SSD/DVD író/Win7/ notebook	0 Ft	1366x768	14"	LED	Fényes	Intel	Core i3	Intel Core i3-2377M (1,5 GHz, 3 MB)	4,0 GB	DDR3-1066	1 db	HDD	500 GB	5400 rpm	Intel HD 3000	1,95 kg	3	Windows 7 Home Premium 64 bit	DVD SuperMulti	Intel	802.11 b/g/n	1,00 MP			Igen	10/100/1000 Mb/s	Igen	Igen	Magnézium, aluminium	Grafitszürke	340,00 mm	20,70 mm	245,0 mm	Aspire M5	2 x 2	65 watt	Sztereó	Igen		1 db		Li-polymer		SSD	20 GB	4.0																						
ACER M5-481TG-53314G52Mass 14"/Intel Core i5-3317U 1,7GHz/4GB/500GB+20GB SSD/DVD író/Win7/ notebook	0 Ft	1366x768	14"	LED	Fényes	Intel	Core i5	Intel Core i5-3317U (1,7 GHz)	4,0 GB	DDR3-1066	1 db	HDD	500 GB	5400 rpm	NVIDIA GeForce GT 640M LE 1GB	1,95 kg	3	Windows 7 Home Premium 64 bit	DVD SuperMulti	NVIDIA	802.11 b/g/n	1,00 MP			Igen	10/100/1000 Mb/s	Igen	Igen	Magnézium, aluminium	Grafitszürke	340,00 mm	20,70 mm	245,0 mm	Aspire M5	2 x 2	65 watt	Sztereó	Igen		1 db	2 db	Li-polymer		SSD	20 GB	4.0																						
ACER V3-471-33114G50Makk 14"/Intel Core i3-3110M 2,4GHz/4GB/500GB/DVD író/Win8/Fekete notebook	0 Ft	1366x768	14"	TFT LCD LED háttérvilágítással	Fényes	Intel	Core i3	Intel Core i3-3110M (2,4 GHz, 3 MB)	4,0 GB	DDR3-1333	2 db	HDD	500 GB	5400 rpm	Intel HD 4000	2,10 kg	6	Windows 8	DVD SuperMulti	Intel	802.11 b/g/n	1,30 MP	2 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Fekete	342,00 mm	23,00 mm	245,0 mm	Aspire V3	1 x 4	65 watt	Sztereó	Igen		1 db	1 db	Lítium-ion				4.0 + HS																						
ACER V3-471G-33114G50MADD 14"/Intel Core i3-3110M 2,4GHz/4GB/500GB/DVD író/Arany notebook	0 Ft	1366x768	14"	TFT LCD LED háttérvilágítással	Fényes	Intel	Core i3	Intel Core i3-3110M (2,4 GHz, 3 MB)	4,0 GB	DDR3-1333	2 db	HDD	500 GB	5400 rpm	NVIDIA GeForce GT 630M 1GB	2,10 kg	6	Linux	DVD SuperMulti	NVIDIA	802.11 b/g/n	1,30 MP	2 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Arany	342,00 mm	23,00 mm	245,0 mm	Aspire V3	1 x 4	90 watt	Sztereó	Igen		1 db	1 db	Lítium-ion				4.0 + HS																						
ACER V3-471G-33114G50MAKK 14"/Intel Core i3-3110M 2,4GHz/4GB/500GB/DVD író/Fekete notebook	0 Ft	1366x768	14"	TFT LCD LED háttérvilágítással	Fényes	Intel	Core i3	Intel Core i3-3110M (2,4 GHz, 3 MB)	4,0 GB	DDR3-1333	2 db	HDD	500 GB	5400 rpm	NVIDIA GeForce GT 630M 1GB	2,10 kg	6	Linux	DVD SuperMulti	NVIDIA	802.11 b/g/n	1,30 MP	2 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Fekete	342,00 mm	23,00 mm	245,0 mm	Aspire V3	1 x 4	90 watt	Sztereó	Igen		1 db	1 db	Lítium-ion				4.0 + HS																						
ACER V3-471G-53214G50Madd 14"/Intel Core i5-3210M 2,5GHz/4GB/500GB/DVD író/Win7/Arany notebook	0 Ft	1366x768	14"	LED	Fényes	Intel	Core i5	Intel Core i5-3210M (2,5 GHz, 3 MB)	4,0 GB	DDR3-1066		HDD	500 GB	5400 rpm	NVIDIA GeForce GT 640M 2GB	2,30 kg	6	Windows 7 Home Premium 64 bit	DVD SuperMulti	NVIDIA	802.11 a/g/n	1,00 MP	2 db	1 db	Igen	10/100/1000 Mb/s	Igen				343,00 mm	33,40 mm	245,0 mm		1 x 4	90 watt				1 db	1 db					4.0																						
ACER V3-471G-53214G75BDCakk 14"/Intel Core i5-3210M 2,5GHz/4GB/750GB/Blu-ray Combo/Win7/Fekete notebook	0 Ft	1366x768	14"	LED	Fényes	Intel	Core i5	Intel Core i5-3210M (2,5 GHz, 3 MB)	4,0 GB	DDR3-1066		HDD	750 GB	5400 rpm	NVIDIA GeForce GT 630M 2GB	2,30 kg	6	Windows 7 Home Premium 64 bit	Blu-ray Disc Combo	NVIDIA	802.11 a/g/n	1,00 MP	2 db	1 db	Igen	10/100/1000 Mb/s	Igen				343,00 mm	33,40 mm	245,0 mm		1 x 4	90 watt				1 db	1 db					4.0																						
ACER V3-471G-53214G75MADD 14"/Intel Core i5-3210M 2,4GHz/4GB/750GB/DVD író/Arany notebook	0 Ft	1366x768	14"	TFT LCD LED háttérvilágítással	Fényes	Intel	Core i5	Intel Core i5-3210M (2,5 GHz, 3 MB)	4,0 GB	DDR3-1333	2 db	HDD	750 GB	5400 rpm	NVIDIA GeForce GT 630M 1GB	2,10 kg	6	Linux	DVD SuperMulti	NVIDIA	802.11 b/g/n	1,30 MP	2 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Arany	342,00 mm	23,00 mm	245,0 mm	Aspire V3	1 x 4	90 watt	Sztereó	Igen		1 db	1 db	Lítium-ion				4.0 + HS																						
ACER V3-471G-53214G75MAKK 14"/Intel Core i5-3210M 2,4GHz/4GB/750GB/DVD író/Fekete notebook	0 Ft	1366x768	14"	TFT LCD LED háttérvilágítással	Fényes	Intel	Core i5	Intel Core i5-3210M (2,5 GHz, 3 MB)	4,0 GB	DDR3-1333	2 db	HDD	750 GB	5400 rpm	NVIDIA GeForce GT 630M 1GB	2,10 kg	6	Linux	DVD SuperMulti	NVIDIA	802.11 b/g/n	1,30 MP	2 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Fekete	342,00 mm	23,00 mm	245,0 mm	Aspire V3	1 x 4	90 watt	Sztereó	Igen		1 db	1 db	Lítium-ion				4.0 + HS																						
ACER V3-531-B822G32MAKK 15,6"/Intel Celeron Dual-Core B820 1,7Hz/2GB/320GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Celeron	Intel Celeron Dual-Core B820 (1,7 GHz, 2 MB)	2,0 GB	DDR3-1066	2 db	HDD	320 GB	5400 rpm		2,60 kg	6	Linux	DVD SuperMulti	Intel	802.11 b/g/n	1,30 MP	2 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Fekete	381,60 mm	33,20 mm	253,0 mm	Aspire V3	1 x 2	65 watt	Sztereó	Igen	Igen	1 db	1 db	Lítium-ion				4.0																						
ACER V3-531-B822G32MAKK+2GB +W7HP Bundle 15,6"/Intel Celeron Dual-Core B820 1,7Hz/2GB/320GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6"	TFT LCD LED háttérvilágítással	Fényes	Intel	Celeron Dual-Core	Intel Celeron Dual-Core B820 (1,7 GHz, 2 MB)	4,0 GB	DDR3-1333	2 db	HDD	320 GB	5400 rpm	Intel® HD Graphics	2,60 kg	6	Windows 7 Home Premium OEM bundle 64 bit	DVD SuperMulti	Intel	802.11 b/g/n	1,30 MP	2 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Fekete	381,60 mm	33,20 mm	253,0 mm	Aspire V3	2 x 2	65 watt	Sztereó	Igen	Igen	1 db	1 db	Lítium-ion				4.0																						
ACER V3-531-B822G32MAKK+2GB Bundle 15,6"/Intel Celeron Dual-Core B820 1,7Hz/2GB/320GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6"	TFT LCD LED háttérvilágítással	Fényes	Intel	Celeron Dual-Core	Intel Celeron Dual-Core B820 (1,7 GHz, 2 MB)	4,0 GB	DDR3-1333	2 db	HDD	320 GB	5400 rpm		2,60 kg	6	Linux	DVD SuperMulti	Intel	802.11 b/g/n	1,30 MP	2 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Fekete	381,60 mm	33,20 mm	253,0 mm	Aspire V3	2 x 2	65 watt	Sztereó	Igen	Igen	1 db	1 db	Lítium-ion				4.0																						
ACER V3-531-B822G32MAKK+W7HP Bundle 15,6"/Intel Celeron Dual-Core B820 1,7Hz/2GB/320GB/DVD író/Win7/Fekete notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Celeron	Intel Celeron Dual-Core B820 (1,7 GHz, 2 MB)	2,0 GB	DDR3-1066	2 db	HDD	320 GB	5400 rpm		2,60 kg	6	Windows 7 Home Premium OEM bundle 64 bit	DVD író	Intel	802.11 b/g/n	1,30 MP	2 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Fekete	381,60 mm	33,20 mm	253,0 mm	Aspire V3	1 x 2	65 watt	Sztereó	Igen	Igen	1 db	1 db	Lítium-ion				4.0																						
ACER V3-531-B9702G32MAII 15,6"/Intel Pentium Dual-Core B970 2,3Hz/2GB/320GB/DVD író/Grafitszürke notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Pentium	Intel Pentium Dual-Core B970 (2,3 GHz, 2 MB)	2,0 GB	DDR3-1066	2 db	HDD	320 GB	5400 rpm		2,60 kg	6	Linux	DVD SuperMulti	Intel	802.11 b/g/n	1,30 MP	2 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Grafitszürke	381,60 mm	33,20 mm	253,0 mm	Aspire V3	1 x 2	65 watt	Sztereó	Igen	Igen	1 db	1 db	Lítium-ion				4.0																						
ACER V3-531-B9704G32MAII 15,6"/Intel Pentium Dual-Core B970 2,3Hz/4GB/320GB/DVD író/Win7/Grafitszürke notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Pentium	Intel Pentium Dual-Core B970 (2,3 GHz, 2 MB)	4,0 GB	DDR3-1066	2 db	HDD	320 GB	5400 rpm		2,60 kg	6	Windows 7 Home Premium 64 bit	DVD SuperMulti	Intel	802.11 b/g/n	1,30 MP	2 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Grafitszürke	381,60 mm	33,20 mm	253,0 mm	Aspire V3	1 x 4	65 watt	Sztereó	Igen	Igen	1 db	1 db	Lítium-ion				4.0																						
ACER V3-531-B9804G1TMAII 15,6"/Intel Pentium Dual-Core B980 2,4Hz/4GB/1000GB/DVD író/Win8/Grafitszürke notebook	0 Ft	1366x768	15,6"	TFT LCD LED háttérvilágítással	Fényes	Intel	Pentium	Intel Pentium Dual-Core B980 (2,4 GHz, 2 MB)	4,0 GB	DDR3-1333	2 db	HDD	1000 GB	5400 rpm		2,60 kg	6	Windows 8	DVD SuperMulti	Intel	802.11 b/g/n	1,30 MP	2 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Szürke	381,60 mm	33,20 mm	253,0 mm	Aspire V3	1 x 4	65 watt	Sztereó	Igen	Igen	1 db	1 db	Lítium-ion				4.0 + HS																						
ACER V3-531G-B9704G75MAII 15,6"/Intel Pentium Dual-Core B970 2,3Hz/4GB/750GB/DVD író/Grafitszürke notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Pentium	Intel Pentium Dual-Core B970 (2,3 GHz, 2 MB)	4,0 GB	DDR3-1066	2 db	HDD	750 GB	5400 rpm	NVIDIA GeForce GT 630M 1GB	2,60 kg	6	Linux	DVD SuperMulti	NVIDIA	802.11 b/g/n	1,30 MP	2 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Grafitszürke	381,60 mm	33,20 mm	253,0 mm	Aspire V3	1 x 4	90 watt	Sztereó	Igen	Igen	1 db	1 db	Lítium-ion				4.0																						
