TermékNév	Ár	TFT	TFT 3D	CPU	RAM	RAM Slot	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Kategória	Chipset	Audio	Mikrofon	Kamera	WLAN	BT	HSDPA	Portok	CR	LAN	USB	Méret	USB 3	SSD	Extra
Lenovo IdeaPad B570e (59-325615) 15,6"	67787 Ft	15,6 " (1366x768 pixel)	Nem	Intel Celeron Dual-Core B800 (1,5 GHz, 2 MB cache)	2048 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics	2,35 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Multimédia	Intel HM65	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, E-SATA, USB, HDMI	SD, XD, MMC, MS, MS Pro	10/100/1000 Mb/s		378 x33.1x252 mm	3 db			
InnoVision 10" Atom D425 2GB 250GB Fehér	54394 Ft	10,2 " (1024x600 pixel)	Nem	Intel Atom D425 (1,8 GHz, 0,5 MB cache)	2048 MB DDR III MHz	Igen	250 GB 5400 rpm SATA	Intel GMA 3150	1,25 kg	1 év		Nincs	Linux	Netbook		HD Audio	Igen	Igen	802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB	SD	Nincs		250 x 190 x 32,8 mm				
Acer Aspire One AOD270-26CKK fekete	53291 Ft	10,1 " (1024x600 pixel)	Nem	Intel Atom Dual-Core N2600 (1,6 GHz, 1 MB cache)	2048 MB DDR III MHz	Nem	320 GB 5400 rpm SATA	Intel GMA 3600	1,3 kg	2 év	6 cellás	Nincs	Linux	Netbook		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, USB, HDMI	SD, SDHC, MMC	10/100 Mb/s	3 db	256,5 x 184 x 24 mm				
Acer AS5750ZG-B964G75MN 15.6" (NX.RL8EU.008)	98346 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B960 (2,2 GHz, 2 MB cache)	4096 MB DDR III 1066 MHz	Nem	750 GB 5400 rpm SATA	Intel HD Graphics	2,6 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Általános	Intel® HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, MMC	10/100/1000 Mb/s	3 db	381,6 x 253 x 25,2-33,2 mm				
Acer Aspire One AOD270-26CBB Kék	53370 Ft	10,1 " (1024x600 pixel)	Nem	Intel Atom Dual-Core N2600 (1,6 GHz, 1 MB cache)	2048 MB DDR III MHz	Nem	320 GB 5400 rpm SATA	Intel GMA 3600	1,3 kg	2 év	6 cellás	Nincs	Linux	Netbook	NM10 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, XD, MMC, MS, MS Pro	10/100 Mb/s	3 db	257x184x24 mm				
Dell Inspiron 5520 HD i5-3210M 4GB 500GB Rózsaszín	146142 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 7670M	2,74 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM77	HD Audio	Nem	Nem	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s		378 x 252 x 30-34 mm	4 db			
Acer Aspire One AOD270-26CWS fehér	52748 Ft	10,1 " (1024x600 pixel)	Nem	Intel Atom Dual-Core N2600 (1,6 GHz, 1 MB cache)	2048 MB DDR III MHz	Nem	320 GB 5400 rpm SATA	Intel GMA 3600	1,3 kg	2 év	6 cellás	Nincs	Linux	Netbook		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, USB, HDMI	SD, SDHC, MMC	10/100 Mb/s	3 db	256,5 x 184 x 24 mm				
Asus G55VW-S1140V	328425 Ft	15,6 " (1920x1080 pixel)	Nem	Intel Core i7 3610QM (2,3 GHz, 6 MB cache)	8192 MB DDR III 1600 MHz	Nem	750 GB 5400 rpm SATA	NVIDIA GeForce GTX 660M	3,8 kg	2 év	8 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Gamer	Intel® HM77	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, MMC, MS, MS Pro	10/100 Mb/s		384 x 299 x 20 ~ 51 mm	4 db	128 GB		
Asus Eee PC R11CX-BLK001W Fekete	0 Ft	10,1 " (1024x600 pixel)	Nem	Intel Atom Dual-Core N2600 (1,6 GHz, 1 MB cache)	2048 MB DDR III MHz	Nem	320 GB 5400 rpm SATA	Intel GMA 3600	1 kg	2 év		Nincs	OP. rendszer nélkül	Netbook		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB	SD, SDHC, SDXC, MMC	10/100 Mb/s	2 db	262 x 180 x 22 mm				
Acer V3-571G-32374G50MAKK Fekete	110866 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1066 MHz	Nem	500 GB 5400 rpm SATA	NVIDIA GeForce GT 630M	2,6 kg	2 év	6 cellás	DVD+-RW DL	Linux	Multimédia		HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, DVI, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db	381 x 253 x 34 mm	1 db			
Asus X53E-SX2175D Fehér	102677 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2310M (2,1 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 3000	2,6 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Általános	Mobile Intel® HM65 Express	Altec Lansing ® 2.0	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db	378 x 253 x 28,3-34,9 mm	1 db			
HP ProBook 6560b LY445EA 15,6"	185827 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i5 2450M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	320 GB 7200 rpm SATA	Intel HD Graphics 3000	2,5 kg	1 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti	Mobil Intel® HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Display Port, D-Sub, E-SATA, USB, ExpressCard 54mm, FireWire	SD, MMC	10/100/1000 Mb/s	4 db	374 x 251 x 34 mm				
HP ProBook 4340s 13,3" i3-2370M 4GB 500GB	154882 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	1,84 kg	1 év	6 cellás	DVD+-RW DL	OP. rendszer nélkül	Üzleti	Mobil Intel® HM76 Express	SRS Premium Sound PRO	Igen	Nem	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI		10/100/1000 Mb/s	1 db	326x229x24 mm	3 db			
HP Pavilion G6-1223EH A5Q06EA	128189 Ft	15,6 " (1366x768 pixel)	Nem	AMD A Series A6-3400M (1,4 GHz, 4 MB cache)	4096 MB DDR III MHz	Nem	750 GB 5400 rpm SATA	AMD Radeon HD 6470M	2,55 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Multimédia		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC	10/100 Mb/s	3 db	374 x 245 x 36,3 mm				
Lenovo IdeaPad B575E 59-343813	79449 Ft	15,6 " (1366 x 768 pixel)	Nem	AMD E Series E2-1800 (1,7 GHz, 1 MB cache)	4096 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	AMD Radeon HD 7340	2,35 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s	3 db	378 x 252 x 33.1 mm				
Acer Aspire AS4752Z-B9504G50MNBB Kék	85748 Ft	14 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B950 (2,1 GHz, 2 MB cache)	4096 MB DDR III MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	2,25 kg	2 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, MMC	10/100/1000 Mb/s	3 db	342 x 245 x 34,2 mm				
