TermékNév	Ár	TFT	TFT 3D	CPU	RAM	RAM Slot	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Kategória	Chipset	Audio	Mikrofon	Kamera	WLAN	BT	HSDPA	Portok	CR	LAN	USB	Méret	USB 3	SSD	Extra
HP 635 A1E50EA 15,6"	76961 Ft	15,6 " (1366x768 pixel)	Nem	AMD E Series E-450 (1,6 GHz, 1 MB cache)	2048 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	ATI Radeon HD 4250	2,5 kg	1 év	6 cellás	DVD+-RW DL	Linux	Általános	AMD RS880M	HD Audio	Igen	Nem	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, MMC	10/100 Mb/s	3 db	376 x 247 x 31,8 mm				
Packard Bell Easynote TS13-SB-451HG Piros	100157 Ft	15,6 " (1366x768 pixel)	Nem	AMD A Series A4-3300M (1,9 GHz, 1 MB cache)	4096 MB DDR III 1066 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 6480G	2,7 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Multimédia	AMD® A70M	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, MMC, MS, MS Pro	10/100 Mb/s	3 db	372 x 250 x 37.5 mm				
Apple MacBook Air 11" i5 1,7GHz 4GB 64GB SSD EN	255433 Ft	11,6 " (1366x768 pixel)	Nem	Intel Core i5 (1,7 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	64 GB Nincs rpm SSD	Intel HD Graphics 4000	1,08 kg	1 év		Nincs	Mac OS X 10.7 Lion	Ultrabook		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Thunderbolt port, USB 3.0		Nincs		192x300x3-17 mm	2 db			
HP 630 A6E76EA 15,6	75512 Ft	15,6 " (1366x768 pixel)	Nem	Intel Celeron B815 (1,6 GHz, 2 MB cache)	2048 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	2,5 kg	1 év	6 cellás	DVD+-RW DL	Linux	Általános	Mobil Intel® HM65 Express	HD Audio	Igen	Nem	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, MMC	10/100 Mb/s	3 db	376 x 247 x 31,8 mm				
Apple MacBook Pro Retina 15" Ci7 8GB 512GB SSD EN	704331 Ft	15,6 " (2880 x 1800 pixel)	Nem	Intel Core i7 (2,6 GHz, 3 MB cache)	8192 MB DDR III 1600 MHz	Nem	512 GB Nincs rpm SSD	NVIDIA GeForce GT 650M	2,02 kg	1 év		Nincs	Mac OS X 10.7 Lion	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Thunderbolt port, USB 3.0, HDMI	SDXC	Nincs		359x247x18 mm	2 db			
HP ProBook 4530s (B0X69EA_TC)	178976 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 2450M (2,50 GHz, 3 MB cache)	8192 MB DDR III 1333 MHz	Nem	750 GB 5400 rpm SATA	AMD Radeon HD 6490M	2,36 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Üzleti	Mobile Intel® HM65 Express	HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, ExpressCard 34mm, USB, USB 3.0, HDMI		10/100/1000 Mb/s	3 db	374 x 256 x 28,7 mm	1 db			
Apple MacBook Air 11" i5 1,7GHz 4GB 128GB SSD EN	286378 Ft	11,6 " (1366x768 pixel)	Nem	Intel Core i5 (1,7 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	128 GB Nincs rpm SSD	Intel HD Graphics 4000	1,08 kg	1 év		Nincs	Mac OS X 10.7 Lion	Ultrabook		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Thunderbolt port, USB 3.0		Nincs		192x300x3-17 mm	2 db			
Fujitsu Lifebook S752 HD+ Ci5-2450M 4GB 500GB W7P	224646 Ft	14 " (1600x900 pixel)	Nem	Intel Core i5 2450M (2,5 GHz, 3 MB cache)	4096 MB DDR III MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 3000	2.2 kg	3 év		DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti	Intel® HM65	Realtek ALC269	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Display Port, D-Sub, E-SATA, ExpressCard 34mm, ExpressCard 54mm	SD, SDHC, SDXC	10/100/1000 Mb/s	4 db	340 x 245 x 35 mm				
HP ProBook 6470b B6P68EA	195433 Ft	14 " (1366 x 768 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	320 GB 7200 rpm SATA	Intel HD Graphics	2,03 kg	1 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti	Mobil Intel® HM76 Express	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Display Port, D-Sub, E-SATA, USB, USB 3.0, ExpressCard 54mm, FireWire	SD, MMC	10/100/1000 Mb/s	1 db	338x231x34 mm	2 db			
Lenovo ThinkPad T520 i5-2520M 15,6" (4243CTO)	252283 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 2520M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics 3000	2,57 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti	Mobile Intel QM67 Express	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Display Port, D-Sub, ExpressCard 34mm, USB	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	4 db	372,8x245,1x31,8 mm				
Asus B53E-SO266X	191811 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 2450M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 3000	2,69 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti	Intel ® HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Display Port, E-SATA, USB, USB 3.0, HDMI	SD, SDHC, XD, MMC, MS, MS Pro	10/100/1000 Mb/s	2 db	384 x 263 x 33-35 mm	1 db			
Asus K55VD-SX023D 15,6" Barna	132992 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	NVIDIA GeForce 610M	2,52 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Általános	Intel® Chief River HM76	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, MMC	10/100/1000 Mb/s	1 db	251x378x25,5~31,9 mm	2 db			
Fujitsu Celsius H710 FullHD Ci7-2640M 4GB 500GB	311969 Ft	15,6 " (1920x1080 pixel)	Nem	Intel Core i7 2640M (2,8 GHz, 4 MB cache)	4096 MB DDR III 1333 MHz	Igen	500 GB 7200 rpm SATA	NVIDIA Quadro 1000M	2,75 kg	3 év	8 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti	Intel QM67 Express	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Igen	3,5 Jack, Display Port, D-Sub, E-SATA, ExpressCard 34mm, USB, USB 3.0, ExpressCard 54mm, SIM kártyahely	SD, SDHC, MS, MS Pro	10/100/1000 Mb/s	3 db	372 x 255 x 36 mm	1 db			
Apple MacBook Pro 15 Ci7 8GB 750GB GT650M angol	553465 Ft	15,4 " (1440x900 pixel)	Nem	Intel Core i7 (2,6 GHz, 6 MB cache)	8192 MB DDR III 1600 MHz	Nem	750 GB 5400 rpm SATA	NVIDIA GeForce GT 650M	2,54 kg	1 év		DVD+-RW DL	Mac OS X 10.7 Lion	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	Thunderbolt port, USB 3.0, FireWire	SDXC	10/100/1000 Mb/s		364 x 249 x 24,1 mm	2 db			
Apple MacBook Pro 17" (MD311MG/A)	557244 Ft	17 " (1920x1200 pixel)	Nem	Intel Core i7 2760QM (2,4 GHz, 3 MB cache)	4096 MB DDR III 1066 MHz	Nem	750 GB 5400 rpm SATA	AMD Radeon HD 6770M	3 kg	1 év	6 cellás	DVD+-RW DL	Mac OS X 10.5 Leopard	Üzleti	Intel HM55	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, FireWire	SD	10/100/1000 Mb/s	3 db	250x393x267 mm				
Acer Aspire V3-571G-736A4G1TMAII7 szürke	206535 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 3612QM (2,1 GHz, 6 MB cache)	4096 MB DDR III 1066 MHz	Igen	1000 GB 5400 rpm SATA	NVIDIA GeForce GT 640M	2,6 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Ultrabook	Intel HM77 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, XD, MMC, MS, MS Pro	10/100/1000 Mb/s	2 db		1 db			
Dell Inspiron 5520 HD Ci3-2370M 4GB 500GB Piros	137559 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 7670M	2,74 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM77	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s		378 x 252 x 30-34 mm	4 db			
Packard Bell Easynote F6244-HC-451HG Fehér	99764 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	4096 MB DDR III MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics 3000	2,25 kg	2 év	6 cellás	DVD+-RW DL	Linux	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem			10/100/1000 Mb/s	3 db					
HP 630 A6F12EA#AKC	91417 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 380M (2,53 GHz, 3 MB cache)	2048 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	2,5 kg	1 év	6 cellás	DVD+-RW DL	Linux	Üzleti	Mobil Intel® HM55 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, MMC	10/100/1000 Mb/s	3 db	376 x 247 x 31,8 mm				
Lenovo Thinkpad Edge E130 NZU34HV_TS	92441 Ft	11,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 977 (1,4 GHz, 2 MB cache)	4096 MB DDR III 1600 MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics	1,47 kg	1 év	6 cellás	Nincs	OP. rendszer nélkül	Üzleti		HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, E-SATA, USB, HDMI		10/100/1000 Mb/s	3 db					
Apple MacBook Pro 15,4" (MD318MG/A)	486142 Ft	15,4 " (1440x900 pixel)	Nem	Intel Core i7 2720QM (2,2 GHz, 6 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 6750M	2,54 kg	1 év		DVD+-RW DL	Mac OS X 10.6 Snow Leopard	Üzleti	Intel HM55	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Thunderbolt port, USB, FireWire	SD, SDXC	10/100/1000 Mb/s	2 db	364 x 249 x 24 mm				
Asus X55U-SX003V	87008 Ft	15,6 " (136x768 pixel)	Nem	AMD E Series E-450 (1,66 GHz, 1 MB cache)	2048 MB DDR III 1333 MHz	Igen	320 GB 5400 rpm SATA	AMD Radeon HD 6320	2,52 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Multimédia	AMD® A68M	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, MMC, MS, MS Pro	10/100 Mb/s	1 db	251 x 378 x 25,5-31,9 mm	1 db			
Acer Aspire V5-471-32364G50Mabb Kék	133386 Ft	14 " (1366x768 pixel)	Nem	Intel Core i3 2367M (1,4 GHz, 3 MB cache)	4096 MB DDR III 1066 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 4000	2,1 kg	2 év	4 cellás	DVD+-RW DL	Windows 7 Home Premium	Multimédia		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db	342 x 245 x 20-23 mm	1 db			
HP ProBook 4330s i3-2350M 2GB 320GB NoOS	129213 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i3 2350M (2,3 GHz, 3 MB cache)	2048 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics 3000	2 kg	3 év	6 cellás	DVD+-RW DL	OP. rendszer nélkül	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, ExpressCard 34mm, USB, USB 3.0, HDMI		10/100/1000 Mb/s	3 db	330 x 235 x 27,9 mm	1 db			
Asus P53E-SO211D	78291 Ft	15,6 " (1366x768 pixel)	Nem	Intel Celeron Dual-Core B820 (1,7 GHz, 2 MB cache)	2048 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics 3000	2,6 kg	3 év	6 cellás	DVD+-RW DL	Free DOS	Üzleti	Intel ® HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, E-SATA, USB, HDMI	SD, SDHC, XD, MMC, MS, MS Pro	10/100/1000 Mb/s	3 db	378 x 253 x 31,7-36 mm				
Lenovo ThinkPad T430 14" HD+ i5-3210M 4GB 500GB	238583 Ft	14 " (1600 x 900 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	NVIDIA Quadro NVS 3100M	2,16 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		Dolby® Advanced Audio TM 2.0	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, ExpressCard 34mm, Mini Display Port, USB, USB 3.0	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	1 db	350.5x232x29.9 mm	2 db			
Samsung NP300E5Z-S07HU 15,6" Ezüst	107165 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i3 2350M (2,3 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	750 GB 5400 rpm SATA	NVIDIA GeForce GT 520MX	2,34 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Általános	Intel® HM65 Express	HD Audo	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, HDMI	SD, SDHC, MMC	10/100/1000 Mb/s	3 db	367,9 x 243 x 27,6 ~ 33,2 mm				
Asus X53E-SX2173D Fehér	91260 Ft	15,6 " (1366x768 pixel)	Nem	Intel Celeron Dual-Core B820 (1,7 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics	2,6 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Általános	Mobile Intel® HM65 Express	HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, Mini VGA, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db	378 x 253 x 28,3-34,9 mm	1 db			
Lenovo ThinkPad Edge E330 NZS3NHV	144331 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Igen	500 GB 7200 rpm SATA	Intel HD Graphics 3000	1,8 kg	1 év	6 cellás	Nincs	Windows 7 Home Premium 64 bit	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, E-SATA, USB, USB 3.0, HDMI	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	1 db	322 x 228 x 27,8 mm	2 db			
Lenovo Thinkpad Edge E535 NZR55HV_TS	111811 Ft	15,6 " (1366x768 pixel)	Nem	AMD A Series A4-3300M (2,5 GHz, MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 6480G	2,36 kg	1 év	6 cellás	DVD+-RW DL	Free DOS	Üzleti		HD Audio	Igen	Nem	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, E-SATA, USB, HDMI	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	4 db					
HP EliteBook 2170p B6Q12EA 11,6"	433307 Ft	11,6 " (1366x768 pixel)	Nem	Intel Core i7 3667U (2 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	256 GB Nincs rpm SSD	Intel HD Graphics 4000	1,31 kg	3 év	6 cellás	Nincs	Windows 7 Professional 64 bit	Üzleti	Mobil Intel® QM77 Express	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Igen	3,5 Jack, Display Port, D-Sub, USB 3.0	SD, MMC	10/100/1000 Mb/s		292x192x26,5 mm	2 db			
Dell Vostro 3360 Ci5-3317 4GB 320GB HD4000 Bronz	165827 Ft	13,3 " (1366 x 768 pixel)	Nem	Intel Core i5 3317 (1,7 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	320 GB 7200 rpm SATA	Intel HD Graphics 4000	1,67 kg	3 év	4 cellás	Nincs	Linux	Üzleti	Intel® Mobile HM77 Panther Point Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, XD, MMC, MS, MS Pro	10/100/1000 Mb/s		332x232,5x18,6-19,2 mm	3 db			
Apple MacBook Air 13,3" i5 1,7GHz 4GB 128GB SSD HU	322520 Ft	13,3 " (1440x900 pixel)	Nem	Intel Core i5 (1,7 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	128 GB Nincs rpm SSD	Intel HD Graphics 3000	1,35 kg	1 év		Nincs	Mac OS X 10.6 Snow Leopard	Ultrabook		HD	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Thunderbolt port, USB, FireWire	SDXC	Nincs	2 db	325 x 227 x 0,3-1,7 mm				
Lenovo IdeaPad S300 59-350165	100157 Ft	13,3 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 997 (1,6 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	1,8 kg	2 év	4 cellás	Nincs	Free DOS	Általános	Mobile Intel® HM70 Express	HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db	330 x 230 x 22,4 mm	1 db			
Asus Eee PC R11CX-WHI004S Fehér	59929 Ft	10,1 " (1024x600 pixel)	Nem	Intel Atom Dual-Core N2600 (1,6 GHz, 1 MB cache)	1024 MB DDR III MHz	Nem	320 GB 5400 rpm SATA	Intel GMA 3600	1 kg	2 év	3 cellás	Nincs	Windows 7 Starter Edition	Netbook		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB	SD, SDHC, SDXC, MMC	10/100 Mb/s	2 db	262 x 180 x 22 mm				
Dell Vostro 3360 Ci5-3317U 4GB 500GB Linux Piros	166142 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i5 3317U (1,7 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 4000	1,67 kg	3 év	4 cellás	Nincs	Linux	Üzleti	Intel® Mobile HM77 Panther Point Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100 Mb/s		332 x 232,5 x 18,6/19,2 mm	3 db			
HP EliteBook 8570w LY551EA	340000 Ft	15,6 " (1920x1080 pixel)	Nem	Intel Core i5 3360M (2,8 GHz, 3 MB cache)	4096 MB DDR III MHz	Nem	500 GB 7200 rpm SATA	AMD FirePro M4000	3 kg	3 év	8 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Display Port, D-Sub, E-SATA, USB, USB 3.0		10/100/1000 Mb/s	2 db	345 x 38,2 x 257,5 mm	2 db			
Asus K53BR-SX003D	82283 Ft	15,6 " (1366x768 pixel)	Nem	AMD E Series E450 (1,65 GHz, 1 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 7470M	2,6 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Multimédia		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, MMC	10/100/1000 Mb/s	3 db	378 x 253 x 28,3 ~ 34,9 mm				
Lenovo Thinkpad Edge E535 NZR6WHV_TS	108189 Ft	15,6 " (1366x768 pixel)	Nem	AMD A Series A4-3300M (2,5 GHz, MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 6480G	2,36 kg	1 év	6 cellás	DVD+-RW DL	Free DOS	Üzleti		HD Audio	Igen	Nem	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, E-SATA, USB, HDMI	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	4 db					
Asus Eee PC X101CH-RED002U Piros	54465 Ft	10,1 " (1024x600 pixel)	Nem	Intel Atom Dual-Core N2600 (1,6 GHz, 1 MB cache)	2048 MB DDR III MHz	Nem	320 GB 5400 rpm SATA	Intel GMA 3600	1 kg	2 év	3 cellás	Nincs	Free DOS	Netbook		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB	SD, SDHC, SDXC, MMC	10/100 Mb/s	2 db	262 x 180 x 22 mm				
Dell Inspiron 5520 HD Ci3-2370M 4GB 500GB Pink	137559 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 7670M	2,74 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM77	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100 Mb/s		378 x 252 x 30-34 mm	4 db			
Lenovo ThinkPad Tablet X230i 12,5" i3-2370M 4GB	245906 Ft	12,5 " (1366x768 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	320 GB 7200 rpm SATA	Intel HD Graphics 4000	1,34 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		Dolby® Advanced Audio™ 2.0	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	D-Sub, Mini Display Port, USB	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	3 db	305x206.5x19-26.6 mm				
Asus X53E-SX2172D Piros	85433 Ft	15,6 " (1366x768 pixel)	Nem	Intel Celeron Dual-Core B820 (1,7 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	2,6 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Általános	Mobile Intel® HM65 Express	HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, Mini VGA, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db	378 x 253 x 28,3-34,9 mm	1 db			
Lenovo IdeaPad G575GL (59-345819) 15,6"	69228 Ft	15,6 " (1360x768 pixel)	Nem	AMD E Series E300 (1,3 GHz, 1 MB cache)	2048 MB DDR III 1066 MHz	Nem	320 GB 5400 rpm SATA	AMD Radeon HD 6310	2,6 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Multimédia	AMD® A50M FCH	HD Aduio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB	SD, MMC	10/100 Mb/s	4 db	376,8x249,8x17,3~34,9 mm				
HP 630 (C1M15EA) 15,6"	111024 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i3 2310M (2,1 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	2,5 kg	1 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Általános	Mobil Intel® HM65 Express	HD Audio	Igen	Nem	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, MMC	10/100 Mb/s	3 db	376 x 247 x 31,8 mm				
HP ProBook 6470b B6P72EA	216929 Ft	14 " (1366 x 768 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics	2,03 kg	1 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti	Mobil Intel® HM76 Express	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Display Port, D-Sub, E-SATA, USB, USB 3.0, ExpressCard 54mm, FireWire	SD, MMC	10/100/1000 Mb/s	1 db	338x231x34 mm	2 db			
Asus ZENBOOK UX32VD-R3001V	229291 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i5 3317U (1,7 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	NVIDIA GeForce GT 620M	1,45 kg	2 év	6 cellás	Nincs	Windows 7 Home Premium 64 bit	Ultrabook	Mobile Intel® HM76 Express	HD Audio	Igen	Igen	802.11 n, 802.11 g	Igen	Nem	3,5 Jack, Mini VGA, USB, HDMI		10/100/1000 Mb/s	3 db	325 x 223 x 5.5-18 mm			24 GB SSD	
