TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Audio	Bill.	Portok	Multimédia	Méret	Szállítás		Biztonság	Mobil internet modul
Acer AS5742Z-P624G50MNCC LX.R4R0C.021	82598 Ft	15,5" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium Dual Core P6200 (2.13 GHz, 3MB)		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.6 kg		6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Intel® HM55 Express	Monó hangszóró, egy csatornás rendszer	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített webkamera 1.3Mpixel, 2 az 1-ben kártyaolvasó	381 x 253 x 25 - 34 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Packard Bell F5211-BZ-451HG Fekete Notebook	82598 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD E-450 Dual-Core (1.65Ghz, 1MB L2)		500GB SATA 5400rpm	AMD Radeon™ HD 6320	2,6 kg	2 év el- és visszaszállításos (Pick Up and Return)	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		AMD® A68M Fusion™	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített webkamera 1.3Mpixel, 2 az 1-ben kártyaolvasó	381 x 253 x 25,2 - 33,2 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Packard Bell F5211-HC-851HG NX.C1FES.018 Notebook	82598 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B970 - 2.30 GHz	8GB DDR3 1333MHz	500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.70 kg	2 év el- és visszaszállításos (Pick Up and Return)	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM70 Express Chipset	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített webkamera 1.3Mpixel, 2 az 1-ben kártyaolvasó	381 x 253 x 34mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS X55U-SX035D Notebook	82598 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD E-450 Dual-Core (1.65Ghz, 1MB L2)	4GB DDR3 1333MHz	500GB SATA 5400rpm	AMD Radeon™ HD 6320	2.45 kg		6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)		AMD® A68M Fusion™	Altec Lansing® hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	37.8 x 25.3 x 2.62 ~ 3.19 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS P53E-SO211D Notebook	83071 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B820 (1.70 GHz)		320GB SATA 5400rpm	Intel® HD Graphics 3000	2.60 kg		6cellás (56WHr) lithium-ion	DVD író / olvasó (supermulti)		Intel® HM65 Express /Sandy Bridge	Altec Lansing® hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Bluetooth, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	4 az 1-ben kártyaolvasó, beépített 0,3Mpixel webkamera	37.8 x 25.3 x 3.17 ~ 3.60 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS X401A-WX286D Fehér Notebook	84173 Ft	14" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B980 - 2.40 GHz	2GB DDR3 1600MHz	320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	1.85 kg		6cellás (47WHr) lithium-ion	opcionális külső író (nem tartozék)		Mobile Intel® HM70 Express Chipset	Altec Lansing® hangszórók	magyar	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	34.4 x 24.1 x 2.65 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS X55A-SX098D Fekete Notebook	84173 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B980 - 2.40 GHz		320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.45 kg		6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM70 Express Chipset	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	37.8 x 25.3 x 2.62 ~ 3.19 cm	nincs raktáron				
ASUS X501A-XX234D Fehér Notebook	84173 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B980 - 2.40 GHz	2GB DDR3 1600MHz	320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.07 kg		6cellás (47WHr) lithium-ion	opcionális külső író (nem tartozék)		Mobile Intel® HM70 Express Chipset	Altec Lansing® hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	38.0 x 23.5 x 2.65 ~ 3.23 cm	nincs raktáron				
ASUS X53BR-SX029D Sötétbarna Notebook	83386 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD E-450 Dual-Core (1.65Ghz, 1MB L2)		500GB SATA 5400rpm	AMD Radeon™ HD 7470M 1GB DDR3 VRAM	2,6 kg		6 cellás lithium-ion	DVD író / olvasó (supermulti)		AMD A50M (Hudson M1) Fusion™	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Bluetooth v2.1 + EDR, Wireless LAN 802.11 b/g/n (WiFi)	4 az 1-ben kártyaolvasó, beépített 0,3Mpixel webkamera	378 x 253 x 28,3 - 34,9 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Lenovo IdeaPad B570e2 59-335845 Notebook	83386 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B950 - 2.10 GHz		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.35 kg	2 év	6 cellás lithium-ion	8x DVD író (+/-RW Dual Layer)		Intel® HM65 Express /Sandy Bridge	HD Audio, 2 speakers	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Bluetooth v2.1 + EDR, Wireless LAN 802.11 b/g/n (WiFi), kombinált eSATA/USB 2.0	6 az 1-ben kártyaolvasó, beépített 0,3Mpixel webkamera	378 x 252 x 33.1 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Inspiron 15 3520 INSP3520-2 Notebook	83386 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B820 (1.70 GHz)		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.4 kg	1 év garancia	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM75 Express Chipset	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS	3 az 1-ben kártyaolvasó (SD,MMC, MS), beépített HD webkamera	376.0 x 260.2 x 34.53 - 31.52 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Fujitsu Lifebook AH531 VFY:AH531MF045HU Notebook	84173 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B960 - 2.20 GHz		320GB SATA 5400rpm	Intel® HD Graphics 3000	2.5 kg	3 év	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Intel® HM65 Express /Sandy Bridge	Realtek ALC269 HD, Sztereó	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), Express card kártyahely, HDMI csatlakozó, Bluetooth v2.1 + EDR, Wireless LAN 802.11 b/g/n (WiFi)	4 az 1-ben kártyaolvasó, beépített webkamera 1.3Mpixel	378 x 252 x 36.5 mm	nincs raktáron				
Packard Bell F4211-HR-456HG Notebook	84646 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B960 - 2.20 GHz		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.70 kg	2 év el- és visszaszállításos (Pick Up and Return)	6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)		Intel® HM65 Express /Sandy Bridge	HD Audio, 2 speakers	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	5 az 1-ben kártyaolvasó, beépített webkamera 1.3Mpixel	381 x 253 x 34mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer AS5742ZG-P622G32MNKK LX.RLV0C.035	84646 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium Dual Core P6200 (2.13 GHz, 3MB)		320GB SATA 5400rpm	NVIDIA® GeForce® 610M 1GB DDR3	2.6 kg		6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Intel® HM55 Express	Monó hangszóró, egy csatornás rendszer	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített webkamera 1.3Mpixel, 2 az 1-ben kártyaolvasó	381 x 253 x 25 - 34 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer AS5750Z-B964G50MNKK NX.RL8EU.006	84646 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B960 - 2.20 GHz		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.6 kg		6 cellás lithium-ion	DVD író / olvasó (supermulti)		Intel® HM65 Express /Sandy Bridge	HD Audio, 2 speakers	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített webkamera 1.3Mpixel, Multi az 1-ben kártyaolvasó	381,6 x 253 x 25,2 - 33,2 mm	nincs raktáron				
Acer AS7250-4504G50Mnkk NX.RL6EU.002	84961 Ft	17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	AMD E-450 Dual-Core (1.65Ghz, 1MB L2)		500GB SATA 5400rpm	AMD Radeon™ HD 7480M 512MB megosztott	3.30 kg		6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)		AMD A50M (Hudson M1) Fusion™	Dolby® Home Theater® v4 hangrendszer	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített webkamera 1.3Mpixel, Multi az 1-ben kártyaolvasó	415.0 x 275.0 x 34.3 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS X53BR-SX015D Notebook	86535 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD E-450 Dual-Core (1.65Ghz, 1MB L2)		500GB SATA 5400rpm	AMD Radeon™ HD 6320	2,6 kg		6 cellás lithium-ion	DVD író / olvasó (supermulti)		AMD A50M (Hudson M1) Fusion™	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	4 az 1-ben kártyaolvasó, beépített 0,3Mpixel webkamera	378 x 253 x 28,3 - 34,9 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer AS5742Z-P624G32MNCC NX.R4REU.001	85433 Ft	15,5" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium Dual Core P6200 (2.13 GHz, 3MB)		320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.6 kg		6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Intel® HM55 Express	Monó hangszóró, egy csatornás rendszer	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített webkamera 1.3Mpixel, 2 az 1-ben kártyaolvasó	381 x 253 x 25 - 34 mm	nincs raktáron				
Lenovo ThinkPad Edge Plus E525 NZ63KHV	85433 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	AMD® E2-3000M Dual-Core™ (1.80 - 2.40 GHz, 1 MB)		500GB SATA 5400rpm	AMD Radeon™ HD 6480G	2.58 kg		6 cellás lithium-ion	DVD író / olvasó (supermulti)		AMD® A60M Fusion™	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), Express card kártyahely, HDMI csatlakozó, kombinált eSATA/USB 2.0, Bluetooth v3.0 + HS	4 az 1-ben kártyaolvasó, beépített HD webkamera	380 x 248.5 x 30.6-38.3 mm	nincs raktáron				
HP 650 B6N09EA Notebook	82598 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B970 - 2.30 GHz		320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2,45 kg		6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM70 Express Chipset	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	37,6 x 24,7 x 3,58 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
HP 655 B6M65EA Notebook	77874 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	AMD® E2-1800 Dual-Core™ (1.70 GHz, 1 MB)		500GB SATA 5400rpm	AMD Radeon™ HD 7340	2,45 kg		6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)		AMD® A68M Fusion™	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	37,6 x 24,7 x 3,58 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Toshiba Satellite C660-2PE Notebook	88110 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B815 (1.60 GHz)		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2,54 kg		6 cellás lithium-ion	DVD író / olvasó (supermulti)		Intel® HM65 Express /Sandy Bridge	Realtek 24 bites sztereó	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v3.0 + HS	beépített 0,3Mpixel webkamera, Univerzális kártyaolvasó	380,5 x 254,0 x 28,0 - 35,6 mm	nincs raktáron				
ASUS X54HR-SX027D Fekete Notebook	86535 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B815 (1.60 GHz)		320GB SATA 5400rpm	AMD Radeon™ HD 6470M 1GB DDR3 VRAM	2.6 kg		4 cellás (37WHr) lithium-ion	DVD író / olvasó (supermulti)		Intel® HM65 Express /Sandy Bridge	Altec Lansing® hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db)	4 az 1-ben kártyaolvasó, beépített 0,3Mpixel webkamera	37.8 x 25.3 x 3.56 ~ 3.72 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Toshiba Satellite C850-11Q Fekete Notebook	88110 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B815 (1.60 GHz)		320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	380.0 x 242.0 x 33.52 mm	nincs raktáron	6 cellás lithium-ion	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® HM65 Express /Sandy Bridge	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS	beépített HD webkamera, Univerzális kártyaolvasó						
Packard Bell TS11-HR-252HG Fekete Notebook	86535 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B815 (1.60 GHz)		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	381 x 253 x 25,2 - 33,2 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)	Windows7 Professional magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® HM65 Express /Sandy Bridge	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	5 az 1-ben kártyaolvasó, beépített webkamera 1.3Mpixel	2 év el- és visszaszállításos (Pick Up and Return)					
HP 650 B6N07EA Notebook 4GB	0 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B820 (1.70 GHz)		320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	37,6 x 24,7 x 3,58 cm	következő munkanapon	6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM70 Express Chipset	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó						
Acer E1-531-B9604G50Mnks NX.M12EU.012 Notebook	82598 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B960 - 2.20 GHz		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.4 kg		6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	Multi az 1-ben kártyaolvasó, beépített HD webkamera	378 x 259 x 24.8 - 29.7 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Lenovo IdeaPad G585A 59-334362 Sötétbarna Notebook	86535 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® E1-1200 Dual-Core™ (1.40 GHz, 1 MB)		500GB SATA 5400rpm	AMD Radeon™ HD 6370M 1GB DDR3 VRAM	2.6 kg	2 év	6 cellás lithium-ion	DVD író / olvasó (supermulti)		AMD® A68M Fusion™	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	376 x 245 x 34.3 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
HP 630 A6F21EA Notebook	86535 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B815 (1.60 GHz)		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	37,6 x 24,7 x 3,18 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® HM55 Express	Altec Lansing® hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Bluetooth v2.1 + EDR, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó						
ASUS U32U-RX004D Notebook	0 Ft	13,3" WXGA fényes HD LED (1366 x 768)	AMD E-450 Dual-Core (1.65Ghz, 1MB L2)		320GB SATA 5400rpm	AMD Radeon™ HD 6320	1.55 kg		4 cellás lítiumion (Li-Ion)	opcionális külső író (nem tartozék)		AMD A50M (Hudson M1) Fusion™	Beépített sztereó hangszórók	magyar	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db)	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	328 x 238 x 22.5 mm	következő munkanapon				
Dell Inspiron M5110 146175 Piros Notebook	86535 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® Llano A6-3420M Quad-Core (4M Cache, 1.5 - 2.4 GHz)		640GB SATA 5400rpm	AMD Radeon™ HD 6520G	2,65 kg	3 év	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		AMD® A70M Fusion™	SRS Premium Surround Sound	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), kombinált eSATA/USB 2.0, Bluetooth v3.0 + HS	8 az 1-ben kártyaolvasó, beépített HD webkamera	376,0 x 260,2 x 35,2 - 31,37 mm	nincs raktáron				
Packard Bell F6244-HC-450HG Fehér Notebook	87323 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B960 - 2.20 GHz		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2,6 kg	2 év el- és visszaszállításos (Pick Up and Return)	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM70 Express Chipset	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	5 az 1-ben kártyaolvasó, beépített webkamera 1.3Mpixel	381 x 253 x 25,2 - 33,2 mm	nincs raktáron				
ASUS X55U-SX007V Fekete Notebook	87323 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD C-60 Dual-Core™ (1.00 - 1.33 GHz, 1024 KB)		320GB SATA 5400rpm	AMD Radeon™ HD 6290	378 x 253 x 26,2 - 31,9 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	AMD® A68M Fusion™	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó						
Lenovo IdeaPad B570e 59-325611 Notebook	87795 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B960 - 2.20 GHz		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.35 kg	2 év	6 cellás lithium-ion	8x DVD író (+/-RW Dual Layer)		Intel® HM65 Express /Sandy Bridge	HD Audio, 2 speakers	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Bluetooth v2.1 + EDR, Wireless LAN 802.11 b/g/n (WiFi), kombinált eSATA/USB 2.0	6 az 1-ben kártyaolvasó, beépített 0,3Mpixel webkamera	378 x 252 x 33.1 mm	nincs raktáron				
ASUS K53BR-SX003D Sötétbarna Notebook	87795 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD E-450 Dual-Core (1.65Ghz, 1MB L2)		500GB SATA 5400rpm	AMD Radeon™ HD 7470M 1GB DDR3 VRAM	2.60 kg		6cellás (56WHr) lithium-ion	DVD író / olvasó (supermulti)		AMD A50M (Hudson M1) Fusion™	Altec Lansing® hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Bluetooth, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	4 az 1-ben kártyaolvasó, beépített 0,3Mpixel webkamera	37.8 x 25.3 x 2.83 ~ 3.49 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS K53BR-SX015D Sötétbarna Notebook	87795 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD E-450 Dual-Core (1.65Ghz, 1MB L2)		500GB SATA 5400rpm	AMD Radeon™ HD 7470M 1GB DDR3 VRAM	2.60 kg		6cellás (56WHr) lithium-ion	DVD író / olvasó (supermulti)		AMD A50M (Hudson M1) Fusion™	Altec Lansing® hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	4 az 1-ben kártyaolvasó, beépített 0,3Mpixel webkamera	37.8 x 25.3 x 2.83 ~ 3.49 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
