TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Audio	Bill.	Portok	Multimédia	Méret	Szállítás		Biztonság	Mobil internet modul
Dell Inspiron 1018 128724 Fekete Netbook	57874 Ft	10,1" WSVGA fényes LED TFT 16:9 (1024x600)	Intel® Atom™ N455 (1,66 GHz, 512 kB)	2GB DDR3 1333MHz	320GB SATA 5400rpm	Intel® Graphics Media Accelerator 3150	1,37 kg	2 év	6cellás (48WHr) lithium-ion	opcionális külső író (nem tartozék)		Intel® NM10 Express	Dell Audio, 2 speakers	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, Bluetooth v2.1 + EDR, Wireless LAN 802.11n (WiFi)	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	268 x 197 x 25 - 33 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS EEE PC 1015BX-BLK054W Fekete	58189 Ft	10,1" WSVGA LED matt TFT (1024 x 600)	AMD C-60 Dual-Core™ (1.00 - 1.33 GHz, 1024 KB)	2GB DDR3 1066MHz	320GB SATA 5400rpm	AMD Radeon™ HD 6250	1,17 kg		3-cellás (28 WHr) Lithium-Ion	opcionális külső író (nem tartozék)		AMD A50M (Hudson M1) Fusion™	HD Audio, 2 speakers	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	262 x 178 x 23,6 - 36,4 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS EEE PC 1015BX-WHI043W Fehér Netbook	58189 Ft	10,1" WXGA matt LED TFT 16:9 (1024x600)	AMD C-60 Dual-Core™ (1.00 - 1.33 GHz, 1024 KB)	2GB DDR3 1066MHz	320GB SATA 5400rpm	AMD Radeon™ HD 6290	1.17 kg		3-cellás (28 WHr) Lithium-Ion	opcionális külső író (nem tartozék)		AMD A50M (Hudson M1) Fusion™	Beépített sztereó hangszórók	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	262 x 178 x 23.6 ~ 36.4 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
	0 Ft																					
ASUS EEE PC R11CX-WHI004S Fehér Netbook	61024 Ft	10,1" WXGA matt LED TFT 16:9 (1024x600)	Intel® Atom™ Dual-Core N2600 (1M Cache, 1.6 GHz)	1GB DDR3 1066MHz	320GB SATA 5400rpm	Intel® Graphics Media Accelerator 3150	1 kg		3-cellás Lithium-Ion	opcionális külső író (nem tartozék)	Windows7 Starter Edition Magyar	Intel® NM10 Express	Beépített sztereó hangszórók	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	262 x 180 x 22 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Packard Bell DOT SE-133HG Fekete Netbook	60551 Ft	10,1" WXGA fényes LED TFT 16:9 (1024x600)	Intel® Atom™ N455 (1,66 GHz, 512 kB)		320GB SATA 5400rpm	Intel® GMA 3150 alaplapra integrált VGA	1.25 kg	2 év el- és visszaszállításos (Pick Up and Return)	6cellás 4400 mAh (Lithium-ion)	opcionális külső író (nem tartozék)	Windows7 Starter Edition Magyar	Intel® NM10 Express	van	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	258.8 x 184 x 24 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS EEE PC X101CH-RED035S Piros Netbook	61339 Ft	10,1" WXGA matt LED TFT 16:9 (1024x600)	Intel® Atom™ Dual-Core N2600 (1M Cache, 1.6 GHz)	1GB DDR3 1066MHz	320GB SATA 5400rpm	Intel® Graphics Media Accelerator 3150	1 kg		3-cellás Lithium-Ion	opcionális külső író (nem tartozék)	Windows7 Starter Edition Magyar	Intel® NM10 Express	Beépített sztereó hangszórók	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	262 x 180 x 22 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS EEE PC X101CH-WHI062S Fehér Netbook	61339 Ft	10,1" WXGA matt LED TFT 16:9 (1024x600)	Intel® Atom™ Dual-Core N2600 (1M Cache, 1.6 GHz)	1GB DDR3 1066MHz	320GB SATA 5400rpm	Intel® Graphics Media Accelerator 3150	1 kg		3-cellás Lithium-Ion	opcionális külső író (nem tartozék)	Windows7 Starter Edition Magyar	Intel® NM10 Express	Beépített sztereó hangszórók	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	262 x 180 x 22 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS EEE PC X101CH-BRN028S Barna Netbook	61339 Ft	10,1" WXGA matt LED TFT 16:9 (1024x600)	Intel® Atom™ Dual-Core N2600 (1M Cache, 1.6 GHz)	1GB DDR3 1066MHz	320GB SATA 5400rpm	Intel® Graphics Media Accelerator 3150	1 kg		3-cellás Lithium-Ion	opcionális külső író (nem tartozék)	Windows7 Starter Edition Magyar	Intel® NM10 Express	Beépített sztereó hangszórók	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	262 x 180 x 22 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS EEE PC X101CH-BLK068S Fekete Netbook	61339 Ft	10,1" WXGA matt LED TFT 16:9 (1024x600)	Intel® Atom™ Dual-Core N2600 (1M Cache, 1.6 GHz)	1GB DDR3 1066MHz	320GB SATA 5400rpm	Intel® Graphics Media Accelerator 3150	1 kg		3-cellás (28 WHr) Lithium-Ion	opcionális külső író (nem tartozék)	Windows7 Starter Edition Magyar	Intel® NM10 Express	Beépített sztereó hangszórók	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	262 x 180 x 22 mm	nincs raktáron				
