TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	LAN	WLAN	BT	HSDPA	TV ki	Audio	VGA ki	HDMI	DP	FP	Kamera	CR	ExpressCard	FW	eSata	USB	Egyéb	Méret
Packard Bell EasyNote TS13-SB-451HG	116456 Ft	Nem	Nem	Nem	Nem	Nem	Nem	24 hónap	Nem	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	AMD® A70M Fusion™	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nem	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	381 x 253 x 34mm	
Packard Bell EasyNote TS44-SB-454HG White	117244 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® Llano A4-3300M (2M Cache, 1.9 - 2.5 GHz)	4GB DDR3/1066 MHz	500GB 5400RPM SATA	AMD Radeon™ HD6470 512MB	2.7kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	AMD® A70M Fusion™	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nem	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	381 x 253 x 34mm	
Packard Bell EasyNote TS44-HR-235HG	103858 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Celeron® Processor B815 (2M Cache, 1.60 GHz)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	NVIDIA® GeForce® G610 / 1GB RAM	2.7kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Nincs	Nem	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	381 x 253 x 34mm	
SAMSUNG NP300E5C-A01HU	105905 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Pentium® Processzor B960 (2M Cache, 2.20 GHz)	4GB DDR3/1333 MHz	750GB 5400RPM SATA	Intel® GMA HD 3000	2.3kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	1,3 megapixel felbontású webkamera	4in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	367.9 x 243 x 27.6-33.2mm	
LENOVO ThinkPad Edge E335 NZT64HV	106220 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	AMD® E2-1800 Dual-Core (1.70GHz, 1MB L2)	4GB DDR3/1333 MHz	500GB 7200RPM SATA	AMD Radeon™ HD 7340M	1.8kg	12 hónap	5700 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	FreeDos	AMD® A68M FCH	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio, Realtek ALC269 codec	Van	Van	Nincs	Nincs	HD720p webkamera	4in1 Card reader	Nincs	Nincs	Nem	1db USB 2.0 - 2db USB 3.0	Nincs	322 x 228 x 20-27.8mm	
Packard Bell EasyNote F6244-CM-451HG	106220 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® Trinity A6-4400M (1M Cache, 2.7 - 3.2 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	AMD Radeon™ HD 7670M / 1024MB	2,7kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	AMD A70M	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nem	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	381 x 253 x 34mm	
DELL Inspiron N5050-143995 BLACK	116456 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-2350M Processor (3M Cache, 2.30 GHz)	4GB DDR3/1333 MHz	1000GB 5400RPM SATA	Intel® GMA HD 3000	2.5kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	0.3MPixel webkamera	3in1 Card reader	Nincs	Nincs	Van	3db USB 2.0	Nem	376 x 260 x 29.7-33.8mm	
ASUS X53BR-SX030V	106220 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® E-450 Dual-Core (1.65Ghz, 1MB L2)	4GB DDR3/1333 MHz	320GB 5400RPM SATA	ATI Mobility™ Radeon® HD7470M / 1GB VRAM	2.6kg	24 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW SM	Windows 7 Home Premium 64Bit	AMD A50M	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	Webkamera 0,3MPixel - 640x480 felbontás	4in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	378 x 253 x 35,6 / 37,2 mm	
ASUS K53SD-SX1241D Blue	106220 Ft	Nem	Intel® Pentium® Processor B970 (2M Cache, 2.30 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT610 / 2048MB	2.6kg	24 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW SM	FreeDos	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	0,3MPixel - 640x480 felbontással	4in1 Card reader	Nincs	Nincs	Nincs	2db USB 2.0 - 1db USB 3.0	Nem	378 x 253 x 34.9mm	
LENOVO IdeaPad G580 59-346867	106220 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Core™ i3-2328M Processor (3M Cache, 2.20 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT610 / 1GB VRAM	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	0.3MPixel webkamera	2in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 2db USB 3.0	Nincs	376 x 245 x 34.3 mm	
FUJITSU Lifebook A532 MPAB05HU	110157 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-2370M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	320GB 5400RPM SATA	Intel® GMA HD 3000	2.4kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM76 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	Realtek ALC269 VC2 HD	Van	Van	Nincs	Nincs	HD type (30fps@720p)	4in1 Card reader	Van	Nincs	Nincs	1db USB 2.0 - 3db USB 3.0	Nincs	378 x 252 x 34.2 mm	
HP 630 C1M15EA	110157 Ft	Nem	Intel® Core™ i3-2310M Processor (3M Cache, 2.10 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.5kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM55 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	0.3MPixel HD	2in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	376 x 247 x 31.8 mm	
Packard Bell EasyNote F4085-GN-475HG	110157 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Pentium® Processzor P6200 (3M Cache, 2.13 GHz)	4GB DDR3/1066 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT610 / 1GB VRAM	2.7kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM55 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nem	Nem	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	2in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	376 x 262 x 31,8 mm	
ASUS K53BR-SX015V	110157 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® E-450 Dual-Core (1.65Ghz, 1MB L2)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	ATI Mobility™ Radeon® HD7470M / 1GB VRAM	2.6kg	24 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW SM	Windows 7 Home Premium 64Bit	AMD A50M	Gigabit LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	Webkamera 0,3MPixel - 640x480 felbontás	4in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	378 x 253 x 35,6 / 37,2 mm	
ACER Aspire 5560-63424G50MNKK	110157 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® Sabine A6-3420M (4M Cache, 1.5 - 2.4 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	AMD Radeon™ HD 6520G	2.88 kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	AMD A50M (Hudson M1) Fusion™	Gigabit LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	1.3MP HD CrystalEye Webkamera	2in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	360 x 267 x 30.3/43 mm	
Packard Bell EasyNote TK81-SB-465HG	112519 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® Phenom™ II X4 N970 2.2GHz	4GB DDR3/1066 MHz	640GB 5400RPM SATA	AMD Radeon™ HD6650 1024MB	2.7kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	AMD® RS880M + SB820	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nem	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	2in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	381 x 253 x 34mm	
ASUS K53SD-SX1255D	114094 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-2310M Processor (3M Cache, 2.10 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT610 / 2048MB	2.6kg	24 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW SM	FreeDos	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	0,3MPixel - 640x480 felbontással	4in1 Card reader	Nincs	Nincs	Nincs	2db USB 2.0 - 1db USB 3.0	Nem	378 x 253 x 33,1-34,9 mm	
LENOVO IdeaPad G580GH 59-336127	114094 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Pentium® Processzor B960 (2M Cache, 2.20 GHz)	4GB DDR3/1333 MHz	750GB 5400RPM SATA	Intel® GMA HD 3000	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM76 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	0.3MPixel webkamera	2in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 2db USB 3.0	Nincs	376 x 245 x 34.3 mm	
FUJITSU Lifebook SH531 MRKA5HU	133779 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-2330M Processor (3M Cache, 2.20 GHz)	4GB DDR3/1333 MHz	320GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	1.9kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM65 Express	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 2.1	Nincs	Nem	RealTek ALC260	Van	Van	Nincs	Nincs	1.3MPixel HD	4in1 Card reader	Van	Nincs	Van	3db USB 2.0	Nem	323 x 234 x 32.3 mm	
SAMSUNG NP300E5Z-S07HU	114882 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-2350M Processor (3M Cache, 2.30 GHz)	4GB DDR3/1333 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT 520MX / 1024MB + OPTIMUS Technológia	2.3kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	1.3MPixel HD	4in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	367.9 x 243 x 27.6-33.2mm	
Packard Bell EasyNote TE11-HC-451HG	114882 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-2350M Processor (3M Cache, 2.30 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® GMA HD 3000	2,7kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nem	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	381 x 253 x 34mm	
LENOVO IdeaPad Z380G White 59-334474	121968 Ft	13.3" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-2350M Processor (3M Cache, 2.30 GHz)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	Intel® GMA HD 3000	2.1kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	1.0MPixel HD 720p	5in1 Card reader	Nincs	Nincs	Nem	1db USB 2.0 - 2db USB 3.0	Nincs	328 x 222 x 30.8 mm	
TOSHIBA Satellite C850-179	116456 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-2310M Processor (3M Cache, 2.10 GHz)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	AMD Radeon™ HD 7610M 1024MB	2.3 Kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Nem	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	beépített 1 megapixeles HD webkamera (1280 x 800) beépített mikrofonnal	5in1 Card reader	Nincs	Nincs	Nincs	2db USB 2.0 - 1db USB 3.0	Nem	380,0 x 242,0 x 33,52 mm	
SAMSUNG NP300E5X-S01HU	117244 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-2370M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1333 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT610 / 1GB VRAM	2.3kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	1.3MPixel HD	4in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	367.9 x 243 x 27.6-33.2mm	
Acer Aspire E1-571-33114G50MNKS W8	118031 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Core™ i3-3110M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.45kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 8	Intel® HM70 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	1.3MP HD CrystalEye Webkamera	5in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	381 x 254 x 33 mm	
Acer NB V5-171-323a4G50ass Win7	118031 Ft	11.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-2377M Processor (3M Cache, 1.50 GHz)	4GB DDR3/1066 MHz	500GB 5400RPM SATA	Intel® GMA HD 3000	1.38 kg	24 hónap	2500 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Home Premium 64Bit	Intel® HM77 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Acer Crystal Eye HD webcam with	2in1 Card reader	Nincs	Nincs	Nincs	2db USB 2.0 - 1db USB 3.0	Nem	285 x 202 x 20.95-27.35 mm	
ASUS K53SD-SX1244D WHITE	121968 Ft	Nem	Intel® Core™ i3-2310M Processor (3M Cache, 2.10 GHz)	6GB DDR3/1333 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT610 / 2048MB	2.6kg	24 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW SM	FreeDos	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	0,3MPixel - 640x480 felbontással	4in1 Card reader	Nincs	Nincs	Nincs	2db USB 2.0 - 1db USB 3.0	Nem	378 x 253 x 34.9mm	
LENOVO IdeaPad G560 (59-326096)	125905 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-540M Processzor (3M Cache, 2.53 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® G 310M / 1GB GDDR3 + Optimus Technológia	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM55 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	0,3MPixel - 640x480 felbontással	5in1 Card reader	Nincs	Nincs	Nincs	4db USB 2.0	Nincs	376.8 x 249.8 x 17.3/34.9mm	
HP Pavilion g6-2164sh C1T29EA	118031 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-2350M Processor (3M Cache, 2.30 GHz)	8GB DDR3/1333 MHz	500GB 5400RPM SATA	AMD Radeon™ HD 7670M / 1024MB	2.48kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	Altec Lansing® hangszórók	Nincs	Van	Nincs	Nincs	0,3MPixel - 640x480 felbontással	2in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 2db USB 3.0	Ajándék hordtáska	376 x 244 x 36.3 mm	
LENOVO IdeaPad S300 59-350164	118031 Ft	13.3" WXGA HD-LED GlareType 1366x768 pixel	Intel® Pentium® Processor 987 (2M Cache, 1.50 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	1.8kg	24 hónap	2200 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Home Premium 64Bit	Intel® HM70 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	http://www.youtube.com/watch?v=S96k6NCs64k	SRS Premium Surround Sound	Nincs	Van	Nincs	Nincs	0.3MP webcam	2in1 Card reader	Nincs	Nincs	Nem	1db USB 2.0 - 2db USB 3.0	Nincs	330.8 x 230.2 x 22.4 mm	
HP Pavilion G6-1313SH B2A11EA	118102 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® Sabine A6-3420M (4M Cache, 1.5 - 2.4 GHz)	4GB DDR3/1333 MHz	750GB 5400RPM SATA	AMD Radeon™ HD 7450M 1024MB	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	AMD RS880M	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	1.3MPixel HD	2in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	374 x 245 x 36.3 mm	
LENOVO ThinkPad Edge E530 NZQAMHV	119606 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Pentium® Processor B970 (2M Cache, 2.30 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.45kg	12 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® Mobile HM77 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio, Conexant 20671 codec	Van	Van	Nincs	Van	HD720p webkamera	4in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 3db USB 3.0	Nincs	377.0 x 245.0 x 29.5-35.3 mm	
LENOVO ThinkPad Edge E130 NZU35HV	121968 Ft	11.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Pentium® Processor 977 (2M Cache, 1.40 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	1.54kg	12 hónap	5700 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Home Premium 64Bit	Intel® HM77	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	http://www.youtube.com/watch?feature=player_embedded&v=XHc0JIhDAJA	HD Audio, Realtek ALC3202 codec, Dolby® Advanced Audio™ v2	Van	Van	Nincs	Nincs	HD720p kamera	4in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 2db USB 3.0	Nincs	287 x 212 x 21.7mm	
FUJITSU Lifebook A531 MRSB5HU	129842 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-2410M Processzor (3M Cache, 2.30 GHz)	4GB DDR3/1066 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.4kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	RealTek ALC260	Van	Van	Nincs	Nincs	HD type (30fps@720p)	4in1 Card reader	Van	Nincs	Nincs	3db USB 2.0	Nincs	378 x 252 x 35,7-38.4 mm	
LENOVO ThinkPad Edge E130 NZU37HV	121968 Ft	11.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-2367M Processor (3M Cache, 1.40 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 3000	1.54kg	12 hónap	5700 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	FreeDos	Intel® HM77	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	http://www.youtube.com/watch?feature=player_embedded&v=XHc0JIhDAJA	HD Audio, Realtek ALC3202 codec, Dolby® Advanced Audio™ v2	Van	Van	Nincs	Nincs	HD720p kamera	4in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 2db USB 3.0	Nincs	287 x 212 x 21.7mm	
DELL Inspiron N5520 146047 Fire Red	121968 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-3110M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 4000	2.74kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® 7 Series Express chipkészlet (HM77)	10/100mbps LAN	Intel® Centrino® Wireless-N 2230	Bluetooth 4.0	Nincs	Nem	Sztereó hangszóró Waves MaxxAudio® 3 feldolgozási technológiával	Van	Van	Nincs	Nincs	Natív HD 1,0 megapixel felbontású webkamera digitális mikrofonnal	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Cserélhető fedlap	347 x 240 x 30,03 / 34,1	
DELL Inspiron N5520 146046 Moon Silver	121968 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-3110M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 4000	2.74kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® 7 Series Express chipkészlet (HM77)	10/100mbps LAN	Intel® Centrino® Wireless-N 2230	Bluetooth 4.0	Nincs	Nem	Sztereó hangszóró Waves MaxxAudio® 3 feldolgozási technológiával	Van	Van	Nincs	Nincs	Natív HD 1,0 megapixel felbontású webkamera digitális mikrofonnal	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Cserélhető fedlap	347 x 240 x 30,03 / 34,1	
DELL Inspiron N5520 146049 Ivy White	121968 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-3110M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 4000	2.74kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® 7 Series Express chipkészlet (HM77)	10/100mbps LAN	Intel® Centrino® Wireless-N 2230	Bluetooth 4.0	Nincs	Nem	Sztereó hangszóró Waves MaxxAudio® 3 feldolgozási technológiával	Van	Van	Nincs	Nincs	Natív HD 1,0 megapixel felbontású webkamera digitális mikrofonnal	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Cserélhető fedlap	347 x 240 x 30,03 / 34,1	
FUJITSU Lifebook A531 MRSF5HU	131417 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-2430M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1066 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.4kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Nem	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	RealTek ALC260	Van	Van	Nincs	Nincs	HD type (30fps@720p)	4in1 Card reader	Van	Nincs	Nincs	3db USB 2.0	Nincs	378 x 252 x 35,7-38.4 mm	
