TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	LAN	WLAN	BT	HSDPA	TV ki	Audio	VGA ki	HDMI	DP	FP	Kamera	CR	ExpressCard	FW	eSata	USB	Egyéb	Méret
LENOVO IdeaPad B570 59-325615	78661 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Celeron® Processor B800 (2M Cache, 1.50 GHz)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.8kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM55 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	0.3MPixel webkamera	6in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nincs	378 x 252 x 33.1mm	
Packard Bell EasyNote F5211-BZ-452HG	74724 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® E1-1200 Dual-Core (1.4Ghz, 1MB L2)	4GB DDR3/1333 MHz	320GB 5400RPM SATA	AMD Radeon™ HD 6320M	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	AMD® A68M chipset	Gigabit LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	381 x 253 x 25,2 - 33,2 mm	
Packard Bell EasyNote F5211-HC-231HG	78661 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Pentium® Processor B970 (2M Cache, 2.30 GHz)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	381 x 253 x 25,2-33,2 mm	
ASUS X55U-SX003D	74724 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® E-450 Dual-Core (1.65Ghz, 1MB L2)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	AMD Radeon™ HD 6320M	2.45kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW SM	FreeDos	AMD A68M	Gigabit LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	Webkamera 0,3MPixel - 640x480 felbontás	2in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 1db USB 3.0	Nem	378 x 253 x 26,2-31,9 mm	
HP 635 A1E50EA	78732 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	AMD® E-450 Dual-Core (1.65Ghz, 1MB L2)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	ATi Mobility Radeon® HD4250	2.4kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	AMD RS880M	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	0.3MPixel HD	2in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Ajándék Táska	376 x 247 x 31.8 mm	
Packard Bell EasyNote F5211-BZ-451HG	80236 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® E-450 Dual-Core (1.65Ghz, 1MB L2)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	AMD Radeon™ HD 6320M	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	AMD® A68M chipset	Gigabit LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	381 x 253 x 25,2 - 33,2 mm	
TOSHIBA Satellite C850-13Z	77086 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Celeron® Processor B820 (2M Cache, 1.70 GHz)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.3 Kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Nem	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	beépített 1 megapixeles HD webkamera (1280 x 800) beépített mikrofonnal	5in1 Card reader	Nincs	Nincs	Nincs	2db USB 2.0 - 1db USB 3.0	Nem	380,0 x 242,0 x 33,52 mm	
TOSHIBA Satellite C660D-1H2	77874 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® E-300 Dual-Core (1.3Ghz, 1MB L2)	4GB DDR3/1066 MHz	320GB 5400RPM SATA	AMD Radeon™ HD6310	2.54 Kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Nem	AMD® A50M	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	SRS Premium Surround Sound	Van	Nincs	Nincs	Nincs	beépített VGA-felbontású webkamera beépített mikrofonnal	SD/MMC Slot	Nincs	Nincs	Nincs	2db USB 2.0	Nem	380,5 x 254 x28-35,6 mm	
LENOVO IdeaPad G570 59-333895	78661 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Celeron® Processor B800 (2M Cache, 1.50 GHz)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	0.3MPixel webkamera	5in1 Card reader	Nincs	Nincs	Nincs	4db USB 2.0	Nincs	376.8 x 249.8 x 17.3-34.9mm	
LENOVO IdeaPad G585A 59-341994	82598 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® E1-1200 Dual-Core (1.4Ghz, 1MB L2)	6GB DDR3/1066 MHz	750GB 5400RPM SATA	AMD Radeon™ HD 7310M	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	AMD A68M	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	HD Audio	Van	Nincs	Nincs	Nincs	0,3MPixel - 640x480 felbontással	2in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 2db USB 3.0	Nincs	376.8 x 249.8 x 17.3/34.9mm	
