TermékNév	Ár	TFT Méret	TFT Felb.	TFT Típus	TFT Jell.	CPU Gyártó	CPU Család	CPU Típus	CPU +	RAM Méret	RAM Frek.	RAM Jell.	HDD Méret	HDD Típus	HDD Jell.	GPU Gyártó	GPU Típus	GPU Jelleg	GPU Jell.	Súly	Gar.	Gar. Típus	Akku	ODD	Chipset	Kategória	Típus	Állapot	Szín	Akció	Nyelv	Bill.	Touchpad	Audio	Portok	Portok +	ExpressCard	Tartozék	LAN	LAN +	OS	Egyéb	Méret	OS Jell.	Operációs rendszer Választható nyelv	Videókártya Jellemzők	Operációs rendszer Verzió	Optikai meghajtó Jellemzők	Fizikai paraméterek Ajándék kiegészítők	Fizikai paraméterek Egyéb leírás	Videókártya Dedikált memória
Asus X54HY-SO155D	108732 Ft	15,6 "	1366x768 WXGA HD	LED	16:9	Intel	Pentium Dual Core	B950 2,1 GHz	2MB cache	3 GB	DDR3 1333 MHz	max. 4GB	500 GB	HDD	5400RPM, SATA	AMD/ATI	Mobility Radeon HD6470M 512MB DDR3	Dedikált, saját memóriával		2,6 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	6 cellás 5200mAh	DVD író	Mobile Intel® HM65 Express	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar			1x Microphone-in jack, 1x Headphone-out jack	Bluetooth, Webkamera, Memóriakártya olvasó, USB 3.0, VGA, HDMI	Bluetooth 2.1 + EDR, HDMI, VGA, 1x USB 2.0, 1x USB 3.0	4 az 1ben Kártyaolvasó	Webkamera 0,3MPixel - 640x480 felbontással	WLAN	WIFI: 802.11b, g, n10/100/1000 LAN	Külön vásárolható	FreeDOS	378 x 253 x 35,6-37,2 mm	Támogatás: Windows 7				DVD SuperMulti DL			512 MB	
Lenovo ThinkPad Edge E330	151173 Ft	13,3 "	1366x768 WXGA HD	Matt, LED	200 nit, 400:1	Intel	Core i3	2370M 2.40GHz	3M Cache	4 GB	DDR3 1333 MHz	1x4GB, max. 8GB	500 GB	HDD	7200rpm SATA Gen-2 3Gbps Active Protection System™	Intel	HD Graphics 3000	Alaplapi integrált		1.8 kg	1 év (1 év az akkura és töltőre)	Szerviz, Világ	6 cellás 62WH Li-Ion max. 8 óra	Nincs	Mobile Intel HM77 Express Chipset	Üzleti, Ultrahordozható	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar	"Island Style" cseppálló, ThinkLight megvilágítás	UltraNav: multi-touch touch pad és TrackPoint	Dolby® Advanced Audio™ v2Realtek ALC269 codec 2* 2W Sztereo hangszórók, mikrofonCombo mic/headphone Jack	HDMI, Webkamera, Memóriakártya olvasó, Bluetooth, USB 3.0, VGA	Bluetooth 4.0, USB 3.0 (x3), powered USB 2.0, HDMI 1.4 Type A, VGA	4-in-1 kártya olvasó (MMC, SD, SDHC, SDXC)	720p HD Webkamera	WLAN	Intel 802.11bgn wireless 2x2 Gigabit Ethernet	Windows 7 Home Premium	• Lenovo® Solution Center• Microsoft® Office Starter 2010• Microsoft® Live Essentials• Norton® Antivirus 2012• Adobe® Acrobat Reader• Intervideo® Win DVD	322*228*27.8 mm		Magyar		64 bit				1024 MB	
Dell Vostro 2520	149527 Ft	15,6 "	1366x768 WXGA HD	Matt, LED	Anti Glare (720p)	Intel	Core i5	3210M 2.5 GHz	3M Cache	4 GB	DDR3 1600 MHz	(1x4GB)	500 GB	HDD	Serial ATA (5400RPM)	Intel	HD Graphics 4000	Alaplapi integrált		Kezdő tömeg: 2,36 kg	3 év (1 év az akkura és töltőre)	Szerviz, Világ	6 cellás, 48 Wh-s lítiumion akkumulátor	DVD író	Intel® Mobile HM75 Express chipkészlet	Üzleti	Notebook / Laptop	Új	Fekete hátlap	Igen	Magyar	Qwertz	Multi - touch Touchpad	2 hangszóró (2 x 2 W)Fejhallgató-csatlakozóMikrofoncsatlakozóAudiocsatlakozó	Webkamera, Memóriakártya olvasó, Bluetooth, VGA, HDMI	Bluetooth V4.0+HS VGAHDMI (3) USB 2.0	3 az 1-ben kártyaolvasó	1,0 megapixeles HD kamera digitális mikrofonnal	WLAN	Dell Wireless 1703 802.11b/g/nGigabit Ethernet hálózat	Windows 7 Home Premium	Ubuntu Linux v11.10	Szélesség: 376 mmMagasság: 31,5–34,5 mmMélység: 260 mm		Magyar		64 bit	8X DVD+/-RW				
HP-Compaq Pavilion G6-1222EH	110157 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	BrightView kijelző	AMD	A4-Series	A4-3300M 1,9 GHz	2 MB L2 gyorsítótár	4 GB	DDR3 1066 MHz	1 x 4 GB, max. 6 GB	640 GB	HDD	SATA (5400 f/p)	AMD/ATI	Radeon HD 6510G2 Dual GPU 1GB DDR3	Dedikált, saját memóriával		2,55 kg kezdősúly	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	6 cellás lítium-ion akkumulátor	DVD író	AMD RS880M	Játék/3D grafika	Notebook / Laptop	Új	Faszén szürke	Igen	Magyar	Teljes méretű, szigetszerű billentyűzet home roll billentyűkkel	TouchPad be-/kikapcsoló gombbal, többujjas mozdulatok támogatásával	Altec Lansing hangszórók1 fejhallgató-kimenet1 mikrofonbemenet	Webkamera, Memóriakártya olvasó, Bluetooth, VGA, HDMI	Bluetooth1 VGA1 HDMI3 USB 2.0	médiakártya-olvasó Secure Digital és Multimedia kártyákhoz	Webkamera beépített digitális mikrofonnal (VGA)		WLAN 802.11 b/g/n10/100 BASE-T Ethernet LAN	Windows 7 Home Premium		37,4 x 24,5 x 3,63 cm	Symantec Norton Internet Security (60 napos live update)Helyreállítási partíció (lehetővé teszi a rendszeraz alkalmazások és a meghajtók külön helyreállítását)A helyreállítási partíció opcionális újbóli lefoglalásaHelyreállító CD-/DVD-készítő eszközNoteszgép súgó és támogatásHP Setup Manager; HP Support Assistant; HP Recovery Manager; Cyberlink YouCam; Windows Live Essentials; HP játékok a WildTangent jóvoltából; Adobe Reader; Adobe Flash Player; EasyBits Magic DesktopMicrosoft® Office Starter: csak csökkentett szolgáltatáskészletű Word és Excel® alkalmazást tartalmaz, hirdetésekkel. A PowerPoint® és az Outlook® nem része a csomagnak. A teljes szolgáltatáskészletű szoftver használatához vásárolja meg az Office 2010 programcsomagot.	Magyar	legfeljebb 2,98 GB összesen	64 bit	SuperMulti DVD±R/RW kétrétegű támogatással			1024 MB	
Acer Aspire V5-431-967B4G50Mabb	110157 Ft	14,1 "	1366x768 WXGA HD	Fényes, LED	Super-slim (200-nit) Acer CineCrystal™	Intel	Pentium Dual Core	B967 ULV 1,3GHz	2 MB L3 cache, DDR3 1333 MHz, 17 W	4 GB	DDR3 1066 MHz	1 x 4 GB, max. 8GB	500 GB	HDD	5400 RPM, SATA	Intel	HD Graphics 4000	Alaplapi integrált		2,1 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	37 Wh 2500 mAh 4-cellás Li-ionmax. 4 óra	DVD író	Mobile Intel® HM70 Express Chipset	Általános otthoni/irodai	Notebook / Laptop	Új	Kék hátlap	Igen	Magyar	86-/87-/91-gombos Acer FineTip	Multi-gesture Touchpad	Dolby® Advanced Audio® v2sztereo hangszórók, mikrofonHeadphone/speaker jackMicrophone-in jack	Webkamera, HDMI, VGA, USB 3.0, Bluetooth, Memóriakártya olvasó	Bluetooth 4.0+HS, 2 x USB 2.0 és 1 x USB 3.0, 1 x VGA/LAN Combo, 1 x HDMI	Kártyaolvasó: SD™ Card, MultiMediaCard™ (MMC)	Acer Crystal Eye 720p HD Webkamera 1280 x 1024	WLAN	Acer InviLink™ Nplify™ 802.1 a/b/g/n Wi-Fi LAN: Gigabit Ethernet	Windows 7 Home Premium	• Acer Backup Manager• Acer ePower Management• Acer eRecovery Management• Microsoft® Office Starter 2010• Norton™ Online Backup• McAfee® Internet Security Suite próbaverzió• MyWinLocker®• Acer clear.fi• NTI Media Maker™• Cyberlink® MediaEspresso• Acer Identity Card• Acer Registration• Acer Updater	342 (W) x 245 (D) x 20/23 (H) mm	Service Pack 1	Magyar	Microsoft® DirectX® 11, OpenGL® 3.1, OpenCL™ v1.1	64 bit	8X DVD-Super Multi double-layer				
Dell Inspiron Mini Duo 1090 + dokkoló (JBL duo Audio Station)	112039 Ft	10,1 "	1366x768 WXGA HD	Fényes, Érintőképernyő, LED	Multi-touch	Intel	Atom	Dual Core N570 1.66GHz	2x512 L2 Cache / FSB 667MHz	2 GB	DDR3 1333 MHz	(1*2GB)	320 GB	HDD	2.5" Serial ATA (7200RPM)		Broadcom Crystal HD Media Accelerator	Alaplapi integrált		1.54Kg	2 év (1 év az akkura és töltőre)	Szerviz, Világ	29Whr 4 cellás LI-ION	Nincs	Intel® NM10 Express Chipset	Ultrahordozható	Netbook	Új	Foggy Night Black - FEKETE	Nem	Magyar			2*1W hangszórókAudio jack (1-line out, 1 mic-in)	Webkamera, Dokkolócsatlakozó, Bluetooth	2x USB2.0	dokkolható	1.3 Mega Pixel Webkamera	WLAN	Dell 1501 WLAN 802.11n	Windows 7 Home Premium	Office Starter + Stage + Sync Up + Skype	285.0mm * 26.2mm/28.7mm(hátul) * 194.5mm	SP1Windows 8 Professional igényelhető windowsupgradeoffer.com oldalon	Magyar		32 bit			Video megtekintése ->		
Lenovo ThinkPad Edge E535	116212 Ft	15,6 "	1366x768 WXGA HD	Matt, LED	anti-glare, 220 nit, 16:9, 500:1 kontrasztarány	AMD	A4-Series	A4-4300M 2,5GHz	max. 3.00GHz, 1MB L2 cache, 35Watt, 32nm	4 GB	DDR3 1333 MHz	1x4GB, 16GB max.	500 GB	HDD	5400rpm, SATA 3.0Gb/s, 2.5"Active Protection System™	AMD/ATI	Radeon HD 7420G	Alaplapi integrált		2.45kg	1 év (1 év az akkura és töltőre)	Szerviz, Világ	6 cellás (48Whr): max. 6.0h	DVD író	AMD A70M FCH	Üzleti	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar	6-soros, cseppálló, multimedia Fn gombok, numerikus pad	TrackPoint és UltraNav™ touchpad (multi-touch)	High Definition (HD) Audio, Conexant 20671 codec / sztereo hangszórók (2 watt x 2)Sztereo digitális mikrofon, combo audio/mic jack csatlakozó	HDMI, Numerikus billentyűzet, Webkamera, Memóriakártya olvasó, Bluetooth, USB 3.0, VGA, Ujjlenyomat olvasó	Bluetooth 4.0, 3*USB 3.0, 1*USB 2.0 (powered), VGA DB-15, HDMI	4-in-1 kártyaolvasó (MMC, SD, SDHC, SDXC)	HD720p webkamera AuthenTec ujjlenyomat-olvasó	WLAN	ThinkPad 11b/g/n WiFiGigabit LAN	Külön vásárolható	DOS	377 x 245mm x 29.5-35.3mm					DVD író (tray-in, 12.7mm)				
Lenovo ThinkPad Edge E335	112118 Ft	13,3 "	1366x768 WXGA HD	Matt, LED	Anti-Glare, 200 nit, 500:1	AMD	E-Series	E2-1800 1.70GHz	1MB L2, 18W, DDR3 1333MHz	4 GB	DDR3 1333 MHz	1x4GB, max. 8GB	500 GB	HDD	7200rpm SATA Gen-2 3GbpsActive Protection System™	AMD/ATI	Radeon HD 7340	Alaplapi integrált		1.76kg	1 év (1 év az akkura és töltőre)	Szerviz, Világ	6 cellás Li-Ion 62.4 Whmax. 7 óra	Nincs	AMD A68M FCH	Üzleti	Notebook / Laptop		Fekete hátlap	Nem	Magyar	"Island Style" cseppálló, ThinkLight megvilágítás	UltraNav: multi-touch touch pad és TrackPoint	Dolby® Advanced Audio™ v2Realtek ALC269 codec 2* 2W Sztereo hangszórók, mikrofonCombo mic/headphone Jack	Webkamera, HDMI, VGA, USB 3.0, Bluetooth, Memóriakártya olvasó	Bluetooth 4.0, USB 3.0 (x3), powered USB 2.0, HDMI, VGA	4-in-1 kártyaolvasó (MMC, SD, SDHC, SDXC)	720p HD kamera	WLAN	ThinkPad b/g/n WiFiGigabit Ethernet	Külön vásárolható	DOS	322*228*27.8 mm									
Asus X54HY-SO065D	112905 Ft	15,6 "	1366x768 WXGA HD	LED	16:9	Intel	Pentium Dual Core	B950 2,1GHz	2MB Cache	4 GB	DDR3 1333 MHz	1 x 4GB, max. 4GB	500 GB	HDD	SATA 5400rpm	AMD/ATI	ATI Radeon HD6470 1GB	Dedikált, saját memóriával		2,6 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	4 cellás 2600mAh	DVD író	Mobile Intel® HM65 Express	Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar				Memóriakártya olvasó, HDMI, VGA, USB 3.0, Bluetooth, Webkamera	Bluetooth 2.1 + EDR, HDMI, VGA, 1x USB 2.0, 1x USB 3.0	4 az 1ben Kártyaolvasó	Webkamera 0,3MPixel - 640x480 felbontással	WLAN	WIFI: 802.11b, g, n10/100/1000 LAN	Külön vásárolható	FreeDOS	378 x 253 x 35,6-37,2 mm	Támogatás: Windows 7				DVD SuperMulti DL			1024 MB	
Asus X55VD-SX029D	113299 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes		Intel	Core i3	2350M - 2,30GHz	3MB cache	4 GB	DDR3 1333 MHz	2 slot / max. 8GB	500 GB	HDD	2.5" SATA 5400rpm	nVidia	GeForce® 610M / 1GB	Dedikált, saját memóriával		2,53 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	6 cella 4400mAh 47Wh	DVD író	Intel® Chief River HM76	Játék/3D grafika	Notebook / Laptop		Szürke hátlap	Nem	Magyar			Altec Lansing® 2.0 hangszórók1 x Microphone-in jack1 x Headphone-out jack	USB 3.0, Webkamera, Memóriakártya olvasó, Bluetooth, VGA, HDMI	Bluetooth™ V4.01 x VGA port/Mini D-sub 15-pin1 x USB 3.0 port1 x USB 2.0 port 1 x HDMI	2 az 1ben Kártyaolvasó (SD/ MMC)	0,3Mpixel Webkamera	WLAN	Gigabit LAN / 802.11bgn WiFi	Külön vásárolható	FreeDOS	37.8 x 25.3 x 2.62 ~3.58 cm (WxDxH)					Super-Multi DVD DL			1024 MB	
Acer Aspire V5-431-967B4G50Mabb 3 év garanciával!	114094 Ft	14,1 "	1366x768 WXGA HD	Fényes, LED	Super-slim (200-nit) Acer CineCrystal™	Intel	Pentium Dual Core	B967 ULV 1,3GHz	2 MB L3 cache, DDR3 1333 MHz, 17 W	4 GB	DDR3 1066 MHz	1 x 4 GB, max. 8GB	500 GB	HDD	5400 RPM, SATA	Intel	HD Graphics 4000	Alaplapi integrált		2,1 kg	3 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	37 Wh 2500 mAh 4-cellás Li-ionmax. 4 óra	DVD író	Mobile Intel® HM70 Express Chipset	Általános otthoni/irodai	Notebook / Laptop	Új	Kék hátlap	Igen	Magyar	86-/87-/91-gombos Acer FineTip	Multi-gesture Touchpad	Dolby® Advanced Audio® v2sztereo hangszórók, mikrofonHeadphone/speaker jackMicrophone-in jack	Bluetooth, HDMI, VGA, USB 3.0, Webkamera, Memóriakártya olvasó	Bluetooth 4.0+HS, 2 x USB 2.0 és 1 x USB 3.0, 1 x VGA/LAN Combo, 1 x HDMI	Kártyaolvasó: SD™ Card, MultiMediaCard™ (MMC)	Acer Crystal Eye 720p HD Webkamera 1280 x 1024	WLAN	Acer InviLink™ Nplify™ 802.1 a/b/g/n Wi-Fi LAN: Gigabit Ethernet	Windows 7 Home Premium	• Acer Backup Manager• Acer ePower Management• Acer eRecovery Management• Microsoft® Office Starter 2010• Norton™ Online Backup• McAfee® Internet Security Suite próbaverzió• MyWinLocker®• Acer clear.fi• NTI Media Maker™• Cyberlink® MediaEspresso• Acer Identity Card• Acer Registration• Acer Updater	342 (W) x 245 (D) x 20/23 (H) mm	Service Pack 1	Magyar	Microsoft® DirectX® 11, OpenGL® 3.1, OpenCL™ v1.1	64 bit	8X DVD-Super Multi double-layer				
Lenovo ThinkPad Edge E320	114094 Ft	13,3 "	1366x768 WXGA HD	Matt, LED		Intel	Core i3	2350M 2.30GHz	3MB Cache	4 GB	DDR3 1333 MHz	1x4GB, max. 8GB	320 GB	HDD	Active Protection System™	Intel	HD Graphics 3000	Alaplapi integrált		1,74 kg	1 év (1 év az akkura és töltőre)	Szerviz, Világ	6 cellás Lithium Ion 62.4 WHrmax. 9 óra	Nincs		Üzleti	Notebook / Laptop	Új	Vörös / Piros hátlap	Nem	Magyar	6 soros, ISO teljes méretű, cseppálló	UltraNav™ (TrackPoint és MultiGesture ClickPad)	HD audio, sztereo hangszórók, mikrofon1 x Mic (microphone)/speaker combo jack	eSATA, Memóriakártya olvasó, Bluetooth, VGA, HDMI	Bluetooth 3.0, 1 x VGA, 1 x HDMI 1.4, 3 x USB 2.0 (1 eSATA/USB Combo)	4-in-1 kártyaolvasó: SD, MMC, MS, MS Pro		WLAN	WiFi: Intel® Centrino Wireless-N 1000Gigabit Ethernet	Külön vásárolható		322 x 228 x 26.7~30.9mm									
Lenovo Thinkpad Edge E430	158574 Ft	14,1 "	1366x768 WXGA HD	Matt, LED	AntiGlare, 200 nit, 16:9, 500:1	Intel	Core i3	2350M 2.30GHz	dual-core, 3MB Cache	4 GB	DDR3 1600 MHz	max. 8GB, PC3-12800 1600MHz DDR3, dual-channel képesség	500 GB	HDD	5400rpm SATA 3.0Gb/s, 2.5"Active Protection System™	Intel	HD Graphics 3000	Alaplapi integrált		2.15kg	1 év (1 év az akkura és töltőre)	Szerviz	6 Cellás 62Wh Lithium Ionmax. 6,4 óra	DVD író	Mobile Intel HM77 Express Chipset	Üzleti	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar	6-soros, cseppálló, multimedia Fn gombok	UltraNav: touchpad (multi-touch) + TrackPoint, Internet Scroll Bar	High Definition (HD) Audio, Conexant 20671 codec / sztereo hangszórók: 2 watt x 2/Sztereo digitalis mikrofon, combo audio/mic jack	Ujjlenyomat olvasó, Memóriakártya olvasó, Bluetooth, USB 3.0, VGA, HDMI	Bluetooth 4.0, 3x USB 3.0, 1x USB 2.0, VGA DB-15, HDMI	4-in-1 kártyaolvasó (MMC, SD, SDHC, SDXC)	UPEK Ujjlenyomat olvasó	WLAN	WiFi: Intel 2x2 BGNRealtek® RTL8111F Gigabit LAN	Windows 7 Professional	• One Key Recovery Pro• Access Connections™• TrueSuite Fingerprint Software• ThinkVantage System Update• ThinkVantage Power Manager• ThinkVantage Tools• Simple Tap• Norton™ Internet Security 2012 (30 nap)• Corel® WinDVD® (DVD±RW)• Corel Burn.Now™ Lenovo Edition (DVD±RW)• Corel DVD MovieFactory® Lenovo Edition (DVD±RW)	339.4 x 234mm x 28.5-33.9mm		Magyar		64 bit	DVD CD Multi Burner (12.7mm)				
Acer Aspire E1-571G-33114G75MNKS	114480 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	(200-nit) Acer CineCrystal™	Intel	Core i3	3110M 2.4GHz	3 MB L3 cache, DDR3 1600 MHz, 35 W	4 GB	DDR3 1333 MHz	1 x 4GB, max. 8 GB	750 GB	HDD	5400rpm	nVidia	GeForce G610M 1GB	Dedikált, saját memóriával		2.45 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	48Wh 4400 mAh 6-cellás Li-ion max. 4,5 óra	DVD író	Mobile Intel® HM77 Express Chipset	Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar	105-/106-/109-gombos Acer FineTouch™	Multi-gesture touchpad	High-definition audio, sztereo hangszórók, mikrofonHeadphone/speaker jack, Microphone-in jack, 3.5 mm	Webkamera, Numerikus billentyűzet, Memóriakártya olvasó, VGA, HDMI	3*USB 2.0, HDMI® (HDCP), VGA	5in1 kártyaolvasó: Secure Digital™ (SD) Card, MultiMediaCard™ (MMC), Memory Stick PRO™ (MS PRO), xD-Picture Card™ (xD)	Acer Crystal Eye 720p HD Webkamera, 1280 x 720	WLAN	Acer Nplify 802.11b/g/n Wi-Fi Gigabit Ethernet	Külön vásárolható	Linux	381.6 (W) x 253 (D) x 25.4/33.2 (H) mm					DVD-Super Multi DL			1024 MB	
Toshiba Satellite L850D-114	115189 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes	Nagy fényerejű Toshiba TruBrite®	AMD	A6-Series	A6-4400M 3,0/2,6 GHz	Másodszintű gyorsítótár : 1 MB	4 GB	DDR3 1600 MHz	bővíthetőség felső határa : 16,384 MB	500 GB	HDD	5,400 fordulat/perc	AMD/ATI	Radeon™ HD 7520G + 7610M 1GB	Dedikált, saját memóriával		min. 2,3 kg	2 év (1 év az akkura és töltőre)	Világ, Szerviz	lítiumionos maximális üzemidő : akár 6 óra (Mobile Mark™ 2007)	DVD író		Játék/3D grafika	Notebook / Laptop	Új	Átlós mintázatú, matt és fényes óezüst felület, fekete billentyűzet	Nem	Magyar	billentyűk : 102 Windows billentyűk : Igen speciális szolgáltatások : Matt fekete billentyűzet tízjegyű számbillentyűzettel	Különböző görgetési, nagyítási és indítási funkciók közvetlen használatát támogató, többérintéses vezérlésre alkalmas érintőtábla	támogatott hangformátum : 24 bites sztereó hangszórók : beépített sztereó hangszórók (dobozzal) gyártó : Realtek (ALC269Q-VB6-GR)1 × külső mikrofon 1 × sztereó fejhallgató	VGA, USB 3.0, HDMI, Numerikus billentyűzet, Bluetooth, Memóriakártya olvasó, Webkamera	Bluetooth® 4.01 × külső monitor 1 × USB 2.0 Sleep-and-Charge technológiával 2 × USB 3.01 × HDMI-kimenet, 1080p jelformátum támogatása	1 × Univerzális kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™, 64 GB-os SDXC™ és 2 GB-os MultiMedia Card™ kártyákhoz)	1 megapixeles HD webkamera (1280 x 800) beépített mikrofonnal	WLAN	Wi-Fi® Hálózati támogatás : 802.11b/g/nFast Ethernet hálózati csatoló	Külön vásárolható		Sz x H x M : 380,0 x 242,0 x 33,52 mm			dupla grafikus egységgel memória mennyisége : 1024 MB elkülönített videomemória. A rendelkezésre álló grafikus memória a rendszermemória használatával bővíthető a HyperMemory™ technológia segítségével: akár 3 059 MB-ra 4 GB telepített rendszermemória mellett, illetve akár 5 107 MB-ra 8 GB rendszermemória mellett (64 bites Windows® 7 operációs rendszer esetén). memória típusa : DDR3 videomemória (illetve videomemória és rendszermemória kombinálva) csatlakoztatott busz : PCI Express®		Univerzális kétrétegű DVD-meghajtó			1024 MB	
Lenovo ThinkPad Edge E530	234007 Ft	15,6 "	1600x900 WXGA HD+	Matt, LED	anti-glare, 220 nit, 16:9, 500:1	Intel	Core i7	3612QM 2.10GHz	6MB Cache	4 GB	DDR3 1600 MHz	1x4GB, dual channel képesség, max. 8GB	500 GB	HDD	7200rpm, SATA 3.0Gb/s, 2.5"	nVidia	GeForce GT 630M 2GB	Dedikált, saját memóriával		2.45kg	1 év (1 év az akkura és töltőre)	Világ, Szerviz	6 Cellás Lithium Ion 62Whmax. 5,7 óra	DVD író	Mobile Intel HM77 Express Chipset	Játék/3D grafika, Üzleti	Notebook / Laptop	Új	Szürke hátlap	Nem	Magyar	6-soros, cseppálló, multimedia Fn gombok	UltraNav: multi-touch touchpad + TrackPoint, Internet Scroll Bar	High Definition (HD) Audio, Conexant 20671 codec / sztereo hangszórók: 2 watt x 2/Sztereo digitalis mikrofon, combo audio/mic jack	Webkamera, Ujjlenyomat olvasó, Memóriakártya olvasó, Bluetooth, USB 3.0, VGA, HDMI	Bluetooth 4.0, 3x USB 3.0, 1x USB 2.0, VGA DB-15, HDMI	4-in-1 kártyaolvasó (MMC, SD, SDHC, SDXC)	Webkamera HD720pUjjlenyomat olvasó	WLAN	WiFi: Intel 2x2 BGNRealtek® RTL8111F Gigabit LAN	Windows 7 Professional	• Access Connections™• TrueSuite Fingerprint Software• ThinkVantage System Update• ThinkVantage Power Manager• ThinkVantage Tools• Simple Tap• Norton™ Internet Security 2012 (30 nap)• Corel® WinDVD® (DVD±RW)• Corel Burn.Now™ Lenovo Edition(DVD±RW)• Corel DVD MovieFactory® LenovoEdition (DVD±RW)	377 x 245mm x 29.5-35.3mm	HUN/ENG C&L	Magyar, Angol	Optimus	64 bit	DVD CD Multi Burner (12.7mm)Active Protection System™		Video megtekintése ->	2048 MB	
Lenovo Ideapad G585AL	115897 Ft	15,6 "	1366x768 WXGA HD	Fényes		AMD	E-Series	E2-1800 1,7GHz	Dual Core	4 GB	DDR3 1333 MHz	2 slot / max. 8GB	500 GB	HDD	SATA 5400rpm	AMD/ATI	Radeon™ 7370M 1GB	Dedikált, saját memóriával		2,5 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos	6 cellás	DVD író	AMD® A68M chipset	Játék/3D grafika	Notebook / Laptop	Új	Barna hátlap	Nem	Magyar	"AccuType"		Dolby® Advanced Audio™Sztereo hangszórók (2x1.5W)headphones mic combo csatlakozó	Numerikus billentyűzet, HDMI, VGA, USB 3.0, Memóriakártya olvasó, Webkamera	VGA, HDMI, 2*USB 2.0, 2*USB 3.0	2 az 1ben Kártyaolvasó (SD, MMC)	0,3Mpixel 720p HD Webkamera		10/100 LAN / 1x1 802.11bgn WiFi	Windows 8	McAfee Emerald 11.0Power2GO 5.6Windows Live essential 2011Lenovo EE Boot, YouCam 3.1, VeriFace 4.0, Google For Notebook (Google chrome és tool bar) v19	375 x 245 x 34,3 mm		Magyar			DVD-RW supermulti			1024 MB	
HP-Compaq Pavilion dm1-4200SH	116370 Ft	11,6 "	1366x768 WXGA HD	LED, Fényes	BrightView	AMD	E-Series	E1-1200 1.4GHz	1 MB L2 gyorsítótár	4 GB		(2 x 2 GB) max. 8GB	640 GB	HDD	SATA (5400 f/p)	AMD/ATI	Radeon HD 7310	Alaplapi integrált		2,8 kg	1 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	6 cellás lítiumion		AMD A68M FCH	Multimédiás, Ultrahordozható	Notebook / Laptop	Új	Kőrisfekete, spirálmintás puha érintésű bevonat	Nem	Magyar	97% Duracoat, különálló gombokkal	Érintőtábla be- és kikapcsológombbal és többujjas érintőmozdulatokkal	Beats Audio hangrendszer 2 hangszóróval és lejátszóval1 sztereó fejhallgató-kimenet1 mikrofonbemenet	Webkamera, HDMI, VGA, Bluetooth, Memóriakártya olvasó	Bluetooth1 VGA1 HDMI3 USB 2.0	Többformátumú digitális adathordozókártya-olvasó	HP TrueVision HD webkamera beépített digitális mikrofonnal (rossz fényviszonyok javítása)	WLAN	802.11b/g/n WLAN10/100/1000 Gigabit Ethernet LAN	Windows 7 Home Premium	HP Setup ManagerHP Recovery Manager (helyreállítási partíció, helyreállító CD/DVD-készítő eszköz)Microsoft Office Starter: csak csökkentett szolgáltatáskészletű Word és Excel alkalmazást tartalmazhirdetésekkel. A PowerPoint és az Outlook nem része a csomagnak. A teljes szolgáltatáskészletű szoftver használatához vásárolja meg az Office 2010 programcsomagotSymantec Norton Internet Security (60 napos live update)Beats AudioHP CoolSenseHP ProtectSmartHP játékok a WildTangent jóvoltábólEasyBits Magic DesktopEvernote	29,2 x 21,5 x 3,2 cm		Magyar		64 bit					
