TermékNév	Ár	TFT Méret	TFT Felb.	TFT Típus	TFT Jell.	CPU Gyártó	CPU Család	CPU Típus	CPU +	RAM Méret	RAM Frek.	RAM Jell.	HDD Méret	HDD Típus	HDD Jell.	GPU Gyártó	GPU Típus	GPU Jelleg	GPU Jell.	Súly	Gar.	Gar. Típus	Akku	ODD	Chipset	Kategória	Típus	Állapot	Szín	Akció	Nyelv	Bill.	Touchpad	Audio	Portok	Portok +	ExpressCard	Tartozék	LAN	LAN +	OS	Egyéb	Méret	OS Jell.	Operációs rendszer Választható nyelv	Videókártya Jellemzők	Operációs rendszer Verzió	Optikai meghajtó Jellemzők	Fizikai paraméterek Ajándék kiegészítők	Fizikai paraméterek Egyéb leírás	Videókártya Dedikált memória
Acer Aspire One 725-C6Cbb	62913 Ft	11,6 "	1366x768 WXGA HD	LED, Fényes	(200-nit) Acer CineCrystal™	AMD	C-Series	C-60B 1,33/1GHz	1M cache, FSB 1066MHz, 9W	4 GB	DDR3 1066 MHz	1x4GB, amx. 4 GB	500 GB	HDD		AMD/ATI	Radeon™ HD 6250	Alaplapi integrált		1.20 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	37 Wh 2500 mAh 4-cellás Li-ion max. 5.7 h		AMD A68M Fusion™ Controller Hub	2 kg alatt	Netbook	Új	Kék hátlap	Igen	Magyar	84-/85-/88-gombos Acer FineTip	Multi-gesture touchpad	High-definition audio sztereo hangszórók, digitális mikrofonHeadphone/speaker jackMicrophone-in jack	Webkamera, Memóriakártya olvasó, USB 3.0, VGA, HDMI	USB 3.0 port2x USB 2.0 portHDMI® VGA	Multi-in-1 kártya olvasó: Secure Digital™ (SD) Card, MultiMediaCard™ (MMC), Memory Stick™ (MS), Memory Stick PRO™ (MS PRO), xD-Picture Card™ (xD)	Acer Crystal Eye Webkamera 1280 x 720, 720p HD	WLAN	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi LAN: Fast Ethernet	Külön vásárolható	Linux	285 (W) x 202 (D) x 23.5 (H) mm			Unified Video Decoder 3 (UVD3), OpenCL™ 1.1, OpenGL® 3.1, OpenEXR High Dynamic-Range (HDR), Shader Model 5.0, Microsoft® DirectX® 11						
Acer Aspire One D270	67000 Ft	10,1 "	1024x600 WSVGA	LED	128:75	Intel	Atom	N2600 1.60GHz	1M cache, DDR3 800MHz, 3.5W, Dual-core	1 GB	DDR3 1066 MHz	1x1GB, max. 2 GB	320 GB	HDD	Serial ATA	Intel	GMA 3600	Alaplapi integrált		1,3kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	6 cellás (max. 8 üzemóra)	Nincs	Intel NM10 Chipset	2 kg alatt	Netbook	Új	Mintás hátlap	Nem	Magyar		TouchPad	beépített hangszóró és mikrofon	Webkamera, HDMI, Bluetooth, Memóriakártya olvasó	Bluetooth 4.0, HDMI / 3xUSB2.0 / VGA	Multi-in-1 kártyaolvasó (MS, xD, MMC, SD, MSpro)	CrystalEye webkamera	WLAN	802.11bgn Wi-FiFast Ethernet	Windows 7 Starter	Microsoft® Office Starter	256,5 x 184 x 24 mm		Magyar							
Acer Aspire 4352-B812G32MNkk	82984 Ft	14,1 "	1366x768 WXGA HD	LED, Fényes	(200-nit) Acer CineCrystal™	Intel	Celeron-M Dual Core	B815 1.60 GHz	2MB Cache, DDR3 1333 MHz, 35 W	2 GB	DDR3 1066 MHz	1x2GB, max. 8 GB	320 GB	HDD	DVD-SuperMulti	Intel	HD Graphics	Alaplapi integrált		2.25 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	48 W 4400 mAh 6-cellás Li-ion max. 4 h	DVD író	Mobile Intel® HM65 Express Chipset	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar	86-/87-/91-gombos Acer FineTip	Multi-gesture touchpad	Dolby® Advanced Audio® v2 High-definition audio stereo hangszórók, mikrofonHeadphone/speaker jack, 3.5 mm Microphone-in jack	Webkamera, VGA, HDMI	3*USB 2.0, HDMI™, VGA	Multi-in-1 kártyaolvasó (SD™, MMC, MS PRO, xD)	1.3MP 720p HD CrystalEye Webkamera	WLAN	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi Gigabit Ethernet	Windows 7 Home Premium	Linux	342 (W) x 245 (D) x 25.5/34.2 (H) mm		Magyar, Angol	Microsoft® DirectX® 10.1	64 bit	8X DVD-Super Multi double-layer				
MSI CR650-429XHU	66850 Ft	15,6 "	1366x768 WXGA HD			AMD	E-Series	E-240 1,5GHz	Single core, 512kB L2 cache, 15W	2 GB		max. 4GB	320 GB	HDD	SATA	AMD/ATI	Radeon HD 6310	Alaplapi integrált		2,3Kg	2 év (1 év az akkura és töltőre)	Szerviz	6 cella 4400mAh	DVD író	AMD® A50M FCH	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar	103 gombos		2 Theater Class hangszóróMic-in/Headphone-out	Numerikus billentyűzet, HDMI, VGA, Memóriakártya olvasó, Webkamera	HDMI, VGA, 3x USB 2.0	Kártyaolvasó: 4 az 1ben SD/SDHC/MMC/MS	Webkamera 1,3MPixel - 1280x800 felbontással	WLAN	WIFI: 802.11b, g, nGigabit Ethernet	Külön vásárolható		383x250x32~37mm	Támogatás: Windows Vista, Windows 7	Magyar			DVD SuperMulti				
Asus X55U-SX007D	69835 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes		AMD	C-Series	C-60 1.00GHz	Dual-Core	2 GB	DDR3 1333 MHz	1slot, max. 4 GB	320 GB	HDD	5400rpm 2.5" SATA	AMD/ATI	Radeon® HD 6290	Alaplapi integrált		2.45 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	6 cellás 4400mAh 47 Whr	DVD író	AMD A68M chipset	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar			Altec Lansing® hangszórók1x Microphone-in jack, 1x Headphone-out jack	Numerikus billentyűzet, VGA, Memóriakártya olvasó, Webkamera, HDMI	3x USB 2.0, 1x VGA Port (D-Sub), 1x HDMI	2-in-1 kártyaolvasó ( SD/ MMC)	0,3MP Webkamera	WLAN	802.11 b/g/n WLAN 10/100/1000 Base T LAN	Külön vásárolható	FreeDOS	37.8 x 25.3 x 2.62 ~3.19 cm (WxDxH)					DVD Super Multi DL				
MSI CR650-454XHU	70000 Ft	15,6 "	1366x768 WXGA HD	LED		AMD	E-Series	E1-1200 1,4Ghz	64 bit, dual-core, 2 x 512 KB cache, 18 Watt	2 GB	DDR3 1066 MHz	max. 4GB	320 GB	HDD	SATA	AMD/ATI	Radeon HD 7310	Alaplapi integrált		2,3Kg	2 év (1 év az akkura és töltőre)	Szerviz	6 cella 4400mAh	DVD író	AMD® A50M FCH	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar	103 gombos		2 Theater Class hangszóróMic-in/Headphone-out	Memóriakártya olvasó, Webkamera, Numerikus billentyűzet, VGA, HDMI	HDMI, VGA, 3x USB 2.0	Kártyaolvasó: 4 az 1ben SD/SDHC/MMC/MS	Webkamera 1,3MPixel - 1280x800 felbontással	WLAN	WIFI: 802.11b, g, nGigabit Ethernet	Külön vásárolható		383x250x32~37mm	Támogatás: Windows Vista, Windows 7	Magyar			DVD SuperMulti				
Packard Bell EasyNote F5211-HC-454HG	70787 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes	16:9 (200-nit) Packard Bell	Intel	Celeron-M Dual Core	B815 1.6GHz	FSB 1333MHz / 2MB L2 Cache	4 GB	DDR3 1333 MHz	1x4GB, max. 8GB	500 GB	HDD	SATA 5400rpm	Intel	HD	Alaplapi integrált		2.5 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos	48Wh 4400mAh 6-cellás Li-ion	DVD író	Intel HM65 Express	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Igen	Magyar	105-/106-/109-gombos Packard BellSpeciális gombok: Packard Bell Social Networks, Media control keys, MyBackup, wireless control, touchpad lock, brightness, volume up/down, mute	Multi-gesture touchpad	High-definition audiosztereo hangszórók, mikrofonHeadphone/speaker jack, Microphone-in jack	Memóriakártya olvasó, HDMI, VGA, Numerikus billentyűzet, Webkamera	3*USB 2.0, HDMI®, VGA	5 az 1ben kártyaolvasó (SD/MMC/MS/MS-Pro/xD)	1.3MP HD CrystalEye Webkamera	WLAN	802.11b/g/n Wi-FiGigabit Ethernet LAN	Külön vásárolható	LINPUS Linux	381.6 (W) x 253 (D) x 25.4/33.2 (H) mm	Támogatás: Windows Vista, Windows 7				8X DVD-Super Multi double-layer				
Acer Aspire V3-531-B824G32Makk_Lin	70787 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	Acer CineCrystal™ (200-nit)	Intel	Celeron-M Dual Core	B820 1.7 Ghz	2MB L3 cache, DDR3 1333 MHz, 35 W, Intel® Smart Cache	4 GB	DDR3 1066 MHz	max. 8 GB	320 GB	HDD		Intel	HD Graphics 4000	Alaplapi integrált		2.6 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	48 Wh 4400 mAh 6-cellás Li-ionmax. 4.5 h	DVD író	Mobile Intel® HM77 Express Chipset	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Igen	Magyar	103-/104-/107-gombos Acer FineTip	Multi-gesture touchpad	Dolby® Home Theater® v4 audiosztereo hangszórók, mikrofonHeadphone/speaker jack, Microphone-in jack	Numerikus billentyűzet, Webkamera, Memóriakártya olvasó, Bluetooth, USB 3.0, VGA, HDMI	Bluetooth® 4.0+HS2x USB 2.0 1x USB 3.01x HDMI™, VGA	Multi-in-1 kártyaolvasó (SD™, MMC, MS PRO, xD)	720p HD webkamera 1280 x 720	WLAN	Acer InviLink™ Nplify™ 802.11b/g/n Wi-FiGigabit Ethernet	Külön vásárolható	Linux	381.6 (W) x 253 (D) x 25.2/33.2 (H) mm			Microsoft® DirectX® 10.1		8X DVD-Super Multi double-layer				
Lenovo Ideapad G575GL	78661 Ft	15,6 "	1366x768 WXGA HD	LED		AMD	E-Series	Dual-Core E450 1.66 GHz	1M Cache	4 GB	DDR3 1333 MHz	max. 8GB	500 GB	HDD	SATA 5400rpm	AMD/ATI	Mobility™ Radeon® HD 6310M	Alaplapi integrált		2.6kg	2 év (1 év az akkura és töltőre)	Szerviz	6 cellás 4400mAhmax. 4-5 óra	DVD író	AMD® A50M FCH	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Igen	Magyar			2.0 hangszórók (2*1.5W)headphones, mic csatlakozó	Numerikus billentyűzet, Memóriakártya olvasó, VGA	VGA , 4x USB 2.0	Kártyaolvasó: 2 az 1ben (SD/MMC)		WLAN	10/100M LAN, 802.11b/g/n Wi-Fi	Külön vásárolható	DOS	376.8mm x249.8mm x17.3~34.9 mm (WxHxD)					DVDRW SuperMulti				
HP-Compaq 635 ajándék táskával!	79992 Ft	15,6 "	1366x768 WXGA HD	LED, Matt	csillogásmentes	AMD	E-Series	Dual-Core E-450 1,66GHz	1 MB L2 gyorsítótár	2 GB	DDR3 1333 MHz	8 GB-ig bővíthető	320 GB	HDD	5400 f/p SATA IIHP 3D DriveGuard	AMD/ATI	Mobility Radeon HD 4250	Alaplapi integrált		2,5 kg-tól kezdődően	2 év (1 év az akkura és töltőre)	Világ, Szerviz	6 cellás (47 Wh) lítiumionLegfeljebb 5 óra	DVD író	AMD RS880M	Általános otthoni/irodai	Notebook / Laptop	Új	Ezüst hátlap	Nem	Magyar	Cseppálló billentyűzet	Érintőtábla 2 gombbal és bal és jobb kattintási funkcióval; Támogatja a többujjas érintőmozdulatokat	Nagy felbontású hangzás támogatása; Beépített mikrofon; Beépített sztereó hangszóró; Fejhallgató-/vonali kimenet; Mikrofonbemenet	HDMI, VGA, Bluetooth, Memóriakártya olvasó	Bluetooth 3.0, 3 USB 2.0, 1 VGA, 1 HDMI	1 SD/MMC		WLAN	Atheros 802.11b/g/nRealtek Ethernet (10/100 hálózati vezérlő)	Külön vásárolható	SuSE Linux	37,6 x 24,7 x 3,18 cm					DVD+/-RW SuperMulti DL	ajándék táskával!			
