TermékNév	Ár	TFT Méret	TFT Felb.	TFT LED	CPU	RAM Méret	RAM Típus	HDD	GPU	Súly	ODD	OS	WLAN	LAN	BT	USB	eSata	FW	Kamera	CR	HDMI	MiniHDMI	MicroHDMI	DP	MiniDP	Nyelv	USB 3	MOBIL NET	MEREVLEMEZ (SSD)	MÁSODLAGOS INTEGRÁLT VGA TÍPUS
ASUS G55VW-IX143V	392962 Ft	 15,6"	 1920x1080	 Igen	 Intel Core i7-3610QM 2.30GHz	 8GB	 DDR3	 750 GB	 NVIDIA GeForce GTX 660	 3,8 kg	 BLU-RAY/DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Igen	 Magyar	 4 db				
ASUS G55VW-S1140V	324221 Ft	 15,6"	 1920x1080	 Igen	 Intel Core i7-3610QM 2.30GHz	 8GB	 DDR3	 750 GB	 NVIDIA GeForce GTX 660	 3,8 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Igen	 Magyar	 4 db		 128 GB		
ASUS G55VW-S1142V	282251 Ft	 15,6"	 1920x1080	 Igen	 Intel Core i5-3210M 2.50GHz	 8GB	 DDR3	 750 GB	 NVIDIA GeForce GTX 660	 3,8 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Igen	 Magyar	 4 db				
ASUS G75VW-9Z320V	424435 Ft	 17,3"	 1920x1080	 Igen	 Intel Core i7-3610QM 2.30GHz	 8GB	 DDR3	 750 GB	 NVIDIA GeForce GTX 660	 4,5 kg	 BLU-RAY/DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Igen	 Magyar	 4 db		 256 GB		
ASUS G75VW-T1321V	375528 Ft	 17,3"	 1920x1080	 Igen	 Intel Core i7-3610QM 2.30GHz	 8GB	 DDR3	 750 GB	 NVIDIA GeForce GTX 660	 4,5 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Igen	 Magyar	 4 db		 160 GB		
ASUS K53BR-SX003D	83055 Ft	 15,6"	 1366x768	 Igen	 AMD E-450 1.66GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7470	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ASUS K53BR-SX015D	80145 Ft	 15,6"	 1366x768	 Igen	 AMD E-450 1.66GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD6320	 2,6 kg	 DVD-RW	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ASUS K53BR-SX015V	102703 Ft	 15,6"	 1366x768	 Igen	 AMD E-450 1.66GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7470	 2,6 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ASUS K53BR-SX029D	78874 Ft	 15,6"	 1366x768	 Igen	 AMD E-450 1.66GHz	 2GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD6320	 2,6 kg	 DVD-RW	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ASUS K53BR-SX035D	86857 Ft	 15,6"	 1366x768	 Igen	 AMD E-450 1.66GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7470	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ASUS K53E-SX1972D Kék	86402 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B960 2.20GHz	 2GB	 DDR3	 320 GB	 Intel HD Graphics 3000	 2,6 kg	 DVD-RW	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ASUS K53SC-SX509D	92385 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B940 2.00GHz	 2GB	 DDR3	 500 GB	 NVIDIA GeForce GT 520	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS K53SD-SX1121D	102627 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B950 2.10GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce 610	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS K53SD-SX1239D Piros	102627 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B970 2.30GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce 610	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS K53SD-SX1241D Kék	102627 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B970 2.30GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce 610	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS K53SD-SX1244D Fehér	122453 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2310M 2.1GHz	 6GB	 DDR3	 750 GB	 NVIDIA GeForce 610	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS K53SD-SX1255D	114542 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2310M 2.1GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce 610	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS K53SD-SX1372D Fehér	119258 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2350M 2.30GHz	 6GB	 DDR3	 750 GB	 Intel HD Graphics	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS K53SD-SX323D Pink	119867 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B960 2.20GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce 610	 2,6 kg	 DVD-RW	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS K53SV-SX939V	167999 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-2630QM 2.00GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 540	 2,6 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ASUS K53U-SX072V	85022 Ft	 15,6"	 1366x768	 Igen	 AMD E-350 1.6GHz	 2GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD6320	 2,6 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ASUS K55DR-SX135D	126407 Ft	 15,6"	 1366x768	 Igen	 AMD A10-4600M 2.30GHz	 8GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7660	 2,4 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db			 ATi Mobil RadeOn HD7470	
ASUS K55VD-SX022D	146030 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 6GB	 DDR3	 750 GB	 NVIDIA GeForce 610	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ASUS K55VD-SX023D	134267 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 610	 2,52 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ASUS K55VD-SX179D	158117 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-3610QM 2.30GHz	 4GB	 DDR3	 1000 GB	 NVIDIA GeForce GT 610	 2,52 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ASUS K55VD-SX462D Pink	126407 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2350M 2.30GHz	 4GB	 DDR3	 750 GB	 NVIDIA GeForce GT 610	 2,52 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ASUS K75DE-TY060V	152097 Ft	 17,3"	 1600x900	 Igen	 AMD A8-4500M 1.90GHz	 6GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7670	 3,1 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ASUS N56VM-S3052V	188530 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 750 GB	 NVIDIA GeForce GT 630	 2,7 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
ASUS N56VM-S4073V	197645 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 750 GB	 NVIDIA GeForce GT 630	 2,7 kg	 BLU-RAY/DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
ASUS N56VM-S4222V	247058 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-3610QM 2.30GHz	 6GB	 DDR3	 1000 GB	 NVIDIA GeForce GT 630	 2,7 kg	 BLU-RAY/DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
ASUS P53E-SO211D	78839 Ft	 15,6"	 1366x768	 Igen	 Intel Celeron B820 1.70GHz	 2GB	 DDR3	 320 GB	 Intel HD Graphics 3000	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ASUS P53E-SO212D	86857 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B970 2.30GHz	 2GB	 DDR3	 320 GB	 Intel HD Graphics 3000	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ASUS U32U-RX004D	86878 Ft	 13,3"	 1366x768	 Igen	 AMD E-450 1.66GHz	 4GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD6320	 1,55 kg	 Nincs	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ASUS U32VM-RO006X	195981 Ft	 13,3"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 750 GB	 Intel HD Graphics 4000	 1,89 kg	 DVD-RW	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Igen	 Nem	 Nem	 Magyar	 3 db				
ASUS U36SG-RX008D	142226 Ft	 13,3"	 1366x768	 Igen	 Intel Core i5-2450M 2.50GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 610	 1,44 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X301A-RX158D Kék	86402 Ft	 13,3"	 1366x768	 Igen	 Intel Pentium B980 2.40GHz	 2GB	 DDR3	 320 GB	 Intel HD Graphics	 1,70 kg	 Nincs	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X301A-RX159D Fehér	89444 Ft	 13,3"	 1366x768	 Igen	 Intel Pentium B980 2.40GHz	 2GB	 DDR3	 320 GB	 Intel HD Graphics	 1,70 kg	 Nincs	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X401A-WX286D Fehér	77734 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B980 2.40GHz	 2GB	 DDR3	 320 GB	 Intel HD Graphics	 1,85 kg	 Nincs	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X401A-WX288D Pink	77734 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B980 2.40GHz	 2GB	 DDR3	 320 GB	 Intel HD Graphics	 1,85 kg	 Nincs	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X53E-SX2172D Piros	82446 Ft	 15,6"	 1366x768	 Igen	 Intel Celeron B820 1.70GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X53E-SX2173D Fehér	88023 Ft	 15,6"	 1366x768	 Igen	 Intel Celeron B820 1.70GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X53SD-SX1237D Piros	99514 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B970 2.30GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 610	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X53SD-SX394D Pink	119258 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B960 2.20GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 610	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X54C-SO476D	90356 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2310M 2.1GHz	 2GB	 DDR3	 320 GB	 Intel HD Graphics 3000	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ASUS X54HR-SO086D	94413 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B960 2.20GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7470	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X54HR-SO086DW7HP	119258 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B960 2.20GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7470	 2,6 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100MBps	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X54HR-SO087D	114290 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2350M 2.30GHz	 4GB	 DDR3	 750 GB	 ATi Mobil RadeOn HD7470	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X54HR-SO205D	112260 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2350M 2.30GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7470	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X54HR-SO310D	93297 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B970 2.30GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7470	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Nem	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X54HR-SX027D	82446 Ft	 15,6"	 1366x768	 Igen	 Intel Celeron B815 1.60GHz	 2GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD6470	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X54HY-SO065D	106278 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B950 2.10GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD6470	 2,6 kg	 DVD-RW	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X54HY-SO120D	113173 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2330M 2.20GHz	 2GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD6470	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X54HY-SO155D	102323 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B950 2.10GHz	 3GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD6470	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X55A-SX041D	82771 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B970 2.30GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 2,52 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X55A-SX044D	71385 Ft	 15,6"	 1366x768	 Igen	 Intel Celeron B820 1.70GHz	 2GB	 DDR3	 320 GB	 Intel HD Graphics	 2,52 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X55A-SX044DW7HP	99990 Ft	 15,6"	 1366x768	 Igen	 Intel Celeron B820 1.70GHz	 2GB	 DDR3	 320 GB	 Intel HD Graphics	 2,52 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X55C-SX057D	91370 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2350M 2.30GHz	 2GB	 DDR3	 320 GB	 Intel HD Graphics	 2,45 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X55U-SX003D	67385 Ft	 15,6"	 1366x768	 Igen	 AMD E-450 1.66GHz	 2GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD6320	 2,45 kg	 DVD-RW	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X55U-SX003V	86883 Ft	 15,6"	 1366x768	 Igen	 AMD E-450 1.66GHz	 2GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD6320	 2,45 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X55U-SX007D	63830 Ft	 15,6"	 1366x768	 Igen	 AMD C-60 1.00GHz	 2GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD6290	 2,45 kg	 DVD-RW	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X55U-SX007V	82649 Ft	 15,6"	 1366x768	 Igen	 AMD C-60 1.00GHz	 2GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD6290	 2,50 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X55U-SX035D	78069 Ft	 15,6"	 1366x768	 Igen	 AMD E-450 1.66GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD6290	 2,45 kg	 DVD-RW	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS X55VD-SX029D	109319 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2350M 2.30GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 610	 2,53 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ASUS ZenBook UX21A-K1009H	332580 Ft	 11,6"	 1920x1080	 Igen	 Intel Core i7-3517U 1.90GHz	 4GB	 DDR3		 Intel HD Graphics 4000	 1,1 kg	 Nincs	 Windows 8	 Igen	 Nincs	 Igen		 Nem	 Nem	 Igen	 Nem	 Nem	 Nem	 Igen	 Nem	 Nem	 Magyar	 2 db		 256 GB	 Nincs	
ASUS ZenBook UX21A-K1009V	296469 Ft	 11,6"	 1920x1080	 Igen	 Intel Core i7-3517U 1.90GHz	 4GB	 DDR3		 Intel HD Graphics 4000	 1,1 kg	 Nincs	 Windows 7 Home Premium	 Igen	 Nincs	 Igen		 Nem	 Nem	 Igen	 Nem	 Nem	 Nem	 Igen	 Nem	 Nem	 Magyar	 2 db		 256 GB	 Nincs	
ASUS ZenBook UX21A-K1010V	266822 Ft	 11,6"	 1920x1080	 Igen	 Intel Core i7-3517U 1.90GHz	 4GB	 DDR3		 Intel HD Graphics 4000	 1,1 kg	 Nincs	 Windows 7 Home Premium	 Igen	 Nincs	 Igen		 Nem	 Nem	 Igen	 Nem	 Nem	 Nem	 Igen	 Nem	 Nem	 Magyar	 2 db		 128 GB	 Nincs	
ASUS ZenBook UX31A-R4003H	369376 Ft	 13,3"	 1920x1080	 Igen	 Intel Core i7-3517U 1.90GHz	 4GB	 DDR3		 Intel HD Graphics 4000	 1,3 kg	 Nincs	 Windows 8	 Igen	 Nincs	 Igen		 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Igen	 Nem	 Nem	 Magyar	 2 db		 256 GB		
ASUS ZenBook UX31A-R4003V	306351 Ft	 13,3"	 1920x1080	 Igen	 Intel Core i7-3517U 1.90GHz	 4GB	 DDR3		 Intel HD Graphics 4000	 1,3 kg	 Nincs	 Windows 7 Home Premium	 Igen	 Nincs	 Igen		 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Igen	 Nem	 Nem	 Magyar	 2 db		 256 GB		
