TermékNév	Ár	TFT Méret	TFT Felb.	TFT LED	CPU	RAM Méret	RAM Típus	HDD	GPU	Súly	ODD	OS	WLAN	LAN	BT	USB	eSata	FW	Kamera	CR	HDMI	MiniHDMI	MicroHDMI	DP	MiniDP	Nyelv	USB 3	MOBIL NET	MEREVLEMEZ (SSD)	MÁSODLAGOS INTEGRÁLT VGA TÍPUS
ACER Aspire 5560G NX.RUQEU.001 Piros	88734 Ft	 15,6"	 1366x768	 Igen	 AMD A4-3305M 1.90GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7470	 2,6 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire 5560G NX.RUREU.003	101308 Ft	 15,6"	 1366x768	 Igen	 AMD A6-3420M 1.50GHz	 4GB	 DDR3	 750 GB	 ATi Mobil RadeOn HD7470	 2,6 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 3 db	 Nem	 Nem	 Igen	 Nem	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire 5560G NX.RUREU.004	115303 Ft	 15,6"	 1366x768	 Igen	 AMD A6-3420M 1.50GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7470	 2,6 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 3 db	 Nem	 Nem	 Igen	 Nem	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire 5733Z LX.RJW0C.053	86402 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium P6200 2.13GHz	 2GB	 DDR3	 320 GB	 Intel HD Graphics	 2,65 kg	 DVD-RW	 Linux	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire 5742 NX.RVNEU.003	91878 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-380M 2.53GHz	 2GB	 DDR3	 320 GB	 NVIDIA GeForce 610	 2,6 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire 5742G NX.RVNEU.012	104149 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-380M 2.53GHz	 4GB	 DDR3	 750 GB	 NVIDIA GeForce 610	 2,6 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire 5742ZG LX.RLV0C.035	80206 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium P6200 2.13GHz	 2GB	 DDR3	 320 GB	 NVIDIA GeForce 610	 2,6 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire 5750Z NX.RL8EU.005	88328 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B960 2.20GHz	 4GB	 DDR3	 750 GB	 Intel HD Graphics	 2,6 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire 5750Z NX.RL8EU.008	99250 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B960 2.20GHz	 4GB	 DDR3	 750 GB	 Intel HD Graphics	 2,6 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire 5750ZG LX.RM10C.031	90762 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B950 2.10GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 520	 2,6 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
