TermékNév	Ár	TFT Méret	TFT Felb.	CPU Típus	CPU Frek.	RAM Méret	RAM Típus	HDD Méret	HDD Seb.	GPU Típus	GPU RAM	Súly	Gar.	Akku	ODD	OS	Audio	LAN	WLAN	Modem	Portok	CR	Bill.	Egyéb	Állapot	Méret	Ajándék	2. Merevlemez mérete
Dell Inspiron N5050 Notebook	111732 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2350M	2300 MHz	4096 MB	DDR3 1333MHz	1000 GB	5400 rpm	Intel HD Graphics 3000	- MB	2.37 Kg	3 év	6 cella	DVD+-RW	Linux	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, Bluetooth, HDMI	Memóriakártya-olvasó	magyar	Webcamera	új				
HP 650 Notebook	82598 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Celeron™ processzor B820	1700 MHz	2048 MB	DDR3 1600MHz	500 GB	5400 rpm	Intel® HD Graphics	- MB	2.45 Kg	2 év	6 cella	DVD-RW SuperMulti DL	Linux	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI	Memóriakártya-olvasó	magyar	Webcamera	új		Táska		
Lenovo Ideapad B575e Notebook	82598 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD E series processzor E2-1800	1700 MHz	4096 MB	DDR3 1333MHz	320 GB	5400 rpm	AMD Radeon™ integrated graphics	- MB	2.70 Kg	2 év	6 cella	DVD-RW SuperMulti DL	opció	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	Memóriakártya-olvasó	magyar	HD Webcamera	új				
Lenovo Ideapad B570e2 Notebook	83386 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Pentium™ M Dual-Core processzor B950	2100 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	Intel® HD Graphics	- MB	2.70 Kg	2 év	6 cella	DVD+-RW	opció	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, HDMI, 3xUSB 3.0	Memóriakártya-olvasó	magyar	HD Webcamera	új				
Asus X54C -SO083D Notebook	84173 Ft	15.60 inch	HD WXGA (1366x768)	Intel® Celeron™ Dual Core processzor B815	1600 MHz	2048 MB	DDR3 1333MHz	320 GB	5400 rpm	Intel® HD Graphics	- MB		2 év	4 cella	DVD-RW SuperMulti DL	opció	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	SD, MS, MMC, XD	magyar	Webcamera	új				
HP 655 Notebook	85748 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD E series processzor E2-1800	1700 MHz	2048 MB	DDR3 1600MHz	320 GB	5400 rpm	Radeon™ HD 7340	- MB	2.45 Kg	2 év	6 cella	DVD-RW SuperMulti DL	Linux	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI	Memóriakártya-olvasó	magyar	Webcamera	új		Táska		
HPQ 635 Notebook	86535 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD Brazos processzor E-450	1650 MHz	4096 MB	DDR3 1333MHz	320 GB	5400 rpm	AMD Radeon™ integrated graphics	- MB	2.36 Kg	2 év	6 cella	DVD-RW SuperMulti DL	Linux	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	Memóriakártya-olvasó	magyar	Webcamera	új		Táska		
Asus X55U -SX035D Notebook	87323 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD E series processzor E-450	1650 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	AMD Radeon™ HD6320	- MB	2.45 Kg	2 év	6 cella	DVD-RW SuperMulti DL	opció	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, HDMI, 1xUSB 3.0	Memóriakártya-olvasó	magyar	Webcamera	új	378 x 253 x 26,2-31,9 mm			
Asus X55A -SX041D Notebook	89685 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Pentium™ M Dual-Core processzor B970	2300 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	Intel® HD Graphics	- MB	2.54 Kg	2 év	6 cella	DVD-RW SuperMulti DL	opció	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, HDMI, 1xUSB 3.0	Memóriakártya-olvasó	magyar	Webcamera	új	251 x 378 x 25,5-31,9 mm			
Fujitsu Lifebook AH531 Notebook	101496 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2328M	2200 MHz	2048 MB	DDR3 1333MHz	320 GB	5400 rpm	Intel HD Graphics 3000	- MB	2.50 Kg	3 év	6 cella	DVD-RW SuperMulti DL	opció	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	SD, MS, MS Pro, SDHC	magyar	Webcamera, Cseppálló billentyűzet	új				
