TermékNév	Ár	TFT Méret	TFT Felb.	CPU Típus	CPU Frek.	RAM Méret	RAM Típus	HDD Méret	HDD Seb.	GPU Típus	GPU RAM	Súly	Gar.	Akku	ODD	OS	Audio	LAN	WLAN	Modem	Portok	CR	Bill.	Egyéb	Állapot	Méret	Ajándék	2. Merevlemez mérete
Acer AS5560G -63424G75Mnkk Notebook	115669 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD A series processzor A6-3420	1500 MHz	4096 MB	DDR3 1333MHz	750 GB	5400 rpm	AMD Radeon™ HD 7670M	1024 MB	2.59 Kg	1 év	6 cella	DVD-RW SuperMulti DL	Linux	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	56Kbps	2xUSB 2.0, HDMI, 1xUSB 3.0	Memóriakártya-olvasó	magyar	Webcamera	új				
Samsung NP300V5A Notebook	120394 Ft	15.60 inch	WXGA (1366x768) LED	Intel® Core™ i3 processzor 2310M	2100 MHz	3072 MB	DDR3 1333MHz	320 GB	5400 rpm	NVIDIA® GeForce® GT 520MX	512 MB	2.40 Kg	2 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Home Premium 64bit		10/100/1000Mbps, WLAN a/b/g/n	igen	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	SD, MS Pro, MMC	magyar	Webcamera	új	366.9 x 240 x 29.9 x 31.6 mm			
HP Pavilion G6 Notebook	148740 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2350M	2300 MHz	4096 MB	DDR3 1333MHz	640 GB	5400 rpm	Intel HD Graphics 3000	- MB	2.48 Kg	2 év	6 cella	DVD+-RW	Windows 7 Home Premium 64bit	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó	magyar	Webcamera	új				
Lenovo Ideapad B580 Notebook	139291 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3210M	2500 - 3100 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	Intel HD Graphics 4000	- MB	2.70 Kg	2 év	6 cella	DVD+-RW	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, Bluetooth, HDMI	Memóriakártya-olvasó	magyar	HD Webcamera	új				
Dell Inspiron 5520 Notebook	164488 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i7 processzor 3632QM	2200 - 3200 MHz	6144 MB	DDR3 1600MHz	750 GB	5400 rpm	Intel HD Graphics 4000	- MB	2.90 Kg	3 év	6 cella	DVD+-RW	Linux	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, HDMI, 4xUSB 3.0	Memóriakártya-olvasó	magyar	HD Webcamera	új				
Packard Bell EASYNOTE TSX66-HR-451HG Notebook	127480 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 2430M	2300 - 3000 MHz	4096 MB	DDR3 1066MHz	500 GB	5400 rpm	NVIDIA® GeForce® GT 520M	1024 MB		1 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Home Premium 64bit	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	SD, MS, MS Pro, MMC, XD	magyar	HD Webcamera	új				
Samsung NP300E5A -S01HU Notebook	127480 Ft	15.60 inch	WXGA (1366x768) LED	Intel® Core™ i3 processzor 2310M	2100 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	NVIDIA® GeForce® GT 520MX	512 MB	2.34 Kg	2 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Home Premium 64bit		10/100/1000Mbps, WLAN a/b/g/n	igen	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	SD, MS Pro, MMC, XD	magyar	Webcamera	új	366.9 x 240 x 29.9 x 31.6 mm			
Toshiba Satellite C855-12J Notebook	127480 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel Pentium processzor B960	2200 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	AMD Radeon™ HD 7610M	1024 MB	2.30 Kg	2 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Home Premium 64bit	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	SD, MMC, mini SD, micro SD, SDHC, SDXC	magyar	HD Webcamera	új	380.0 x 242.0 x 33.52 mm			
Packard Bell EASYNOTE TSX66-HR-461HG Notebook	129843 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 2430M	2300 - 3000 MHz	4096 MB	DDR3 1066MHz	640 GB	5400 rpm	NVIDIA® GeForce® GT 520M	1024 MB		1 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Home Premium 64bit	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	SD, MS, MS Pro, MMC, XD	magyar	HD Webcamera	új				
Asus X54HR -SO205D Notebook	131417 Ft	15.60 inch	HD WXGA (1366x768)	Intel® Core™ i3 processzor 2350M	2300 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	AMD Radeon™ HD 7470M	1024 MB		2 év	4 cella	DVD-RW SuperMulti DL	opció	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, HDMI, 1xUSB 3.0	SD, MS, MMC, XD	magyar	Webcamera	új				
HP ProBook 4330s Notebook	133780 Ft	13.30 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2350M	2300 MHz	2048 MB	DDR3 1333MHz	320 GB	5400 rpm	Intel® HD Graphics 3000	- MB	2.10 Kg	3 év	6 cella	DVD-RW SuperMulti DL	Linux	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	4xUSB 2.0, VGA, Bluetooth, Express Card, HDMI	Memóriakártya-olvasó	magyar	HD Webcamera, Cseppálló billentyűzet	új	330 x 235 x 27.9 mm	Táska		
Asus K55VD -SX023D Notebook	138504 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3210M	2500 - 3100 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	NVIDIA® GeForce® GT 610M	2048 MB	2.52 Kg	2 év	6 cella	DVD-RW SuperMulti DL	opció	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, HDMI	Memóriakártya-olvasó	magyar	Webcamera	új	251 x 378 x 25,5-31,9 mm			
Packard Bell EASYNOTE TS11-HR-457HG Notebook	138504 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 2430M	2400 MHz	4096 MB	DDR3 1066MHz	500 GB	5400 rpm	NVIDIA® GeForce® GT 540M	1024 MB		1 év	6 cella	DVD SuperMulti	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	SD, MS, MS Pro, MMC, XD	magyar	HD Webcamera	új				
Dell Latitude E5420 Notebook	139291 Ft	14.00 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2350M	2300 MHz	2048 MB	DDR3 1333MHz	500 GB	7200 rpm	Intel HD Graphics 3000	- MB	2.14 Kg	3 év	6 cella	DVD+-RW	opció	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI, eSATA, Dock, USB 2.0 E-SATA, Power Share funkcióval		magyar	Ujjlenyomat olvasó, Billentyűzet megvilágítás, HD Webcamera	új				
Toshiba Satellite L850-11D Notebook	139291 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2350M	2300 MHz	4096 MB	DDR3 1333MHz	640 GB	5400 rpm	AMD Radeon™ HD7670	1024 MB	2.30 Kg	2 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Home Premium 64bit	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	SD, MMC, mini SD, micro SD, SDHC, SDXC	magyar	HD Webcamera	új	380.0 x 242.0 x 33.52 mm			
Lenovo Ideapad Z585A Notebook	140079 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD A series processzor A6-4400M	2700 - 3200 MHz	4096 MB	DDR3 1333MHz	1000 GB	5400 rpm	AMD Radeon™ HD 7670M	2048 MB	2.50 Kg	2 év	6 cella	DVD+-RW	opció	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g	opció	4xUSB 2.0, Bluetooth, HDMI	Memóriakártya-olvasó	magyar	HD Webcamera	új				
Dell Inspiron 5720 Notebook	162126 Ft	17.30 inch	WUGA (1600x900) LED	Intel® Core™ i5 processzor 3210M	2500 - 3100 MHz	4096 MB	DDR3 1600MHz	750 GB	5400 rpm	NVIDIA® GeForce® GT630M	1024 MB	3.28 Kg	3 év	6 cella	DVD+-RW	Linux	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, HDMI, 3xUSB 3.0, USB 3.0 E-SATA, Power Share funkcióval	Memóriakártya-olvasó	magyar	HD Webcamera	új				
Packard Bell EASYNOTE LS11-HR-465HG Notebook	147953 Ft	17.30 inch	HD WXGA (1600x900) LED	Intel® Core™ i5 processzor 2430M	2400 MHz	4096 MB	DDR3 1066MHz	640 GB	5400 rpm	AMD Mobility Radeon™ HD6650	1024 MB	3.30 Kg	1 év	6 cella	DVD SuperMulti	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	SD, MS, MS Pro, MMC, XD	magyar	HD Webcamera	új				
Fujitsu Lifebook AH552 Notebook	197559 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3210M	2500 - 3100 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	Intel HD Graphics 4000	- MB	2.20 Kg	2 év	8 cella	DVD-RW SuperMulti DL	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, Bluetooth, HDMI, eSATA, 1xUSB 3.0	SD	magyar	HD Webcamera	új	378 x 252 x 25,4 mm			
Dell Latitude E5530 Notebook	184173 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2350M	2300 MHz	4096 MB	DDR3 1600MHz	500 GB	7200 rpm	Intel HD Graphics 3000	- MB	2.33 Kg	3 év	6 cella	DVD+-RW	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Firewire, Bluetooth, HDMI, eSATA, 3xUSB 3.0, Dock	Memóriakártya-olvasó	magyar	Ujjlenyomat olvasó, Billentyűzet megvilágítás, HD Webcamera	új				
Toshiba Satellite L830-106 Notebook	155827 Ft	13.30 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2367M	1400 MHz	4 MB	DDR3 1333MHz	640 GB	5400 rpm	Radeon™ HD 7550M	1024 MB	1.68 Kg	2 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Home Premium 64bit	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	56Kbps	USB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	SD, MMC, mini SD, micro SD, SDHC, SDXC	magyar	HD Webcamera	új	329 x 221 x 36.8 mm			
Dell Vostro 3560 Notebook	156614 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2370M	2400 MHz	4096 MB	DDR3 1600MHz	320 GB	7200 rpm	Intel HD Graphics 3000	- MB	2.57 Kg	3 év	6 cella	DVD-RW SuperMulti DL	opció	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, Express Card, HDMI, 4xUSB 3.0	Memóriakártya-olvasó	magyar	HD Webcamera	új				
Asus P24A -PX007X Notebook	158976 Ft	11.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 3110M	2400 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	Intel HD Graphics 4000	- MB	1.50 Kg	2 év	6 cella	opció	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó	magyar	HD Webcamera	új	291 x 207 x 16-35 mm			
Dell Vostro 3360 Notebook	174724 Ft	13.30 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3317U	1700 MHz	4096 MB	DDR3 1600MHz	320 GB	7200 rpm	Intel HD Graphics 4000	- MB	1.67 Kg	3 év	4 cella	opció	Linux	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, HDMI, 3xUSB 3.0, Dock	Memóriakártya-olvasó	magyar	HD Webcamera	új				
Lenovo Ideapad U410 Notebook	164488 Ft	14.00 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2377M	1500 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	NVIDIA® GeForce® GT 610M	1024 MB	1.81 Kg	2 év	3 cella	opció	Windows 7 Home Premium 64bit	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó	magyar	HD Webcamera	új				
Sony Vaio VPCCA4S1E/W Notebook	166063 Ft	14.00 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2350M	2300 MHz	4096 MB	DDR3 1333MHz	640 GB	5400 rpm	AMD Mobility Radeon™ HD6470M	512 MB	2.45 Kg	2 év	6 cella	DVD+-RW	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	SD, MS Pro, SDHC, SDXC	magyar	Rázkodás elleni merevlemezvédele, Gyorsulásmérő, Billentyűzet megvilágítás, HD Webcamera	új	341 x 27.9 x 235.2 mm			
Sony Vaio VPCCA4S1E/D Notebook	166063 Ft	14.00 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2350M	2300 MHz	4096 MB	DDR3 1333MHz	640 GB	5400 rpm	AMD Mobility Radeon™ HD6470M	512 MB	2.45 Kg	2 év	6 cella	DVD+-RW	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	SD, MS Pro, SDHC, SDXC	magyar	Rázkodás elleni merevlemezvédele, Gyorsulásmérő, Billentyűzet megvilágítás, HD Webcamera	új	341 x 27.9 x 235.2 mm			
Sony Vaio VPCCA4S1E/G Notebook	166063 Ft	14.00 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2350M	2300 MHz	4096 MB	DDR3 1333MHz	640 GB	5400 rpm	AMD Mobility Radeon™ HD6470M	512 MB	2.45 Kg	2 év	6 cella	DVD+-RW	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	SD, MS Pro, SDHC, SDXC	magyar	Rázkodás elleni merevlemezvédele, Gyorsulásmérő, Billentyűzet megvilágítás, HD Webcamera	új	341 x 27.9 x 235.2 mm			
Sony Vaio VPCCA4S1E/R Notebook	166063 Ft	14.00 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2350M	2300 MHz	4096 MB	DDR3 1333MHz	640 GB	5400 rpm	AMD Mobility Radeon™ HD6470M	512 MB	2.45 Kg	2 év	6 cella	DVD+-RW	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	SD, MS Pro, SDHC, SDXC	magyar	Rázkodás elleni merevlemezvédele, Gyorsulásmérő, Billentyűzet megvilágítás, HD Webcamera	új	341 x 27.9 x 235.2 mm			
HP ProBook 6475b Notebook	176299 Ft	14.00 inch	Multi-Touch (1366x768) LED	AMD A series processzor A6-4400M	2700 - 3200 MHz	4096 MB	DDR3 1333MHz	500 GB	7200 rpm	NVIDIA® Tegra™ 2	- MB	2.03 Kg	3 év	6 cella	DVD+-RW	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Firewire, Bluetooth, eSATA, 2xUSB 3.0, Display Port, Dock	Memóriakártya-olvasó	magyar	Ujjlenyomat olvasó, HD Webcamera	új				
Toshiba Tecra R840-13T Notebook	178661 Ft	14.00 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 2520M	2500 MHz	4096 MB	DDR3 1333MHz	500 GB	7200 rpm	AMD Radeon™ HD 6450M	1024 MB	1.99 Kg	3 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, Express Card, 1xUSB 3.0, Display Port	SD, MMC, SDHC, SDXC	magyar	Webcamera, Ujjlenyomat olvasó	új	341x239x27.4 mm			
Acer V3-551G- 10468G1TMakk Notebook	180236 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD A series processzor A10-4600M	2300 - 3000 MHz	8192 MB	DDR3 1333MHz	1000 GB	5400 rpm	AMD Radeon™ HD 7670M	2048 MB	2.40 Kg	1 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Home Premium 64bit	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó	magyar	HD Webcamera	új				
Asus B53E -SO262X Notebook	183386 Ft	15.60 inch	HD WXGA (1366x768)	Intel® Core™ i3 processzor 2350M	2300 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	Intel® HD Graphics	- MB	2.69 Kg	3 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, eSATA, 1xUSB 3.0, Display Port	Memóriakártya-olvasó	magyar	Rázkodás elleni merevlemezvédele, HD Webcamera, Cseppálló billentyűzet	új	384 x 263 x 33-35 mm			
Dell Inspiron 7520 Notebook	184961 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i7 processzor 3612QM	2100 - 3100 MHz	6144 MB	DDR3 1600MHz	1000 GB	5400 rpm	AMD Radeon™ HD 7730M	2048 MB	2.76 Kg	3 év	6 cella	DVD-RW SuperMulti DL	Linux	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, HDMI, eSATA, 3xUSB 3.0, USB 3.0 E-SATA, Power Share funkcióval	Memóriakártya-olvasó	magyar	HD Webcamera	új				
HP ProBook 4530s Notebook	186535 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 2450M	2500 - 3100 MHz	8192 MB	DDR3 1333MHz	750 GB	7200 rpm	AMD Mobility Radeon™ HD 6490M	1024 MB	2.51 Kg	3 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó	magyar	Ujjlenyomat olvasó, HD Webcamera	új		Táska		
Fujitsu Lifebook UH552 Notebook	212520 Ft	13.30 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3317U	1700 - 2500 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	Intel HD Graphics 4000	- MB	1.60 Kg	2 év	4 cella	opció	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	HSDPA	USB 2.0, Bluetooth, HDMI, 2xUSB 3.0	SD, MS, MS Pro, SDHC	magyar	HD Webcamera	új	323 x 234 x 18.0 mm			
Dell Vostro 3560 FHD Notebook	202283 Ft	15.60 inch	FULL HD (1920x1080) LED	Intel® Core™ i5 processzor 3210M	2500 MHz	4096 MB	DDR3 1600MHz	500 GB	7200 rpm	AMD Radeon™ HD7670	1024 MB	2.57 Kg	3 év	6 cella	Blue-Ray Combo	Linux	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, Express Card, HDMI, 4xUSB 3.0	Memóriakártya-olvasó	magyar	Ujjlenyomat olvasó, Billentyűzet megvilágítás, HD Webcamera	új				
Acer Aspire S3- 391-53314G52add Notebook	194409 Ft	13.30 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3317U	1700 - 2600 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	Intel® HD Graphics	- MB	1.49 Kg	3 év	3 cella	opció	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth	Memóriakártya-olvasó	magyar	SSD drive, HD Webcamera	új			20 GB	
Samsung NP-RC530 -S01HU Notebook	200709 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i7 processzor 2670QM	2200 MHz	8192 MB	DDR3 1333MHz	1000 GB	5400 rpm	NVIDIA® GeForce® GT 540M	1024 MB	2.60 Kg	2 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	SD, MMC, SDHC, SDXC	magyar	HD Webcamera	új	379.6 x 255.5 x 37 mm	Táska		
Acer M3-581TG -52464G52MNkk Notebook	202283 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 2467M		4096 MB	DDR3 1333MHz	500 GB	5400 rpm	NVIDIA® GeForce® GT 640M	1024 MB	2.25 Kg	3 év	3 cella	DVD-RW SuperMulti DL	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó	magyar	SSD drive, HD Webcamera	új			20 GB	
Asus B53E -SO266X Notebook	203858 Ft	15.60 inch	HD WXGA (1366x768)	Intel® Core™ i5 processzor 2450M	2500 - 3100 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	Intel® HD Graphics	- MB	2.69 Kg	3 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	igen	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, eSATA, 1xUSB 3.0, Display Port	Memóriakártya-olvasó	magyar	HD Webcamera	új	384 x 263 x 33-35 mm			
HP ProBook 6560b Notebook	203858 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 2450M	2500 - 3100 MHz	4096 MB	DDR3 1333MHz	320 GB	7200 rpm	Intel HD Graphics 3000	- MB	2.70 Kg	3 év	6 cella	DVD+-RW	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	56Kbps	4xUSB 2.0, VGA, Firewire, Bluetooth, eSATA, Display Port, Dock	Memóriakártya-olvasó	magyar	Ujjlenyomat olvasó, HD Webcamera	új				
Asus Zenbook U32VM-RO006X Notebook	207008 Ft	13.30 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3210M	2500 - 3100 MHz	4096 MB	DDR3 1600MHz	750 GB	5400 rpm	Intel HD Graphics 4000	- MB	1.84 Kg	2 év	8 cella	-	Windows 7 Professional 64bit	igen	WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, 1xUSB 3.0, Micro HDMI	Memóriakártya-olvasó	magyar	HD Webcamera	új	328 x 238 x 13,4-26,1 mm	Táska + Egér		
Dell XPS L502X Notebook	207795 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 2450M	2500 - 3100 MHz	4096 MB	DDR3 1333MHz	750 GB	7200 rpm	NVIDIA® GeForce® GT 525M	1024 MB	2.80 Kg	3 év	6 cella	DVD+-RW	Windows 7 Home Premium 64bit	Realtek ALC665	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, HDMI, eSATA, 2xUSB 3.0, USB 2.0, Mini Display Port	SD, MS, MS Pro, MMC, XD, SDHC, SDXC, MSXC, SDIO	magyar	HD Webcamera	új	381x38.2x265.4 mm			
HP ProBook 6570b Notebook	236142 Ft	15.60 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i5 processzor 3210M	2500 - 3100 MHz	4096 MB	DDR3 1600MHz	500 GB	7200 rpm	AMD Radeon™ HD 7570M	1024 MB	2.60 Kg	3 év	6 cella	DVD+-RW	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Firewire, Bluetooth, eSATA, 2xUSB 3.0, Display Port, Dock	Memóriakártya-olvasó, ExpressCard(54mm)	magyar	Ujjlenyomat olvasó, HD Webcamera	új				
Lenovo ThinkPad x230i Notebook	210945 Ft	12.50 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2370M	2400 MHz	4096 MB	DDR3 1333MHz	320 GB	7200 rpm	Intel® HD Graphics	- MB	1.30 Kg	3 év	6 cella	-	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	HSDPA foglalat	3xUSB 2.0, HDMI, Display Port	Memóriakártya-olvasó	magyar	Webcamera, Ujjlenyomat olvasó	új				
Toshiba Portege R830-113 Notebook	210945 Ft	13.30 inch	HD WXGA (1366x768) LED	Intel® Core™ i7 processzor 2620M	2700 MHz	4096 MB	DDR3 1333MHz	500 GB	7200 rpm	Intel® HD Graphics 3000	- MB	1.64 Kg	3 év	9 cella	DVD-RW SuperMulti DL	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN b/g	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, eSATA, 1xUSB 3.0	SD, MMC, SDHC, SDXC	magyar	Webcamera, Ujjlenyomat olvasó	új	316x227x44 mm			
Samsung NP530U4B -S01HU Notebook	212520 Ft	14.00 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 2467M	1600 MHz	4 MB	DDR3 1333MHz	500 GB		Intel® HD Graphics	- MB	1.79 Kg	2 év	8 cella	DVD-RW SuperMulti DL	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, HDMI, 2xUSB 3.0	SD, MS, MS Pro, SDHC	magyar	Webcamera	új	333 x 229,5 x 20,9 mm			
