TermékNév	Ár	TFT Méret	TFT Típus	TFT Felb.	CPU Típus	CPU Frek.	CPU FSB	RAM	RAM Slot	RAM Max	HDD Méret	HDD Seb.	GPU	GPU Mem	Súly	Gar.	Akku Típus	Akku Telj.	Akku Cella	ODD	OS	OS +	Gyártó	Chipset	LAN	Portok	Audio	CR	Bill.	Szín	Méret	Egyéb	Egyéb +
HP Pavilion dv6-7100sh B6K70EA notebook + Windows 7 operációs rendszer	220393 Ft	15,6"	LED	1366x768 pixel	Intel® Core™ i7-3610QM	2,3 GHz	5 GT/s	8GB DDR3 1066MHz	2 db	16 GB	1 TB	5400 RPM	nVidia GeForce GT630M	2GB	2,6 kg	2 év	Li-ion	-	6	SuperMulti	Windows 7 Home Premium 64bit	Windows 7	Hewlett-Packard	Mobile Intel® HM77 Express	10/100/1000 LAN, Bluetooth, WLAN	1xUSB 2.0, 3xUSB 3.0, audio, HDMI, LAN, VGA	fülhallgató kimenet, mikrofon bemenet	van	magyar	Fekete	37,8 x 24,7 x 3,26 cm	akkumulátor, hálózati adapter, leírás	Beépített sztereó hangszórók és mélynyomó, beépített webkamera, biometrikus ujjlenyomatolvasó, HDD védelem	
Lenovo IdeaPad Y580 59-349200 notebook + Windows 7 operációs rendszer	220393 Ft	15,6"	LED	1920x1080 pixel	Intel® Core™ i5 3210M	2,1 GHz	5 GT/s	4+2GB DDR3 1333MHz	2 db	6GB	750 GB	5400 RPM	nVidia GeForce GTX 660M	2GB	-	2 év	Li-ion	-	6	SuperMulti	Windows 7 Home Premium	Windows 7	Lenovo	Intel HM76 Express	WiFi	HDMI	fülhallgató kimenet, mikrofon bemenet	microSD	magyar	Ezüst	-	hálózati töltő, leírás	beépített hangszóró, beépített mikrofon, beépített webkamera	
HP Compaq Presario CQ57-439WM + Windows 7 operácoós rendszer ENG	78661 Ft	15,6"	TFT (Active Matrix)	1366x768 pixel	AMD Dual-Core E-300	1,3 GHz	nincs adat	1+1GB DDR3 1066MHz	2 db	8GB	250 GB	5400 RPM	AMD Radeon HD 6310	megosztott	2,4 kg	1 év	nincs adat	4700mAh	6	DVD SuperMulti	nincs adat	Windows 7	Hewlett-Packard	nincs adat	10/100 LAN, WiFi	nincs adat	fülhallgató kimenet, mikrofon bemenet	2in1	angol	Fekete	375,9 x 246,9 x 35,8 mm	leírás	nincs adat	
Acer Aspire AS5250-E304G32Mnkk_Lin (NX.RJYEU.006) notebook	77874 Ft	15,6"	WXGA	1366x768 pixel	AMD Dual-Core E-300	1,3 GHz	800 MHz	2GB DDR3 1066MHz	2 db	8GB	320 GB	5400 RPM	AMD Radeon HD 6310	megosztott	2,6 kg	2 év	Li-ion	4400mAh	6	SuperMulti	Linux	Windows 7	Acer	AMD A50M	10/100 LAN, WiFi	3xUSB 2.0, D-SUB	fülhallgató kimenet, mikrofon bemenet	2in1	magyar	Fekete	34,0 mm x 381,0 mm x 253,0 mm	akkumulátor, hálózati adapter	beépített hangszóró, beépített mikrofon, beépített webkamera	
Lenovo IdeaPad G580GH 59-336127 notebook	110157 Ft	15,6"	LED	1366x768 pixel	Intel Pentium B960	2,1 GHz	5 GT/s	4GB DDR3 1066MHz	2 db	8GB	750 GB	5400 RPM	Intel HD Graphics 3000	megosztott	2,6 kg	2 év	Li-ion	max. 5 óra	6	SuperMulti	Windows 7 Home Premium 64bit	Windows 7	Lenovo	Intel	10/100 LAN, Bluetooth, WLAN	1xUSB 2.0, 2xUSB 3.0, HDMI	fülhallgató kimenet, mikrofon bemenet	van	magyar	Szürke	376 x 245 x 34.3 mm	akkumulátor, hálózati kábel, hálózati töltő	beépített hangszóró, beépített mikrofon	
Packard Bell EASYNOTE TS-F4211-HR-453HG notebook	74724 Ft	15,6"	LED, WXGA	1366x768 pixel	Intel® Celeron® B815	1,6 GHz	1066 MHz	4GB DDR3 1333MHz	1 db	8GB	500GB	5400 RPM	Intel HD Graphics	megosztott	2,4 kg	2 év	Li-ion	4400mAh	6	DVD-RW	Linux	Windows 7	Packard Bell	Mobile Intel® HM65 Express	10/100 LAN, WiFi	3xUSB 2.0, D-SUB, fülhallgató kimenet, HDMI, LAN, mikrofon bemenet	fülhallgató kimenet, mikrofon bemenet	5in1	magyar	Fekete	34x381x253mm	hálózati adapter	beépített hangszóró, beépített webkamera	
Asus G55VW-IX143V notebook + Windows 7 operációs rendszer + táska, egér, Headset, 3Dszemüveg	399920 Ft	15,6"	LED	1920x1080 pixel	Intel® Core™ i7-3610QM	2,3 GHz	5 GT/s	8GB DDR3 1600MHz	4 db	8GB	128 GB SSD, 750 GB	5400 RPM	nVidia GeForce GTX 660M	2GB	3,8 kg	3 év	Li-ion	5200mAh	8	Blu-ray író	Windows 7 Home Premium 64bit	Windows 7	Asus	Mobile Intel® HM77 Express	Bluetooth, Gigabit LAN, WLAN	4xUSB, audio, D-SUB, HDMI, LAN, Mini DisplayPort, SPDIF	fülhallgató kimenet, mikrofon bemenet, SPDIF	3in1	magyar	Fekete	384 x 299 x 20-51 mm	3D szemüveg, Billentyűzet, egér, hálózati adapter, headset, hordtáska	Beépített sztereó hangszórók és mélynyomó, beépített webkamera, Kensington zár	
HP ProBook 4530s A6D95EA notebook + Ajándék táska	149527 Ft	15,6"	LED	1366x768 pixel	Intel® Core™ i3 2350M	2,3 GHz	5 GT/s	4GB DDR3 1333MHz	2 db	8GB	640 GB	5400 RPM	AMD Radeon HD 6490M	1GB	2,3 kg	3 év	Li-ion 47W	max. 6 óra	6	SuperMulti	Linux	Windows 7	Hewlett-Packard	Intel	10/100/1000 LAN, Bluetooth	1xUSB 3.0, 3xUSB 2.0, D-SUB, HDMI, nincs adat	fülhallgató kimenet, mikrofon bemenet	5in1	magyar	Ezüst	374 x 256 x 28,7 mm	hálózati töltő, leírás	beépített hangszóró, beépített mikrofon, beépített webkamera	
Lenovo IdeaPad U410 59-336507 ultrabook + Windows 7 operációs rendszer	181023 Ft	14"	LED	1366x768 pixel	Intel® Core™ i3 2367M	1,4 GHz	-	4GB DDR3 1333MHz	1 db	-	32GB SSD, 500GB	5400 RPM	nVidia GeForce 610M	1GB	1,8 kg	2 év	Li-ion	nincs adat	4	nincs	Windows 7 Home Premium 64bit	Windows 7	Lenovo	Mobile Intel® HM77 Express	nincs adat	2xUSB 3.0, HDMI, nincs adat	fülhallgató kimenet, mikrofon bemenet	nincs	magyar	Fekete		leírás	nincs adat	
Asus 15,6" HD LED B53E-SO272X i7-2640M - 2,80GHz, 8GB, 500GB- Windows 7 Professional, táska	223543 Ft	15,6"	LED	1366x768 pixel	Intel Core i7-2640M	2,8 GHz	5 GT/s	8GB DDR3 1333MHz	2 db	8GB	500GB	7200 RPM	Intel HD Graphics	megosztott	2,7 kg	3 év	Li-ion	4400mAh	4	SuperMulti	Windows 7 Professional 64 bit	Windows 7	Asus	Mobile Intel® HM65 Express	Bluetooth, Gigabit LAN, WLAN	1x eSATA/USB, 1xUSB 3.0, 2xUSB 2.0, audio, DisplayPort, HDMI, LAN, VGA	fülhallgató kimenet, mikrofon bemenet	5in1	magyar	Fekete	38.4 x 26.3 x 3.3 ~3.5 cm	hálózati töltő, hordtáska	beépített webkamera, cseppálló billentyűzet, HDD védelem	
