TermékNév	Ár	TFT	TFT Szabány	TFT Méret	TFT Méret +	TFT Felb.	TFT X	TFT Y	TFT Arány	TFT Típus	TFT Touch	TFT Fok	TFT Színhű	CPU	CPU Gyártó	CPU Család	CPU Magok	CPU Frek.	CPU Turbo	CPU SS	CPU Cache	CPU RAM Max	CPU 64	CPU Tech	CPU Wh	CPU Virt	CPU HT	RAM	RAM Méret	RAM Típus	HDD	HDD Típus	HDD 2	HDD 2 Típus	GPU	GPU Gyártó	GPU Család	GPU Típus	GPU Mem	GPU Mem Típus	GPU Tech	GPU DX	GPU Shader	GPU OGL	Súly	Akku	Akku Cella	Akku Wh	Akku Típus	Akku Idő	ODD	ODD Hely	ODD CD	ODD DVD	ODD BR	OS	OS Család	OS Típus	OS Nyelv	OS 32/64	Modell	Kategória	Egyéb	LAN	WLAN	BT	CR	USB	VGA ki	HDMI	Audio	Mikrofon	Kamera	Bill.	Bill. Szín	Bill. Gombok	FP	Kensington	Széles	Mély	Magas	HSDPA	ExpressCard	USB 3	DP	Mikrofon be	Backlit KB	Multitouch	AC	HDD RPM	FW	GPS	Dokk	TPM	TFT 3D	Bill. Num	SPDIF	eSata	Modem	Utazó akkumulátor csatlakozó	Com	Optikai meghajtóLightscribe
TOSHIBA Tecra R840 notebook	0 Ft	14.0" HD (1366x768) AG LED	WXGA	14,0 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 2520M	Intel	Core i5	2	2,50 GHz	3,2 GHz	Igen	3 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 6450M / 1GB	AMD	Radeon	dedikált (belépő szint)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,0 kg	TOSHIBA Tecra R840 6-cell	6	55 Wh	Li-Ion	extra	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	TOSHIBA Tecra R	közép kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen		Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	341 mm	239 mm	20 mm		Igen	1 db USB3	Igen	Igen			75 W	7200 fordulat/perc			Igen										
DELL Vostro 3460 notebook (piros)	161338 Ft	14.0" HD (1366x768) AG LED	WXGA	14,0 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2370M	Intel	Core i3	2	2,40 GHz	2,4 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GeForce GT 630M / 1GB	NVIDIA	GeForce	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,0	2,2 kg	DELL Vostro 3460 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Vostro 3xxx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	345 mm	244 mm	14 mm		Igen	4 db USB3		Igen	Igen	Igen	90 W	7200 fordulat/perc													
TOSHIBA Satellite P770 notebook	201488 Ft	17.3" HD+ (1600x900) TruBrite LED	WXGA++	17,3 "	fényes	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i5 2450M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	8GB DDR3	8 GB	DDR3	750 GB	HDD			GeForce GT 540M / 2GB	NVIDIA	GeForce	dedikált (közép kategória)	2,0 GB	GDDR3	40 nm	11,0	5,0	4,2	3,0 kg	TOSHIBA Satellite P770 6-cell	6	55 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	TOSHIBA Satellite P	közép kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	414 mm	274 mm	28 mm			1 db USB3		Igen		Igen	75 W	5400 fordulat/perc						Igen							
DELL Vostro 3360 notebook (ezüst)	151102 Ft	13.3" HD (1366x768) AG LED	WXGA	13,3 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2367M	Intel	Core i3	2	1,40 GHz	1,4 GHz	Igen	3 MB	16 GB	Igen	32 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	320 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	1,7 kg	DELL Vostro 3360 4-cell	4	49 Wh	Li-Ion	normál						Linux	Linux	FreeDos	Magyar	32 bit	DELL Vostro 3xxx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	332 mm	233 mm	13 mm	3G/HSDPA		3 db USB3		Igen		Igen	65 W	7200 fordulat/perc													
FUJITSU Lifebook AH552 notebook (piros)	139283 Ft	15.6" HD (1366x768) VibrantView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2350M	Intel	Core i3	2	2,30 GHz	2,3 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	2,2 kg	FUJITSU Lifebook AH552 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	FUJITSU Lifebook AH	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	378 mm	252 mm	25 mm			1 db USB3		Igen		Igen	65 W	7200 fordulat/perc						Igen							
FUJITSU Lifebook AH552 notebook	147945 Ft	15.6" HD (1366x768) VibrantView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2350M	Intel	Core i3	2	2,30 GHz	2,3 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	2,2 kg	FUJITSU Lifebook AH552 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	FUJITSU Lifebook AH	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	378 mm	252 mm	25 mm			1 db USB3		Igen		Igen	65 W	7200 fordulat/perc						Igen							
TOSHIBA Satellite U840 notebook	192039 Ft	14.0" HD (1366x768) TruBrite LED	WXGA	14,0 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2377M	Intel	Core i3	2	1,50 GHz	1,5 GHz	Igen	3 MB	16 GB	Igen	32 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	32 GB	SSD	500 GB	HDD	GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	1,6 kg											Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	TOSHIBA Satellite U	közép kategória	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	342 mm	232 mm	20 mm			1 db USB3		Igen	Igen	Igen	45 W	5400 fordulat/perc													
DELL Inspiron 5520 notebook (ezüst)	129055 Ft	15.6" HD (1366x768) TrueLife LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3210M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,7 kg	DELL Inspiron 5520 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Inspiron 15R	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	378 mm	252 mm	30 mm			4 db USB3		Igen		Igen	90 W	5400 fordulat/perc													
DELL Vostro 3360 notebook (bronz)	151102 Ft	13.3" HD (1366x768) AG LED	WXGA	13,3 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2367M	Intel	Core i3	2	1,40 GHz	1,4 GHz	Igen	3 MB	16 GB	Igen	32 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	320 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	1,7 kg	DELL Vostro 3360 4-cell	4	49 Wh	Li-Ion	normál						Linux	Linux	FreeDos	Magyar	32 bit	DELL Vostro 3xxx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	332 mm	233 mm	13 mm			3 db USB3		Igen		Igen	65 W	7200 fordulat/perc													
DELL Vostro 3360 notebook (piros)	151102 Ft	13.3" HD (1366x768) AG LED	WXGA	13,3 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2367M	Intel	Core i3	2	1,40 GHz	1,4 GHz	Igen	3 MB	16 GB	Igen	32 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	320 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	1,7 kg	DELL Vostro 3360 4-cell	4	49 Wh	Li-Ion	normál						Linux	Linux	FreeDos	Magyar	32 bit	DELL Vostro 3xxx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	332 mm	233 mm	13 mm			3 db USB3		Igen		Igen	65 W	7200 fordulat/perc													
TOSHIBA Satellite Pro R850 notebook (fekete)	190464 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 2430M	Intel	Core i5	2	2,40 GHz	3,0 GHz	Igen	3 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 6450M / 1GB	AMD	Radeon	dedikált (belépő szint)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,5 kg	TOSHIBA Tecra R850 6-cell	6	55 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	TOSHIBA Tecra R	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen		Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	379 mm	252 mm	21 mm			1 db USB3	Igen	Igen			75 W	7200 fordulat/perc			Igen			Igen		Igen					
FUJITSU Lifebook UH552 notebook (ezüst)	187315 Ft	13.3" HD (1366x768) AG LED	WXGA	13,3 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3317U	Intel	Core i5	2	1,70 GHz	2,4 GHz	Igen	3 MB	16 GB	Igen	22 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	1,6 kg	FUJITSU Lifebook UH552 4-cell	4	42 Wh	Li-Ion Polymer	kiváló						Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	FUJITSU Lifebook UH	belépő szint	üzleti		802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen		HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	323 mm	234 mm	18 mm			2 db USB3		Igen		Igen	65 W	5400 fordulat/perc													
TOSHIBA Satellite L870 notebook (fehér)	187315 Ft	17.3" HD+ (1600x900) TruBrite LED	WXGA++	17,3 "	fényes	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3210M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	6GB DDR3	6 GB	DDR3	750 GB	HDD			Radeon HD 7670M / 2GB	AMD	Radeon	dedikált (közép kategória)	2,0 GB	GDDR5	40 nm	11,0	5,0	4,1	2,7 kg	TOSHIBA Satellite L870 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	TOSHIBA Satellite L	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	világos alapon sötét karakterek	2		Igen	413 mm	268 mm	34 mm			2 db USB3		Igen		Igen	75 W	5400 fordulat/perc						Igen							
HP Probook 6570b notebook	186527 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2370M	Intel	Core i3	2	2,40 GHz	2,4 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	320 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	2,5 kg	HP Probook 6570b 6-cell	6	55 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP ProBook 65xx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	374 mm	251 mm	34 mm		Igen	2 db USB3	Igen	Igen		Igen	90 W	5400 fordulat/perc	Igen		Igen			Igen		Igen			Igen		
LENOVO Ideapad Z580G notebook	185740 Ft	15.6" HD (1366x768) VibrantView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3210M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	1000 GB	HDD			GeForce GT 635M / 2GB	NVIDIA	GeForce	dedikált (közép kategória)	2,0 GB	GDDR3	40 nm	11,0	5,0	4,0	2,7 kg	LENOVO IdeaPad Z580 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 8 64bit hun	Windows 8	Home	Magyar	64 bit	LENOVO IdeaPad Z	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	250 mm	33 mm			2 db USB3		Igen		Igen	90 W	5400 fordulat/perc													
SAMSUNG 350V notebook (ezüst)	157401 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3210M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	6GB DDR3	6 GB	DDR3	750 GB	HDD			Radeon HD 7670M / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR5	40 nm	11,0	5,0	4,1	2,5 kg	SAMSUNG 350V 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	SAMSUNG 350V	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	mono	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	373 mm	243 mm	33 mm			2 db USB3		Igen			90 W	5400 fordulat/perc						Igen							
ACER V3-471G notebook (fekete)	140858 Ft	14.0" HD (1366x768) CrystalBright LED	WXGA	14,0 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 3110M	Intel	Core i3	2	2,40 GHz	2,4 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GeForce GT 630M / 1GB	NVIDIA	GeForce	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,0	2,4 kg	ACER Aspire V3-4xx 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	ACER V3	közép kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	világos alapon sötét karakterek	2		Igen	378 mm	259 mm	25 mm			1 db USB3		Igen		Igen	65 W	5400 fordulat/perc													
TOSHIBA Satellite Pro R850 notebook (szürke)	184165 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 2410M	Intel	Core i5	2	2,30 GHz	2,9 GHz	Igen	3 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 6450M / 1GB	AMD	Radeon	dedikált (belépő szint)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,5 kg	TOSHIBA Satellite Pro R850 6-cell	6	55 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	TOSHIBA Satellite Pro R	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo		Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	379 mm	252 mm	21 mm			1 db USB3		Igen		Igen	65 W	5400 fordulat/perc						Igen		Igen					
DELL Inspiron 5720 notebook (ezüst)	183385 Ft	17.3" HD+ (1600x900) TrueLife LED	WXGA++	17,3 "	fényes	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i7 3632QM	Intel	Core i7	4	2,20 GHz	3,2 GHz	Igen	6 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	8GB DDR3	8 GB	DDR3	1000 GB	HDD			GeForce GT 630M / 1GB	NVIDIA	GeForce	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,0	3,3 kg	DELL Inspiron 5720 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Inspiron 17R	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	417 mm	276 mm	32 mm			4 db USB3		Igen		Igen		5400 fordulat/perc						Igen							
SONY VAIO S széria notebook (fehér)	182590 Ft	13.3" HD (1366x768) AG LED	WXGA	13,3 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2350M	Intel	Core i3	2	2,30 GHz	2,3 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 6470M	ATI	Radeon	dedikált (közép kategória)	0,5 GB	GDDR3	40 nm	11,0	5,0	4,1	1,8 kg	SONY VAIO S series 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit		közép kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	mono	SD	Magyar billentyűzet	világos alapon sötét karakterek	2		Igen	331 mm	225 mm	24 mm			1 db USB3			Igen			5400 fordulat/perc			Igen										
HP Probook 4740s notebook (Renew*)	181023 Ft	17.3" HD+ (1600x900) AG LED	WXGA++	17,3 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i5 2450M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	6GB DDR3	6 GB	DDR3	750 GB	HDD			Radeon HD 7650M / 2GB	AMD	Radeon	dedikált (közép kategória)	2,0 GB	GDDR3	40 nm	11,0	5,0	4,1	3,0 kg	HP Probook 4740s 8-cell	8	73 Wh	Li-Ion	normál	Blu-Ray ROM - DVD+/-RW combo	beépített	ír és olvas	ír és olvas	csak olvas	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP ProBook 47xx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	413 mm	279 mm	29 mm			2 db USB3		Igen		Igen	90 W	7200 fordulat/perc						Igen							
HP Probook 6465b notebook	181015 Ft	14.0" HD (1366x768) AG LED	WXGA	14,0 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD A6-3410MX	AMD	A6 Series	4	1,60 GHz	2,3 GHz	Igen	4 MB	0 GB	Igen	32 nm	45 W	Igen		4GB DDR3	4 GB	DDR3	320 GB	HDD			Radeon HD 6520G	AMD	Radeon	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	11,0	5,0	4,1	2,1 kg	HP Probook 6465b 6-cell	6	55 Wh	Li-Ion	normál						Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP ProBook 64xx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	4	Igen	Igen	338 mm	231 mm	34 mm		Igen	0 db USB3	Igen	Igen		Igen	90 W	7200 fordulat/perc	Igen		Igen					Igen	Igen	Igen			
ASUS K55 notebook (barna)	133779 Ft	15.6" HD (1366x768) ColorShine LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3210M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GeForce 610M / 2GB	NVIDIA	GeForce	dedikált (közép kategória)	2,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,5 kg	ASUS K55 6-cell	6	50 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	ASUS K5x	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	mono	SD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	378 mm	251 mm	26 mm			2 db USB3		Igen		Igen	65 W	5400 fordulat/perc						Igen							
DELL Vostro 3460 notebook (bronz)	161338 Ft	14.0" HD (1366x768) AG LED	WXGA	14,0 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2370M	Intel	Core i3	2	2,40 GHz	2,4 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GeForce GT 630M / 1GB	NVIDIA	GeForce	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,0	2,2 kg	DELL Vostro 3460 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Vostro 3xxx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	345 mm	244 mm	14 mm		Igen	4 db USB3		Igen	Igen	Igen	90 W	7200 fordulat/perc													
ACER V3-471G notebook (arany)	140858 Ft	14.0" HD (1366x768) CrystalBright LED	WXGA	14,0 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 3110M	Intel	Core i3	2	2,40 GHz	2,4 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GeForce GT 630M / 1GB	NVIDIA	GeForce	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,0	2,4 kg	ACER Aspire V3-4xx 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	ACER V3	közép kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	világos alapon sötét karakterek	2		Igen	378 mm	259 mm	25 mm			1 db USB3		Igen		Igen	65 W	5400 fordulat/perc													
