TermékNév	Ár	TFT	TFT Szabány	TFT Méret	TFT Méret +	TFT Felb.	TFT X	TFT Y	TFT Arány	TFT Típus	TFT Touch	TFT Fok	TFT Színhű	CPU	CPU Gyártó	CPU Család	CPU Magok	CPU Frek.	CPU Turbo	CPU SS	CPU Cache	CPU RAM Max	CPU 64	CPU Tech	CPU Wh	CPU Virt	CPU HT	RAM	RAM Méret	RAM Típus	HDD	HDD Típus	HDD 2	HDD 2 Típus	GPU	GPU Gyártó	GPU Család	GPU Típus	GPU Mem	GPU Mem Típus	GPU Tech	GPU DX	GPU Shader	GPU OGL	Súly	Akku	Akku Cella	Akku Wh	Akku Típus	Akku Idő	ODD	ODD Hely	ODD CD	ODD DVD	ODD BR	OS	OS Család	OS Típus	OS Nyelv	OS 32/64	Modell	Kategória	Egyéb	LAN	WLAN	BT	CR	USB	VGA ki	HDMI	Audio	Mikrofon	Kamera	Bill.	Bill. Szín	Bill. Gombok	FP	Kensington	Széles	Mély	Magas	HSDPA	ExpressCard	USB 3	DP	Mikrofon be	Backlit KB	Multitouch	AC	HDD RPM	FW	GPS	Dokk	TPM	TFT 3D	Bill. Num	SPDIF	eSata	Modem	Utazó akkumulátor csatlakozó	Com	Optikai meghajtóLightscribe
HP Elitebook 8470w Mobile Workstation notebook	374716 Ft	14.0" HD+ (1600x900) AG LED	WXGA++	14,0 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i7 3610QM	Intel	Core i7	4	2,30 GHz	3,3 GHz	Igen	6 MB	32 GB	Igen	22 nm	45 W	Igen	Igen	4GB DDR3	4 GB	DDR3	750 GB	HDD			FirePro M2000 / 1GB	AMD	FirePro	dedikált (közép kategória)	1,0 GB	GDDR5	28 nm	11,0	5,0	4,2	2,3 kg	HP Elitebook 8470w 6-cell	6	62 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP EliteBook 84xx	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	4	Igen	Igen	338 mm	231 mm	32 mm	foglalat	Igen	2 db USB3	Igen	Igen	Igen	Igen	90 W	7200 fordulat/perc	Igen		Igen					Igen					
LENOVO ThinkPad T430s notebook	329047 Ft	14.0" HD+ (1600x900) AG LED	WXGA++	14,0 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3320M	Intel	Core i5	2	2,60 GHz	3,3 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	1,8 kg	LENOVO ThinkPad T430 6-cell	6	56 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	LENOVO ThinkPad T	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)		Igen	3 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	4	Igen	Igen	343 mm	230 mm	21 mm	foglalat	Igen	2 db USB3	Igen	Igen	Igen	Igen	90 W	7200 fordulat/perc													
LENOVO ThinkPad X230 notebook	281023 Ft	12.5" HD (1366x768) AG LED	WXGA	12,5 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3210M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	1,3 kg	LENOVO ThinkPad X230 6-cell	6	63 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	LENOVO ThinkPad X	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	305 mm	207 mm	19 mm	foglalat	Igen	2 db USB3	Igen	Igen	Igen	Igen	90 W	7200 fordulat/perc													
LENOVO ThinkPad X230 tablet	359755 Ft	12.5" Multi-Touch, HD (1366x768) AG IPS LED	WXGA	12,5 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	igen (passzív)	normál		Intel Core i5 3320M	Intel	Core i5	2	2,60 GHz	3,3 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	1,3 kg	LENOVO ThinkPad X230 6-cell	6	63 Wh	Li-Ion	normál						Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	LENOVO ThinkPad X	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	4 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	305 mm	207 mm	19 mm	foglalat	Igen	2 db USB3	Igen	Igen	Igen	Igen	90 W	7200 fordulat/perc									Igen				
HP Elitebook 8560w Premium Business notebook	0 Ft	15.6" Full HD (1920x1080) AG WVA LED	WUXGA	15,6 "	matt	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	nem	széles		Intel Core i5 2540M	Intel	Core i5	2	2,60 GHz	3,3 GHz	Igen	3 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			FirePro M5950 / 1GB	AMD	FirePro	dedikált (felső kategória)	1,0 GB	GDDR5	40 nm	11,0	5,0	4,1	3,1 kg	HP Elitebook 8560w 8-cell	8	83 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP EliteBook 85xx	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	5 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	6	Igen	Igen	382 mm	257 mm	35 mm		Igen	3 db USB3	Igen	Igen		Igen	120 W	7200 fordulat/perc	Igen		Igen			Igen		Igen	Igen	Igen			
HP Elitebook 8470p Premium Business notebook	292047 Ft	14.0" HD+ (1600x900) AG LED	WXGA++	14,0 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3320M	Intel	Core i5	2	2,60 GHz	3,3 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 7570M / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,3 kg	HP Elitebook 8470p 6-cell	6	62 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP EliteBook 84xx	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	4	Igen	Igen	338 mm	231 mm	34 mm	3G/HSDPA	Igen	2 db USB3	Igen	Igen	Igen	Igen	90 W	7200 fordulat/perc	Igen		Igen	Igen				Igen					
LENOVO ThinkPad T430 notebook	0 Ft	14.0" HD+ (1600x900) AG LED	WXGA++	14,0 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3210M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	128 GB	SSD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	2,2 kg	LENOVO ThinkPad T430 6-cell	6	56 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	LENOVO ThinkPad T	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	4	Igen	Igen	351 mm	232 mm	30 mm	foglalat	Igen	2 db USB3	Igen	Igen	Igen	Igen	90 W	7200 fordulat/perc													
HP Elitebook 2570p Premium Business notebook	325110 Ft	12.5" HD (1366x768) AG LED	WXGA	12,5 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3360M	Intel	Core i5	2	2,80 GHz	3,5 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	1,7 kg	HP Elitebook 2570p 6-cell	6	62 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP EliteBook 25xx	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	2 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	4	Igen	Igen	305 mm	209 mm	27 mm	3G/HSDPA	Igen	1 db USB3	Igen	Igen		Igen	65 W	7200 fordulat/perc	Igen	Igen	Igen	Igen				Igen					
ACER V3-771G notebook (szürke)	149519 Ft	17.3" HD+ (1600x900) CrystalBright LED	WXGA++	17,3 "	fényes	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i3 3110M	Intel	Core i3	2	2,40 GHz	2,4 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	750 GB	HDD	750 GB	HDD	GeForce GT 630M / 1GB	NVIDIA	GeForce	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,0	3,3 kg	ACER Aspire V3-7xx 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	ACER V3	közép kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	415 mm	275 mm	39 mm			2 db USB3		Igen		Igen	120 W	5400 fordulat/perc						Igen							
HP Elitebook 8570p Premium Business notebook	282590 Ft	15.6" HD+ (1600x900) AG WVA LED	WXGA++	15,6 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	széles		Intel Core i5 3360M	Intel	Core i5	2	2,80 GHz	3,5 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,6 kg	HP Elitebook 8570p 6-cell	6	62 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP EliteBook 85xx	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	4 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	4	Igen	Igen	374 mm	251 mm	34 mm	foglalat	Igen	2 db USB3	Igen	Igen	Igen	Igen	65 W	7200 fordulat/perc	Igen		Igen	Igen		Igen		Igen	Igen		Igen		
